Orthogroup	Prar	Pram
OG0000000	Prar.g_00971	Pram.g_01561
OG0000000	Prar.g_00713, Prar.g_00729	Pram.g_01511
OG0000001	Prar.g_00926	Pram.g_01954, Pram.g_01953
OG0000002	Prar.g_00918	Pram.g_00873, Pram.g_00879
OG0000002	Prar.g_01508	Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174, Pram.g_01278, Pram.g_00768
OG0000004	Prar.g_01525	Pram.g_00789
OG0000004	Prar.g_00095	Pram.g_00219
OG0000005	Prar.g_00771	Pram.g_01295
OG0000006	Prar.g_00086	Pram.g_00229
OG0000007	Prar.g_01328	Pram.g_00433
OG0000007	Prar.g_01143	Pram.g_01632
OG0000008	Prar.g_01185	Pram.g_01263
OG0000010	Prar.g_00524	Pram.g_00410
OG0000010	Prar.g_01567, Prar.g_01912	Pram.g_00704, Pram.g_01000
OG0000011	Prar.g_00988	Pram.g_01579
OG0000012	Prar.g_01453	Pram.g_00561
OG0000013	Prar.g_00260	Pram.g_00315
OG0000014	Prar.g_00281	Pram.g_00295
OG0000015	Prar.g_01179	Pram.g_00696, Pram.g_01545
OG0000017	Prar.g_01428	Pram.g_00535, Pram.g_00542
OG0000018	Prar.g_01711	Pram.g_00837
OG0000018	Prar.g_01282	Pram.g_01162
OG0000019	Prar.g_00078	Pram.g_00237
OG0000019	Prar.g_01663	Pram.g_01164
OG0000020	Prar.g_01187	Pram.g_01595
OG0000020	Prar.g_01007, Prar.g_01155, Prar.g_01561	Pram.g_01516
OG0000021	Prar.g_00425	Pram.g_01274, Pram.g_00794
OG0000022	Prar.g_01649	Pram.g_01287
OG0000023	Prar.g_00420	Pram.g_00689
OG0000024	Prar.g_01634	Pram.g_01004
OG0000024	Prar.g_01505	Pram.g_00765
OG0000025	Prar.g_00256, Prar.g_01718	Pram.g_00844
OG0000026	Prar.g_01919	Pram.g_00018
OG0000028	Prar.g_00985	Pram.g_00363
OG0000028	Prar.g_00267	Pram.g_00308
OG0000029	Prar.g_00436	Pram.g_01723
OG0000030	Prar.g_00662	Pram.g_01844
OG0000031	Prar.g_00879	Pram.g_01413
OG0000034	Prar.g_00945	Pram.g_01240
OG0000035	Prar.g_00339	Pram.g_01381, Pram.g_01378
OG0000037	Prar.g_00219	Pram.g_00093
OG0000038	Prar.g_00702	Pram.g_01884
OG0000039	Prar.g_01516	Pram.g_00777
OG0000040	Prar.g_00715	Pram.g_01599
OG0000041	Prar.g_00602	Pram.g_01680
OG0000042	Prar.g_00660	Pram.g_01841
OG0000043	Prar.g_01755	Pram.g_01161
OG0000044	Prar.g_01172	Pram.g_01620
OG0000047	Prar.g_00468	Pram.g_00359
OG0000048	Prar.g_00435	Pram.g_00259
OG0000053	Prar.g_00589, Prar.g_00827	Pram.g_01357, Pram.g_01580
OG0000054	Prar.g_01436	Pram.g_00544
OG0000055	Prar.g_01664	Pram.g_01189, Pram.g_01617
OG0000056	Prar.g_00932	Pram.g_01611, Pram.g_00603, Pram.g_00602
OG0000057	Prar.g_01528	Pram.g_00792
OG0000058	Prar.g_00870	Pram.g_01447
OG0000059	Prar.g_01090	Pram.g_01719
OG0000061	Prar.g_01263	Pram.g_01140
OG0000062	Prar.g_00769	Pram.g_01293
OG0000063	Prar.g_01189	Pram.g_01258
OG0000065	Prar.g_00221	Pram.g_00091
OG0000066	Prar.g_01369	Pram.g_01558
OG0000067	Prar.g_01684	Pram.g_00809
OG0000068	Prar.g_00911	Pram.g_01468
OG0000069	Prar.g_01170, Prar.g_00736	Pram.g_00391
OG0000070	Prar.g_00498	Pram.g_00385
OG0000071	Prar.g_00955	Pram.g_01230
OG0000072	Prar.g_00156	Pram.g_00156
OG0000073	Prar.g_01330	Pram.g_01426, Pram.g_00437
OG0000074	Prar.g_01512	Pram.g_00772, Pram.g_00715, Pram.g_00684
OG0000075	Prar.g_00629	Pram.g_01807
OG0000076	Prar.g_00592, Prar.g_00653	Pram.g_01833
OG0000077	Prar.g_00250	Pram.g_00063
OG0000078	Prar.g_00088	Pram.g_00227
OG0000081	Prar.g_01361	Pram.g_00469
OG0000082	Prar.g_01414	Pram.g_01559
OG0000084	Prar.g_00343	Pram.g_01384
OG0000085	Prar.g_01150	Pram.g_01265
OG0000086	Prar.g_00240	Pram.g_00072
OG0000087	Prar.g_00189	Pram.g_00125
OG0000088	Prar.g_00161	Pram.g_00151
OG0000089	Prar.g_00416	Pram.g_00352
OG0000090	Prar.g_01363	Pram.g_00471
OG0000091	Prar.g_01472	Pram.g_01068
OG0000092	Prar.g_01781	Pram.g_00739
OG0000093	Prar.g_01801	Pram.g_01038
OG0000094	Prar.g_01885	Pram.g_00987
OG0000095	Prar.g_01904	Pram.g_00888
OG0000096	Prar.g_01006, Prar.g_01313, Prar.g_00991	Pram.g_01505, Pram.g_00621
OG0000097	Prar.g_01222	Pram.g_01093
OG0000098	Prar.g_00929	Pram.g_01478
OG0000099	Prar.g_00872	Pram.g_01445
OG0000100	Prar.g_00773	Pram.g_01298
OG0000101	Prar.g_01027	Pram.g_01770
OG0000102	Prar.g_00658	Pram.g_01838
OG0000103	Prar.g_00050	Pram.g_01925
OG0000104	Prar.g_00042	Pram.g_01934
OG0000105	Prar.g_00313	Pram.g_00262
OG0000106	Prar.g_00431	Pram.g_00677
OG0000107	Prar.g_00446	Pram.g_01696
OG0000108	Prar.g_00530	Pram.g_00416
OG0000109	Prar.g_00544	Pram.g_00430
OG0000110	Prar.g_01404	Pram.g_00513
OG0000111	Prar.g_01529	Pram.g_00793
OG0000112	Prar.g_01652	Pram.g_00935
OG0000113	Prar.g_01706	Pram.g_00832
OG0000114	Prar.g_01776	Pram.g_00734
OG0000115	Prar.g_01318	Pram.g_01201
OG0000116	Prar.g_01273	Pram.g_01151
OG0000117	Prar.g_01003	Pram.g_01112
OG0000118	Prar.g_00943	Pram.g_01242
OG0000119	Prar.g_00915	Pram.g_01283
OG0000120	Prar.g_00880	Pram.g_01446
OG0000121	Prar.g_00337	Pram.g_01376
OG0000122	Prar.g_00807	Pram.g_01204, Pram.g_01334
OG0000123	Prar.g_01021	Pram.g_01777
OG0000124	Prar.g_00668	Pram.g_01850
OG0000125	Prar.g_00704	Pram.g_01886
OG0000126	Prar.g_00043	Pram.g_01933
OG0000128	Prar.g_00027	Pram.g_01949
OG0000129	Prar.g_00576	Pram.g_00029
OG0000130	Prar.g_00549	Pram.g_00054
OG0000131	Prar.g_00182	Pram.g_00130
OG0000132	Prar.g_00163	Pram.g_00149
OG0000133	Prar.g_00265	Pram.g_00310
OG0000134	Prar.g_00417	Pram.g_00354
OG0000135	Prar.g_00444	Pram.g_01589
OG0000136	Prar.g_00489	Pram.g_00376
OG0000137	Prar.g_00525	Pram.g_00411
OG0000138	Prar.g_00545	Pram.g_00431
OG0000139	Prar.g_01367	Pram.g_00475
OG0000140	Prar.g_01368	Pram.g_00476
OG0000141	Prar.g_01437	Pram.g_00545
OG0000142	Prar.g_01465	Pram.g_01075
OG0000143	Prar.g_01469	Pram.g_01072
OG0000144	Prar.g_01482	Pram.g_01058
OG0000145	Prar.g_01651	Pram.g_01534
OG0000146	Prar.g_01653	Pram.g_00934
OG0000147	Prar.g_01654	Pram.g_00933
OG0000148	Prar.g_01700	Pram.g_00826
OG0000149	Prar.g_01730	Pram.g_00858
OG0000150	Prar.g_01738	Pram.g_00868
OG0000151	Prar.g_01786	Pram.g_00744
OG0000152	Prar.g_01833	Pram.g_00943
OG0000153	Prar.g_01852	Pram.g_00961
OG0000154	Prar.g_01878	Pram.g_00978
OG0000155	Prar.g_01243	Pram.g_01118
OG0000156	Prar.g_00966	Pram.g_01219
OG0000157	Prar.g_00965	Pram.g_01220
OG0000158	Prar.g_00375	Pram.g_01815
OG0000159	Prar.g_00380	Pram.g_01438
OG0000160	Prar.g_00338	Pram.g_01377
OG0000161	Prar.g_00840	Pram.g_01145, Pram.g_01371
OG0000162	Prar.g_00834	Pram.g_01365
OG0000163	Prar.g_00800	Pram.g_01326
OG0000164	Prar.g_01964	Pram.g_01656
OG0000165	Prar.g_01971	Pram.g_01664
OG0000166	Prar.g_01063	Pram.g_01733
OG0000167	Prar.g_00627	Pram.g_01805
OG0000168	Prar.g_00637	Pram.g_01816
OG0000169	Prar.g_00647	Pram.g_01826
OG0000170	Prar.g_00649	Pram.g_01829
OG0000171	Prar.g_00667	Pram.g_01849
OG0000172	Prar.g_00675	Pram.g_01856
OG0000173	Prar.g_00690	Pram.g_01871
OG0000174	Prar.g_00068	Pram.g_01902
OG0000175	Prar.g_00058	Pram.g_01914
OG0000176	Prar.g_00034	Pram.g_01942
OG0000177	Prar.g_00033	Pram.g_01943
OG0000178	Prar.g_00032	Pram.g_01944
OG0000179	Prar.g_00022	Pram.g_00003
OG0000180	Prar.g_00021	Pram.g_00004
OG0000181	Prar.g_00020	Pram.g_00005
OG0000182	Prar.g_00019	Pram.g_00006
OG0000183	Prar.g_00015	Pram.g_00010
OG0000184	Prar.g_00573	Pram.g_00033
OG0000185	Prar.g_00570	Pram.g_00036
OG0000186	Prar.g_00554	Pram.g_00048
OG0000187	Prar.g_00553	Pram.g_00049
OG0000188	Prar.g_00246	Pram.g_00066
OG0000189	Prar.g_00232	Pram.g_00080
OG0000190	Prar.g_00231	Pram.g_00081
OG0000191	Prar.g_00211	Pram.g_00103
OG0000192	Prar.g_00207	Pram.g_00108
OG0000193	Prar.g_00181	Pram.g_00131
OG0000194	Prar.g_00178	Pram.g_00134
OG0000195	Prar.g_00176	Pram.g_00136
OG0000196	Prar.g_00166	Pram.g_00146
OG0000197	Prar.g_00165	Pram.g_00147
OG0000198	Prar.g_00164	Pram.g_00148
OG0000199	Prar.g_00157	Pram.g_00155
OG0000200	Prar.g_00143	Pram.g_00168
OG0000201	Prar.g_00135	Pram.g_00177
OG0000202	Prar.g_00134	Pram.g_00178
OG0000203	Prar.g_00133	Pram.g_00179
OG0000204	Prar.g_00132	Pram.g_00180
OG0000205	Prar.g_00125	Pram.g_00187
OG0000206	Prar.g_00120	Pram.g_00192
OG0000207	Prar.g_00118	Pram.g_00194
OG0000208	Prar.g_00117	Pram.g_00195
OG0000209	Prar.g_00108	Pram.g_00204
OG0000210	Prar.g_00107	Pram.g_00205
OG0000211	Prar.g_00094	Pram.g_00220
OG0000212	Prar.g_00087	Pram.g_00228
OG0000213	Prar.g_00330	Pram.g_00246
OG0000214	Prar.g_00320	Pram.g_00255
OG0000215	Prar.g_00295	Pram.g_00282
OG0000216	Prar.g_00293	Pram.g_00283
OG0000217	Prar.g_00290	Pram.g_00286
OG0000218	Prar.g_00288	Pram.g_00288
OG0000219	Prar.g_00287	Pram.g_00289
OG0000220	Prar.g_00286	Pram.g_00290
OG0000221	Prar.g_00285	Pram.g_00291
OG0000222	Prar.g_00277	Pram.g_00298
OG0000223	Prar.g_00264	Pram.g_00311
OG0000224	Prar.g_00262	Pram.g_00313
OG0000225	Prar.g_00406	Pram.g_00341
OG0000226	Prar.g_00410	Pram.g_00345
OG0000227	Prar.g_00412	Pram.g_00347
OG0000228	Prar.g_00415	Pram.g_00351
OG0000229	Prar.g_00484	Pram.g_00371
OG0000230	Prar.g_00486	Pram.g_00373
OG0000231	Prar.g_00497	Pram.g_00384
OG0000232	Prar.g_00506	Pram.g_00397
OG0000233	Prar.g_00512	Pram.g_00402
OG0000234	Prar.g_00526	Pram.g_00412
OG0000235	Prar.g_00529	Pram.g_00415
OG0000236	Prar.g_00543	Pram.g_00429
OG0000237	Prar.g_01337	Pram.g_00443
OG0000238	Prar.g_01343	Pram.g_00449
OG0000239	Prar.g_01355	Pram.g_00462
OG0000240	Prar.g_01356	Pram.g_00463
OG0000241	Prar.g_01360	Pram.g_00468
OG0000242	Prar.g_01362	Pram.g_00470
OG0000243	Prar.g_01373	Pram.g_00480
OG0000244	Prar.g_01376	Pram.g_00483
OG0000245	Prar.g_01378	Pram.g_00485
OG0000246	Prar.g_01382	Pram.g_00489
OG0000247	Prar.g_01392	Pram.g_00500
OG0000248	Prar.g_01394	Pram.g_00503
OG0000249	Prar.g_01396	Pram.g_00505
OG0000250	Prar.g_01401	Pram.g_00510
OG0000251	Prar.g_01420	Pram.g_00528
OG0000252	Prar.g_01424	Pram.g_00531
OG0000253	Prar.g_01425	Pram.g_00532
OG0000254	Prar.g_01441	Pram.g_00549
OG0000255	Prar.g_01447	Pram.g_00555
OG0000256	Prar.g_01457	Pram.g_00566
OG0000257	Prar.g_01460	Pram.g_01080
OG0000258	Prar.g_01473	Pram.g_01067
OG0000259	Prar.g_01490	Pram.g_01050
OG0000260	Prar.g_01493	Pram.g_01047
OG0000261	Prar.g_01495	Pram.g_01044
OG0000262	Prar.g_01499	Pram.g_01039
OG0000263	Prar.g_01511	Pram.g_00771
OG0000264	Prar.g_01521	Pram.g_00782
OG0000265	Prar.g_01599	Pram.g_00801
OG0000266	Prar.g_01609	Pram.g_01020
OG0000267	Prar.g_01620	Pram.g_01007
OG0000268	Prar.g_01621	Pram.g_01006
OG0000269	Prar.g_01679	Pram.g_00804
OG0000270	Prar.g_01682	Pram.g_00807
OG0000271	Prar.g_01690	Pram.g_00815
OG0000272	Prar.g_01691	Pram.g_00816
OG0000273	Prar.g_01714	Pram.g_00839
OG0000274	Prar.g_01715	Pram.g_00840
OG0000275	Prar.g_01717	Pram.g_00843
OG0000276	Prar.g_01722	Pram.g_00849
OG0000277	Prar.g_01723	Pram.g_00850
OG0000278	Prar.g_01726	Pram.g_00853
OG0000279	Prar.g_01733	Pram.g_00861
OG0000280	Prar.g_01734	Pram.g_00862
OG0000281	Prar.g_01740	Pram.g_00870
OG0000282	Prar.g_01778	Pram.g_00736
OG0000283	Prar.g_01810	Pram.g_00916
OG0000284	Prar.g_01815	Pram.g_00921
OG0000285	Prar.g_01820	Pram.g_00926
OG0000286	Prar.g_01832	Pram.g_00942
OG0000287	Prar.g_01849	Pram.g_01199
OG0000288	Prar.g_01877	Pram.g_00977
OG0000289	Prar.g_01888	Pram.g_00992
OG0000290	Prar.g_01901	Pram.g_00891
OG0000291	Prar.g_01903	Pram.g_00889
OG0000292	Prar.g_01953	Pram.g_01185
OG0000293	Prar.g_01272	Pram.g_01150
OG0000294	Prar.g_01271	Pram.g_01149
OG0000295	Prar.g_01251	Pram.g_01125
OG0000296	Prar.g_01249	Pram.g_01123
OG0000297	Prar.g_01241	Pram.g_01114
OG0000298	Prar.g_01240	Pram.g_01113
OG0000299	Prar.g_01223	Pram.g_01094
OG0000300	Prar.g_01220	Pram.g_01091
OG0000301	Prar.g_01219	Pram.g_01090
OG0000302	Prar.g_01217	Pram.g_01088
OG0000303	Prar.g_01210	Pram.g_01082
OG0000304	Prar.g_01206	Pram.g_00571
OG0000305	Prar.g_00919	Pram.g_01183
OG0000306	Prar.g_00916	Pram.g_00874
OG0000307	Prar.g_00902	Pram.g_01458
OG0000308	Prar.g_00901	Pram.g_01457
OG0000309	Prar.g_00897	Pram.g_01453
OG0000310	Prar.g_00354	Pram.g_01395
OG0000311	Prar.g_00352	Pram.g_01393
OG0000312	Prar.g_00349	Pram.g_01390
OG0000313	Prar.g_00335	Pram.g_01374
OG0000314	Prar.g_00820	Pram.g_01351
OG0000315	Prar.g_00810	Pram.g_01341
OG0000316	Prar.g_00790	Pram.g_01315
OG0000317	Prar.g_01145	Pram.g_01629
OG0000318	Prar.g_01142	Pram.g_01633
OG0000319	Prar.g_01129	Pram.g_01646
OG0000320	Prar.g_01127	Pram.g_01648
OG0000321	Prar.g_01126	Pram.g_01649
OG0000322	Prar.g_01125	Pram.g_01650
OG0000323	Prar.g_01967	Pram.g_01659
OG0000324	Prar.g_00609	Pram.g_01687
OG0000325	Prar.g_01113	Pram.g_01697
OG0000326	Prar.g_01107	Pram.g_01704
OG0000327	Prar.g_01068	Pram.g_01728
OG0000328	Prar.g_01067	Pram.g_01729
OG0000329	Prar.g_01050	Pram.g_01746
OG0000330	Prar.g_01049	Pram.g_01747
OG0000331	Prar.g_01048	Pram.g_01748
OG0000332	Prar.g_01034	Pram.g_01762
OG0000333	Prar.g_01032	Pram.g_01764
OG0000334	Prar.g_01024	Pram.g_01773
OG0000335	Prar.g_01020	Pram.g_01778
OG0000336	Prar.g_01016	Pram.g_01782
OG0000337	Prar.g_00625	Pram.g_01801
OG0000338	Prar.g_00626	Pram.g_01802
OG0000339	Prar.g_00630	Pram.g_01808
OG0000340	Prar.g_00638	Pram.g_01817
OG0000341	Prar.g_00640	Pram.g_01819
OG0000342	Prar.g_00641	Pram.g_01820
OG0000343	Prar.g_00642	Pram.g_01821
OG0000344	Prar.g_00645	Pram.g_01824
OG0000345	Prar.g_00650	Pram.g_01830
OG0000346	Prar.g_00654	Pram.g_01834
OG0000347	Prar.g_00669	Pram.g_01851
OG0000348	Prar.g_00678	Pram.g_01859
OG0000349	Prar.g_00695	Pram.g_01877
OG0000350	Prar.g_00072	Pram.g_01898
OG0000351	Prar.g_00055	Pram.g_01917
OG0000352	Prar.g_00054	Pram.g_01918
OG0000353	Prar.g_00039	Pram.g_01937
OG0000355	Prar.g_00037	Pram.g_01939
OG0000356	Prar.g_00036	Pram.g_01940
OG0000357	Prar.g_00035	Pram.g_01941
OG0000358	Prar.g_00031	Pram.g_01945
OG0000359	Prar.g_00030	Pram.g_01946
OG0000360	Prar.g_00029	Pram.g_01947
OG0000361	Prar.g_00028	Pram.g_01948
OG0000362	Prar.g_00026	Pram.g_01950
OG0000363	Prar.g_00024	Pram.g_00001
OG0000364	Prar.g_00023	Pram.g_00002
OG0000365	Prar.g_00018	Pram.g_00007
OG0000366	Prar.g_00017	Pram.g_00008
OG0000367	Prar.g_00016	Pram.g_00009
OG0000368	Prar.g_00014	Pram.g_00011
OG0000369	Prar.g_00013	Pram.g_00012
OG0000370	Prar.g_00012	Pram.g_00013
OG0000371	Prar.g_00006	Pram.g_00019
OG0000372	Prar.g_00002	Pram.g_00021
OG0000373	Prar.g_00001	Pram.g_00022
OG0000374	Prar.g_00594	Pram.g_00023
OG0000375	Prar.g_00580	Pram.g_00024
OG0000376	Prar.g_00578	Pram.g_00026
OG0000377	Prar.g_00574	Pram.g_00030
OG0000378	Prar.g_00572	Pram.g_00034
OG0000379	Prar.g_00569	Pram.g_00037
OG0000380	Prar.g_00552	Pram.g_00050
OG0000381	Prar.g_00548	Pram.g_00055
OG0000382	Prar.g_00247	Pram.g_00065
OG0000383	Prar.g_00245	Pram.g_00067
OG0000384	Prar.g_00244	Pram.g_00068
OG0000385	Prar.g_00243	Pram.g_00069
OG0000386	Prar.g_00242	Pram.g_00070
OG0000387	Prar.g_00229	Pram.g_00083
OG0000388	Prar.g_00226	Pram.g_00087
OG0000389	Prar.g_00222	Pram.g_00090
OG0000390	Prar.g_00215	Pram.g_00099
OG0000391	Prar.g_00212	Pram.g_00102
OG0000392	Prar.g_00208	Pram.g_00106
OG0000393	Prar.g_00206	Pram.g_00109
OG0000394	Prar.g_00205	Pram.g_00110
OG0000395	Prar.g_00204	Pram.g_00111
OG0000396	Prar.g_00201	Pram.g_00113
OG0000397	Prar.g_00199	Pram.g_00115
OG0000398	Prar.g_00197	Pram.g_00118
OG0000399	Prar.g_00196	Pram.g_00119
OG0000400	Prar.g_00195	Pram.g_00120
OG0000401	Prar.g_00194	Pram.g_00121
OG0000402	Prar.g_00192	Pram.g_01001
OG0000403	Prar.g_00191	Pram.g_00123
OG0000404	Prar.g_00190	Pram.g_00124
OG0000405	Prar.g_00186	Pram.g_00128
OG0000406	Prar.g_00180	Pram.g_00132
OG0000407	Prar.g_00179	Pram.g_00133
OG0000408	Prar.g_00177	Pram.g_00135
OG0000409	Prar.g_00175	Pram.g_00137
OG0000410	Prar.g_00174	Pram.g_00138
OG0000411	Prar.g_00173	Pram.g_00139
OG0000412	Prar.g_00172	Pram.g_00140
OG0000413	Prar.g_00171	Pram.g_00141
OG0000414	Prar.g_01569, Prar.g_00170	Pram.g_00142
OG0000415	Prar.g_00169	Pram.g_00143
OG0000416	Prar.g_00168	Pram.g_00144
OG0000417	Prar.g_00167	Pram.g_00145
OG0000418	Prar.g_00162	Pram.g_00150
OG0000419	Prar.g_00160	Pram.g_00152
OG0000420	Prar.g_00159	Pram.g_00153
OG0000421	Prar.g_00154	Pram.g_00157
OG0000422	Prar.g_00153	Pram.g_00158
OG0000423	Prar.g_00152	Pram.g_00159
OG0000424	Prar.g_00151	Pram.g_00160
OG0000425	Prar.g_00150	Pram.g_00161
OG0000426	Prar.g_00149	Pram.g_00162
OG0000427	Prar.g_00148	Pram.g_00163
OG0000428	Prar.g_00146	Pram.g_00165
OG0000429	Prar.g_00145	Pram.g_00166
OG0000430	Prar.g_00144	Pram.g_00167
OG0000431	Prar.g_00142	Pram.g_00169
OG0000432	Prar.g_00139	Pram.g_00173
OG0000433	Prar.g_00138	Pram.g_00174
OG0000434	Prar.g_00137	Pram.g_00175
OG0000435	Prar.g_00136	Pram.g_00176
OG0000436	Prar.g_00131	Pram.g_00181
OG0000437	Prar.g_00130	Pram.g_00182
OG0000438	Prar.g_00129	Pram.g_00183
OG0000439	Prar.g_00127	Pram.g_00185
OG0000440	Prar.g_00126	Pram.g_00186
OG0000441	Prar.g_00123	Pram.g_00189
OG0000442	Prar.g_00122	Pram.g_00190
