Orthogroup	Prar	Syad
OG0000001	Prar.g_00926	Syad.g_00628, Syad.g_02863, Syad.g_02862, Syad.g_02864, Syad.g_02865, Syad.g_01238, Syad.g_00611
OG0000002	Prar.g_00918, Prar.g_01508	Syad.g_00619
OG0000004	Prar.g_01525	Syad.g_01304
OG0000004	Prar.g_00095	Syad.g_02184, Syad.g_00810
OG0000005	Prar.g_01130	Syad.g_02639
OG0000005	Prar.g_00771	Syad.g_02596
OG0000006	Prar.g_00086	Syad.g_02130, Syad.g_00588, Syad.g_00829
OG0000007	Prar.g_01328	Syad.g_00923
OG0000007	Prar.g_01143	Syad.g_02623
OG0000009	Prar.g_00737	Syad.g_01952, Syad.g_00868
OG0000009	Prar.g_00223	Syad.g_02799
OG0000010	Prar.g_01567, Prar.g_01912	Syad.g_02354
OG0000011	Prar.g_00978	Syad.g_02006
OG0000012	Prar.g_01453	Syad.g_02176, Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008
OG0000013	Prar.g_00260	Syad.g_00729, Syad.g_00737, Syad.g_00724
OG0000014	Prar.g_00281	Syad.g_00480
OG0000015	Prar.g_01179	Syad.g_00142, Syad.g_01600, Syad.g_01601
OG0000016	Prar.g_00025	Syad.g_00176
OG0000017	Prar.g_01428	Syad.g_01084, Syad.g_01091
OG0000018	Prar.g_01282	Syad.g_02306
OG0000019	Prar.g_00078, Prar.g_01663	Syad.g_00569
OG0000020	Prar.g_01315, Prar.g_01187, Prar.g_01007, Prar.g_01155, Prar.g_01561	Syad.g_00845
OG0000021	Prar.g_00425	Syad.g_01835, Syad.g_00874
OG0000022	Prar.g_01300	Syad.g_02090
OG0000023	Prar.g_00420	Syad.g_01701, Syad.g_02337, Syad.g_01583
OG0000024	Prar.g_01634, Prar.g_01505	Syad.g_01374
OG0000025	Prar.g_00256, Prar.g_01718	Syad.g_01241
OG0000026	Prar.g_00007, Prar.g_01919	Syad.g_00198
OG0000027	Prar.g_00520	Syad.g_01257
OG0000028	Prar.g_00985, Prar.g_00267	Syad.g_00463
OG0000029	Prar.g_00436	Syad.g_02099
OG0000030	Prar.g_00662	Syad.g_00328, Syad.g_00327
OG0000031	Prar.g_00879	Syad.g_00458, Syad.g_00294
OG0000034	Prar.g_00945	Syad.g_02420, Syad.g_02872
OG0000035	Prar.g_00339	Syad.g_02275
OG0000037	Prar.g_00219	Syad.g_02805
OG0000038	Prar.g_00702	Syad.g_03038
OG0000039	Prar.g_01516	Syad.g_01249, Syad.g_01111
OG0000040	Prar.g_01283	Syad.g_00104
OG0000041	Prar.g_00602	Syad.g_02498, Syad.g_01281
OG0000042	Prar.g_00660	Syad.g_00333
OG0000044	Prar.g_01172	Syad.g_02214
OG0000045	Prar.g_01583	Syad.g_00964
OG0000047	Prar.g_00257, Prar.g_00468	Syad.g_00754
OG0000048	Prar.g_00435	Syad.g_00534
OG0000050	Prar.g_01940	Syad.g_02478
OG0000053	Prar.g_00589, Prar.g_00827	Syad.g_02302
OG0000054	Prar.g_01436	Syad.g_02209
OG0000055	Prar.g_01664	Syad.g_01255
OG0000056	Prar.g_00932	Syad.g_01997, Syad.g_01971, Syad.g_01409, Syad.g_02690, Syad.g_01425, Syad.g_00400, Syad.g_01999, Syad.g_01346, Syad.g_02228, Syad.g_02691
OG0000057	Prar.g_01528	Syad.g_01301
OG0000059	Prar.g_01090	Syad.g_00642
OG0000061	Prar.g_01263	Syad.g_01152
OG0000062	Prar.g_00769	Syad.g_02598
OG0000063	Prar.g_00004, Prar.g_00005, Prar.g_01189	Syad.g_00202
OG0000065	Prar.g_00221	Syad.g_02801, Syad.g_02574
OG0000066	Prar.g_01369	Syad.g_00992
OG0000067	Prar.g_01684	Syad.g_01889
OG0000068	Prar.g_00911	Syad.g_00891
OG0000070	Prar.g_00498	Syad.g_02424
OG0000071	Prar.g_00955	Syad.g_02405
OG0000072	Prar.g_00156	Syad.g_02905
OG0000073	Prar.g_01330	Syad.g_00926
OG0000075	Prar.g_00629	Syad.g_00416
OG0000076	Prar.g_00592, Prar.g_00653	Syad.g_00348
OG0000077	Prar.g_00250	Syad.g_02741
OG0000078	Prar.g_00088	Syad.g_00824
OG0000081	Prar.g_01361	Syad.g_00833
OG0000082	Prar.g_01414	Syad.g_01063
OG0000084	Prar.g_00343	Syad.g_02272
OG0000085	Prar.g_01150	Syad.g_02612
OG0000086	Prar.g_00240	Syad.g_02770
OG0000087	Prar.g_00189	Syad.g_02860
OG0000088	Prar.g_00161	Syad.g_02899
OG0000089	Prar.g_00416	Syad.g_00785, Syad.g_02829
OG0000090	Prar.g_01363	Syad.g_00977
OG0000091	Prar.g_01472	Syad.g_02144
OG0000092	Prar.g_00615	Syad.g_01190
OG0000093	Prar.g_01801	Syad.g_01905
OG0000094	Prar.g_01885	Syad.g_01676
OG0000095	Prar.g_01904	Syad.g_01290
OG0000097	Prar.g_01222	Syad.g_01458
OG0000098	Prar.g_00929	Syad.g_00625
OG0000099	Prar.g_00872	Syad.g_00460
OG0000100	Prar.g_00773	Syad.g_01846
OG0000101	Prar.g_01027	Syad.g_00694
OG0000102	Prar.g_00658	Syad.g_00343
OG0000103	Prar.g_00050	Syad.g_00143
OG0000104	Prar.g_00042	Syad.g_00158
OG0000105	Prar.g_00313	Syad.g_00530
OG0000106	Prar.g_00431	Syad.g_01993
OG0000107	Prar.g_00446	Syad.g_00590
OG0000108	Prar.g_00530	Syad.g_00904
OG0000109	Prar.g_00544	Syad.g_00919
OG0000110	Prar.g_01404	Syad.g_01048
OG0000111	Prar.g_01529	Syad.g_01300
OG0000112	Prar.g_01652	Syad.g_01766
OG0000113	Prar.g_01706	Syad.g_01851
OG0000114	Prar.g_01776	Syad.g_01617
OG0000115	Prar.g_01318	Syad.g_02300
OG0000116	Prar.g_01273	Syad.g_01123
OG0000117	Prar.g_01003	Syad.g_01510
OG0000118	Prar.g_00943	Syad.g_01104
OG0000119	Prar.g_00915	Syad.g_01168
OG0000120	Prar.g_00880	Syad.g_00459
OG0000121	Prar.g_00337	Syad.g_02280
OG0000122	Prar.g_00807	Syad.g_02122
OG0000123	Prar.g_01021	Syad.g_00701
OG0000124	Prar.g_00668	Syad.g_00320
OG0000125	Prar.g_00704	Syad.g_03040
OG0000126	Prar.g_00043	Syad.g_00156
OG0000128	Prar.g_00027	Syad.g_00174
OG0000129	Prar.g_00576	Syad.g_03028
OG0000130	Prar.g_00549	Syad.g_02728
OG0000131	Prar.g_00182	Syad.g_02876
OG0000132	Prar.g_00163	Syad.g_02897
OG0000133	Prar.g_00265	Syad.g_01761
OG0000134	Prar.g_00417	Syad.g_00788
OG0000135	Prar.g_00444	Syad.g_00063
OG0000136	Prar.g_00489	Syad.g_02445
OG0000137	Prar.g_00525	Syad.g_02353
OG0000138	Prar.g_00545	Syad.g_00920
OG0000139	Prar.g_01367	Syad.g_00983
OG0000140	Prar.g_01368	Syad.g_00987
OG0000141	Prar.g_01437	Syad.g_02208
OG0000142	Prar.g_01465	Syad.g_02152
OG0000143	Prar.g_01469	Syad.g_02148
OG0000144	Prar.g_01482	Syad.g_02024
OG0000145	Prar.g_01651	Syad.g_00927
OG0000146	Prar.g_01653	Syad.g_01767
OG0000147	Prar.g_01654	Syad.g_01768
OG0000148	Prar.g_01700	Syad.g_01861
OG0000149	Prar.g_01730	Syad.g_01221
OG0000150	Prar.g_01738	Syad.g_02207, Syad.g_00989
OG0000151	Prar.g_01786	Syad.g_01956
OG0000152	Prar.g_01833	Syad.g_01757
OG0000153	Prar.g_01852	Syad.g_01713
OG0000154	Prar.g_01878	Syad.g_01686
OG0000155	Prar.g_01243	Syad.g_01189
OG0000156	Prar.g_00966	Syad.g_01116
OG0000157	Prar.g_00965	Syad.g_01115
OG0000158	Prar.g_00375	Syad.g_00374
OG0000160	Prar.g_00338	Syad.g_02279
OG0000161	Prar.g_00840	Syad.g_02287
OG0000162	Prar.g_00834	Syad.g_02293
OG0000163	Prar.g_00800	Syad.g_02542
OG0000164	Prar.g_01964	Syad.g_02659
OG0000165	Prar.g_01971	Syad.g_02476
OG0000166	Prar.g_01063	Syad.g_00654
OG0000167	Prar.g_00627	Syad.g_00419
OG0000168	Prar.g_00637	Syad.g_00371
OG0000169	Prar.g_00647	Syad.g_00360
OG0000170	Prar.g_00649	Syad.g_00353
OG0000171	Prar.g_00667	Syad.g_00321
OG0000172	Prar.g_00675	Syad.g_00244
OG0000173	Prar.g_00690	Syad.g_00220
OG0000174	Prar.g_00068	Syad.g_00065
OG0000175	Prar.g_00058	Syad.g_00129
OG0000176	Prar.g_00034	Syad.g_00166
OG0000177	Prar.g_00033	Syad.g_00167
OG0000178	Prar.g_00032	Syad.g_00168
OG0000179	Prar.g_00022	Syad.g_00183
OG0000180	Prar.g_00021	Syad.g_00184
OG0000181	Prar.g_00020	Syad.g_00185
OG0000182	Prar.g_00019	Syad.g_00186
OG0000183	Prar.g_00015	Syad.g_00190
OG0000184	Prar.g_00573	Syad.g_03018
OG0000185	Prar.g_00570	Syad.g_03006
OG0000186	Prar.g_00554	Syad.g_02722
OG0000187	Prar.g_00553	Syad.g_02724
OG0000188	Prar.g_00246	Syad.g_02759
OG0000189	Prar.g_00232	Syad.g_02788
