Orthogroup	Prar	Syab
OG0000000	Prar.g_00971	Syab.g_01226
OG0000001	Prar.g_00926	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673
OG0000002	Prar.g_00918, Prar.g_01508	Syab.g_02285
OG0000004	Prar.g_01525	Syab.g_00549, Syab.g_01193
OG0000004	Prar.g_00095	Syab.g_01911, Syab.g_02377
OG0000005	Prar.g_01130	Syab.g_02289
OG0000005	Prar.g_00771	Syab.g_02806, Syab.g_02232
OG0000006	Prar.g_00086	Syab.g_01849, Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Prar.g_01328	Syab.g_02117
OG0000007	Prar.g_01143	Syab.g_02256
OG0000008	Prar.g_01185	Syab.g_01755
OG0000009	Prar.g_00737	Syab.g_00995
OG0000009	Prar.g_00223	Syab.g_02498
OG0000010	Prar.g_01567, Prar.g_01912	Syab.g_00696
OG0000011	Prar.g_00988	Syab.g_01491
OG0000012	Prar.g_01453	Syab.g_01774, Syab.g_00953
OG0000013	Prar.g_00260	Syab.g_00487, Syab.g_00497, Syab.g_00482
OG0000014	Prar.g_00281	Syab.g_00249
OG0000015	Prar.g_01179	Syab.g_02889
OG0000016	Prar.g_00025	Syab.g_00014
OG0000017	Prar.g_01428	Syab.g_01953, Syab.g_01945
OG0000018	Prar.g_01282	Syab.g_00742
OG0000019	Prar.g_00078, Prar.g_01663	Syab.g_00344
OG0000020	Prar.g_01315, Prar.g_01187, Prar.g_01007, Prar.g_01155, Prar.g_01561	Syab.g_02230
OG0000022	Prar.g_01300	Syab.g_01825
OG0000023	Prar.g_00420	Syab.g_00708, Syab.g_02058, Syab.g_01294
OG0000024	Prar.g_01634, Prar.g_01505	Syab.g_01834
OG0000025	Prar.g_00256, Prar.g_01718	Syab.g_01705
OG0000026	Prar.g_01919	Syab.g_00036
OG0000027	Prar.g_00520	Syab.g_01782
OG0000028	Prar.g_00985, Prar.g_00267	Syab.g_00234
OG0000030	Prar.g_00662	Syab.g_00096, Syab.g_00095
OG0000031	Prar.g_00879	Syab.g_00160
OG0000032	Prar.g_00886	Syab.g_00149
OG0000034	Prar.g_00945	Syab.g_00900, Syab.g_02560
OG0000035	Prar.g_00339	Syab.g_00776, Syab.g_00778
OG0000037	Prar.g_00219	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205, Syab.g_02504
OG0000038	Prar.g_00702	Syab.g_02759, Syab.g_02761
OG0000039	Prar.g_01516	Syab.g_02791
OG0000040	Prar.g_01283	Syab.g_02853
OG0000041	Prar.g_00602	Syab.g_01086, Syab.g_02804, Syab.g_02333
OG0000042	Prar.g_00660	Syab.g_01019, Syab.g_00099
OG0000044	Prar.g_01172	Syab.g_01262, Syab.g_01256, Syab.g_01097
OG0000045	Prar.g_00432	Syab.g_01787
OG0000045	Prar.g_01583	Syab.g_00871
OG0000047	Prar.g_00257, Prar.g_00468	Syab.g_00876
OG0000048	Prar.g_00435	Syab.g_00308
OG0000053	Prar.g_00589, Prar.g_00827	Syab.g_00746
OG0000054	Prar.g_01436	Syab.g_01932
OG0000055	Prar.g_01664	Syab.g_01255
OG0000056	Prar.g_00932	Syab.g_01452
OG0000057	Prar.g_01528	Syab.g_01200
OG0000059	Prar.g_01090	Syab.g_00397
OG0000061	Prar.g_01263	Syab.g_00969
OG0000062	Prar.g_00769	Syab.g_02234
OG0000063	Prar.g_00004, Prar.g_00005, Prar.g_01189	Syab.g_00040
OG0000065	Prar.g_00221	Syab.g_02500, Syab.g_01768
OG0000066	Prar.g_01369	Syab.g_01516, Syab.g_02031
OG0000067	Prar.g_01684	Syab.g_01659
OG0000068	Prar.g_00911	Syab.g_02087
OG0000070	Prar.g_00498	Syab.g_00614
OG0000071	Prar.g_00955	Syab.g_00915
OG0000072	Prar.g_00156	Syab.g_02593
OG0000073	Prar.g_01330	Syab.g_02119
OG0000075	Prar.g_00629	Syab.g_00202
OG0000076	Prar.g_00592, Prar.g_00653	Syab.g_00113
OG0000077	Prar.g_00250	Syab.g_02446
OG0000078	Prar.g_00088	Syab.g_02366
OG0000081	Prar.g_01361	Syab.g_01793
OG0000082	Prar.g_01414	Syab.g_01971
OG0000084	Prar.g_00343	Syab.g_00781
OG0000085	Prar.g_01150	Syab.g_02243
OG0000086	Prar.g_00240	Syab.g_02468
OG0000087	Prar.g_00189	Syab.g_02551
OG0000088	Prar.g_00161	Syab.g_02586
OG0000089	Prar.g_00416	Syab.g_00551
OG0000090	Prar.g_01363	Syab.g_02041
OG0000091	Prar.g_01472	Syab.g_01866
OG0000092	Prar.g_00615	Syab.g_01242, Syab.g_00690
OG0000093	Prar.g_01801	Syab.g_01582
OG0000094	Prar.g_01885	Syab.g_01306
OG0000095	Prar.g_01904	Syab.g_01210
OG0000097	Prar.g_01222	Syab.g_01051
OG0000098	Prar.g_00929	Syab.g_01553
OG0000099	Prar.g_00872	Syab.g_00230
OG0000100	Prar.g_00773	Syab.g_01694
OG0000101	Prar.g_01027	Syab.g_00446
OG0000102	Prar.g_00658	Syab.g_00104
OG0000103	Prar.g_00050	Syab.g_02895, Syab.g_01296
OG0000104	Prar.g_00042	Syab.g_02910
OG0000105	Prar.g_00313	Syab.g_00303
OG0000106	Prar.g_00431	Syab.g_01817
OG0000107	Prar.g_00446	Syab.g_00367
OG0000108	Prar.g_00530	Syab.g_02096
OG0000109	Prar.g_00544	Syab.g_02112
OG0000110	Prar.g_01404	Syab.g_01984
OG0000111	Prar.g_01529	Syab.g_01201
OG0000112	Prar.g_01652	Syab.g_01392
OG0000113	Prar.g_01706	Syab.g_01689
OG0000114	Prar.g_01776	Syab.g_02656, Syab.g_01633
OG0000115	Prar.g_01318	Syab.g_00748
OG0000116	Prar.g_01273	Syab.g_00945
OG0000117	Prar.g_01003	Syab.g_01018
OG0000118	Prar.g_00943	Syab.g_00897
OG0000120	Prar.g_00880	Syab.g_00229
OG0000121	Prar.g_00337	Syab.g_00772
OG0000122	Prar.g_00807	Syab.g_01839
OG0000123	Prar.g_01021	Syab.g_00454
OG0000124	Prar.g_00668	Syab.g_00088
OG0000125	Prar.g_00704	Syab.g_02763
OG0000126	Prar.g_00043	Syab.g_02908
OG0000128	Prar.g_00027	Syab.g_00012
OG0000129	Prar.g_00576	Syab.g_02749
OG0000130	Prar.g_00549	Syab.g_02434
OG0000131	Prar.g_00182	Syab.g_02564
OG0000132	Prar.g_00163	Syab.g_02584
OG0000133	Prar.g_00265	Syab.g_01387
OG0000134	Prar.g_00417	Syab.g_00554
OG0000135	Prar.g_00444	Syab.g_02815
OG0000136	Prar.g_00489	Syab.g_00588
OG0000137	Prar.g_00525	Syab.g_00697
OG0000138	Prar.g_00545	Syab.g_02113
OG0000139	Prar.g_01367	Syab.g_02035
OG0000140	Prar.g_01368	Syab.g_02033
OG0000141	Prar.g_01437	Syab.g_01931
OG0000142	Prar.g_01465	Syab.g_01524, Syab.g_01873
OG0000143	Prar.g_01469	Syab.g_01870
OG0000144	Prar.g_01482	Syab.g_01757
OG0000145	Prar.g_01651	Syab.g_02120
OG0000146	Prar.g_01653	Syab.g_01393
OG0000147	Prar.g_01654	Syab.g_01394
OG0000148	Prar.g_01700	Syab.g_01682, Syab.g_01683
OG0000149	Prar.g_01730	Syab.g_01720
OG0000150	Prar.g_01738	Syab.g_01930
OG0000151	Prar.g_01786	Syab.g_01612
OG0000152	Prar.g_01833	Syab.g_01383
OG0000153	Prar.g_01852	Syab.g_01343
OG0000154	Prar.g_01878	Syab.g_01317
OG0000155	Prar.g_01243	Syab.g_01009
OG0000156	Prar.g_00966	Syab.g_00933
OG0000157	Prar.g_00965	Syab.g_00932
OG0000158	Prar.g_00375	Syab.g_00161
OG0000160	Prar.g_00338	Syab.g_00774
OG0000161	Prar.g_00840	Syab.g_00766
OG0000162	Prar.g_00834	Syab.g_00755
OG0000163	Prar.g_00800	Syab.g_02173
OG0000164	Prar.g_01964	Syab.g_02307
OG0000165	Prar.g_01971	Syab.g_02316
OG0000166	Prar.g_01063	Syab.g_00407
OG0000167	Prar.g_00627	Syab.g_00205
OG0000168	Prar.g_00637	Syab.g_00136
OG0000169	Prar.g_00647	Syab.g_00125
OG0000170	Prar.g_00649	Syab.g_00118
OG0000171	Prar.g_00667	Syab.g_00089
OG0000172	Prar.g_00675	Syab.g_00080
OG0000173	Prar.g_00690	Syab.g_00061
OG0000174	Prar.g_00068	Syab.g_02819
OG0000175	Prar.g_00058	Syab.g_02876
OG0000176	Prar.g_00034	Syab.g_00004
OG0000177	Prar.g_00033	Syab.g_00005
OG0000178	Prar.g_00032	Syab.g_00006
OG0000179	Prar.g_00022	Syab.g_00022
OG0000180	Prar.g_00021	Syab.g_00023
OG0000181	Prar.g_00020	Syab.g_00024
OG0000182	Prar.g_00019	Syab.g_00025
OG0000183	Prar.g_00015	Syab.g_00029
OG0000184	Prar.g_00573	Syab.g_02738
OG0000185	Prar.g_00570	Syab.g_02715
OG0000186	Prar.g_00554	Syab.g_02430
OG0000187	Prar.g_00553	Syab.g_02431
OG0000188	Prar.g_00246	Syab.g_02454
OG0000189	Prar.g_00232	Syab.g_02487
OG0000190	Prar.g_00231	Syab.g_00190, Syab.g_00139
OG0000191	Prar.g_00211	Syab.g_02522
OG0000192	Prar.g_00207	Syab.g_02528
OG0000193	Prar.g_00181	Syab.g_02565
OG0000194	Prar.g_00178	Syab.g_02568
OG0000195	Prar.g_00176	Syab.g_02570
OG0000196	Prar.g_00166	Syab.g_02581
OG0000197	Prar.g_00165	Syab.g_02582
OG0000198	Prar.g_00164	Syab.g_02583
OG0000199	Prar.g_00157	Syab.g_02591
OG0000200	Prar.g_00143	Syab.g_02611
OG0000201	Prar.g_00135	Syab.g_02628
OG0000202	Prar.g_00134	Syab.g_02629
OG0000203	Prar.g_00133	Syab.g_02630
OG0000204	Prar.g_00132	Syab.g_02631
OG0000205	Prar.g_00125	Syab.g_02638
OG0000206	Prar.g_00120	Syab.g_02674
OG0000207	Prar.g_00118	Syab.g_02677
OG0000208	Prar.g_00117	Syab.g_02678
OG0000209	Prar.g_00108	Syab.g_02698
OG0000210	Prar.g_00107	Syab.g_02699
OG0000211	Prar.g_00094	Syab.g_02374
OG0000212	Prar.g_00087	Syab.g_02365
OG0000213	Prar.g_00330	Syab.g_00332
OG0000214	Prar.g_00320	Syab.g_00312
OG0000215	Prar.g_00295	Syab.g_00281
OG0000216	Prar.g_00293	Syab.g_00277
OG0000217	Prar.g_01154, Prar.g_00290	Syab.g_00273
OG0000218	Prar.g_00288	Syab.g_00271
OG0000219	Prar.g_00287	Syab.g_00270
OG0000220	Prar.g_00286	Syab.g_00269
OG0000221	Prar.g_00285	Syab.g_00257
OG0000222	Prar.g_00277	Syab.g_00244
OG0000223	Prar.g_00264	Syab.g_00226
OG0000224	Prar.g_00262	Syab.g_00223
OG0000225	Prar.g_00406	Syab.g_00538
OG0000226	Prar.g_00410	Syab.g_00542
OG0000227	Prar.g_00412	Syab.g_00544
OG0000228	Prar.g_00415	Syab.g_00550
OG0000229	Prar.g_00484	Syab.g_00583
OG0000230	Prar.g_00486	Syab.g_00585
OG0000231	Prar.g_00497	Syab.g_00613
OG0000232	Prar.g_00506	Syab.g_00631
OG0000233	Prar.g_00512	Syab.g_00645
OG0000234	Prar.g_00526	Syab.g_00699
OG0000235	Prar.g_00529	Syab.g_02095
OG0000236	Prar.g_00543	Syab.g_02111
OG0000237	Prar.g_01337	Syab.g_02129
OG0000238	Prar.g_01343	Syab.g_02134
OG0000239	Prar.g_01355	Syab.g_02151
OG0000240	Prar.g_01356	Syab.g_02152
OG0000241	Prar.g_01360	Syab.g_01884
OG0000242	Prar.g_01362	Syab.g_02043
OG0000243	Prar.g_01373	Syab.g_02025
OG0000244	Prar.g_01376	Syab.g_02017
OG0000245	Prar.g_01378	Syab.g_02015
OG0000246	Prar.g_01382	Syab.g_02011
OG0000247	Prar.g_01392	Syab.g_01999
OG0000248	Prar.g_01394	Syab.g_01996
OG0000249	Prar.g_01396	Syab.g_01994
OG0000250	Prar.g_01401	Syab.g_01988
OG0000251	Prar.g_01420	Syab.g_01961
OG0000252	Prar.g_01424	Syab.g_01958
OG0000253	Prar.g_01425	Syab.g_01956
OG0000254	Prar.g_01441	Syab.g_01925
OG0000255	Prar.g_01447	Syab.g_01912
OG0000256	Prar.g_01457	Syab.g_01890
OG0000257	Prar.g_01460	Syab.g_01885
OG0000258	Prar.g_01473	Syab.g_01861
OG0000259	Prar.g_01490	Syab.g_01538
OG0000260	Prar.g_01493	Syab.g_01544
OG0000261	Prar.g_01495	Syab.g_01556
OG0000262	Prar.g_01499	Syab.g_01561
OG0000263	Prar.g_01511	Syab.g_01035
OG0000264	Prar.g_01521	Syab.g_01173
OG0000265	Prar.g_01599	Syab.g_01773
OG0000266	Prar.g_01609	Syab.g_01667
OG0000267	Prar.g_01620	Syab.g_01433
OG0000268	Prar.g_01621	Syab.g_01432
OG0000269	Prar.g_01679	Syab.g_01650
OG0000270	Prar.g_01682	Syab.g_01657
OG0000271	Prar.g_01690	Syab.g_01279
OG0000272	Prar.g_01691	Syab.g_01280
OG0000273	Prar.g_01714	Syab.g_01699
OG0000274	Prar.g_01715	Syab.g_01700
OG0000275	Prar.g_01717	Syab.g_01704
OG0000276	Prar.g_01722	Syab.g_01712
OG0000277	Prar.g_01723	Syab.g_01713
OG0000278	Prar.g_01726	Syab.g_01716
OG0000279	Prar.g_01733	Syab.g_01724
OG0000280	Prar.g_01734	Syab.g_01736
OG0000281	Prar.g_01740	Syab.g_00685, Syab.g_00852, Syab.g_01077, Syab.g_01546
OG0000282	Prar.g_01778	Syab.g_01631
OG0000283	Prar.g_01810	Syab.g_01418
OG0000284	Prar.g_01815	Syab.g_01413
OG0000285	Prar.g_01820	Syab.g_01402
OG0000286	Prar.g_01832	Syab.g_01384
OG0000287	Prar.g_01849	Syab.g_01350
OG0000288	Prar.g_01877	Syab.g_01318
OG0000289	Prar.g_01888	Syab.g_01303
OG0000290	Prar.g_01901	Syab.g_01213
OG0000291	Prar.g_01903	Syab.g_01211
OG0000292	Prar.g_01953	Syab.g_02907
OG0000293	Prar.g_01272	Syab.g_00946
OG0000294	Prar.g_01271	Syab.g_00947
OG0000295	Prar.g_01251	Syab.g_01001
OG0000296	Prar.g_01249	Syab.g_01003
OG0000297	Prar.g_01241	Syab.g_01016
OG0000298	Prar.g_01240	Syab.g_01017
OG0000299	Prar.g_01223	Syab.g_01047
OG0000300	Prar.g_01220	Syab.g_01054
OG0000301	Prar.g_01219	Syab.g_01055
OG0000302	Prar.g_01217	Syab.g_01056
OG0000303	Prar.g_01210	Syab.g_01149
OG0000304	Prar.g_01206	Syab.g_01143
OG0000305	Prar.g_00919	Syab.g_01208
OG0000306	Prar.g_00916	Syab.g_01819
OG0000307	Prar.g_00902	Syab.g_02078
OG0000308	Prar.g_00901	Syab.g_02076
OG0000309	Prar.g_00897	Syab.g_02071
OG0000310	Prar.g_00354	Syab.g_00817
OG0000311	Prar.g_00352	Syab.g_00811
OG0000312	Prar.g_00349	Syab.g_00793
OG0000313	Prar.g_00335	Syab.g_00769
OG0000314	Prar.g_00820	Syab.g_00736
OG0000315	Prar.g_00810	Syab.g_00726
OG0000316	Prar.g_00790	Syab.g_02189
OG0000317	Prar.g_01145	Syab.g_02251
OG0000318	Prar.g_01142	Syab.g_02257
