Orthogroup	Species	Prbh	Orthologs
OG0000000	Prbd	Prbh.g_01903	Prbd.g_01914, Prbd.g_01568
OG0000000	Praa	Prbh.g_01903	Praa.g_01235, Praa.g_01598, Praa.g_01244
OG0000000	Praz	Prbh.g_01903	Praz.g_00894, Praz.g_00921
OG0000000	Pray	Prbh.g_01903	Pray.g_01576, Pray.g_01603
OG0000000	Prba	Prbh.g_01903	Prba.g_00243, Prba.g_00269
OG0000000	Prad	Prbh.g_01903	Prad.g_01982, Prad.g_00392
OG0000000	Prau	Prbh.g_01903	Prau.g_01665, Prau.g_01648
OG0000000	Pras	Prbh.g_01903	Pras.g_00493, Pras.g_00470
OG0000000	Prai	Prbh.g_01903	Prai.g_01612, Prai.g_01592
OG0000000	Praq	Prbh.g_01903	Praq.g_01956, Praq.g_00026
OG0000000	Prar	Prbh.g_01903	Prar.g_00713, Prar.g_00729
OG0000000	Prac	Prbh.g_01903	Prac.g_00277, Prac.g_00292
OG0000000	Prbb	Prbh.g_01903	Prbb.g_01354, Prbb.g_00432, Prbb.g_01401, Prbb.g_01120, Prbb.g_01785, Prbb.g_01121, Prbb.g_01319, Prbb.g_00431, Prbb.g_01244
OG0000000	Prbm	Prbh.g_01903	Prbm.g_01406, Prbm.g_01116, Prbm.g_00435, Prbm.g_01808, Prbm.g_01117, Prbm.g_01382, Prbm.g_01229, Prbm.g_00436, Prbm.g_01407
OG0000000	Praj	Prbh.g_01903	Praj.g_01077, Praj.g_01357, Praj.g_00418, Praj.g_01730, Praj.g_01078, Praj.g_01309, Praj.g_01272, Praj.g_01202, Praj.g_00417
OG0000000	Prbc	Prbh.g_01903	Prbc.g_00104, Prbc.g_02164, Prbc.g_00806, Prbc.g_02165
OG0000000	Praw	Prbh.g_01903	Praw.g_01780, Praw.g_00455, Praw.g_00893, Praw.g_00974
OG0000000	Prag	Prbh.g_01903	Prag.g_00721, Prag.g_01608, Prag.g_01230, Prag.g_01348
OG0000000	Prae	Prbh.g_01903	Prae.g_01580
OG0000000	Prab	Prbh.g_01903	Prab.g_01598, Prab.g_01630, Prab.g_00760
OG0000000	Pran	Prbh.g_01903	Pran.g_00601, Pran.g_00931, Pran.g_01423
OG0000000	Prbi	Prbh.g_01903	Prbi.g_01709
OG0000000	Prao	Prbh.g_01903	Prao.g_01515
OG0000000	Prax	Prbh.g_01903	Prax.g_01608, Prax.g_00496
OG0000000	Prav	Prbh.g_01903	Prav.g_01695, Prav.g_00973
OG0000000	Prbl	Prbh.g_01903	Prbl.g_00116
OG0000000	Prbj	Prbh.g_01903	Prbj.g_00164
OG0000000	Prbk	Prbh.g_01903	Prbk.g_00165
OG0000000	Praf	Prbh.g_01903	Praf.g_00813
OG0000000	Prah	Prbh.g_01903	Prah.g_01348
OG0000000	Prat	Prbh.g_01903	Prat.g_01549
OG0000000	Prbe	Prbh.g_01903	Prbe.g_01119
OG0000000	Prap	Prbh.g_01903	Prap.g_01862
OG0000000	Prbf	Prbh.g_01903	Prbf.g_00776
OG0000000	Prak	Prbh.g_01903	Prak.g_01562
OG0000000	Prbn	Prbh.g_01903	Prbn.g_01662
OG0000000	Prbg	Prbh.g_01903	Prbg.g_01567
OG0000000	Pral	Prbh.g_01903	Pral.g_00037
OG0000000	Pram	Prbh.g_01903	Pram.g_01511
OG0000000	Prah	Prbh.g_01858, Prbh.g_01902	Prah.g_01152, Prah.g_01154, Prah.g_01346
OG0000000	Praf	Prbh.g_01858, Prbh.g_01902	Praf.g_01042, Praf.g_01039, Praf.g_00815
OG0000000	Prbl	Prbh.g_01858, Prbh.g_01902	Prbl.g_00118
OG0000000	Prbk	Prbh.g_01858, Prbh.g_01902	Prbk.g_00167
