Orthogroup	Species	Prbb	Orthologs
OG0000000	Prbe	Prbb.g_01354, Prbb.g_00432, Prbb.g_01401, Prbb.g_01120, Prbb.g_01785, Prbb.g_01121, Prbb.g_01319, Prbb.g_00431, Prbb.g_01244	Prbe.g_01119
OG0000000	Prap	Prbb.g_01354, Prbb.g_00432, Prbb.g_01401, Prbb.g_01120, Prbb.g_01785, Prbb.g_01121, Prbb.g_01319, Prbb.g_00431, Prbb.g_01244	Prap.g_01862
OG0000000	Prbf	Prbb.g_01354, Prbb.g_00432, Prbb.g_01401, Prbb.g_01120, Prbb.g_01785, Prbb.g_01121, Prbb.g_01319, Prbb.g_00431, Prbb.g_01244	Prbf.g_00776
OG0000000	Prak	Prbb.g_01354, Prbb.g_00432, Prbb.g_01401, Prbb.g_01120, Prbb.g_01785, Prbb.g_01121, Prbb.g_01319, Prbb.g_00431, Prbb.g_01244	Prak.g_01562
OG0000000	Prbn	Prbb.g_01354, Prbb.g_00432, Prbb.g_01401, Prbb.g_01120, Prbb.g_01785, Prbb.g_01121, Prbb.g_01319, Prbb.g_00431, Prbb.g_01244	Prbn.g_01662
OG0000000	Prbg	Prbb.g_01354, Prbb.g_00432, Prbb.g_01401, Prbb.g_01120, Prbb.g_01785, Prbb.g_01121, Prbb.g_01319, Prbb.g_00431, Prbb.g_01244	Prbg.g_01567
OG0000000	Prbh	Prbb.g_01354, Prbb.g_00432, Prbb.g_01401, Prbb.g_01120, Prbb.g_01785, Prbb.g_01121, Prbb.g_01319, Prbb.g_00431, Prbb.g_01244	Prbh.g_01903
OG0000000	Pram	Prbb.g_01354, Prbb.g_00432, Prbb.g_01401, Prbb.g_01120, Prbb.g_01785, Prbb.g_01121, Prbb.g_01319, Prbb.g_00431, Prbb.g_01244	Pram.g_01511
OG0000000	Pral	Prbb.g_01354, Prbb.g_00432, Prbb.g_01401, Prbb.g_01120, Prbb.g_01785, Prbb.g_01121, Prbb.g_01319, Prbb.g_00431, Prbb.g_01244	Pral.g_00037
OG0000000	Prbd	Prbb.g_01354, Prbb.g_00432, Prbb.g_01401, Prbb.g_01120, Prbb.g_01785	Prbd.g_01914
OG0000000	Praa	Prbb.g_01354, Prbb.g_00432, Prbb.g_01401, Prbb.g_01120, Prbb.g_01785	Praa.g_01235
OG0000000	Praz	Prbb.g_01354, Prbb.g_00432, Prbb.g_01401, Prbb.g_01120, Prbb.g_01785	Praz.g_00894
OG0000000	Pray	Prbb.g_01354, Prbb.g_00432, Prbb.g_01401, Prbb.g_01120, Prbb.g_01785	Pray.g_01576
OG0000000	Prba	Prbb.g_01354, Prbb.g_00432, Prbb.g_01401, Prbb.g_01120, Prbb.g_01785	Prba.g_00243
OG0000000	Prad	Prbb.g_01354, Prbb.g_00432, Prbb.g_01401, Prbb.g_01120, Prbb.g_01785	Prad.g_01982
OG0000000	Prau	Prbb.g_01354, Prbb.g_00432, Prbb.g_01401, Prbb.g_01120, Prbb.g_01785	Prau.g_01665
OG0000000	Pras	Prbb.g_01354, Prbb.g_00432, Prbb.g_01401, Prbb.g_01120, Prbb.g_01785	Pras.g_00493
OG0000000	Prai	Prbb.g_01354, Prbb.g_00432, Prbb.g_01401, Prbb.g_01120, Prbb.g_01785	Prai.g_01612
OG0000000	Praq	Prbb.g_01354, Prbb.g_00432, Prbb.g_01401, Prbb.g_01120, Prbb.g_01785	Praq.g_01956
