Orthogroup	Species	Prbn	Orthologs
OG0000000	Prbd	Prbn.g_01662	Prbd.g_01914, Prbd.g_01568
OG0000000	Praa	Prbn.g_01662	Praa.g_01235, Praa.g_01598, Praa.g_01244
OG0000000	Praz	Prbn.g_01662	Praz.g_00894, Praz.g_00921
OG0000000	Pray	Prbn.g_01662	Pray.g_01576, Pray.g_01603
OG0000000	Prba	Prbn.g_01662	Prba.g_00243, Prba.g_00269
OG0000000	Prad	Prbn.g_01662	Prad.g_01982, Prad.g_00392
OG0000000	Prau	Prbn.g_01662	Prau.g_01665, Prau.g_01648
OG0000000	Pras	Prbn.g_01662	Pras.g_00493, Pras.g_00470
OG0000000	Prai	Prbn.g_01662	Prai.g_01612, Prai.g_01592
OG0000000	Praq	Prbn.g_01662	Praq.g_01956, Praq.g_00026
OG0000000	Prar	Prbn.g_01662	Prar.g_00713, Prar.g_00729
OG0000000	Prac	Prbn.g_01662	Prac.g_00277, Prac.g_00292
OG0000000	Prbb	Prbn.g_01662	Prbb.g_01354, Prbb.g_00432, Prbb.g_01401, Prbb.g_01120, Prbb.g_01785, Prbb.g_01121, Prbb.g_01319, Prbb.g_00431, Prbb.g_01244
OG0000000	Prbm	Prbn.g_01662	Prbm.g_01406, Prbm.g_01116, Prbm.g_00435, Prbm.g_01808, Prbm.g_01117, Prbm.g_01382, Prbm.g_01229, Prbm.g_00436, Prbm.g_01407
OG0000000	Praj	Prbn.g_01662	Praj.g_01077, Praj.g_01357, Praj.g_00418, Praj.g_01730, Praj.g_01078, Praj.g_01309, Praj.g_01272, Praj.g_01202, Praj.g_00417
OG0000000	Prbc	Prbn.g_01662	Prbc.g_00104, Prbc.g_02164, Prbc.g_00806, Prbc.g_02165
OG0000000	Praw	Prbn.g_01662	Praw.g_01780, Praw.g_00455, Praw.g_00893, Praw.g_00974
OG0000000	Prag	Prbn.g_01662	Prag.g_00721, Prag.g_01608, Prag.g_01230, Prag.g_01348
OG0000000	Prae	Prbn.g_01662	Prae.g_01580
OG0000000	Prab	Prbn.g_01662	Prab.g_01598, Prab.g_01630, Prab.g_00760
OG0000000	Pran	Prbn.g_01662	Pran.g_00601, Pran.g_00931, Pran.g_01423
OG0000000	Prbi	Prbn.g_01662	Prbi.g_01709
OG0000000	Prao	Prbn.g_01662	Prao.g_01515
OG0000000	Prax	Prbn.g_01662	Prax.g_01608, Prax.g_00496
OG0000000	Prav	Prbn.g_01662	Prav.g_01695, Prav.g_00973
OG0000000	Prbl	Prbn.g_01662	Prbl.g_00116
OG0000000	Prbj	Prbn.g_01662	Prbj.g_00164
OG0000000	Prbk	Prbn.g_01662	Prbk.g_00165
OG0000000	Praf	Prbn.g_01662	Praf.g_00813
OG0000000	Prah	Prbn.g_01662	Prah.g_01348
OG0000000	Prat	Prbn.g_01662	Prat.g_01549
OG0000000	Prbh	Prbn.g_01662	Prbh.g_01903
OG0000000	Pram	Prbn.g_01662	Pram.g_01511
OG0000000	Pral	Prbn.g_01662	Pral.g_00037
OG0000000	Prbe	Prbn.g_01662	Prbe.g_01119
OG0000000	Prap	Prbn.g_01662	Prap.g_01862
OG0000000	Prbf	Prbn.g_01662	Prbf.g_00776
OG0000000	Prak	Prbn.g_01662	Prak.g_01562
OG0000000	Prbg	Prbn.g_01662	Prbg.g_01567
OG0000000	Prah	Prbn.g_01678, Prbn.g_01152, Prbn.g_01663	Prah.g_01152, Prah.g_01154, Prah.g_01346
OG0000000	Praf	Prbn.g_01678, Prbn.g_01152, Prbn.g_01663	Praf.g_01042, Praf.g_01039, Praf.g_00815
OG0000000	Prbl	Prbn.g_01678, Prbn.g_01152, Prbn.g_01663	Prbl.g_00118
OG0000000	Prbk	Prbn.g_01678, Prbn.g_01152, Prbn.g_01663	Prbk.g_00167
OG0000000	Prbj	Prbn.g_01678, Prbn.g_01152, Prbn.g_01663	Prbj.g_00166
OG0000000	Praa	Prbn.g_01678, Prbn.g_01152, Prbn.g_01663	Praa.g_01597
OG0000000	Pras	Prbn.g_01678, Prbn.g_01152, Prbn.g_01663	Pras.g_00469, Pras.g_00117
OG0000000	Prao	Prbn.g_01678, Prbn.g_01152, Prbn.g_01663	Prao.g_01514, Prao.g_01029
OG0000000	Prbd	Prbn.g_01678, Prbn.g_01152, Prbn.g_01663	Prbd.g_01569, Prbd.g_00528
OG0000000	Pran	Prbn.g_01678, Prbn.g_01152, Prbn.g_01663	Pran.g_00579, Pran.g_00001, Pran.g_00602
OG0000000	Prab	Prbn.g_01678, Prbn.g_01152, Prbn.g_01663	Prab.g_00918, Prab.g_01620, Prab.g_01597, Prab.g_01278
OG0000000	Prad	Prbn.g_01678, Prbn.g_01152, Prbn.g_01663	Prad.g_01297, Prad.g_01435, Prad.g_00393
OG0000000	Prae	Prbn.g_01678, Prbn.g_01152, Prbn.g_01663	Prae.g_01222, Prae.g_01579
OG0000000	Prag	Prbn.g_01678, Prbn.g_01152, Prbn.g_01663	Prag.g_00722, Prag.g_01650, Prag.g_01607, Prag.g_01213
OG0000000	Praw	Prbn.g_01678, Prbn.g_01152, Prbn.g_01663	Praw.g_01779, Praw.g_00496, Praw.g_00294, Praw.g_00454
OG0000000	Prba	Prbn.g_01678, Prbn.g_01152, Prbn.g_01663	Prba.g_00003, Prba.g_00270
OG0000000	Prar	Prbn.g_01678, Prbn.g_01152, Prbn.g_01663	Prar.g_01204, Prar.g_00730
OG0000000	Praq	Prbn.g_01678, Prbn.g_01152, Prbn.g_01663	Praq.g_00025, Praq.g_01392
OG0000000	Prav	Prbn.g_01678, Prbn.g_01152, Prbn.g_01663	Prav.g_01821, Prav.g_01694
OG0000000	Prai	Prbn.g_01678, Prbn.g_01152, Prbn.g_01663	Prai.g_01234, Prai.g_01591, Prai.g_01775, Prai.g_00908
OG0000000	Prbi	Prbn.g_01678, Prbn.g_01152, Prbn.g_01663	Prbi.g_01268, Prbi.g_01708
OG0000000	Prax	Prbn.g_01678, Prbn.g_01152, Prbn.g_01663	Prax.g_00259, Prax.g_01609
OG0000000	Prau	Prbn.g_01678, Prbn.g_01152, Prbn.g_01663	Prau.g_01266, Prau.g_01647
OG0000000	Praz	Prbn.g_01678, Prbn.g_01152, Prbn.g_01663	Praz.g_00922, Praz.g_00694
OG0000000	Pray	Prbn.g_01678, Prbn.g_01152, Prbn.g_01663	Pray.g_00003, Pray.g_01604
OG0000000	Prac	Prbn.g_01678, Prbn.g_01152, Prbn.g_01663	Prac.g_00926, Prac.g_00293
OG0000000	Prbf	Prbn.g_01678	Prbf.g_00760
OG0000000	Prak	Prbn.g_01678	Prak.g_01578
OG0000000	Prap	Prbn.g_01678	Prap.g_01846
OG0000000	Prbg	Prbn.g_01678	Prbg.g_01583
OG0000000	Prbe	Prbn.g_01678	Prbe.g_01052
OG0000000	Pram	Prbn.g_01152, Prbn.g_01663	Pram.g_01512
OG0000000	Prbh	Prbn.g_01663	Prbh.g_01902
OG0000000	Prap	Prbn.g_01663	Prap.g_01861
OG0000000	Prbe	Prbn.g_01663	Prbe.g_01120
OG0000000	Prat	Prbn.g_01663	Prat.g_01547
OG0000000	Prak	Prbn.g_01663	Prak.g_01563
OG0000000	Pral	Prbn.g_01663	Pral.g_01333
OG0000000	Prbf	Prbn.g_01663	Prbf.g_00881
OG0000000	Prbb	Prbn.g_01663	Prbb.g_01123
OG0000000	Prbc	Prbn.g_01663	Prbc.g_00808
OG0000000	Praj	Prbn.g_01663	Praj.g_01307, Praj.g_01732
OG0000000	Prbg	Prbn.g_01663	Prbg.g_01568, Prbg.g_01523
OG0000001	Praz	Prbn.g_01483, Prbn.g_01478	Praz.g_01146
OG0000001	Praa	Prbn.g_01483, Prbn.g_01478	Praa.g_01359
OG0000001	Prao	Prbn.g_01483, Prbn.g_01478	Prao.g_01246
OG0000001	Prba	Prbn.g_01483, Prbn.g_01478	Prba.g_00203
OG0000001	Prbi	Prbn.g_01483, Prbn.g_01478	Prbi.g_01432
OG0000001	Pray	Prbn.g_01483, Prbn.g_01478	Pray.g_01836
OG0000001	Prad	Prbn.g_01483, Prbn.g_01478	Prad.g_00601
OG0000001	Prai	Prbn.g_01483, Prbn.g_01478	Prai.g_01363
OG0000001	Prae	Prbn.g_01483, Prbn.g_01478	Prae.g_01361
OG0000001	Pras	Prbn.g_01483, Prbn.g_01478	Pras.g_00243
OG0000001	Prau	Prbn.g_01483, Prbn.g_01478	Prau.g_01402
OG0000001	Prbd	Prbn.g_01483, Prbn.g_01478	Prbd.g_01771
OG0000001	Prax	Prbn.g_01483, Prbn.g_01478	Prax.g_01870
OG0000001	Praq	Prbn.g_01483, Prbn.g_01478	Praq.g_00168
OG0000001	Prac	Prbn.g_01483, Prbn.g_01478	Prac.g_00210
OG0000001	Prar	Prbn.g_01483, Prbn.g_01478	Prar.g_00918
OG0000001	Praw	Prbn.g_01483, Prbn.g_01478	Praw.g_01009
OG0000001	Prag	Prbn.g_01483, Prbn.g_01478	Prag.g_01382
OG0000001	Prav	Prbn.g_01483, Prbn.g_01478	Prav.g_01466
OG0000001	Prbk	Prbn.g_01483, Prbn.g_01478	Prbk.g_02574
OG0000001	Prbj	Prbn.g_01483, Prbn.g_01478	Prbj.g_02517
OG0000001	Prbl	Prbn.g_01483, Prbn.g_01478	Prbl.g_01582
OG0000001	Prah	Prbn.g_01483, Prbn.g_01478	Prah.g_00562
OG0000001	Praf	Prbn.g_01483, Prbn.g_01478	Praf.g_01631
