Orthogroup	Species	Prbe	Orthologs
OG0000000	Prbd	Prbe.g_01119	Prbd.g_01914, Prbd.g_01568
OG0000000	Praa	Prbe.g_01119	Praa.g_01235, Praa.g_01598, Praa.g_01244
OG0000000	Praz	Prbe.g_01119	Praz.g_00894, Praz.g_00921
OG0000000	Pray	Prbe.g_01119	Pray.g_01576, Pray.g_01603
OG0000000	Prba	Prbe.g_01119	Prba.g_00243, Prba.g_00269
OG0000000	Prad	Prbe.g_01119	Prad.g_01982, Prad.g_00392
OG0000000	Prau	Prbe.g_01119	Prau.g_01665, Prau.g_01648
OG0000000	Pras	Prbe.g_01119	Pras.g_00493, Pras.g_00470
OG0000000	Prai	Prbe.g_01119	Prai.g_01612, Prai.g_01592
OG0000000	Praq	Prbe.g_01119	Praq.g_01956, Praq.g_00026
OG0000000	Prar	Prbe.g_01119	Prar.g_00713, Prar.g_00729
OG0000000	Prac	Prbe.g_01119	Prac.g_00277, Prac.g_00292
OG0000000	Prbb	Prbe.g_01119	Prbb.g_01354, Prbb.g_00432, Prbb.g_01401, Prbb.g_01120, Prbb.g_01785, Prbb.g_01121, Prbb.g_01319, Prbb.g_00431, Prbb.g_01244
OG0000000	Prbm	Prbe.g_01119	Prbm.g_01406, Prbm.g_01116, Prbm.g_00435, Prbm.g_01808, Prbm.g_01117, Prbm.g_01382, Prbm.g_01229, Prbm.g_00436, Prbm.g_01407
OG0000000	Praj	Prbe.g_01119	Praj.g_01077, Praj.g_01357, Praj.g_00418, Praj.g_01730, Praj.g_01078, Praj.g_01309, Praj.g_01272, Praj.g_01202, Praj.g_00417
OG0000000	Prbc	Prbe.g_01119	Prbc.g_00104, Prbc.g_02164, Prbc.g_00806, Prbc.g_02165
OG0000000	Praw	Prbe.g_01119	Praw.g_01780, Praw.g_00455, Praw.g_00893, Praw.g_00974
OG0000000	Prag	Prbe.g_01119	Prag.g_00721, Prag.g_01608, Prag.g_01230, Prag.g_01348
OG0000000	Prae	Prbe.g_01119	Prae.g_01580
