Orthogroup	Species	Prac	Orthologs
OG0000000	Prbe	Prac.g_00277, Prac.g_00292	Prbe.g_01119
OG0000000	Prap	Prac.g_00277, Prac.g_00292	Prap.g_01862
OG0000000	Prbf	Prac.g_00277, Prac.g_00292	Prbf.g_00776
OG0000000	Prak	Prac.g_00277, Prac.g_00292	Prak.g_01562
OG0000000	Prbn	Prac.g_00277, Prac.g_00292	Prbn.g_01662
OG0000000	Prbg	Prac.g_00277, Prac.g_00292	Prbg.g_01567
OG0000000	Prbh	Prac.g_00277, Prac.g_00292	Prbh.g_01903
OG0000000	Pram	Prac.g_00277, Prac.g_00292	Pram.g_01511
OG0000000	Pral	Prac.g_00277, Prac.g_00292	Pral.g_00037
OG0000000	Prbb	Prac.g_00277	Prbb.g_01354, Prbb.g_00432, Prbb.g_01401, Prbb.g_01120, Prbb.g_01785
OG0000000	Prbm	Prac.g_00277	Prbm.g_01406, Prbm.g_01116, Prbm.g_00435, Prbm.g_01808
OG0000000	Praj	Prac.g_00277	Praj.g_01077, Praj.g_01357, Praj.g_00418, Praj.g_01730
OG0000000	Prbc	Prac.g_00277	Prbc.g_00104, Prbc.g_02164, Prbc.g_00806
OG0000000	Prbd	Prac.g_00277	Prbd.g_01914
OG0000000	Praa	Prac.g_00277	Praa.g_01235
OG0000000	Praz	Prac.g_00277	Praz.g_00894
OG0000000	Pray	Prac.g_00277	Pray.g_01576
OG0000000	Prba	Prac.g_00277	Prba.g_00243
OG0000000	Prad	Prac.g_00277	Prad.g_01982
OG0000000	Prau	Prac.g_00277	Prau.g_01665
OG0000000	Pras	Prac.g_00277	Pras.g_00493
OG0000000	Prai	Prac.g_00277	Prai.g_01612
OG0000000	Praq	Prac.g_00277	Praq.g_01956
OG0000000	Prar	Prac.g_00277	Prar.g_00713
OG0000000	Prbc	Prac.g_00292	Prbc.g_02165
OG0000000	Praj	Prac.g_00292	Praj.g_01078, Praj.g_01309, Praj.g_01272, Praj.g_01202, Praj.g_00417
OG0000000	Prbb	Prac.g_00292	Prbb.g_01121, Prbb.g_01319, Prbb.g_00431, Prbb.g_01244
OG0000000	Prbm	Prac.g_00292	Prbm.g_01117, Prbm.g_01382, Prbm.g_01229, Prbm.g_00436, Prbm.g_01407
OG0000000	Prbl	Prac.g_00292	Prbl.g_00116
OG0000000	Prbj	Prac.g_00292	Prbj.g_00164
OG0000000	Prbk	Prac.g_00292	Prbk.g_00165
OG0000000	Praf	Prac.g_00292	Praf.g_00813
OG0000000	Prah	Prac.g_00292	Prah.g_01348
OG0000000	Prat	Prac.g_00292	Prat.g_01549
OG0000000	Prbd	Prac.g_00292	Prbd.g_01568
OG0000000	Prae	Prac.g_00292	Prae.g_01580
OG0000000	Prab	Prac.g_00292	Prab.g_01598
OG0000000	Pran	Prac.g_00292	Pran.g_00601
OG0000000	Prad	Prac.g_00292	Prad.g_00392
OG0000000	Prau	Prac.g_00292	Prau.g_01648
OG0000000	Pras	Prac.g_00292	Pras.g_00470
OG0000000	Pray	Prac.g_00292	Pray.g_01603
OG0000000	Prba	Prac.g_00292	Prba.g_00269
OG0000000	Praz	Prac.g_00292	Praz.g_00921
OG0000000	Prbi	Prac.g_00292	Prbi.g_01709
OG0000000	Prao	Prac.g_00292	Prao.g_01515
OG0000000	Prav	Prac.g_00292	Prav.g_01695
OG0000000	Praw	Prac.g_00292	Praw.g_00455
OG0000000	Prag	Prac.g_00292	Prag.g_01608
OG0000000	Praa	Prac.g_00292	Praa.g_01598
OG0000000	Prai	Prac.g_00292	Prai.g_01592
OG0000000	Prax	Prac.g_00292	Prax.g_01608
OG0000000	Praq	Prac.g_00292	Praq.g_00026
OG0000000	Prar	Prac.g_00292	Prar.g_00729
OG0000000	Prah	Prac.g_00926, Prac.g_00293	Prah.g_01152, Prah.g_01154, Prah.g_01346
OG0000000	Praf	Prac.g_00926, Prac.g_00293	Praf.g_01042, Praf.g_01039, Praf.g_00815
OG0000000	Prbl	Prac.g_00926, Prac.g_00293	Prbl.g_00118
OG0000000	Prbk	Prac.g_00926, Prac.g_00293	Prbk.g_00167
OG0000000	Prbj	Prac.g_00926, Prac.g_00293	Prbj.g_00166
