Orthogroup	Species	Prak	Orthologs
OG0000000	Prbd	Prak.g_01562	Prbd.g_01914, Prbd.g_01568
OG0000000	Praa	Prak.g_01562	Praa.g_01235, Praa.g_01598, Praa.g_01244
OG0000000	Praz	Prak.g_01562	Praz.g_00894, Praz.g_00921
OG0000000	Pray	Prak.g_01562	Pray.g_01576, Pray.g_01603
OG0000000	Prba	Prak.g_01562	Prba.g_00243, Prba.g_00269
OG0000000	Prad	Prak.g_01562	Prad.g_01982, Prad.g_00392
OG0000000	Prau	Prak.g_01562	Prau.g_01665, Prau.g_01648
OG0000000	Pras	Prak.g_01562	Pras.g_00493, Pras.g_00470
OG0000000	Prai	Prak.g_01562	Prai.g_01612, Prai.g_01592
OG0000000	Praq	Prak.g_01562	Praq.g_01956, Praq.g_00026
OG0000000	Prar	Prak.g_01562	Prar.g_00713, Prar.g_00729
OG0000000	Prac	Prak.g_01562	Prac.g_00277, Prac.g_00292
OG0000000	Prbb	Prak.g_01562	Prbb.g_01354, Prbb.g_00432, Prbb.g_01401, Prbb.g_01120, Prbb.g_01785, Prbb.g_01121, Prbb.g_01319, Prbb.g_00431, Prbb.g_01244
OG0000000	Prbm	Prak.g_01562	Prbm.g_01406, Prbm.g_01116, Prbm.g_00435, Prbm.g_01808, Prbm.g_01117, Prbm.g_01382, Prbm.g_01229, Prbm.g_00436, Prbm.g_01407
OG0000000	Praj	Prak.g_01562	Praj.g_01077, Praj.g_01357, Praj.g_00418, Praj.g_01730, Praj.g_01078, Praj.g_01309, Praj.g_01272, Praj.g_01202, Praj.g_00417
OG0000000	Prbc	Prak.g_01562	Prbc.g_00104, Prbc.g_02164, Prbc.g_00806, Prbc.g_02165
OG0000000	Praw	Prak.g_01562	Praw.g_01780, Praw.g_00455, Praw.g_00893, Praw.g_00974
OG0000000	Prag	Prak.g_01562	Prag.g_00721, Prag.g_01608, Prag.g_01230, Prag.g_01348
OG0000000	Prae	Prak.g_01562	Prae.g_01580
OG0000000	Prab	Prak.g_01562	Prab.g_01598, Prab.g_01630, Prab.g_00760
OG0000000	Pran	Prak.g_01562	Pran.g_00601, Pran.g_00931, Pran.g_01423
OG0000000	Prbi	Prak.g_01562	Prbi.g_01709
OG0000000	Prao	Prak.g_01562	Prao.g_01515
OG0000000	Prax	Prak.g_01562	Prax.g_01608, Prax.g_00496
OG0000000	Prav	Prak.g_01562	Prav.g_01695, Prav.g_00973
OG0000000	Prbl	Prak.g_01562	Prbl.g_00116
OG0000000	Prbj	Prak.g_01562	Prbj.g_00164
OG0000000	Prbk	Prak.g_01562	Prbk.g_00165
OG0000000	Praf	Prak.g_01562	Praf.g_00813
OG0000000	Prah	Prak.g_01562	Prah.g_01348
OG0000000	Prat	Prak.g_01562	Prat.g_01549
OG0000000	Prbh	Prak.g_01562	Prbh.g_01903
OG0000000	Pram	Prak.g_01562	Pram.g_01511
OG0000000	Pral	Prak.g_01562	Pral.g_00037
OG0000000	Prbe	Prak.g_01562	Prbe.g_01119
OG0000000	Prap	Prak.g_01562	Prap.g_01862
OG0000000	Prbf	Prak.g_01562	Prbf.g_00776
OG0000000	Prbn	Prak.g_01562	Prbn.g_01662
OG0000000	Prbg	Prak.g_01562	Prbg.g_01567
OG0000000	Prah	Prak.g_01578, Prak.g_01563, Prak.g_01209	Prah.g_01152, Prah.g_01154, Prah.g_01346
OG0000000	Praf	Prak.g_01578, Prak.g_01563, Prak.g_01209	Praf.g_01042, Praf.g_01039, Praf.g_00815
OG0000000	Prbl	Prak.g_01578, Prak.g_01563, Prak.g_01209	Prbl.g_00118
OG0000000	Prbk	Prak.g_01578, Prak.g_01563, Prak.g_01209	Prbk.g_00167
OG0000000	Prbj	Prak.g_01578, Prak.g_01563, Prak.g_01209	Prbj.g_00166
OG0000000	Praa	Prak.g_01578, Prak.g_01563, Prak.g_01209	Praa.g_01597
OG0000000	Pras	Prak.g_01578, Prak.g_01563, Prak.g_01209	Pras.g_00469, Pras.g_00117
OG0000000	Prao	Prak.g_01578, Prak.g_01563, Prak.g_01209	Prao.g_01514, Prao.g_01029
OG0000000	Prbd	Prak.g_01578, Prak.g_01563, Prak.g_01209	Prbd.g_01569, Prbd.g_00528
OG0000000	Pran	Prak.g_01578, Prak.g_01563, Prak.g_01209	Pran.g_00579, Pran.g_00001, Pran.g_00602
OG0000000	Prab	Prak.g_01578, Prak.g_01563, Prak.g_01209	Prab.g_00918, Prab.g_01620, Prab.g_01597, Prab.g_01278
OG0000000	Prad	Prak.g_01578, Prak.g_01563, Prak.g_01209	Prad.g_01297, Prad.g_01435, Prad.g_00393
OG0000000	Prae	Prak.g_01578, Prak.g_01563, Prak.g_01209	Prae.g_01222, Prae.g_01579
OG0000000	Prag	Prak.g_01578, Prak.g_01563, Prak.g_01209	Prag.g_00722, Prag.g_01650, Prag.g_01607, Prag.g_01213
OG0000000	Praw	Prak.g_01578, Prak.g_01563, Prak.g_01209	Praw.g_01779, Praw.g_00496, Praw.g_00294, Praw.g_00454
OG0000000	Prba	Prak.g_01578, Prak.g_01563, Prak.g_01209	Prba.g_00003, Prba.g_00270
OG0000000	Prar	Prak.g_01578, Prak.g_01563, Prak.g_01209	Prar.g_01204, Prar.g_00730
OG0000000	Praq	Prak.g_01578, Prak.g_01563, Prak.g_01209	Praq.g_00025, Praq.g_01392
OG0000000	Prav	Prak.g_01578, Prak.g_01563, Prak.g_01209	Prav.g_01821, Prav.g_01694
OG0000000	Prai	Prak.g_01578, Prak.g_01563, Prak.g_01209	Prai.g_01234, Prai.g_01591, Prai.g_01775, Prai.g_00908
OG0000000	Prbi	Prak.g_01578, Prak.g_01563, Prak.g_01209	Prbi.g_01268, Prbi.g_01708
OG0000000	Prax	Prak.g_01578, Prak.g_01563, Prak.g_01209	Prax.g_00259, Prax.g_01609
OG0000000	Prau	Prak.g_01578, Prak.g_01563, Prak.g_01209	Prau.g_01266, Prau.g_01647
OG0000000	Praz	Prak.g_01578, Prak.g_01563, Prak.g_01209	Praz.g_00922, Praz.g_00694
OG0000000	Pray	Prak.g_01578, Prak.g_01563, Prak.g_01209	Pray.g_00003, Pray.g_01604
OG0000000	Prac	Prak.g_01578, Prak.g_01563, Prak.g_01209	Prac.g_00926, Prac.g_00293
OG0000000	Prbf	Prak.g_01578	Prbf.g_00760
OG0000000	Prap	Prak.g_01578	Prap.g_01846
OG0000000	Prbg	Prak.g_01578	Prbg.g_01583
OG0000000	Prbe	Prak.g_01578	Prbe.g_01052
OG0000000	Prbn	Prak.g_01578	Prbn.g_01678
OG0000000	Pram	Prak.g_01563, Prak.g_01209	Pram.g_01512
OG0000000	Prbh	Prak.g_01563	Prbh.g_01902
OG0000000	Prap	Prak.g_01563	Prap.g_01861
OG0000000	Prbn	Prak.g_01563	Prbn.g_01663
OG0000000	Prbf	Prak.g_01563	Prbf.g_00881
OG0000000	Prbb	Prak.g_01563	Prbb.g_01123
OG0000000	Prbc	Prak.g_01563	Prbc.g_00808
OG0000000	Praj	Prak.g_01563	Praj.g_01307, Praj.g_01732
OG0000000	Prbg	Prak.g_01563	Prbg.g_01568, Prbg.g_01523
OG0000000	Pral	Prak.g_01563	Pral.g_01333
OG0000000	Prbe	Prak.g_01563	Prbe.g_01120
OG0000000	Prat	Prak.g_01563	Prat.g_01547
OG0000000	Prbc	Prak.g_01209	Prbc.g_00618
OG0000000	Prap	Prak.g_01209	Prap.g_00493
OG0000000	Prbb	Prak.g_01209	Prbb.g_01787
OG0000000	Prbm	Prak.g_01209	Prbm.g_01810, Prbm.g_01404
OG0000000	Prbe	Prak.g_01209	Prbe.g_01586
OG0000001	Praz	Prak.g_00908, Prak.g_00913	Praz.g_01146
OG0000001	Praa	Prak.g_00908, Prak.g_00913	Praa.g_01359
OG0000001	Prao	Prak.g_00908, Prak.g_00913	Prao.g_01246
OG0000001	Prba	Prak.g_00908, Prak.g_00913	Prba.g_00203
OG0000001	Prbi	Prak.g_00908, Prak.g_00913	Prbi.g_01432
OG0000001	Pray	Prak.g_00908, Prak.g_00913	Pray.g_01836
OG0000001	Prad	Prak.g_00908, Prak.g_00913	Prad.g_00601
OG0000001	Prai	Prak.g_00908, Prak.g_00913	Prai.g_01363
OG0000001	Prae	Prak.g_00908, Prak.g_00913	Prae.g_01361
OG0000001	Pras	Prak.g_00908, Prak.g_00913	Pras.g_00243
OG0000001	Prau	Prak.g_00908, Prak.g_00913	Prau.g_01402
OG0000001	Prbd	Prak.g_00908, Prak.g_00913	Prbd.g_01771
OG0000001	Prax	Prak.g_00908, Prak.g_00913	Prax.g_01870
OG0000001	Praq	Prak.g_00908, Prak.g_00913	Praq.g_00168
OG0000001	Prac	Prak.g_00908, Prak.g_00913	Prac.g_00210
OG0000001	Prar	Prak.g_00908, Prak.g_00913	Prar.g_00918
OG0000001	Praw	Prak.g_00908, Prak.g_00913	Praw.g_01009
OG0000001	Prag	Prak.g_00908, Prak.g_00913	Prag.g_01382
