Orthogroup	Pray	Syae
OG0000001	Pray.g_01844, Pray.g_00247, Pray.g_00246	Syae.g_02061
OG0000004	Pray.g_01068	Syae.g_00779
OG0000004	Pray.g_00713	Syae.g_00042, Syae.g_02231
OG0000005	Pray.g_01546	Syae.g_01179
OG0000005	Pray.g_01646	Syae.g_01143
OG0000006	Pray.g_00722	Syae.g_02030, Syae.g_02248
OG0000007	Pray.g_00988, Pray.g_00987	Syae.g_02328
OG0000007	Pray.g_01559	Syae.g_01163
OG0000008	Pray.g_01931	Syae.g_00753
OG0000009	Pray.g_01920, Pray.g_01610	Syae.g_00561, Syae.g_00171
OG0000009	Pray.g_00184	Syae.g_00100, Syae.g_01361
OG0000010	Pray.g_00592, Pray.g_00964	Syae.g_02529
OG0000011	Pray.g_00884, Pray.g_01897	Syae.g_00268
OG0000012	Pray.g_01140	Syae.g_02397, Syae.g_02562, Syae.g_00049
OG0000013	Pray.g_00805	Syae.g_02169, Syae.g_02155, Syae.g_02160
OG0000014	Pray.g_00784	Syae.g_01930
OG0000014	Pray.g_01792	Syae.g_01850
OG0000015	Pray.g_00309	Syae.g_00590
OG0000016	Pray.g_01475	Syae.g_01726
OG0000017	Pray.g_01165	Syae.g_02462
OG0000018	Pray.g_00083, Pray.g_00375	Syae.g_02625
OG0000019	Pray.g_00730, Pray.g_00328	Syae.g_02015
OG0000021	Pray.g_01578, Pray.g_00842	Syae.g_01261
OG0000022	Pray.g_00304, Pray.g_00101	Syae.g_00144
OG0000023	Pray.g_00838	Syae.g_00439, Syae.g_00930
OG0000025	Pray.g_00383, Pray.g_00809	Syae.g_00833
OG0000026	Pray.g_01493, Pray.g_00599	Syae.g_01748
OG0000027	Pray.g_00960, Pray.g_01887	Syae.g_00103, Syae.g_00814
OG0000028	Pray.g_00798, Pray.g_01935	Syae.g_01916
OG0000029	Pray.g_00853, Pray.g_00296	Syae.g_00136
OG0000030	Pray.g_01374	Syae.g_01817, Syae.g_01816
OG0000033	Pray.g_00650	Syae.g_01453
OG0000034	Pray.g_01860	Syae.g_00975, Syae.g_01424
OG0000035	Pray.g_01722	Syae.g_02653
OG0000037	Pray.g_00180	Syae.g_01367
OG0000038	Pray.g_01415	Syae.g_01571
OG0000039	Pray.g_01077	Syae.g_00822, Syae.g_02495
OG0000042	Pray.g_01371	Syae.g_01821
OG0000043	Pray.g_00420, Pray.g_01924	Syae.g_00117
OG0000044	Pray.g_00002	Syae.g_01067
OG0000047	Pray.g_00897, Pray.g_00808	Syae.g_02184
OG0000048	Pray.g_00852	Syae.g_01982
OG0000050	Pray.g_00883	Syae.g_00122
OG0000051	Pray.g_01894	Syae.g_00438
OG0000052	Pray.g_01793	Syae.g_01886
OG0000053	Pray.g_01702	Syae.g_02629
OG0000054	Pray.g_01157	Syae.g_00014
OG0000055	Pray.g_00329	Syae.g_00817
OG0000057	Pray.g_01065	Syae.g_00782
OG0000058	Pray.g_01786	Syae.g_01905
OG0000059	Pray.g_01258, Pray.g_01761	Syae.g_02074
OG0000061	Pray.g_00064	Syae.g_00921
OG0000063	Pray.g_01495	Syae.g_01752
OG0000065	Pray.g_00182	Syae.g_00722, Syae.g_01363
OG0000066	Pray.g_01222	Syae.g_02386
OG0000067	Pray.g_00348	Syae.g_00521
OG0000068	Pray.g_01829	Syae.g_02299
OG0000069	Pray.g_01609	Syae.g_00458
OG0000070	Pray.g_00940	Syae.g_00979
OG0000071	Pray.g_01870	Syae.g_00961
OG0000072	Pray.g_00652	Syae.g_01455
OG0000073	Pray.g_00990	Syae.g_02330
OG0000075	Pray.g_01339	Syae.g_01871
OG0000076	Pray.g_01364	Syae.g_01829
OG0000077	Pray.g_00211	Syae.g_01297
OG0000078	Pray.g_00720	Syae.g_02243
OG0000079	Pray.g_00733	Syae.g_02011
OG0000081	Pray.g_01022	Syae.g_02261
OG0000082	Pray.g_01177	Syae.g_02447
OG0000084	Pray.g_01726	Syae.g_02656
OG0000085	Pray.g_01566	Syae.g_01152
OG0000086	Pray.g_00201	Syae.g_01333
OG0000087	Pray.g_00150	Syae.g_01414
OG0000088	Pray.g_00647	Syae.g_01449
OG0000089	Pray.g_00834	Syae.g_02219
OG0000090	Pray.g_01024, Pray.g_01228	Syae.g_02374
OG0000091	Pray.g_01121	Syae.g_00082
OG0000092	Pray.g_00457, Pray.g_01325	Syae.g_00884
OG0000094	Pray.g_00565	Syae.g_00430
OG0000095	Pray.g_00584	Syae.g_01624
OG0000097	Pray.g_00022	Syae.g_00683
OG0000098	Pray.g_01847	Syae.g_02058
OG0000099	Pray.g_01788	Syae.g_01913, Syae.g_01226
OG0000100	Pray.g_01648	Syae.g_00489
OG0000101	Pray.g_01306	Syae.g_02125
OG0000102	Pray.g_01369	Syae.g_01824
OG0000103	Pray.g_01449	Syae.g_01694
OG0000104	Pray.g_01457	Syae.g_01708
OG0000105	Pray.g_00753	Syae.g_01977
OG0000106	Pray.g_00848	Syae.g_00272
OG0000107	Pray.g_00864	Syae.g_02032
OG0000108	Pray.g_00970	Syae.g_02309
OG0000109	Pray.g_00984	Syae.g_02324
OG0000110	Pray.g_01187	Syae.g_02435
OG0000111	Pray.g_01064	Syae.g_00783
OG0000112	Pray.g_00313	Syae.g_00351
OG0000113	Pray.g_00370	Syae.g_00494
OG0000114	Pray.g_00452	Syae.g_00575
OG0000115	Pray.g_00126	Syae.g_02631
OG0000116	Pray.g_00074	Syae.g_00939
OG0000117	Pray.g_01927	Syae.g_00647
OG0000118	Pray.g_01858	Syae.g_02479
OG0000119	Pray.g_01833	Syae.g_00904
OG0000120	Pray.g_01808	Syae.g_01912
OG0000121	Pray.g_01720	Syae.g_02649
OG0000122	Pray.g_01682	Syae.g_00112
OG0000123	Pray.g_01313	Syae.g_02131
OG0000124	Pray.g_01380	Syae.g_01809
OG0000125	Pray.g_01417	Syae.g_01573
OG0000126	Pray.g_01456	Syae.g_01706
OG0000128	Pray.g_01473	Syae.g_01724
OG0000129	Pray.g_00239	Syae.g_01562
OG0000130	Pray.g_00220	Syae.g_01284
OG0000131	Pray.g_00144	Syae.g_01428
OG0000132	Pray.g_00645	Syae.g_01447
OG0000133	Pray.g_00800	Syae.g_00356
OG0000134	Pray.g_00835	Syae.g_02222
OG0000135	Pray.g_00861	Syae.g_01608
OG0000136	Pray.g_00931	Syae.g_00989
OG0000137	Pray.g_00965	Syae.g_02530
OG0000138	Pray.g_00985	Syae.g_02325
OG0000139	Pray.g_01224	Syae.g_02380
OG0000140	Pray.g_01223	Syae.g_02383
OG0000141	Pray.g_01156	Syae.g_00016
OG0000142	Pray.g_01128	Syae.g_00074
OG0000143	Pray.g_01124	Syae.g_00078
OG0000144	Pray.g_01111	Syae.g_00261
OG0000145	Pray.g_00306	Syae.g_02331
OG0000146	Pray.g_00314	Syae.g_00350
OG0000147	Pray.g_00315	Syae.g_00349
OG0000148	Pray.g_00364	Syae.g_00500
OG0000149	Pray.g_00395	Syae.g_00847
OG0000150	Pray.g_00403	Syae.g_00017
OG0000151	Pray.g_00462	Syae.g_00563
OG0000152	Pray.g_00511	Syae.g_00360
