Orthogroup	Pray	Syad
OG0000001	Pray.g_01844, Pray.g_00247, Pray.g_00246	Syad.g_00628
OG0000002	Pray.g_01836, Pray.g_01085	Syad.g_00619
OG0000004	Pray.g_01068	Syad.g_01304
OG0000004	Pray.g_00713	Syad.g_02184, Syad.g_00810
OG0000005	Pray.g_01546	Syad.g_02639
OG0000005	Pray.g_01646	Syad.g_02596
OG0000006	Pray.g_00722	Syad.g_00588, Syad.g_00829
OG0000007	Pray.g_00988, Pray.g_00987	Syad.g_00923
OG0000007	Pray.g_01559	Syad.g_02623
OG0000009	Pray.g_01920, Pray.g_01610	Syad.g_01952, Syad.g_00868
OG0000009	Pray.g_00184	Syad.g_02799
OG0000010	Pray.g_00592, Pray.g_00964	Syad.g_02354
OG0000011	Pray.g_00884, Pray.g_01897	Syad.g_02006
OG0000012	Pray.g_01140	Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008, Syad.g_02176
OG0000013	Pray.g_00805	Syad.g_00737, Syad.g_00724, Syad.g_00729
OG0000014	Pray.g_00784	Syad.g_00480
OG0000015	Pray.g_00309	Syad.g_01600, Syad.g_01601
OG0000016	Pray.g_01475	Syad.g_00176
OG0000017	Pray.g_01165	Syad.g_01084
OG0000018	Pray.g_00083, Pray.g_00375	Syad.g_02306
OG0000019	Pray.g_00730, Pray.g_00328	Syad.g_00569
OG0000020	Pray.g_00120	Syad.g_00845
OG0000022	Pray.g_00304, Pray.g_00101	Syad.g_02090
OG0000023	Pray.g_00838	Syad.g_01701, Syad.g_02337, Syad.g_01583
OG0000024	Pray.g_00289, Pray.g_01088	Syad.g_01374
OG0000025	Pray.g_00383, Pray.g_00809	Syad.g_01241
OG0000026	Pray.g_01493, Pray.g_00599	Syad.g_00198
OG0000027	Pray.g_00960, Pray.g_01887	Syad.g_01257
OG0000028	Pray.g_00798, Pray.g_01935	Syad.g_00463
OG0000029	Pray.g_00853, Pray.g_00296	Syad.g_02099
OG0000030	Pray.g_01374	Syad.g_00328, Syad.g_00327
OG0000031	Pray.g_01806	Syad.g_00294
OG0000033	Pray.g_00650	Syad.g_02903
OG0000034	Pray.g_01860	Syad.g_02420, Syad.g_02872
OG0000035	Pray.g_01722	Syad.g_02275
OG0000037	Pray.g_00180	Syad.g_02805
OG0000038	Pray.g_01415	Syad.g_03038
OG0000039	Pray.g_01077	Syad.g_01249, Syad.g_01111
OG0000042	Pray.g_01371	Syad.g_00333
