Orthogroup	Pray	Syaq
OG0000004	Pray.g_01068	Syaq.g_02603
OG0000004	Pray.g_00713	Syaq.g_02042, Syaq.g_01567
OG0000005	Pray.g_01546	Syaq.g_01658
OG0000005	Pray.g_01646	Syaq.g_01692
OG0000006	Pray.g_00722	Syaq.g_02558, Syaq.g_00696, Syaq.g_01590
OG0000007	Pray.g_00988, Pray.g_00987	Syaq.g_01793
OG0000007	Pray.g_01559	Syaq.g_01673
OG0000008	Pray.g_01931	Syaq.g_02162
OG0000009	Pray.g_00184	Syaq.g_01489
OG0000010	Pray.g_00592, Pray.g_00964	Syaq.g_00443
OG0000011	Pray.g_00884, Pray.g_01897, Pray.g_01930	Syaq.g_01038
OG0000012	Pray.g_01140	Syaq.g_02059
OG0000013	Pray.g_00805	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Pray.g_00784	Syaq.g_00862
OG0000015	Pray.g_00309	Syaq.g_02255
OG0000016	Pray.g_01475	Syaq.g_01136
OG0000017	Pray.g_01165	Syaq.g_01992
OG0000018	Pray.g_00083, Pray.g_00375	Syaq.g_00401
OG0000019	Pray.g_00730, Pray.g_00328	Syaq.g_00717
OG0000022	Pray.g_00304, Pray.g_00101	Syaq.g_02126
OG0000023	Pray.g_00838	Syaq.g_02540
OG0000025	Pray.g_00383, Pray.g_00809	Syaq.g_02381
OG0000026	Pray.g_01493, Pray.g_00599	Syaq.g_01114
OG0000028	Pray.g_00798, Pray.g_01935	Syaq.g_00878
OG0000030	Pray.g_01374	Syaq.g_01047, Syaq.g_01048
OG0000031	Pray.g_01806	Syaq.g_01009
OG0000032	Pray.g_01782	Syaq.g_00909
OG0000033	Pray.g_00650	Syaq.g_01399
OG0000034	Pray.g_01860	Syaq.g_00312, Syaq.g_01431
OG0000035	Pray.g_01722	Syaq.g_00372
OG0000037	Pray.g_00180	Syaq.g_01483
OG0000038	Pray.g_01415	Syaq.g_01260, Syaq.g_01258
OG0000039	Pray.g_01077	Syaq.g_01601, Syaq.g_01241
OG0000042	Pray.g_01371	Syaq.g_00200, Syaq.g_01044
OG0000043	Pray.g_01924	Syaq.g_01920
OG0000045	Pray.g_00849	Syaq.g_02047
OG0000048	Pray.g_00852	Syaq.g_00749
OG0000052	Pray.g_01793	Syaq.g_00969
OG0000053	Pray.g_01702	Syaq.g_00397
OG0000054	Pray.g_01157	Syaq.g_02005
OG0000055	Pray.g_00329	Syaq.g_02700
OG0000057	Pray.g_01065	Syaq.g_02605
OG0000058	Pray.g_01786	Syaq.g_00944
OG0000059	Pray.g_01258, Pray.g_01761	Syaq.g_00657
OG0000061	Pray.g_00064	Syaq.g_00249
OG0000063	Pray.g_01495	Syaq.g_01110
OG0000065	Pray.g_00182	Syaq.g_01908, Syaq.g_01487
OG0000066	Pray.g_01222	Syaq.g_01851
OG0000067	Pray.g_00348	Syaq.g_02340
OG0000068	Pray.g_01829	Syaq.g_01763
OG0000070	Pray.g_00940	Syaq.g_00484
OG0000071	Pray.g_01870	Syaq.g_00297
OG0000072	Pray.g_00652	Syaq.g_01397
OG0000073	Pray.g_00990	Syaq.g_01795
OG0000075	Pray.g_01339	Syaq.g_00986
OG0000076	Pray.g_01364	Syaq.g_01028
OG0000077	Pray.g_00211	Syaq.g_01547
OG0000078	Pray.g_00720	Syaq.g_01585
OG0000079	Pray.g_00733	Syaq.g_00721
OG0000081	Pray.g_01022	Syaq.g_01893
OG0000082	Pray.g_01177	Syaq.g_01975
OG0000084	Pray.g_01726	Syaq.g_00367
OG0000085	Pray.g_01566	Syaq.g_01683
OG0000086	Pray.g_00201	Syaq.g_01525
OG0000087	Pray.g_00150	Syaq.g_01438
OG0000088	Pray.g_00647	Syaq.g_01402
OG0000089	Pray.g_00834	Syaq.g_00529
OG0000090	Pray.g_01024, Pray.g_01228	Syaq.g_01838
OG0000091	Pray.g_01121	Syaq.g_02090
OG0000094	Pray.g_00565	Syaq.g_00056, Syaq.g_02554
OG0000097	Pray.g_00022	Syaq.g_00167
OG0000098	Pray.g_01847	Syaq.g_02221
OG0000099	Pray.g_01788	Syaq.g_00882
OG0000100	Pray.g_01648	Syaq.g_02371
OG0000101	Pray.g_01306	Syaq.g_00607
OG0000102	Pray.g_01369	Syaq.g_01033
OG0000103	Pray.g_01449	Syaq.g_01170
OG0000104	Pray.g_01457	Syaq.g_01154
OG0000105	Pray.g_00753	Syaq.g_00754
OG0000106	Pray.g_00848	Syaq.g_01863
OG0000108	Pray.g_00970	Syaq.g_01772
OG0000109	Pray.g_00984	Syaq.g_01788
OG0000110	Pray.g_01187	Syaq.g_01962
OG0000111	Pray.g_01064	Syaq.g_02606
OG0000112	Pray.g_00313	Syaq.g_02476
OG0000114	Pray.g_00452	Syaq.g_02269
OG0000115	Pray.g_00126	Syaq.g_00395
OG0000116	Pray.g_00074	Syaq.g_00263
OG0000117	Pray.g_01927	Syaq.g_00203
OG0000118	Pray.g_01858	Syaq.g_00325, Syaq.g_00316
OG0000120	Pray.g_01808	Syaq.g_00883
OG0000121	Pray.g_01720	Syaq.g_00375
OG0000122	Pray.g_01682	Syaq.g_02118
OG0000123	Pray.g_01313	Syaq.g_00599
OG0000124	Pray.g_01380	Syaq.g_01055
OG0000125	Pray.g_01417	Syaq.g_01256
OG0000126	Pray.g_01456	Syaq.g_01156
OG0000128	Pray.g_01473	Syaq.g_01138
OG0000129	Pray.g_00239	Syaq.g_01269
OG0000130	Pray.g_00220	Syaq.g_01559
OG0000131	Pray.g_00144	Syaq.g_01427, Syaq.g_01424
OG0000132	Pray.g_00645	Syaq.g_01404
OG0000133	Pray.g_00800	Syaq.g_02481
OG0000134	Pray.g_00835	Syaq.g_00526
OG0000135	Pray.g_00861	Syaq.g_01227
OG0000136	Pray.g_00931	Syaq.g_00496
OG0000137	Pray.g_00965	Syaq.g_00442
OG0000138	Pray.g_00985	Syaq.g_01789
OG0000139	Pray.g_01224	Syaq.g_01844
OG0000140	Pray.g_01223	Syaq.g_01848
OG0000141	Pray.g_01156	Syaq.g_02010
OG0000142	Pray.g_01128	Syaq.g_02082
OG0000143	Pray.g_01124	Syaq.g_02086
OG0000144	Pray.g_01111	Syaq.g_02152
OG0000145	Pray.g_00306	Syaq.g_01796
OG0000146	Pray.g_00314	Syaq.g_02475
OG0000147	Pray.g_00315	Syaq.g_02474
OG0000148	Pray.g_00364	Syaq.g_02359
OG0000149	Pray.g_00395	Syaq.g_02395
OG0000150	Pray.g_00403	Syaq.g_02011
OG0000151	Pray.g_00462	Syaq.g_02283
OG0000152	Pray.g_00511	Syaq.g_02485
OG0000153	Pray.g_00530	Syaq.g_02518
OG0000154	Pray.g_00558	Syaq.g_00066
OG0000155	Pray.g_00043	Syaq.g_00212
OG0000156	Pray.g_01881	Syaq.g_00281
OG0000157	Pray.g_01880	Syaq.g_00282
OG0000158	Pray.g_01787	Syaq.g_01003
OG0000159	Pray.g_01785	Syaq.g_00918, Syaq.g_00941
OG0000160	Pray.g_01721	Syaq.g_00374
OG0000161	Pray.g_01715	Syaq.g_00382
OG0000162	Pray.g_01709	Syaq.g_00389
OG0000163	Pray.g_01675	Syaq.g_01730
OG0000164	Pray.g_01535	Syaq.g_01642
OG0000165	Pray.g_01528	Syaq.g_01630
OG0000166	Pray.g_01270	Syaq.g_00647
OG0000167	Pray.g_01337	Syaq.g_00983
OG0000168	Pray.g_01347	Syaq.g_01004
OG0000169	Pray.g_01357	Syaq.g_01016
OG0000170	Pray.g_01359	Syaq.g_01023
OG0000171	Pray.g_01379	Syaq.g_01052
OG0000172	Pray.g_01388	Syaq.g_01074
OG0000173	Pray.g_01403	Syaq.g_01092
OG0000174	Pray.g_01431	Syaq.g_01224
OG0000175	Pray.g_01441	Syaq.g_01183
