Orthogroup	Pray	Praq
OG0000000	Pray.g_01888	Praq.g_00117
OG0000000	Pray.g_01576	Praq.g_01956
OG0000000	Pray.g_01603	Praq.g_00026
OG0000000	Pray.g_00003	Praq.g_00025
OG0000000	Pray.g_01604	Praq.g_00025
OG0000000	Pray.g_00003	Praq.g_01392
OG0000000	Pray.g_01604	Praq.g_01392
OG0000000	Pray.g_01890	Praq.g_00028
OG0000001	Pray.g_01844	Praq.g_00160
OG0000001	Pray.g_00247	Praq.g_01394
OG0000002	Pray.g_01836	Praq.g_00168
OG0000002	Pray.g_01085	Praq.g_00807
OG0000004	Pray.g_01068	Praq.g_00824
OG0000004	Pray.g_00713	Praq.g_01770
OG0000005	Pray.g_01546	Praq.g_00484
OG0000005	Pray.g_01646	Praq.g_00370
OG0000006	Pray.g_00722	Praq.g_01761
OG0000007	Pray.g_00988, Pray.g_00987	Praq.g_01105
OG0000007	Pray.g_01559	Praq.g_00497
OG0000008	Pray.g_01931	Praq.g_00071
OG0000008	Pray.g_01091	Praq.g_00801
OG0000009	Pray.g_01610	Praq.g_00017
OG0000009	Pray.g_00184	Praq.g_01898
OG0000010	Pray.g_00592	Praq.g_01626
OG0000010	Pray.g_00964	Praq.g_00525
OG0000011	Pray.g_01897	Praq.g_00110
OG0000011	Pray.g_01930	Praq.g_00100
OG0000012	Pray.g_01140	Praq.g_00979
OG0000013	Pray.g_00805	Praq.g_01675
OG0000014	Pray.g_00784	Praq.g_01696
OG0000015	Pray.g_00309	Praq.g_00065
OG0000017	Pray.g_01165	Praq.g_01004
OG0000018	Pray.g_00083	Praq.g_01314
OG0000018	Pray.g_00375	Praq.g_01425
OG0000019	Pray.g_00730	Praq.g_01753
OG0000019	Pray.g_00328	Praq.g_00649
OG0000020	Pray.g_00120	Praq.g_01281
OG0000021	Pray.g_00842	Praq.g_01179
OG0000022	Pray.g_00304	Praq.g_00635
OG0000022	Pray.g_00101	Praq.g_01296
OG0000023	Pray.g_00838	Praq.g_01184
OG0000024	Pray.g_00289	Praq.g_00618
OG0000024	Pray.g_01088	Praq.g_00804
OG0000025	Pray.g_00383	Praq.g_01432
OG0000025	Pray.g_00809	Praq.g_01671
OG0000026	Pray.g_01493	Praq.g_01234
OG0000026	Pray.g_00599	Praq.g_01633
OG0000027	Pray.g_00960	Praq.g_00521
OG0000028	Pray.g_00798	Praq.g_01682
OG0000028	Pray.g_01935	Praq.g_00103
OG0000029	Pray.g_00853	Praq.g_01168
OG0000029	Pray.g_00296	Praq.g_00627
OG0000030	Pray.g_01374	Praq.g_00772
OG0000031	Pray.g_01806	Praq.g_00209
OG0000033	Pray.g_00650	Praq.g_01833
OG0000034	Pray.g_01860	Praq.g_00143
OG0000035	Pray.g_01722	Praq.g_00294
OG0000037	Pray.g_00180	Praq.g_01894
OG0000038	Pray.g_01415	Praq.g_00716
OG0000039	Pray.g_01077	Praq.g_00815
OG0000040	Pray.g_01585	Praq.g_01955
OG0000040	Pray.g_00084	Praq.g_01313
OG0000042	Pray.g_01371	Praq.g_00770
OG0000043	Pray.g_00420	Praq.g_01469
OG0000044	Pray.g_00002	Praq.g_00058
OG0000045	Pray.g_00849	Praq.g_01172
OG0000047	Pray.g_00897	Praq.g_01137
OG0000047	Pray.g_00808	Praq.g_01672
OG0000048	Pray.g_00852	Praq.g_01169
OG0000049	Pray.g_00862	Praq.g_01159
OG0000049	Pray.g_00265	Praq.g_00059
OG0000049	Pray.g_00885	Praq.g_00085
OG0000050	Pray.g_00619	Praq.g_01654
OG0000053	Pray.g_01702	Praq.g_00314
OG0000054	Pray.g_01157	Praq.g_00996
OG0000055	Pray.g_00329	Praq.g_00650
OG0000057	Pray.g_01065	Praq.g_00827
OG0000058	Pray.g_01786	Praq.g_00218, Praq.g_00271
OG0000059	Pray.g_01258	Praq.g_00927
OG0000061	Pray.g_00064	Praq.g_01333
OG0000062	Pray.g_01644	Praq.g_00372
OG0000063	Pray.g_01495	Praq.g_01237, Praq.g_01236
OG0000065	Pray.g_00182	Praq.g_01896
OG0000066	Pray.g_01222	Praq.g_01063
OG0000068	Pray.g_01829	Praq.g_00175
OG0000069	Pray.g_01609	Praq.g_00018
OG0000070	Pray.g_00940	Praq.g_01107
OG0000071	Pray.g_01870	Praq.g_00133
OG0000072	Pray.g_00652	Praq.g_01831
OG0000073	Pray.g_00990	Praq.g_01103
OG0000074	Pray.g_01081	Praq.g_00811
OG0000075	Pray.g_01339	Praq.g_00739
OG0000076	Pray.g_01364	Praq.g_00763
OG0000077	Pray.g_00211	Praq.g_01925
OG0000078	Pray.g_00720	Praq.g_01763
OG0000081	Pray.g_01022	Praq.g_01071
OG0000082	Pray.g_01177	Praq.g_01018
OG0000083	Pray.g_00284	Praq.g_00614
OG0000083	Pray.g_00277	Praq.g_00607
OG0000084	Pray.g_01726	Praq.g_00290
OG0000086	Pray.g_00201	Praq.g_01915
OG0000087	Pray.g_00150	Praq.g_01864
OG0000088	Pray.g_00647	Praq.g_01836
OG0000089	Pray.g_00834	Praq.g_01188
OG0000090	Pray.g_01024, Pray.g_01228	Praq.g_01069
OG0000091	Pray.g_01121	Praq.g_00960
OG0000092	Pray.g_00457	Praq.g_01495
OG0000092	Pray.g_01325	Praq.g_00725
OG0000093	Pray.g_00479	Praq.g_01516
OG0000094	Pray.g_00565	Praq.g_01600
OG0000095	Pray.g_00584	Praq.g_01619
OG0000096	Pray.g_00117	Praq.g_01283
OG0000096	Pray.g_01905	Praq.g_00097
OG0000097	Pray.g_00022	Praq.g_01374
OG0000098	Pray.g_01847	Praq.g_00157
OG0000099	Pray.g_01788	Praq.g_00216
OG0000100	Pray.g_01648	Praq.g_00368
OG0000101	Pray.g_01306	Praq.g_00879
OG0000102	Pray.g_01369	Praq.g_00768
OG0000103	Pray.g_01449	Praq.g_00414
OG0000104	Pray.g_01457	Praq.g_00422
OG0000105	Pray.g_00753	Praq.g_01729
OG0000106	Pray.g_00848	Praq.g_01173
OG0000107	Pray.g_00864	Praq.g_01158
OG0000108	Pray.g_00970	Praq.g_00531
OG0000109	Pray.g_00984	Praq.g_00545
OG0000110	Pray.g_01187	Praq.g_01028
OG0000111	Pray.g_01064	Praq.g_00828
OG0000112	Pray.g_00313	Praq.g_00638
OG0000113	Pray.g_00370	Praq.g_01420
OG0000114	Pray.g_00452	Praq.g_01490
OG0000115	Pray.g_00126	Praq.g_01278
OG0000116	Pray.g_00074	Praq.g_01323
OG0000117	Pray.g_01927	Praq.g_00084
OG0000118	Pray.g_01858	Praq.g_00145
OG0000119	Pray.g_01833	Praq.g_00171
OG0000120	Pray.g_01808	Praq.g_00208
OG0000121	Pray.g_01720	Praq.g_00296
OG0000122	Pray.g_01682	Praq.g_00334
OG0000123	Pray.g_01313	Praq.g_00873
OG0000124	Pray.g_01380	Praq.g_00682
OG0000125	Pray.g_01417	Praq.g_00718
OG0000126	Pray.g_01456	Praq.g_00421
OG0000128	Pray.g_01473	Praq.g_00437
OG0000129	Pray.g_00239	Praq.g_01259
OG0000130	Pray.g_00220	Praq.g_01934
OG0000131	Pray.g_00144	Praq.g_01857
OG0000132	Pray.g_00645	Praq.g_01838
OG0000133	Pray.g_00800	Praq.g_01680
OG0000134	Pray.g_00835	Praq.g_01187
OG0000135	Pray.g_00861	Praq.g_01160
OG0000136	Pray.g_00931	Praq.g_01116
OG0000137	Pray.g_00965	Praq.g_00526
OG0000138	Pray.g_00985	Praq.g_00546
OG0000139	Pray.g_01224	Praq.g_01065
OG0000140	Pray.g_01223	Praq.g_01064
OG0000141	Pray.g_01156	Praq.g_00995
OG0000142	Pray.g_01128	Praq.g_00967
OG0000143	Pray.g_01124	Praq.g_00963
OG0000144	Pray.g_01111	Praq.g_00781
OG0000145	Pray.g_00306	Praq.g_00637
OG0000146	Pray.g_00314	Praq.g_00639
OG0000147	Pray.g_00315	Praq.g_00640
OG0000148	Pray.g_00364	Praq.g_01414
OG0000149	Pray.g_00395	Praq.g_01444
OG0000150	Pray.g_00403	Praq.g_01452
OG0000151	Pray.g_00462	Praq.g_01500
OG0000152	Pray.g_00511	Praq.g_01548
OG0000153	Pray.g_00530	Praq.g_01567
OG0000154	Pray.g_00558	Praq.g_01593
OG0000155	Pray.g_00043	Praq.g_01353
OG0000156	Pray.g_01881	Praq.g_00122
OG0000157	Pray.g_01880	Praq.g_00123
OG0000158	Pray.g_01787	Praq.g_00258
OG0000159	Pray.g_01785	Praq.g_00253, Praq.g_00217
OG0000160	Pray.g_01721	Praq.g_00295
OG0000161	Pray.g_01715	Praq.g_00301
OG0000162	Pray.g_01709	Praq.g_00307
OG0000163	Pray.g_01675	Praq.g_00341
OG0000164	Pray.g_01535	Praq.g_00473
OG0000165	Pray.g_01528	Praq.g_00466
OG0000166	Pray.g_01270	Praq.g_00915
OG0000167	Pray.g_01337	Praq.g_00737
OG0000168	Pray.g_01347	Praq.g_00747
OG0000169	Pray.g_01357	Praq.g_00757
OG0000170	Pray.g_01359	Praq.g_00759
OG0000171	Pray.g_01379	Praq.g_00681
OG0000172	Pray.g_01388	Praq.g_00689
OG0000173	Pray.g_01403	Praq.g_00704
OG0000174	Pray.g_01431	Praq.g_00396
OG0000175	Pray.g_01441	Praq.g_00406
OG0000176	Pray.g_01465, Pray.g_01466	Praq.g_00430
OG0000177	Pray.g_01467	Praq.g_00431
OG0000178	Pray.g_01468	Praq.g_00432
OG0000179	Pray.g_01478	Praq.g_01219
OG0000180	Pray.g_01479	Praq.g_01220
OG0000181	Pray.g_01480	Praq.g_01221
OG0000182	Pray.g_01481	Praq.g_01222
OG0000183	Pray.g_01485	Praq.g_01226
OG0000184	Pray.g_00237	Praq.g_01262
OG0000185	Pray.g_00234	Praq.g_01265
OG0000186	Pray.g_00225	Praq.g_01939
OG0000187	Pray.g_00224	Praq.g_01938
OG0000188	Pray.g_00207	Praq.g_01921
OG0000189	Pray.g_00193	Praq.g_01907
OG0000190	Pray.g_00192	Praq.g_01906
OG0000191	Pray.g_00172	Praq.g_01886
OG0000192	Pray.g_00168	Praq.g_01882
OG0000193	Pray.g_00143	Praq.g_01856
OG0000194	Pray.g_00140	Praq.g_01853
OG0000195	Pray.g_00138	Praq.g_01851
OG0000196	Pray.g_00642	Praq.g_01841
OG0000197	Pray.g_00643	Praq.g_01840
OG0000198	Pray.g_00644	Praq.g_01839
OG0000199	Pray.g_00651	Praq.g_01832
OG0000200	Pray.g_00665	Praq.g_01818
OG0000201	Pray.g_00673	Praq.g_01810
OG0000202	Pray.g_00674	Praq.g_01809
OG0000203	Pray.g_00675	Praq.g_01808
OG0000204	Pray.g_00676	Praq.g_01807
OG0000205	Pray.g_00683	Praq.g_01800
OG0000206	Pray.g_00688	Praq.g_01795
OG0000207	Pray.g_00690	Praq.g_01793
OG0000208	Pray.g_00691	Praq.g_01792
OG0000209	Pray.g_00700	Praq.g_01783
OG0000210	Pray.g_00701	Praq.g_01782
