Orthogroup	Pray	Syal
OG0000000	Pray.g_01888, Pray.g_01576, Pray.g_01603, Pray.g_00003, Pray.g_01604, Pray.g_01890, Pray.g_01602	Syal.g_01111, Syal.g_01832
OG0000001	Pray.g_01844, Pray.g_00247, Pray.g_00246	Syal.g_02193
OG0000004	Pray.g_01068	Syal.g_01809
OG0000004	Pray.g_00713	Syal.g_02718, Syal.g_00691
OG0000005	Pray.g_01546	Syal.g_00606
OG0000005	Pray.g_01646	Syal.g_00565
OG0000006	Pray.g_00722	Syal.g_00674
OG0000007	Pray.g_00988, Pray.g_00987	Syal.g_02918
OG0000007	Pray.g_01559	Syal.g_00587
OG0000008	Pray.g_01931	Syal.g_02512
OG0000009	Pray.g_01920, Pray.g_01610	Syal.g_02089
OG0000009	Pray.g_00184	Syal.g_00818
OG0000010	Pray.g_00592, Pray.g_00964	Syal.g_00464
OG0000012	Pray.g_01140	Syal.g_02535, Syal.g_01639
OG0000013	Pray.g_00805	Syal.g_00322, Syal.g_00310, Syal.g_00315
OG0000014	Pray.g_00784	Syal.g_01305
OG0000016	Pray.g_01475	Syal.g_00111
OG0000017	Pray.g_01165	Syal.g_02752
OG0000018	Pray.g_00083, Pray.g_00375	Syal.g_00410
OG0000019	Pray.g_00730, Pray.g_00328	Syal.g_01209
OG0000022	Pray.g_00304, Pray.g_00101	Syal.g_02587
OG0000023	Pray.g_00838	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Pray.g_00289, Pray.g_01088	Syal.g_02597
OG0000025	Pray.g_00383, Pray.g_00809	Syal.g_02459
OG0000026	Pray.g_01493, Pray.g_00599	Syal.g_00132
OG0000027	Pray.g_00960, Pray.g_01887	Syal.g_02543
OG0000028	Pray.g_00798, Pray.g_01935	Syal.g_01319
OG0000029	Pray.g_00853, Pray.g_00296	Syal.g_03014
OG0000030	Pray.g_01374	Syal.g_01511, Syal.g_01512
OG0000033	Pray.g_00650	Syal.g_00912
OG0000034	Pray.g_01860	Syal.g_00881, Syal.g_01586
OG0000035	Pray.g_01722	Syal.g_00370
OG0000037	Pray.g_00180	Syal.g_00824
OG0000038	Pray.g_01415	Syal.g_01071, Syal.g_01073
OG0000039	Pray.g_01077	Syal.g_01097
OG0000040	Pray.g_01585	Syal.g_01187
OG0000042	Pray.g_01371	Syal.g_01705, Syal.g_01508
OG0000043	Pray.g_00420	Syal.g_02183
OG0000043	Pray.g_01924	Syal.g_02547
OG0000044	Pray.g_00002	Syal.g_01853
OG0000047	Pray.g_00897, Pray.g_00808	Syal.g_01568
OG0000048	Pray.g_00852	Syal.g_01250
OG0000051	Pray.g_01894	Syal.g_01550
OG0000052	Pray.g_01793	Syal.g_01338
OG0000053	Pray.g_01702	Syal.g_00406
OG0000054	Pray.g_01157	Syal.g_02739
OG0000055	Pray.g_00329	Syal.g_01845
OG0000056	Pray.g_01942	Syal.g_02054
OG0000057	Pray.g_01065	Syal.g_01812
OG0000058	Pray.g_01786	Syal.g_01326
OG0000059	Pray.g_01258, Pray.g_01761	Syal.g_00225
OG0000061	Pray.g_00064	Syal.g_01653
OG0000062	Pray.g_01644	Syal.g_02113
OG0000063	Pray.g_01495	Syal.g_00136
OG0000065	Pray.g_00182	Syal.g_00820, Syal.g_02528
OG0000066	Pray.g_01222	Syal.g_02828
OG0000067	Pray.g_00348	Syal.g_02414
OG0000068	Pray.g_01829	Syal.g_02888
OG0000070	Pray.g_00940	Syal.g_00509
OG0000071	Pray.g_01870	Syal.g_01601
OG0000072	Pray.g_00652	Syal.g_00914
OG0000073	Pray.g_00990	Syal.g_02920
OG0000075	Pray.g_01339	Syal.g_01350
OG0000076	Pray.g_01364	Syal.g_01459
OG0000077	Pray.g_00211	Syal.g_00763
OG0000078	Pray.g_00720	Syal.g_00680
OG0000079	Pray.g_00733	Syal.g_01213
OG0000081	Pray.g_01022	Syal.g_02555
OG0000082	Pray.g_01177	Syal.g_02769
OG0000084	Pray.g_01726	Syal.g_00023
OG0000085	Pray.g_01566	Syal.g_00575
OG0000086	Pray.g_00201	Syal.g_00784
OG0000087	Pray.g_00150	Syal.g_00871
OG0000088	Pray.g_00647	Syal.g_00908
OG0000089	Pray.g_00834	Syal.g_00555
OG0000090	Pray.g_01024, Pray.g_01228	Syal.g_02838
OG0000091	Pray.g_01121	Syal.g_02628
OG0000092	Pray.g_00457, Pray.g_01325	Syal.g_00470
OG0000094	Pray.g_00565	Syal.g_01907
OG0000097	Pray.g_00022	Syal.g_01735, Syal.g_01553
OG0000098	Pray.g_01847	Syal.g_02196
OG0000099	Pray.g_01788	Syal.g_01323
OG0000100	Pray.g_01648	Syal.g_02448
OG0000101	Pray.g_01306	Syal.g_00275
OG0000102	Pray.g_01369	Syal.g_01488
OG0000103	Pray.g_01449	Syal.g_01897, Syal.g_00077
OG0000104	Pray.g_01457	Syal.g_00092
OG0000105	Pray.g_00753	Syal.g_01255
OG0000106	Pray.g_00848	Syal.g_02577
OG0000107	Pray.g_00864	Syal.g_00194
OG0000108	Pray.g_00970	Syal.g_02897
OG0000109	Pray.g_00984	Syal.g_02913
OG0000110	Pray.g_01187	Syal.g_02782
OG0000111	Pray.g_01064	Syal.g_01813
OG0000112	Pray.g_00313	Syal.g_02000
OG0000113	Pray.g_00370	Syal.g_02443
OG0000114	Pray.g_00452	Syal.g_02286
OG0000115	Pray.g_00126	Syal.g_00404
OG0000116	Pray.g_00074	Syal.g_01630
OG0000117	Pray.g_01927	Syal.g_01704
OG0000118	Pray.g_01858	Syal.g_01583
OG0000119	Pray.g_01833	Syal.g_02056
OG0000120	Pray.g_01808	Syal.g_01324
