Orthogroup	Pray	Syaf
OG0000001	Pray.g_01844, Pray.g_00247, Pray.g_00246	Syaf.g_01640
OG0000004	Pray.g_01068	Syaf.g_01455
OG0000004	Pray.g_00713	Syaf.g_02351, Syaf.g_02794
OG0000005	Pray.g_01546	Syaf.g_01017
OG0000005	Pray.g_01646	Syaf.g_01057
OG0000006	Pray.g_00722	Syaf.g_00179, Syaf.g_02778
OG0000007	Pray.g_00988, Pray.g_00987	Syaf.g_02702
OG0000007	Pray.g_01559	Syaf.g_01033
OG0000008	Pray.g_01931	Syaf.g_01479
OG0000009	Pray.g_00184	Syaf.g_00905
OG0000010	Pray.g_00592, Pray.g_00964	Syaf.g_02499
OG0000011	Pray.g_00884, Pray.g_01897	Syaf.g_01532
OG0000012	Pray.g_01140	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462, Syaf.g_01693
OG0000013	Pray.g_00805	Syaf.g_00044, Syaf.g_00061, Syaf.g_00056
OG0000014	Pray.g_00784	Syaf.g_00280
OG0000015	Pray.g_00309	Syaf.g_02120, Syaf.g_02121
OG0000016	Pray.g_01475	Syaf.g_00484
OG0000017	Pray.g_01165	Syaf.g_02561
OG0000018	Pray.g_00083, Pray.g_00375	Syaf.g_02451
OG0000019	Pray.g_00730, Pray.g_00328	Syaf.g_00193
OG0000020	Pray.g_00120	Syaf.g_02187
OG0000021	Pray.g_01578, Pray.g_00842	Syaf.g_01726
OG0000022	Pray.g_00304, Pray.g_00101	Syaf.g_02256
OG0000023	Pray.g_00838	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995
OG0000024	Pray.g_00289, Pray.g_01088	Syaf.g_01484
OG0000025	Pray.g_00383, Pray.g_00809	Syaf.g_01385
OG0000026	Pray.g_01493, Pray.g_00599	Syaf.g_00461
OG0000027	Pray.g_00960, Pray.g_01887	Syaf.g_02284, Syaf.g_01688
OG0000028	Pray.g_00798, Pray.g_01935	Syaf.g_00297
OG0000029	Pray.g_00853, Pray.g_00296	Syaf.g_01761
OG0000030	Pray.g_01374	Syaf.g_00406, Syaf.g_00407
OG0000031	Pray.g_01806	Syaf.g_01143
OG0000033	Pray.g_00650	Syaf.g_00807
OG0000034	Pray.g_01860	Syaf.g_01241, Syaf.g_00837
OG0000035	Pray.g_01722	Syaf.g_02412
OG0000037	Pray.g_00180	Syaf.g_00899
OG0000038	Pray.g_01415	Syaf.g_00642
OG0000039	Pray.g_01077	Syaf.g_01395
OG0000042	Pray.g_01371	Syaf.g_00403
OG0000043	Pray.g_01924	Syaf.g_01747
OG0000044	Pray.g_00002	Syaf.g_01358, Syaf.g_01992
OG0000045	Pray.g_00849	Syaf.g_00979
OG0000047	Pray.g_00897, Pray.g_00808	Syaf.g_00030
OG0000048	Pray.g_00852	Syaf.g_00230
OG0000050	Pray.g_00883	Syaf.g_01770
OG0000051	Pray.g_01894	Syaf.g_00972
OG0000052	Pray.g_01793	Syaf.g_00335
OG0000053	Pray.g_01702	Syaf.g_02447
OG0000054	Pray.g_01157	Syaf.g_02376
OG0000055	Pray.g_00329	Syaf.g_01402
OG0000057	Pray.g_01065	Syaf.g_01452
OG0000058	Pray.g_01786	Syaf.g_00316
OG0000059	Pray.g_01258, Pray.g_01761	Syaf.g_00143
OG0000061	Pray.g_00064	Syaf.g_01288
OG0000062	Pray.g_01644	Syaf.g_02167
OG0000063	Pray.g_01495	Syaf.g_00457
OG0000065	Pray.g_00182	Syaf.g_00903
OG0000066	Pray.g_01222	Syaf.g_02643
OG0000067	Pray.g_00348	Syaf.g_02049
OG0000068	Pray.g_01829	Syaf.g_02733
OG0000070	Pray.g_00940	Syaf.g_01237
OG0000071	Pray.g_01870	Syaf.g_01254
OG0000072	Pray.g_00652	Syaf.g_00805
OG0000073	Pray.g_00990	Syaf.g_02700
OG0000075	Pray.g_01339	Syaf.g_00353
OG0000076	Pray.g_01364	Syaf.g_00388
OG0000077	Pray.g_00211	Syaf.g_00951
OG0000078	Pray.g_00720	Syaf.g_02782
OG0000079	Pray.g_00733	Syaf.g_00197
OG0000081	Pray.g_01022	Syaf.g_02776
OG0000082	Pray.g_01177	Syaf.g_02576
OG0000084	Pray.g_01726	Syaf.g_02409
OG0000085	Pray.g_01566	Syaf.g_01048
OG0000086	Pray.g_00201	Syaf.g_00932
OG0000087	Pray.g_00150	Syaf.g_00848
OG0000088	Pray.g_00647	Syaf.g_00811
OG0000089	Pray.g_00834	Syaf.g_02807
OG0000090	Pray.g_01024, Pray.g_01228	Syaf.g_02654
OG0000091	Pray.g_01121	Syaf.g_02302
OG0000094	Pray.g_00565	Syaf.g_01940
OG0000097	Pray.g_00022	Syaf.g_01574
OG0000098	Pray.g_01847	Syaf.g_01637
OG0000099	Pray.g_01788	Syaf.g_00312
OG0000100	Pray.g_01648	Syaf.g_02017
OG0000101	Pray.g_01306	Syaf.g_00093
OG0000102	Pray.g_01369	Syaf.g_00393
OG0000103	Pray.g_01449	Syaf.g_00520
OG0000104	Pray.g_01457	Syaf.g_00502
OG0000105	Pray.g_00753	Syaf.g_00235
OG0000106	Pray.g_00848	Syaf.g_01745
OG0000107	Pray.g_00864	Syaf.g_00177
OG0000108	Pray.g_00970	Syaf.g_02721
OG0000109	Pray.g_00984	Syaf.g_02706
OG0000110	Pray.g_01187	Syaf.g_02589
OG0000112	Pray.g_00313	Syaf.g_01852
OG0000113	Pray.g_00370	Syaf.g_02022
OG0000114	Pray.g_00452	Syaf.g_02103
OG0000115	Pray.g_00126	Syaf.g_02445
OG0000116	Pray.g_00074	Syaf.g_01276
OG0000117	Pray.g_01927	Syaf.g_01605
OG0000118	Pray.g_01858	Syaf.g_02544
OG0000120	Pray.g_01808	Syaf.g_00313
OG0000121	Pray.g_01720	Syaf.g_02419
OG0000123	Pray.g_01313	Syaf.g_00086
OG0000124	Pray.g_01380	Syaf.g_00414
OG0000125	Pray.g_01417	Syaf.g_00640
OG0000126	Pray.g_01456	Syaf.g_00504
OG0000128	Pray.g_01473	Syaf.g_00486
OG0000129	Pray.g_00239	Syaf.g_00651
OG0000130	Pray.g_00220	Syaf.g_00963
OG0000131	Pray.g_00144	Syaf.g_00833
OG0000132	Pray.g_00645	Syaf.g_00813
OG0000133	Pray.g_00800	Syaf.g_01857
OG0000134	Pray.g_00835	Syaf.g_02804
OG0000135	Pray.g_00861	Syaf.g_00605
OG0000136	Pray.g_00931	Syaf.g_01224
OG0000137	Pray.g_00965	Syaf.g_02498
OG0000138	Pray.g_00985	Syaf.g_02705
OG0000139	Pray.g_01224	Syaf.g_02648
OG0000140	Pray.g_01223	Syaf.g_02646
OG0000141	Pray.g_01156	Syaf.g_02375
OG0000142	Pray.g_01128	Syaf.g_02310
