Orthogroup	Pray	Prbg
OG0000000	Pray.g_01576, Pray.g_01603	Prbg.g_01567
OG0000002	Pray.g_01836	Prbg.g_01222, Prbg.g_01227
OG0000002	Pray.g_01085	Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694, Prbg.g_01119
OG0000004	Pray.g_01068	Prbg.g_01140
OG0000004	Pray.g_00713	Prbg.g_01014
OG0000005	Pray.g_01646	Prbg.g_00674
OG0000006	Pray.g_00722	Prbg.g_01024
OG0000007	Pray.g_00988, Pray.g_00987	Prbg.g_00216
OG0000007	Pray.g_01559	Prbg.g_01650
OG0000008	Pray.g_01931	Prbg.g_00744
OG0000009	Pray.g_01920	Prbg.g_00686
OG0000010	Pray.g_00964	Prbg.g_01053, Prbg.g_01348, Prbg.g_00193
OG0000012	Pray.g_01140	Prbg.g_00706, Prbg.g_00342
OG0000013	Pray.g_00805	Prbg.g_00104
OG0000014	Pray.g_00784	Prbg.g_00086
OG0000015	Pray.g_00309	Prbg.g_01589, Prbg.g_01635
OG0000017	Pray.g_01165	Prbg.g_00317
OG0000018	Pray.g_00083	Prbg.g_01508
OG0000018	Pray.g_00375	Prbg.g_01187
OG0000019	Pray.g_00730	Prbg.g_01032
OG0000019	Pray.g_00328	Prbg.g_01510
OG0000020	Pray.g_00120	Prbg.g_00698
OG0000021	Pray.g_01578, Pray.g_00842	Prbg.g_00699
OG0000022	Pray.g_00304	Prbg.g_00682
OG0000023	Pray.g_00838	Prbg.g_00013
OG0000024	Pray.g_00289	Prbg.g_01352
OG0000024	Pray.g_01088	Prbg.g_01116
OG0000025	Pray.g_00383, Pray.g_00809	Prbg.g_01195
OG0000026	Pray.g_01493, Pray.g_00599	Prbg.g_00842
OG0000027	Pray.g_00960, Pray.g_01887	Prbg.g_00721
OG0000028	Pray.g_01935	Prbg.g_00743
OG0000029	Pray.g_00853	Prbg.g_01740
OG0000029	Pray.g_00296	Prbg.g_00734, Prbg.g_01581
OG0000030	Pray.g_01374	Prbg.g_01858
OG0000031	Pray.g_01806	Prbg.g_00550
OG0000033	Pray.g_00650	Prbg.g_00947
OG0000034	Pray.g_01860	Prbg.g_00488
OG0000037	Pray.g_00180	Prbg.g_00881
OG0000038	Pray.g_01415	Prbg.g_01898
OG0000039	Pray.g_01077	Prbg.g_01128
OG0000042	Pray.g_01371	Prbg.g_01855
OG0000043	Pray.g_00420	Prbg.g_01507
OG0000045	Pray.g_00849	Prbg.g_01530
OG0000047	Pray.g_00897	Prbg.g_00143
OG0000048	Pray.g_00852	Prbg.g_00050
OG0000050	Pray.g_00883	Prbg.g_01055
OG0000052	Pray.g_01793	Prbg.g_00569
OG0000053	Pray.g_01702	Prbg.g_01595, Prbg.g_00612
OG0000054	Pray.g_01157	Prbg.g_00326
OG0000055	Pray.g_00329	Prbg.g_01535
OG0000057	Pray.g_01065	Prbg.g_01143
OG0000058	Pray.g_01786	Prbg.g_00551
OG0000059	Pray.g_01258, Pray.g_01761	Prbg.g_01737
OG0000061	Pray.g_00064	Prbg.g_01486
OG0000062	Pray.g_01644	Prbg.g_00676
OG0000063	Pray.g_01495	Prbg.g_00730
OG0000065	Pray.g_00182	Prbg.g_00879
OG0000066	Pray.g_01222	Prbg.g_00256
OG0000067	Pray.g_00348	Prbg.g_01159
OG0000068	Pray.g_01829	Prbg.g_00529
OG0000069	Pray.g_01609	Prbg.g_00174
OG0000070	Pray.g_00940	Prbg.g_00170
OG0000071	Pray.g_01870	Prbg.g_00477
OG0000072	Pray.g_00652	Prbg.g_00949
OG0000073	Pray.g_00990	Prbg.g_00219
OG0000074	Pray.g_01081	Prbg.g_01123
OG0000075	Pray.g_01339	Prbg.g_01821
OG0000076	Pray.g_01364	Prbg.g_01847
OG0000077	Pray.g_00211	Prbg.g_00791
OG0000078	Pray.g_00720	Prbg.g_01022
OG0000079	Pray.g_00733	Prbg.g_01035
OG0000081	Pray.g_01022	Prbg.g_00248
OG0000082	Pray.g_01177	Prbg.g_00304, Prbg.g_01639
OG0000084	Pray.g_01726	Prbg.g_00588
OG0000085	Pray.g_01566	Prbg.g_01642, Prbg.g_00716
OG0000086	Pray.g_00201	Prbg.g_00782
OG0000087	Pray.g_00150	Prbg.g_00913
