Orthogroup	Pray	Syak
OG0000001	Pray.g_01844, Pray.g_00247, Pray.g_00246	Syak.g_00342
OG0000004	Pray.g_01068	Syak.g_01219, Syak.g_00720
OG0000004	Pray.g_00713	Syak.g_00003, Syak.g_02297
OG0000005	Pray.g_01546	Syak.g_02401
OG0000005	Pray.g_01646	Syak.g_00885, Syak.g_02436
OG0000006	Pray.g_00722	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Pray.g_00988, Pray.g_00987	Syak.g_02595
OG0000007	Pray.g_01559	Syak.g_02416
OG0000008	Pray.g_01931	Syak.g_00267
OG0000009	Pray.g_00184	Syak.g_02194
OG0000010	Pray.g_00592, Pray.g_00964	Syak.g_01119
OG0000012	Pray.g_01140	Syak.g_00010
OG0000013	Pray.g_00805	Syak.g_01275, Syak.g_01270
OG0000014	Pray.g_00784	Syak.g_01505
OG0000014	Pray.g_01792	Syak.g_01582
OG0000015	Pray.g_00309	Syak.g_00358
OG0000016	Pray.g_01475	Syak.g_01780
OG0000017	Pray.g_01165	Syak.g_02730
OG0000018	Pray.g_00083, Pray.g_00375	Syak.g_01072
OG0000019	Pray.g_00730, Pray.g_00328	Syak.g_01413
OG0000021	Pray.g_01578, Pray.g_00842	Syak.g_00566
OG0000022	Pray.g_00304, Pray.g_00101	Syak.g_00088
OG0000023	Pray.g_00838	Syak.g_00316, Syak.g_00223
OG0000025	Pray.g_00383, Pray.g_00809	Syak.g_00610
OG0000026	Pray.g_01493, Pray.g_00599	Syak.g_01757
OG0000027	Pray.g_00960, Pray.g_01887	Syak.g_00127
OG0000028	Pray.g_00798, Pray.g_01935	Syak.g_01522
OG0000029	Pray.g_00853, Pray.g_00296	Syak.g_00169, Syak.g_00178
OG0000030	Pray.g_01374	Syak.g_01684, Syak.g_01685
OG0000031	Pray.g_01806	Syak.g_01630
OG0000033	Pray.g_00650	Syak.g_02101
OG0000034	Pray.g_01860	Syak.g_00950, Syak.g_02133
OG0000035	Pray.g_01722	Syak.g_01041
OG0000037	Pray.g_00180	Syak.g_02188
OG0000038	Pray.g_01415	Syak.g_01938, Syak.g_01936
OG0000039	Pray.g_01077	Syak.g_00772, Syak.g_01918
OG0000042	Pray.g_01371	Syak.g_00843, Syak.g_01681
OG0000043	Pray.g_00420	Syak.g_00335
OG0000044	Pray.g_00002	Syak.g_00153
OG0000045	Pray.g_00849	Syak.g_00228
OG0000047	Pray.g_00897, Pray.g_00808	Syak.g_01147
OG0000048	Pray.g_00852	Syak.g_01446
OG0000050	Pray.g_00883	Syak.g_00106
OG0000052	Pray.g_01793	Syak.g_01549
OG0000053	Pray.g_01702	Syak.g_01068
OG0000054	Pray.g_01157	Syak.g_02744
OG0000055	Pray.g_00329	Syak.g_00766
OG0000057	Pray.g_01065	Syak.g_00724
OG0000058	Pray.g_01786	Syak.g_01530
OG0000059	Pray.g_01258, Pray.g_01761	Syak.g_01355
OG0000061	Pray.g_00064	Syak.g_00898
OG0000063	Pray.g_01495	Syak.g_01752
OG0000065	Pray.g_00182	Syak.g_02192, Syak.g_00282
OG0000066	Pray.g_01222	Syak.g_02653
OG0000067	Pray.g_00348	Syak.g_00434
OG0000068	Pray.g_01829	Syak.g_02565
OG0000070	Pray.g_00940	Syak.g_01174
OG0000071	Pray.g_01870	Syak.g_00936
OG0000072	Pray.g_00652	Syak.g_02099
OG0000073	Pray.g_00990	Syak.g_02597
OG0000075	Pray.g_01339	Syak.g_01564
OG0000076	Pray.g_01364	Syak.g_01650
OG0000077	Pray.g_00211	Syak.g_02243
OG0000078	Pray.g_00720	Syak.g_02310
OG0000079	Pray.g_00733	Syak.g_01417
OG0000081	Pray.g_01022	Syak.g_00115
OG0000082	Pray.g_01177	Syak.g_02711
OG0000084	Pray.g_01726	Syak.g_01036
OG0000085	Pray.g_01566	Syak.g_02427
OG0000086	Pray.g_00201	Syak.g_02219
OG0000087	Pray.g_00150	Syak.g_02141
OG0000088	Pray.g_00647	Syak.g_02106
OG0000089	Pray.g_00834	Syak.g_01215
OG0000090	Pray.g_01024, Pray.g_01228	Syak.g_02640
OG0000091	Pray.g_01121	Syak.g_00043
OG0000092	Pray.g_00457, Pray.g_01325	Syak.g_01126
OG0000094	Pray.g_00565	Syak.g_00656
OG0000097	Pray.g_00022	Syak.g_00816
OG0000098	Pray.g_01847	Syak.g_00345
OG0000099	Pray.g_01788	Syak.g_01527
OG0000100	Pray.g_01648	Syak.g_00622
OG0000101	Pray.g_01306	Syak.g_01305
OG0000102	Pray.g_01369	Syak.g_01661
OG0000103	Pray.g_01449	Syak.g_01812
OG0000104	Pray.g_01457	Syak.g_01799
OG0000105	Pray.g_00753	Syak.g_01451
OG0000106	Pray.g_00848	Syak.g_00096
OG0000107	Pray.g_00864	Syak.g_01392
OG0000108	Pray.g_00970	Syak.g_02574
OG0000109	Pray.g_00984	Syak.g_01061
OG0000110	Pray.g_01187	Syak.g_02698
OG0000111	Pray.g_01064	Syak.g_00725
OG0000112	Pray.g_00313	Syak.g_00512
OG0000113	Pray.g_00370	Syak.g_00461
OG0000114	Pray.g_00452	Syak.g_00373
OG0000115	Pray.g_00126	Syak.g_01066
OG0000116	Pray.g_00074	Syak.g_00911
OG0000117	Pray.g_01927	Syak.g_00846
OG0000118	Pray.g_01858	Syak.g_00954
OG0000119	Pray.g_01833	Syak.g_00917
OG0000120	Pray.g_01808	Syak.g_01526
OG0000121	Pray.g_01720	Syak.g_01044
OG0000122	Pray.g_01682	Syak.g_00081
OG0000123	Pray.g_01313	Syak.g_01299
OG0000124	Pray.g_01380	Syak.g_01692
OG0000125	Pray.g_01417	Syak.g_01934
OG0000126	Pray.g_01456	Syak.g_01801
OG0000128	Pray.g_01473	Syak.g_01782
OG0000129	Pray.g_00239	Syak.g_01947
OG0000130	Pray.g_00220	Syak.g_02255
OG0000131	Pray.g_00144	Syak.g_02128
OG0000132	Pray.g_00645	Syak.g_02108
OG0000133	Pray.g_00800	Syak.g_00507
OG0000134	Pray.g_00835	Syak.g_01212
OG0000135	Pray.g_00861	Syak.g_01897
OG0000136	Pray.g_00931	Syak.g_01186
OG0000137	Pray.g_00965	Syak.g_01118
OG0000138	Pray.g_00985	Syak.g_02591
OG0000139	Pray.g_01224	Syak.g_02646
OG0000140	Pray.g_01223	Syak.g_02650
OG0000141	Pray.g_01156	Syak.g_02746
OG0000142	Pray.g_01128	Syak.g_00035
OG0000143	Pray.g_01124	Syak.g_00039
OG0000144	Pray.g_01111	Syak.g_00260
OG0000145	Pray.g_00306	Syak.g_02598
OG0000146	Pray.g_00314	Syak.g_00514
OG0000147	Pray.g_00315	Syak.g_00515
OG0000148	Pray.g_00364	Syak.g_00455
OG0000149	Pray.g_00395	Syak.g_00596
OG0000150	Pray.g_00403	Syak.g_02747
OG0000151	Pray.g_00462	Syak.g_00387
OG0000152	Pray.g_00511	Syak.g_00503
OG0000153	Pray.g_00530	Syak.g_00470
OG0000154	Pray.g_00558	Syak.g_00645
OG0000155	Pray.g_00043	Syak.g_00855
OG0000156	Pray.g_01881	Syak.g_00919
OG0000157	Pray.g_01880	Syak.g_00920
OG0000158	Pray.g_01787	Syak.g_01624
OG0000160	Pray.g_01721	Syak.g_01043
OG0000161	Pray.g_01715	Syak.g_01050
OG0000162	Pray.g_01709	Syak.g_01058
OG0000163	Pray.g_01675	Syak.g_02478
OG0000164	Pray.g_01535	Syak.g_02384
OG0000165	Pray.g_01528	Syak.g_02374
OG0000166	Pray.g_01270	Syak.g_01345
OG0000167	Pray.g_01337	Syak.g_01561
OG0000168	Pray.g_01347	Syak.g_01625
OG0000169	Pray.g_01357	Syak.g_01637
OG0000170	Pray.g_01359	Syak.g_01644
OG0000171	Pray.g_01379	Syak.g_01691
OG0000172	Pray.g_01388	Syak.g_01713
OG0000173	Pray.g_01403	Syak.g_01733
OG0000174	Pray.g_01431	Syak.g_01895
OG0000175	Pray.g_01441	Syak.g_01827
OG0000176	Pray.g_01465, Pray.g_01466	Syak.g_01790
OG0000177	Pray.g_01467	Syak.g_01789
OG0000178	Pray.g_01468	Syak.g_01788
OG0000179	Pray.g_01478	Syak.g_01773
OG0000180	Pray.g_01479	Syak.g_01772
OG0000181	Pray.g_01480	Syak.g_01771
OG0000182	Pray.g_01481	Syak.g_01770
OG0000183	Pray.g_01485	Syak.g_01766
OG0000184	Pray.g_00237	Syak.g_01955
OG0000185	Pray.g_00234	Syak.g_01971
OG0000186	Pray.g_00225	Syak.g_02258
OG0000187	Pray.g_00224	Syak.g_02257
OG0000188	Pray.g_00207	Syak.g_02235
OG0000189	Pray.g_00193	Syak.g_02203
OG0000190	Pray.g_00192	Syak.g_01575
OG0000191	Pray.g_00172	Syak.g_02171
OG0000192	Pray.g_00168	Syak.g_02165
OG0000193	Pray.g_00143	Syak.g_02127
OG0000194	Pray.g_00140	Syak.g_02124
OG0000195	Pray.g_00138	Syak.g_02122
OG0000196	Pray.g_00642	Syak.g_02111
OG0000197	Pray.g_00643	Syak.g_02110
OG0000198	Pray.g_00644	Syak.g_02109
OG0000199	Pray.g_00651	Syak.g_02100
OG0000200	Pray.g_00665	Syak.g_02083
OG0000201	Pray.g_00673	Syak.g_02068
OG0000202	Pray.g_00674	Syak.g_02067
OG0000203	Pray.g_00675	Syak.g_02066
OG0000204	Pray.g_00676	Syak.g_02065
OG0000205	Pray.g_00683	Syak.g_02058
OG0000206	Pray.g_00688	Syak.g_02038
OG0000207	Pray.g_00690	Syak.g_02025
OG0000208	Pray.g_00691	Syak.g_02024
OG0000209	Pray.g_00700	Syak.g_01995
OG0000210	Pray.g_00701	Syak.g_01994
OG0000211	Pray.g_00714	Syak.g_02017
OG0000212	Pray.g_00721	Syak.g_02311
OG0000213	Pray.g_00738	Syak.g_01425
OG0000214	Pray.g_00747	Syak.g_01442
OG0000215	Pray.g_00771	Syak.g_01474
OG0000216	Pray.g_00772	Syak.g_01478
OG0000217	Pray.g_00775	Syak.g_01482
OG0000218	Pray.g_00777	Syak.g_01484
OG0000219	Pray.g_00778	Syak.g_01485
OG0000220	Pray.g_00779	Syak.g_01486
OG0000221	Pray.g_00780	Syak.g_01498
OG0000222	Pray.g_00788	Syak.g_01512
OG0000223	Pray.g_00801	Syak.g_01531
OG0000224	Pray.g_00803	Syak.g_01532
OG0000225	Pray.g_00824	Syak.g_01230
OG0000226	Pray.g_00828	Syak.g_01226
OG0000227	Pray.g_00830	Syak.g_01224
OG0000228	Pray.g_00833	Syak.g_01216
OG0000229	Pray.g_00926	Syak.g_01191
OG0000230	Pray.g_00928	Syak.g_01189
OG0000231	Pray.g_00939	Syak.g_01176
OG0000232	Pray.g_00948	Syak.g_01156
OG0000233	Pray.g_00953	Syak.g_01145
OG0000234	Pray.g_00966	Syak.g_01116
OG0000235	Pray.g_00969	Syak.g_02573
OG0000236	Pray.g_00983	Syak.g_02589
OG0000237	Pray.g_00997	Syak.g_02607
OG0000238	Pray.g_01003	Syak.g_02612
OG0000239	Pray.g_01016	Syak.g_02628
OG0000240	Pray.g_01017	Syak.g_02629
OG0000241	Pray.g_01021	Syak.g_00027
OG0000242	Pray.g_01023	Syak.g_02638
OG0000243	Pray.g_01218	Syak.g_02658
OG0000244	Pray.g_01215	Syak.g_02665
OG0000245	Pray.g_01213	Syak.g_02667
OG0000246	Pray.g_01209	Syak.g_02671
OG0000247	Pray.g_01199	Syak.g_02681
OG0000248	Pray.g_01197	Syak.g_02684
OG0000249	Pray.g_01195	Syak.g_02686
OG0000250	Pray.g_01190	Syak.g_02694
OG0000251	Pray.g_01172	Syak.g_02722
OG0000252	Pray.g_01169	Syak.g_02725
OG0000253	Pray.g_01168	Syak.g_02727
OG0000254	Pray.g_01152	Syak.g_02752
OG0000255	Pray.g_01146	Syak.g_02772
OG0000256	Pray.g_01136	Syak.g_00020
OG0000257	Pray.g_01133	Syak.g_00026
OG0000258	Pray.g_01120	Syak.g_00044
OG0000259	Pray.g_01103	Syak.g_00334
OG0000260	Pray.g_01100	Syak.g_00338
OG0000261	Pray.g_01098	Syak.g_00348
OG0000262	Pray.g_01094	Syak.g_00353
OG0000263	Pray.g_01082	Syak.g_00828
OG0000264	Pray.g_01072	Syak.g_00698
OG0000265	Pray.g_01040	Syak.g_00211
OG0000266	Pray.g_01030	Syak.g_00778
OG0000267	Pray.g_00274	Syak.g_00555
OG0000268	Pray.g_00275	Syak.g_00554
OG0000269	Pray.g_00343	Syak.g_00429
OG0000270	Pray.g_00346	Syak.g_00432
OG0000271	Pray.g_00354	Syak.g_00440
OG0000272	Pray.g_00355	Syak.g_00441
OG0000274	Pray.g_00379	Syak.g_00615
OG0000275	Pray.g_00382	Syak.g_00611
OG0000276	Pray.g_00387	Syak.g_00604
OG0000277	Pray.g_00388	Syak.g_00603
OG0000278	Pray.g_00391	Syak.g_00600
OG0000279	Pray.g_00398	Syak.g_00592
OG0000280	Pray.g_00399	Syak.g_00582
OG0000281	Pray.g_00404	Syak.g_00339
OG0000282	Pray.g_00454	Syak.g_00375
OG0000283	Pray.g_00488	Syak.g_00541
OG0000284	Pray.g_00493	Syak.g_00536
OG0000285	Pray.g_00498	Syak.g_00523
OG0000286	Pray.g_00510	Syak.g_00504
OG0000287	Pray.g_00527	Syak.g_00477
OG0000288	Pray.g_00557	Syak.g_00644
OG0000289	Pray.g_00568	Syak.g_00659
OG0000290	Pray.g_00581	Syak.g_00738
OG0000291	Pray.g_00583	Syak.g_00737
OG0000292	Pray.g_00632	Syak.g_01802
OG0000293	Pray.g_00073	Syak.g_00910
OG0000294	Pray.g_00072	Syak.g_00909
OG0000295	Pray.g_00051	Syak.g_00863
OG0000296	Pray.g_00049	Syak.g_00861
OG0000297	Pray.g_00041	Syak.g_00848
OG0000298	Pray.g_00040	Syak.g_00847
OG0000299	Pray.g_00023	Syak.g_00820
OG0000300	Pray.g_00020	Syak.g_00813
OG0000301	Pray.g_00019	Syak.g_00812
OG0000302	Pray.g_00017	Syak.g_00811
OG0000303	Pray.g_00010	Syak.g_00674
OG0000304	Pray.g_00006	Syak.g_00680
OG0000305	Pray.g_01837	Syak.g_00732
OG0000306	Pray.g_01834	Syak.g_00094
OG0000307	Pray.g_01820	Syak.g_02556
OG0000308	Pray.g_01819	Syak.g_02554
OG0000309	Pray.g_01815	Syak.g_02549
OG0000310	Pray.g_01737	Syak.g_00994
OG0000311	Pray.g_01735	Syak.g_00999
OG0000312	Pray.g_01732	Syak.g_01028
OG0000313	Pray.g_01718	Syak.g_01046
OG0000314	Pray.g_01695	Syak.g_01079
OG0000315	Pray.g_01685	Syak.g_01090
OG0000316	Pray.g_01665	Syak.g_02462
OG0000317	Pray.g_01561	Syak.g_02419
OG0000318	Pray.g_01558	Syak.g_02415
OG0000319	Pray.g_01545	Syak.g_02399
OG0000320	Pray.g_01543	Syak.g_02397
OG0000321	Pray.g_01542	Syak.g_02396
OG0000322	Pray.g_01541	Syak.g_02395
OG0000323	Pray.g_01532	Syak.g_02380
OG0000324	Pray.g_01506	Syak.g_02347
OG0000325	Pray.g_01235	Syak.g_01391
OG0000326	Pray.g_01241	Syak.g_01384
OG0000327	Pray.g_01265	Syak.g_01350
OG0000328	Pray.g_01266	Syak.g_01349
OG0000329	Pray.g_01283	Syak.g_01331
OG0000330	Pray.g_01284	Syak.g_01330
OG0000331	Pray.g_01285	Syak.g_01329
OG0000332	Pray.g_01299	Syak.g_01314
OG0000333	Pray.g_01301	Syak.g_01311
