Orthogroup	Pray	Syab
OG0000000	Pray.g_01888, Pray.g_01576, Pray.g_01603, Pray.g_00003, Pray.g_01604, Pray.g_01890, Pray.g_01602	Syab.g_01226
OG0000001	Pray.g_01844, Pray.g_00247, Pray.g_00246	Syab.g_01549
OG0000002	Pray.g_01836, Pray.g_01085	Syab.g_02285
OG0000004	Pray.g_01068	Syab.g_00549, Syab.g_01193
OG0000004	Pray.g_00713	Syab.g_01911, Syab.g_02377
OG0000005	Pray.g_01546	Syab.g_02289
OG0000005	Pray.g_01646	Syab.g_02806, Syab.g_02232
OG0000006	Pray.g_00722	Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Pray.g_00988, Pray.g_00987	Syab.g_02117
OG0000007	Pray.g_01559	Syab.g_02256
OG0000008	Pray.g_01931	Syab.g_01755
OG0000009	Pray.g_01920, Pray.g_01610	Syab.g_00995
OG0000009	Pray.g_00184	Syab.g_02498
OG0000010	Pray.g_00592, Pray.g_00964	Syab.g_00696
OG0000011	Pray.g_01930	Syab.g_01491
OG0000012	Pray.g_01140	Syab.g_01774, Syab.g_00953
OG0000013	Pray.g_00805	Syab.g_00497, Syab.g_00482, Syab.g_00487
OG0000014	Pray.g_00784	Syab.g_00249
OG0000014	Pray.g_01792	Syab.g_00178
OG0000016	Pray.g_01475	Syab.g_00014
OG0000017	Pray.g_01165	Syab.g_01953
OG0000018	Pray.g_00083, Pray.g_00375	Syab.g_00742
OG0000019	Pray.g_00730, Pray.g_00328	Syab.g_00344
OG0000020	Pray.g_00120	Syab.g_02230
OG0000022	Pray.g_00304, Pray.g_00101	Syab.g_01825
OG0000023	Pray.g_00838	Syab.g_00708, Syab.g_02058, Syab.g_01294
OG0000024	Pray.g_00289, Pray.g_01088	Syab.g_01834
OG0000025	Pray.g_00383, Pray.g_00809	Syab.g_01705
OG0000026	Pray.g_01493, Pray.g_00599	Syab.g_00036
OG0000027	Pray.g_00960, Pray.g_01887	Syab.g_01782
OG0000028	Pray.g_00798, Pray.g_01935	Syab.g_00234
OG0000030	Pray.g_01374	Syab.g_00096, Syab.g_00095
OG0000032	Pray.g_01782	Syab.g_00182
OG0000033	Pray.g_00650	Syab.g_02590
OG0000034	Pray.g_01860	Syab.g_00900, Syab.g_02560
OG0000035	Pray.g_01722	Syab.g_00776
OG0000037	Pray.g_00180	Syab.g_02504
OG0000038	Pray.g_01415	Syab.g_02759, Syab.g_02761
OG0000039	Pray.g_01077	Syab.g_02791
OG0000042	Pray.g_01371	Syab.g_01019, Syab.g_00099
OG0000043	Pray.g_00420	Syab.g_01539
OG0000043	Pray.g_01924	Syab.g_01785
OG0000044	Pray.g_00002	Syab.g_01262
OG0000045	Pray.g_00849	Syab.g_01787
OG0000047	Pray.g_00897, Pray.g_00808	Syab.g_00876
OG0000048	Pray.g_00852	Syab.g_00308
OG0000051	Pray.g_01894	Syab.g_01073
OG0000052	Pray.g_01793	Syab.g_00214
OG0000053	Pray.g_01702	Syab.g_00746
OG0000054	Pray.g_01157	Syab.g_01932
OG0000055	Pray.g_00329	Syab.g_01255
OG0000056	Pray.g_01942	Syab.g_01452
OG0000057	Pray.g_01065	Syab.g_01200
OG0000058	Pray.g_01786	Syab.g_00227
OG0000059	Pray.g_01258, Pray.g_01761	Syab.g_00397
OG0000061	Pray.g_00064	Syab.g_00969
OG0000063	Pray.g_01495	Syab.g_00040
OG0000065	Pray.g_00182	Syab.g_02500, Syab.g_01768
OG0000066	Pray.g_01222	Syab.g_02031
OG0000067	Pray.g_00348	Syab.g_01659
OG0000068	Pray.g_01829	Syab.g_02087
OG0000070	Pray.g_00940	Syab.g_00614
OG0000071	Pray.g_01870	Syab.g_00915
OG0000072	Pray.g_00652	Syab.g_02593
OG0000073	Pray.g_00990	Syab.g_02119
OG0000075	Pray.g_01339	Syab.g_00202
OG0000076	Pray.g_01364	Syab.g_00113
OG0000077	Pray.g_00211	Syab.g_02446
OG0000078	Pray.g_00720	Syab.g_02366
OG0000079	Pray.g_00733	Syab.g_00340
OG0000081	Pray.g_01022	Syab.g_01793
OG0000082	Pray.g_01177	Syab.g_01971
OG0000084	Pray.g_01726	Syab.g_00781
OG0000085	Pray.g_01566	Syab.g_02243
OG0000086	Pray.g_00201	Syab.g_02468
OG0000087	Pray.g_00150	Syab.g_02551
OG0000088	Pray.g_00647	Syab.g_02586
OG0000089	Pray.g_00834	Syab.g_00551
OG0000090	Pray.g_01024, Pray.g_01228	Syab.g_02041
OG0000091	Pray.g_01121	Syab.g_01866
OG0000092	Pray.g_00457, Pray.g_01325	Syab.g_01242, Syab.g_00690
OG0000094	Pray.g_00565	Syab.g_01306
OG0000097	Pray.g_00022	Syab.g_01051
OG0000098	Pray.g_01847	Syab.g_01553
OG0000099	Pray.g_01788	Syab.g_00230
