Orthogroup	Pray	Syai
OG0000001	Pray.g_01844, Pray.g_00247, Pray.g_00246	Syai.g_01716
OG0000002	Pray.g_01836, Pray.g_01085	Syai.g_01728
OG0000004	Pray.g_01068	Syai.g_01994
OG0000004	Pray.g_00713	Syai.g_01062, Syai.g_00530
OG0000005	Pray.g_01546	Syai.g_02393
OG0000005	Pray.g_01646	Syai.g_02356
OG0000006	Pray.g_00722	Syai.g_00317, Syai.g_00547
OG0000007	Pray.g_00988, Pray.g_00987	Syai.g_00657
OG0000007	Pray.g_01559	Syai.g_02378
OG0000008	Pray.g_01931	Syai.g_01956
OG0000009	Pray.g_01920, Pray.g_01610	Syai.g_01626
OG0000009	Pray.g_00184	Syai.g_02541
OG0000010	Pray.g_00592, Pray.g_00964	Syai.g_00864
OG0000011	Pray.g_00884, Pray.g_01897	Syai.g_01894, Syai.g_00582
OG0000012	Pray.g_01140	Syai.g_01987, Syai.g_01529, Syai.g_01650, Syai.g_01068
OG0000013	Pray.g_00805	Syai.g_00450, Syai.g_00436, Syai.g_00442
OG0000014	Pray.g_00784	Syai.g_00220
OG0000015	Pray.g_00309	Syai.g_01246, Syai.g_01245
OG0000016	Pray.g_01475	Syai.g_00014
OG0000017	Pray.g_01165	Syai.g_00801
OG0000018	Pray.g_00083, Pray.g_00375	Syai.g_00915
OG0000019	Pray.g_00730, Pray.g_00328	Syai.g_00304
OG0000020	Pray.g_00120	Syai.g_00476
OG0000022	Pray.g_00304, Pray.g_00101	Syai.g_01159
OG0000023	Pray.g_00838	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000024	Pray.g_00289, Pray.g_01088	Syai.g_01951
OG0000025	Pray.g_00383, Pray.g_00809	Syai.g_02044
OG0000026	Pray.g_01493, Pray.g_00599	Syai.g_00038
OG0000027	Pray.g_00960, Pray.g_01887	Syai.g_01128, Syai.g_01654
OG0000028	Pray.g_00798, Pray.g_01935	Syai.g_00205
OG0000029	Pray.g_00853, Pray.g_00296	Syai.g_01035, Syai.g_01584
OG0000030	Pray.g_01374	Syai.g_00096, Syai.g_00095
OG0000033	Pray.g_00650	Syai.g_02634
OG0000034	Pray.g_01860	Syai.g_02192, Syai.g_02604
OG0000035	Pray.g_01722	Syai.g_00955
OG0000037	Pray.g_00180	Syai.g_02544, Syai.g_02815
OG0000038	Pray.g_01415	Syai.g_02780
OG0000039	Pray.g_01077	Syai.g_02034
OG0000042	Pray.g_01371	Syai.g_00099
