Orthogroup	Pray	Syag
OG0000001	Pray.g_01844, Pray.g_00247, Pray.g_00246	Syag.g_00575
OG0000004	Pray.g_01068	Syag.g_00988
OG0000004	Pray.g_00713	Syag.g_00370, Syag.g_01790
OG0000005	Pray.g_01546	Syag.g_01708
OG0000005	Pray.g_01646	Syag.g_01667
OG0000006	Pray.g_00722	Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Pray.g_00988, Pray.g_00987	Syag.g_01507
OG0000007	Pray.g_01559	Syag.g_01687
OG0000008	Pray.g_01931	Syag.g_00496
OG0000009	Pray.g_01920, Pray.g_01610	Syag.g_00220, Syag.g_00231
OG0000009	Pray.g_00184	Syag.g_01883
OG0000010	Pray.g_00592, Pray.g_00964	Syag.g_01355
OG0000011	Pray.g_00884, Pray.g_01897, Pray.g_01930	Syag.g_01299
OG0000012	Pray.g_01140	Syag.g_00995, Syag.g_00686, Syag.g_01105, Syag.g_00377
OG0000013	Pray.g_00805	Syag.g_02820, Syag.g_02806, Syag.g_02811
OG0000014	Pray.g_00784	Syag.g_02559
OG0000014	Pray.g_01792	Syag.g_02487
OG0000015	Pray.g_00309	Syag.g_00596
OG0000016	Pray.g_01475	Syag.g_02286
OG0000017	Pray.g_01165	Syag.g_00336
OG0000018	Pray.g_00083, Pray.g_00375	Syag.g_01387
OG0000019	Pray.g_00730, Pray.g_00328	Syag.g_02663
OG0000020	Pray.g_00120	Syag.g_00085
OG0000022	Pray.g_00304, Pray.g_00101	Syag.g_00458
OG0000023	Pray.g_00838	Syag.g_00261, Syag.g_00234
OG0000024	Pray.g_00289, Pray.g_01088	Syag.g_00455
OG0000025	Pray.g_00383, Pray.g_00809	Syag.g_00718
OG0000026	Pray.g_01493, Pray.g_00599	Syag.g_02309
OG0000027	Pray.g_00960, Pray.g_01887	Syag.g_00950, Syag.g_00165
OG0000028	Pray.g_00798, Pray.g_01935	Syag.g_02540
OG0000029	Pray.g_00853, Pray.g_00296	Syag.g_00195
OG0000030	Pray.g_01374	Syag.g_02375, Syag.g_02374
OG0000031	Pray.g_01806	Syag.g_02486
OG0000033	Pray.g_00650	Syag.g_01978
OG0000034	Pray.g_01860	Syag.g_01225, Syag.g_01947
OG0000035	Pray.g_01722	Syag.g_01420
OG0000037	Pray.g_00180	Syag.g_00173
OG0000038	Pray.g_01415	Syag.g_02130, Syag.g_02132
OG0000039	Pray.g_01077	Syag.g_01325, Syag.g_02155
OG0000042	Pray.g_01371	Syag.g_01094, Syag.g_02378
OG0000043	Pray.g_00420	Syag.g_00564
OG0000045	Pray.g_00849	Syag.g_00223
OG0000047	Pray.g_00897, Pray.g_00808	Syag.g_00768
OG0000048	Pray.g_00852	Syag.g_02611
OG0000051	Pray.g_01894	Syag.g_01026
OG0000052	Pray.g_01793	Syag.g_02451
OG0000053	Pray.g_01702	Syag.g_01391
OG0000054	Pray.g_01157	Syag.g_00350
OG0000055	Pray.g_00329	Syag.g_00946
OG0000057	Pray.g_01065	Syag.g_00985
OG0000058	Pray.g_01786	Syag.g_02477
OG0000059	Pray.g_01258, Pray.g_01761	Syag.g_02721
OG0000061	Pray.g_00064	Syag.g_01141
OG0000063	Pray.g_01495	Syag.g_02313
OG0000065	Pray.g_00182	Syag.g_00182, Syag.g_01885
OG0000066	Pray.g_01222	Syag.g_01443
OG0000067	Pray.g_00348	Syag.g_00667
OG0000068	Pray.g_01829	Syag.g_01537
OG0000070	Pray.g_00940	Syag.g_00049
OG0000071	Pray.g_01870	Syag.g_01192
OG0000072	Pray.g_00652	Syag.g_01980, Syag.g_02859
OG0000073	Pray.g_00990	Syag.g_01505
OG0000075	Pray.g_01339	Syag.g_02434
OG0000076	Pray.g_01364	Syag.g_02393
