Orthogroup	Pray	Prat
OG0000000	Pray.g_01888	Prat.g_01191
OG0000000	Pray.g_01603	Prat.g_01549
OG0000002	Pray.g_01836	Prat.g_00977
OG0000002	Pray.g_01085	Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187, Prat.g_01462, Prat.g_00751
OG0000004	Pray.g_01068	Prat.g_00772
OG0000004	Pray.g_00713	Prat.g_00236
OG0000005	Pray.g_01646	Prat.g_01440
OG0000006	Pray.g_00722	Prat.g_00248
OG0000007	Pray.g_00988, Pray.g_00987	Prat.g_00458
OG0000007	Pray.g_01559	Prat.g_01592
OG0000008	Pray.g_01931	Prat.g_00376
OG0000009	Pray.g_01920	Prat.g_01451
OG0000010	Pray.g_00964	Prat.g_00682, Prat.g_00662, Prat.g_00433
OG0000011	Pray.g_01930	Prat.g_01532
OG0000012	Pray.g_01140	Prat.g_00586
OG0000013	Pray.g_00805	Prat.g_00334
OG0000014	Pray.g_00784	Prat.g_00314
OG0000014	Pray.g_01792	Prat.g_01267
OG0000015	Pray.g_00309	Prat.g_00701
OG0000016	Pray.g_01475	Prat.g_00014
OG0000017	Pray.g_01165	Prat.g_00560
OG0000018	Pray.g_00083	Prat.g_01177
OG0000018	Pray.g_00375	Prat.g_01009
OG0000019	Pray.g_00730	Prat.g_00255
OG0000019	Pray.g_00328	Prat.g_01180
OG0000020	Pray.g_00120	Prat.g_01470
OG0000021	Pray.g_01578, Pray.g_00842	Prat.g_00854
OG0000022	Pray.g_00304	Prat.g_01192
OG0000022	Pray.g_00101	Prat.g_01448
OG0000023	Pray.g_00838	Prat.g_00834
OG0000024	Pray.g_00289	Prat.g_00622
OG0000024	Pray.g_01088	Prat.g_00749
OG0000025	Pray.g_00383, Pray.g_00809	Prat.g_01003
OG0000026	Pray.g_01493, Pray.g_00599	Prat.g_00033
OG0000027	Pray.g_00960, Pray.g_01887	Prat.g_01474
OG0000028	Pray.g_00798	Prat.g_00327
OG0000028	Pray.g_01935	Prat.g_00380
OG0000030	Pray.g_01374	Prat.g_01799
OG0000031	Pray.g_01806	Prat.g_01266
OG0000033	Pray.g_00650	Prat.g_00170
OG0000034	Pray.g_01860	Prat.g_01259
OG0000035	Pray.g_01722	Prat.g_01353
OG0000037	Pray.g_00180	Prat.g_00106
OG0000038	Pray.g_01415	Prat.g_01839
OG0000039	Pray.g_01077	Prat.g_00760
OG0000040	Pray.g_01585	Prat.g_01578
OG0000042	Pray.g_01371	Prat.g_01796
OG0000043	Pray.g_00420	Prat.g_01176
OG0000045	Pray.g_00849	Prat.g_01203
OG0000047	Pray.g_00897	Prat.g_00374
OG0000048	Pray.g_00852	Prat.g_00278
OG0000050	Pray.g_00883	Prat.g_00685
OG0000053	Pray.g_01702	Prat.g_01375
OG0000054	Pray.g_01157	Prat.g_00569
OG0000055	Pray.g_00329	Prat.g_00852
OG0000056	Pray.g_01942	Prat.g_01571
OG0000057	Pray.g_01065	Prat.g_00775
OG0000058	Pray.g_01786	Prat.g_01311
OG0000059	Pray.g_01258, Pray.g_01761	Prat.g_01679
OG0000061	Pray.g_00064	Prat.g_01156
OG0000062	Pray.g_01644	Prat.g_01442
OG0000063	Pray.g_01495	Prat.g_01516
OG0000065	Pray.g_00182	Prat.g_00104
OG0000066	Pray.g_01222	Prat.g_01499
OG0000067	Pray.g_00348	Prat.g_01037
OG0000068	Pray.g_01829	Prat.g_01291
OG0000069	Pray.g_01609	Prat.g_01400
OG0000070	Pray.g_00940	Prat.g_00412
OG0000071	Pray.g_01870	Prat.g_01249
OG0000072	Pray.g_00652	Prat.g_00172
OG0000073	Pray.g_00990	Prat.g_00462
OG0000074	Pray.g_01081	Prat.g_00755
OG0000075	Pray.g_01339	Prat.g_01761
OG0000076	Pray.g_01364	Prat.g_01788
OG0000077	Pray.g_00211	Prat.g_00075
OG0000078	Pray.g_00720	Prat.g_00245
OG0000079	Pray.g_00733	Prat.g_00258
OG0000081	Pray.g_01022	Prat.g_00493
OG0000082	Pray.g_01177	Prat.g_01507
OG0000083	Pray.g_00284, Pray.g_01891, Pray.g_00277	Prat.g_00824
OG0000084	Pray.g_01726	Prat.g_01348
OG0000085	Pray.g_01566	Prat.g_01584
OG0000086	Pray.g_00201	Prat.g_00086
OG0000087	Pray.g_00150	Prat.g_00138
OG0000088	Pray.g_00647	Prat.g_00166
OG0000089	Pray.g_00834	Prat.g_00370
OG0000090	Pray.g_01024, Pray.g_01228	Prat.g_00495
OG0000091	Pray.g_01121	Prat.g_01082
OG0000092	Pray.g_00457	Prat.g_00721
OG0000092	Pray.g_01325	Prat.g_01275
OG0000093	Pray.g_00479	Prat.g_01053
OG0000094	Pray.g_00565	Prat.g_00943
OG0000095	Pray.g_00584	Prat.g_00965
OG0000096	Pray.g_00117, Pray.g_01905	Prat.g_00634
OG0000097	Pray.g_00022	Prat.g_01111
OG0000098	Pray.g_01847	Prat.g_01282
OG0000099	Pray.g_01788	Prat.g_01312
OG0000100	Pray.g_01648	Prat.g_01437
OG0000101	Pray.g_01306	Prat.g_01726
OG0000102	Pray.g_01369	Prat.g_01793
OG0000103	Pray.g_01449	Prat.g_01880
OG0000104	Pray.g_01457	Prat.g_01889
OG0000105	Pray.g_00753	Prat.g_00281
