Orthogroup	Pray	Prag
OG0000000	Pray.g_01888	Prag.g_01647, Prag.g_00719, Prag.g_01335
OG0000000	Pray.g_01603	Prag.g_01608
OG0000000	Pray.g_00003	Prag.g_01213
OG0000000	Pray.g_01604	Prag.g_01213
OG0000000	Pray.g_00003	Prag.g_01607
OG0000000	Pray.g_01604	Prag.g_01607
OG0000000	Pray.g_00003	Prag.g_01650
OG0000000	Pray.g_01604	Prag.g_01650
OG0000000	Pray.g_01890	Prag.g_01333
OG0000000	Pray.g_01602	Prag.g_01649, Prag.g_01610
OG0000001	Pray.g_01844	Prag.g_01374
OG0000001	Pray.g_00246	Prag.g_01216, Prag.g_01215
OG0000002	Pray.g_01836	Prag.g_01382
OG0000002	Pray.g_01085	Prag.g_00656
OG0000004	Pray.g_01068	Prag.g_00673
OG0000004	Pray.g_00713	Prag.g_00225
OG0000005	Pray.g_01546	Prag.g_01682
OG0000005	Pray.g_01646	Prag.g_01566
OG0000006	Pray.g_00722	Prag.g_00234, Prag.g_01231
OG0000007	Pray.g_00988, Pray.g_00987	Prag.g_00476
OG0000007	Pray.g_01559	Prag.g_01669
OG0000008	Pray.g_01931	Prag.g_01655
OG0000008	Pray.g_01091	Prag.g_00650
OG0000009	Pray.g_01610	Prag.g_01600
OG0000009	Pray.g_00184	Prag.g_00098
OG0000010	Pray.g_00592	Prag.g_01043
OG0000010	Pray.g_00964	Prag.g_00453
OG0000011	Pray.g_01897	Prag.g_01326
OG0000012	Pray.g_01140	Prag.g_00601
OG0000013	Pray.g_00805	Prag.g_00318
OG0000014	Pray.g_00784	Prag.g_00297
OG0000015	Pray.g_00309	Prag.g_00765
OG0000016	Pray.g_01475	Prag.g_00013
OG0000017	Pray.g_01165	Prag.g_00576
OG0000018	Pray.g_00083	Prag.g_01134
OG0000018	Pray.g_00375	Prag.g_00833
OG0000019	Pray.g_00730	Prag.g_00242
OG0000019	Pray.g_00328	Prag.g_00786
OG0000020	Pray.g_00120	Prag.g_01100
