Orthogroup	Praz	Praw
OG0000000	Praz.g_01198	Praw.g_00493, Praw.g_01782, Praw.g_00961
OG0000000	Praz.g_00921	Praw.g_00455
OG0000000	Praz.g_00694	Praw.g_00294
OG0000000	Praz.g_00922	Praw.g_00294
OG0000000	Praz.g_00694	Praw.g_00454
OG0000000	Praz.g_00922	Praw.g_00454
OG0000000	Praz.g_00694	Praw.g_00496
OG0000000	Praz.g_00922	Praw.g_00496
OG0000000	Praz.g_01200	Praw.g_00959
OG0000000	Praz.g_00920	Praw.g_00495, Praw.g_00457
OG0000001	Praz.g_01154	Praw.g_01000
OG0000001	Praz.g_01940	Praw.g_01951
OG0000002	Praz.g_01146	Praw.g_01009
OG0000002	Praz.g_01652	Praw.g_01844
OG0000004	Praz.g_01635	Praw.g_01827
OG0000004	Praz.g_00592	Praw.g_01203
OG0000005	Praz.g_00864	Praw.g_00528
OG0000005	Praz.g_00965	Praw.g_00413
OG0000006	Praz.g_00601	Praw.g_01950
OG0000007	Praz.g_01831	Praw.g_00651
OG0000007	Praz.g_00877	Praw.g_00515
OG0000008	Praz.g_01241	Praw.g_00501
OG0000008	Praz.g_01658	Praw.g_01850
OG0000009	Praz.g_00929	Praw.g_00447
OG0000009	Praz.g_00465	Praw.g_01330
OG0000010	Praz.g_01854	Praw.g_00673
OG0000010	Praz.g_00074	Praw.g_01460
OG0000011	Praz.g_01207	Praw.g_00952
OG0000012	Praz.g_01707	Praw.g_00159
OG0000013	Praz.g_00684	Praw.g_00807
OG0000014	Praz.g_00663	Praw.g_00828
OG0000015	Praz.g_01551	Praw.g_01738
OG0000017	Praz.g_01732	Praw.g_01944
OG0000018	Praz.g_01485	Praw.g_01670
OG0000018	Praz.g_00011	Praw.g_00215
OG0000019	Praz.g_00609	Praw.g_00884
OG0000019	Praz.g_01532	Praw.g_01717
OG0000020	Praz.g_00048	Praw.g_00181
OG0000021	Praz.g_00896	Praw.g_00479
OG0000021	Praz.g_00810	Praw.g_00767
OG0000022	Praz.g_00029	Praw.g_00197
OG0000022	Praz.g_01556	Praw.g_01746
OG0000023	Praz.g_00814	Praw.g_00772
OG0000024	Praz.g_01571	Praw.g_01763
OG0000024	Praz.g_01655	Praw.g_01847
OG0000025	Praz.g_00688	Praw.g_00803
OG0000025	Praz.g_01477	Praw.g_01664
OG0000026	Praz.g_00396	Praw.g_01397
OG0000026	Praz.g_00081	Praw.g_01453
OG0000027	Praz.g_01858	Praw.g_00677
OG0000027	Praz.g_01197	Praw.g_00962
OG0000028	Praz.g_01246	Praw.g_00334
OG0000028	Praz.g_00677	Praw.g_00814
OG0000029	Praz.g_01564	Praw.g_01755
OG0000030	Praz.g_00195	Praw.g_00029
OG0000031	Praz.g_01116	Praw.g_01073
OG0000032	Praz.g_01092	Praw.g_01043
OG0000033	Praz.g_00529	Praw.g_01266
OG0000034	Praz.g_01170	Praw.g_00991
OG0000035	Praz.g_01041	Praw.g_01081, Praw.g_01083
OG0000037	Praz.g_00469	Praw.g_01326
OG0000038	Praz.g_00154	Praw.g_01182
OG0000039	Praz.g_01644	Praw.g_01836
OG0000040	Praz.g_00903	Praw.g_00476
OG0000040	Praz.g_00012	Praw.g_00214
OG0000042	Praz.g_00198	Praw.g_00032
OG0000043	Praz.g_01440	Praw.g_01627
OG0000045	Praz.g_00803	Praw.g_00761
OG0000047	Praz.g_00687	Praw.g_00804
OG0000048	Praz.g_00800	Praw.g_00758
OG0000049	Praz.g_00790	Praw.g_00750
OG0000049	Praz.g_01269	Praw.g_00328
OG0000049	Praz.g_00767	Praw.g_00928
OG0000050	Praz.g_00101	Praw.g_01432
OG0000051	Praz.g_01204	Praw.g_00955
OG0000052	Praz.g_01103	Praw.g_01071
OG0000053	Praz.g_01021	Praw.g_00357
OG0000054	Praz.g_01724	Praw.g_00142
OG0000055	Praz.g_01531	Praw.g_01716
OG0000057	Praz.g_01632	Praw.g_01824
