Orthogroup	Praj	Prat
OG0000000	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Prat.g_00680, Prat.g_01191
OG0000000	Praj.g_01099, Praj.g_01737, Praj.g_00415, Praj.g_01204, Praj.g_01274, Praj.g_01311	Prat.g_01190
OG0000000	Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202	Prat.g_01549
OG0000000	Praj.g_01100	Prat.g_01189
OG0000000	Praj.g_01080	Prat.g_01547
OG0000001	Praj.g_01549	Prat.g_01285, Prat.g_01286
OG0000001	Praj.g_00463, Praj.g_01861	Prat.g_00851
OG0000002	Praj.g_00832	Prat.g_00977
OG0000002	Praj.g_01489	Prat.g_01184
OG0000002	Praj.g_01488	Prat.g_01487, Prat.g_01182
OG0000002	Praj.g_01493, Praj.g_01487	Prat.g_01187
OG0000002	Praj.g_01492	Prat.g_01462
OG0000002	Praj.g_00670	Prat.g_00751
OG0000004	Praj.g_01396	Prat.g_00772
OG0000004	Praj.g_00271	Prat.g_00236
OG0000005	Praj.g_01712	Prat.g_01440
OG0000006	Praj.g_00282, Praj.g_01281, Praj.g_01505	Prat.g_00248
OG0000007	Praj.g_00489	Prat.g_00458
OG0000007	Praj.g_01768	Prat.g_01592
OG0000008	Praj.g_01829	Prat.g_00376
OG0000008	Praj.g_01830	Prat.g_00377
OG0000010	Praj.g_00466	Prat.g_00433
OG0000010	Praj.g_01026	Prat.g_00682, Prat.g_00662
OG0000011	Praj.g_01158	Prat.g_01532
OG0000013	Praj.g_00362	Prat.g_00334
OG0000014	Praj.g_00341	Prat.g_00314
OG0000014	Praj.g_01609	Prat.g_01267
OG0000015	Praj.g_01113	Prat.g_00701
OG0000016	Praj.g_00013	Prat.g_00014
OG0000016	Praj.g_01865	Prat.g_01219
OG0000018	Praj.g_00798	Prat.g_01009
OG0000018	Praj.g_01482	Prat.g_01177
OG0000019	Praj.g_00747	Prat.g_01180
OG0000020	Praj.g_01139	Prat.g_00648
OG0000021	Praj.g_01859	Prat.g_00854
OG0000021	Praj.g_00084	Prat.g_00461
OG0000022	Praj.g_01216	Prat.g_01448
OG0000022	Praj.g_01189	Prat.g_01192
OG0000023	Praj.g_01365, Praj.g_01329	Prat.g_00834
OG0000024	Praj.g_01134	Prat.g_00622
OG0000024	Praj.g_00666	Prat.g_00749
OG0000025	Praj.g_00805	Prat.g_01003
OG0000026	Praj.g_00031	Prat.g_00033
OG0000027	Praj.g_01331	Prat.g_01474, Prat.g_01548
OG0000028	Praj.g_01571	Prat.g_00380
OG0000030	Praj.g_02024	Prat.g_01799
OG0000031	Praj.g_00371	Prat.g_01266
OG0000032	Praj.g_01669	Prat.g_01394
OG0000033	Praj.g_00209	Prat.g_00170, Prat.g_01265
OG0000034	Praj.g_01538	Prat.g_01259
OG0000035	Praj.g_01632	Prat.g_01353, Prat.g_01352
OG0000037	Praj.g_00147	Prat.g_00106
OG0000038	Praj.g_02089	Prat.g_01839
OG0000039	Praj.g_00679	Prat.g_00760
OG0000040	Praj.g_01844, Praj.g_01735	Prat.g_01578
OG0000041	Praj.g_01813	Prat.g_01640
OG0000042	Praj.g_02020	Prat.g_01796
OG0000043	Praj.g_01157, Praj.g_00864	Prat.g_01176
OG0000045	Praj.g_01303, Praj.g_01049	Prat.g_01203
OG0000046	Praj.g_00363	Prat.g_00335
OG0000047	Praj.g_00408	Prat.g_00374
OG0000048	Praj.g_00308	Prat.g_00278
OG0000052	Praj.g_00095	Prat.g_00058
OG0000053	Praj.g_01651	Prat.g_01375
OG0000054	Praj.g_00594	Prat.g_00569
OG0000057	Praj.g_01313, Praj.g_00691	Prat.g_00775
OG0000058	Praj.g_00839	Prat.g_01311
OG0000059	Praj.g_01892	Prat.g_01679
OG0000061	Praj.g_01461	Prat.g_01156
OG0000062	Praj.g_01714	Prat.g_01442
OG0000063	Praj.g_01867	Prat.g_01516
OG0000065	Praj.g_00145	Prat.g_00104
OG0000066	Praj.g_00530	Prat.g_01499
OG0000067	Praj.g_00769	Prat.g_01037
OG0000068	Praj.g_01575	Prat.g_01291
OG0000069	Praj.g_01675	Prat.g_01400
OG0000070	Praj.g_00444	Prat.g_00412
OG0000071	Praj.g_01528	Prat.g_01249
OG0000072	Praj.g_00211	Prat.g_00172
OG0000073	Praj.g_00491	Prat.g_00462
OG0000074	Praj.g_00870	Prat.g_00696
OG0000074	Praj.g_01060	Prat.g_01577
OG0000075	Praj.g_01987	Prat.g_01761
OG0000076	Praj.g_02012	Prat.g_01788
OG0000077	Praj.g_00116	Prat.g_00075
OG0000078	Praj.g_00280	Prat.g_00245
OG0000079	Praj.g_00291	Prat.g_00258
OG0000081	Praj.g_00522	Prat.g_00493
OG0000082	Praj.g_01827	Prat.g_01507
OG0000083	Praj.g_01121, Praj.g_00411	Prat.g_00824
OG0000084	Praj.g_01628	Prat.g_01348
OG0000085	Praj.g_01762	Prat.g_01584
OG0000086	Praj.g_00126	Prat.g_00086
OG0000087	Praj.g_00179	Prat.g_00138
OG0000088	Praj.g_00206	Prat.g_00166
OG0000089	Praj.g_00403	Prat.g_00370
OG0000090	Praj.g_00524	Prat.g_00495
OG0000091	Praj.g_00630	Prat.g_01082
OG0000092	Praj.g_00892	Prat.g_01275
OG0000093	Praj.g_00754	Prat.g_01053
OG0000094	Praj.g_00846	Prat.g_00943
OG0000095	Praj.g_01024	Prat.g_00965
OG0000096	Praj.g_01249	Prat.g_00634
