Orthogroup	Praj	Syab
OG0000000	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Syab.g_01226
OG0000001	Praj.g_01549	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673
OG0000002	Praj.g_00832, Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492, Praj.g_00670	Syab.g_02285
OG0000004	Praj.g_01396	Syab.g_00549, Syab.g_01193
OG0000004	Praj.g_00271	Syab.g_01911, Syab.g_02377
OG0000005	Praj.g_01349	Syab.g_02289
OG0000005	Praj.g_01712	Syab.g_02232
OG0000006	Praj.g_00282, Praj.g_01281, Praj.g_01505	Syab.g_01849, Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Praj.g_00489	Syab.g_02117
OG0000007	Praj.g_01768	Syab.g_02256
OG0000008	Praj.g_01829	Syab.g_01755
OG0000008	Praj.g_01830	Syab.g_01168
OG0000010	Praj.g_01026	Syab.g_00696
OG0000011	Praj.g_01158	Syab.g_01491
OG0000013	Praj.g_00362	Syab.g_00487, Syab.g_00497, Syab.g_00482
OG0000014	Praj.g_00341	Syab.g_00249
OG0000014	Praj.g_01609	Syab.g_00178
OG0000015	Praj.g_01113	Syab.g_02889
OG0000016	Praj.g_00013	Syab.g_00014
OG0000016	Praj.g_01865	Syab.g_01049
OG0000018	Praj.g_01482	Syab.g_00742
OG0000019	Praj.g_00747	Syab.g_00344
OG0000020	Praj.g_01139	Syab.g_02230
OG0000022	Praj.g_01216	Syab.g_01825
OG0000023	Praj.g_01365, Praj.g_01329	Syab.g_00708, Syab.g_02058, Syab.g_01294
OG0000024	Praj.g_01134, Praj.g_00666	Syab.g_01834
OG0000025	Praj.g_00805	Syab.g_01705
OG0000026	Praj.g_00031	Syab.g_00036
OG0000027	Praj.g_01331	Syab.g_01782
OG0000028	Praj.g_01571	Syab.g_00234
OG0000030	Praj.g_02024	Syab.g_00096, Syab.g_00095
OG0000031	Praj.g_00371	Syab.g_00160
OG0000032	Praj.g_01669	Syab.g_00724
OG0000033	Praj.g_00209	Syab.g_02590
OG0000034	Praj.g_01538	Syab.g_00900, Syab.g_02560
OG0000035	Praj.g_01632	Syab.g_00776, Syab.g_00778
OG0000037	Praj.g_00147	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205, Syab.g_02504
OG0000038	Praj.g_02089	Syab.g_02759, Syab.g_02761
OG0000039	Praj.g_00679	Syab.g_02791
OG0000041	Praj.g_01813	Syab.g_01086, Syab.g_02804, Syab.g_02333
OG0000042	Praj.g_02020	Syab.g_01019, Syab.g_00099
OG0000043	Praj.g_01157	Syab.g_02802
OG0000043	Praj.g_00864	Syab.g_01785
OG0000045	Praj.g_01303	Syab.g_00871
OG0000046	Praj.g_00363	Syab.g_00488, Syab.g_00496, Syab.g_00481
OG0000047	Praj.g_00370, Praj.g_00408	Syab.g_00876
OG0000048	Praj.g_00308	Syab.g_00308
OG0000051	Praj.g_01339	Syab.g_01073
OG0000052	Praj.g_00095	Syab.g_00214
OG0000053	Praj.g_01651	Syab.g_00746
OG0000054	Praj.g_00594	Syab.g_01932
OG0000057	Praj.g_01313, Praj.g_00691	Syab.g_01200
OG0000058	Praj.g_00839	Syab.g_00227
OG0000059	Praj.g_01892	Syab.g_00397
OG0000060	Praj.g_01108	Syab.g_00662, Syab.g_02094, Syab.g_01222, Syab.g_00707
OG0000061	Praj.g_01461	Syab.g_00969
OG0000062	Praj.g_01714	Syab.g_02234
OG0000063	Praj.g_01867	Syab.g_00040
OG0000065	Praj.g_00145	Syab.g_02500, Syab.g_01768
OG0000066	Praj.g_00530	Syab.g_01516, Syab.g_02031
OG0000067	Praj.g_00769	Syab.g_01659
OG0000068	Praj.g_01575	Syab.g_02087
OG0000070	Praj.g_00444	Syab.g_00614
OG0000071	Praj.g_01528	Syab.g_00915
OG0000072	Praj.g_00211	Syab.g_02593
OG0000073	Praj.g_00491	Syab.g_02119
OG0000075	Praj.g_01987	Syab.g_00202
OG0000076	Praj.g_02012	Syab.g_00113
OG0000077	Praj.g_00116	Syab.g_02446
OG0000078	Praj.g_00280	Syab.g_02366
OG0000079	Praj.g_00291	Syab.g_00340
OG0000081	Praj.g_00522	Syab.g_01793
OG0000082	Praj.g_01827	Syab.g_01971
OG0000084	Praj.g_01628	Syab.g_00781
OG0000085	Praj.g_01762	Syab.g_02243
OG0000086	Praj.g_00126	Syab.g_02468
OG0000087	Praj.g_00179	Syab.g_02551
OG0000088	Praj.g_00206	Syab.g_02586
OG0000089	Praj.g_00403	Syab.g_00551
OG0000090	Praj.g_00524	Syab.g_02041
OG0000091	Praj.g_00630	Syab.g_01866
OG0000092	Praj.g_00892	Syab.g_01242, Syab.g_00690
OG0000093	Praj.g_00754	Syab.g_01582
OG0000094	Praj.g_00846	Syab.g_01306
OG0000095	Praj.g_01024	Syab.g_01210
OG0000097	Praj.g_01416	Syab.g_01051
