Orthogroup	Praj	Syae
OG0000001	Praj.g_01549	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055
OG0000004	Praj.g_01396	Syae.g_00779
OG0000004	Praj.g_00271	Syae.g_00042, Syae.g_02231
OG0000005	Praj.g_01349	Syae.g_01179
OG0000005	Praj.g_01712	Syae.g_01143
OG0000006	Praj.g_00282, Praj.g_01281, Praj.g_01505	Syae.g_00096, Syae.g_02030, Syae.g_02248
OG0000007	Praj.g_00489	Syae.g_02328
OG0000007	Praj.g_01768	Syae.g_01163
OG0000008	Praj.g_01829	Syae.g_00753
OG0000008	Praj.g_01830	Syae.g_00752
OG0000010	Praj.g_01026	Syae.g_02529
OG0000011	Praj.g_01187	Syae.g_00268
OG0000011	Praj.g_01158	Syae.g_00750
OG0000013	Praj.g_00362	Syae.g_02160, Syae.g_02169, Syae.g_02155
OG0000014	Praj.g_00341	Syae.g_01930
OG0000014	Praj.g_01609	Syae.g_01850
OG0000015	Praj.g_01113	Syae.g_01693, Syae.g_00590
OG0000016	Praj.g_00013	Syae.g_01726
OG0000016	Praj.g_01865	Syae.g_00681, Syae.g_00233
OG0000018	Praj.g_01482	Syae.g_02625
OG0000019	Praj.g_00747	Syae.g_02015
OG0000021	Praj.g_01859, Praj.g_00084	Syae.g_00481
OG0000022	Praj.g_01216	Syae.g_00144
OG0000023	Praj.g_01365, Praj.g_01329	Syae.g_00439, Syae.g_00930
OG0000025	Praj.g_00805	Syae.g_00833
OG0000026	Praj.g_00031	Syae.g_01748
OG0000027	Praj.g_01331	Syae.g_00103, Syae.g_00814
OG0000028	Praj.g_01571	Syae.g_01916
OG0000029	Praj.g_01745	Syae.g_00136
OG0000030	Praj.g_02024	Syae.g_01817, Syae.g_01816
OG0000031	Praj.g_00371	Syae.g_01911
OG0000032	Praj.g_01669	Syae.g_02607
OG0000033	Praj.g_00209	Syae.g_01453
OG0000034	Praj.g_01538	Syae.g_00975, Syae.g_01424
OG0000035	Praj.g_01632	Syae.g_02653
OG0000037	Praj.g_00147	Syae.g_01367
OG0000038	Praj.g_02089	Syae.g_01571
OG0000039	Praj.g_00679	Syae.g_00822, Syae.g_02495
OG0000041	Praj.g_01813	Syae.g_01042, Syae.g_00802
OG0000042	Praj.g_02020	Syae.g_01821
OG0000043	Praj.g_00864	Syae.g_00117
OG0000045	Praj.g_01303	Syae.g_00732
OG0000046	Praj.g_00363	Syae.g_02161, Syae.g_02168, Syae.g_02154
OG0000047	Praj.g_00370, Praj.g_00408	Syae.g_02184
OG0000048	Praj.g_00308	Syae.g_01982
OG0000050	Praj.g_01398	Syae.g_00122
OG0000050	Praj.g_00099	Syae.g_01023
OG0000052	Praj.g_00095	Syae.g_01886
OG0000053	Praj.g_01651	Syae.g_02629
OG0000054	Praj.g_00594	Syae.g_00014, Syae.g_00221
OG0000057	Praj.g_01313, Praj.g_00691	Syae.g_00782
OG0000058	Praj.g_00839	Syae.g_01905, Syae.g_01227
OG0000059	Praj.g_01892	Syae.g_02074
OG0000060	Praj.g_01108	Syae.g_02514, Syae.g_02306, Syae.g_00649
OG0000061	Praj.g_01461	Syae.g_00921
OG0000062	Praj.g_01714	Syae.g_01145
OG0000063	Praj.g_01867	Syae.g_01752
OG0000065	Praj.g_00145	Syae.g_01363, Syae.g_00722
OG0000066	Praj.g_00530	Syae.g_02386
OG0000067	Praj.g_00769	Syae.g_00521
OG0000068	Praj.g_01575	Syae.g_02299
OG0000069	Praj.g_01276, Praj.g_01675	Syae.g_00458
OG0000070	Praj.g_00444	Syae.g_00979
OG0000071	Praj.g_01528	Syae.g_00961
OG0000072	Praj.g_00211	Syae.g_01455
OG0000073	Praj.g_00491	Syae.g_02330
OG0000074	Praj.g_01060	Syae.g_00719
OG0000075	Praj.g_01987	Syae.g_01871
OG0000076	Praj.g_02012	Syae.g_01829
OG0000078	Praj.g_00280	Syae.g_02243
OG0000079	Praj.g_00291	Syae.g_02011
OG0000081	Praj.g_00522	Syae.g_02261
OG0000082	Praj.g_01827	Syae.g_02447
OG0000084	Praj.g_01628	Syae.g_00857, Syae.g_02656
OG0000085	Praj.g_01762	Syae.g_01152
OG0000086	Praj.g_00126	Syae.g_01333
OG0000087	Praj.g_00179	Syae.g_01414
OG0000088	Praj.g_00206	Syae.g_01449
OG0000089	Praj.g_00403	Syae.g_02219
OG0000090	Praj.g_00524	Syae.g_02374
OG0000091	Praj.g_00630	Syae.g_00082
OG0000092	Praj.g_00892	Syae.g_00884
OG0000093	Praj.g_00754	Syae.g_00537
OG0000094	Praj.g_00846	Syae.g_00430
OG0000095	Praj.g_01024	Syae.g_00793, Syae.g_00259
OG0000097	Praj.g_01416	Syae.g_00683
OG0000098	Praj.g_01546	Syae.g_02384, Syae.g_02058
OG0000099	Praj.g_00372	Syae.g_01913, Syae.g_01226
OG0000100	Praj.g_01709	Syae.g_00489
OG0000101	Praj.g_01952	Syae.g_02125
OG0000102	Praj.g_02017	Syae.g_01824
OG0000103	Praj.g_02135	Syae.g_01694
OG0000104	Praj.g_02145	Syae.g_01708
OG0000105	Praj.g_00310	Syae.g_01977
OG0000106	Praj.g_01156, Praj.g_01282	Syae.g_00272
OG0000107	Praj.g_01869	Syae.g_02032
OG0000108	Praj.g_00473	Syae.g_02309
OG0000109	Praj.g_00486	Syae.g_02324
OG0000110	Praj.g_00565	Syae.g_02435
OG0000111	Praj.g_00692	Syae.g_00783
OG0000112	Praj.g_00938	Syae.g_00351
OG0000113	Praj.g_00793, Praj.g_01176	Syae.g_00494
OG0000114	Praj.g_00887	Syae.g_00575
OG0000115	Praj.g_01725	Syae.g_02631
OG0000116	Praj.g_01471	Syae.g_00939
OG0000117	Praj.g_01355	Syae.g_00647
OG0000118	Praj.g_01540	Syae.g_02479
OG0000119	Praj.g_01568	Syae.g_00904
OG0000120	Praj.g_00664	Syae.g_01912
OG0000121	Praj.g_01634	Syae.g_02649
OG0000122	Praj.g_01673	Syae.g_00112
OG0000123	Praj.g_01959	Syae.g_02131
OG0000124	Praj.g_02031	Syae.g_01809
