Orthogroup	Praj	Pras
OG0000000	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Pras.g_00184
OG0000000	Praj.g_00418, Praj.g_01077, Praj.g_01357, Praj.g_01730	Pras.g_00493
OG0000000	Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202	Pras.g_00470
OG0000000	Praj.g_00087	Pras.g_00117, Pras.g_00469
OG0000001	Praj.g_01549	Pras.g_00235
OG0000001	Praj.g_01112	Pras.g_00118, Pras.g_00120
OG0000002	Praj.g_00832	Pras.g_00243
OG0000002	Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492, Praj.g_00670	Pras.g_01554
OG0000004	Praj.g_01396	Pras.g_01571
OG0000004	Praj.g_00271	Pras.g_01084
OG0000005	Praj.g_01349	Pras.g_00563
OG0000005	Praj.g_01712	Pras.g_00429
OG0000006	Praj.g_00282, Praj.g_01281, Praj.g_01505	Pras.g_00148, Pras.g_01093
OG0000007	Praj.g_00489	Pras.g_01375
OG0000007	Praj.g_01768	Pras.g_00550
OG0000010	Praj.g_00466	Pras.g_01352
OG0000010	Praj.g_01026	Pras.g_00523, Pras.g_01942
OG0000011	Praj.g_01187	Pras.g_00176, Pras.g_01289
OG0000011	Praj.g_01158	Pras.g_00142, Pras.g_00166
OG0000012	Praj.g_01066	Pras.g_01499
OG0000013	Praj.g_00362	Pras.g_01179
OG0000014	Praj.g_00341	Pras.g_01158
OG0000015	Praj.g_01113	Pras.g_00127
OG0000016	Praj.g_00013	Pras.g_00855
OG0000017	Praj.g_00585, Praj.g_00592	Pras.g_01474
OG0000018	Praj.g_00798	Pras.g_01728
OG0000018	Praj.g_01482	Pras.g_00037
OG0000019	Praj.g_00747	Pras.g_01681
OG0000020	Praj.g_01139	Pras.g_00530
OG0000021	Praj.g_01859, Praj.g_00084	Pras.g_00507, Pras.g_01218
OG0000022	Praj.g_01216	Pras.g_00019
OG0000022	Praj.g_01189	Pras.g_01662
OG0000023	Praj.g_01365, Praj.g_01329	Pras.g_01213
OG0000024	Praj.g_01134	Pras.g_01645
OG0000024	Praj.g_00666	Pras.g_01551
OG0000025	Praj.g_00805	Pras.g_01183
OG0000026	Praj.g_00031	Pras.g_00873, Pras.g_01949
OG0000027	Praj.g_01331	Pras.g_01348, Pras.g_00185
OG0000028	Praj.g_01571	Pras.g_00169
OG0000029	Praj.g_01745	Pras.g_01653
OG0000030	Praj.g_02024	Pras.g_00753
OG0000031	Praj.g_00371	Pras.g_00331
OG0000033	Praj.g_00209	Pras.g_01020
OG0000034	Praj.g_01538	Pras.g_00219
OG0000035	Praj.g_01632	Pras.g_00350
OG0000037	Praj.g_00147	Pras.g_00960
OG0000038	Praj.g_02089	Pras.g_00795
OG0000039	Praj.g_00679	Pras.g_01562
OG0000040	Praj.g_01735	Pras.g_00489
OG0000041	Praj.g_01813	Pras.g_00597
OG0000042	Praj.g_02020	Pras.g_00750
OG0000043	Praj.g_01157	Pras.g_00153
OG0000045	Praj.g_01303	Pras.g_00509
OG0000047	Praj.g_00370	Pras.g_01182
OG0000047	Praj.g_00408	Pras.g_01263
OG0000048	Praj.g_00308	Pras.g_01227
OG0000050	Praj.g_00099	Pras.g_01969
OG0000051	Praj.g_01347	Pras.g_00508
OG0000053	Praj.g_01651	Pras.g_00886, Pras.g_00370
OG0000054	Praj.g_00594	Pras.g_01482
OG0000055	Praj.g_00733, Praj.g_01842	Pras.g_01682
OG0000057	Praj.g_01313, Praj.g_00691	Pras.g_01574
OG0000059	Praj.g_01892	Pras.g_00637
OG0000061	Praj.g_01461	Pras.g_00056
OG0000062	Praj.g_01714	Pras.g_00431
OG0000063	Praj.g_01867	Pras.g_00875
OG0000065	Praj.g_00145	Pras.g_00958
OG0000066	Praj.g_00530	Pras.g_01416
OG0000067	Praj.g_00769	Pras.g_01701, Pras.g_00311
OG0000068	Praj.g_01575	Pras.g_00250
OG0000069	Praj.g_01276, Praj.g_01675	Pras.g_00538, Pras.g_00464
OG0000070	Praj.g_00444	Pras.g_01328
OG0000071	Praj.g_01528	Pras.g_00209
OG0000072	Praj.g_00211	Pras.g_01022
OG0000073	Praj.g_00491	Pras.g_01377
OG0000074	Praj.g_00674, Praj.g_00870, Praj.g_01060	Pras.g_01558
OG0000075	Praj.g_01987	Pras.g_00719
OG0000076	Praj.g_02012	Pras.g_00883, Pras.g_00743
OG0000077	Praj.g_00116	Pras.g_00929
OG0000078	Praj.g_00280	Pras.g_01091
OG0000079	Praj.g_00291	Pras.g_01104
OG0000081	Praj.g_00522	Pras.g_01408
OG0000082	Praj.g_01827	Pras.g_01462
OG0000083	Praj.g_01121, Praj.g_00411	Pras.g_01638, Pras.g_01631
OG0000084	Praj.g_01628	Pras.g_00346
OG0000085	Praj.g_01762	Pras.g_00543
