Orthogroup	Praj	Syat
OG0000001	Praj.g_01549	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878
OG0000005	Praj.g_01349	Syat.g_03065
OG0000005	Praj.g_01712	Syat.g_03105
OG0000006	Praj.g_00282, Praj.g_01281, Praj.g_01505	Syat.g_00371, Syat.g_01439, Syat.g_01865
OG0000007	Praj.g_00489	Syat.g_03191
OG0000007	Praj.g_01768	Syat.g_03124
OG0000008	Praj.g_01829	Syat.g_02626
OG0000008	Praj.g_01830	Syat.g_02627
OG0000010	Praj.g_01026	Syat.g_01372
OG0000012	Praj.g_01066	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143
OG0000013	Praj.g_00362	Syat.g_01625, Syat.g_01016, Syat.g_01027
OG0000014	Praj.g_00341	Syat.g_02104
OG0000014	Praj.g_01609	Syat.g_02250
OG0000015	Praj.g_01113	Syat.g_00775, Syat.g_01677
OG0000016	Praj.g_00013	Syat.g_02329
OG0000016	Praj.g_01865	Syat.g_00909, Syat.g_00222, Syat.g_00832
OG0000017	Praj.g_00592	Syat.g_00015
OG0000018	Praj.g_01482	Syat.g_01334
OG0000019	Praj.g_00747	Syat.g_01876
OG0000021	Praj.g_01859, Praj.g_00084	Syat.g_00964
OG0000022	Praj.g_01216	Syat.g_00210
OG0000024	Praj.g_01134, Praj.g_00666	Syat.g_03394
OG0000025	Praj.g_00805	Syat.g_00719
OG0000026	Praj.g_00031	Syat.g_02306
OG0000027	Praj.g_01331	Syat.g_00850
OG0000028	Praj.g_01571	Syat.g_02126
OG0000030	Praj.g_02024	Syat.g_00307, Syat.g_00308
OG0000031	Praj.g_00371	Syat.g_02131, Syat.g_03199, Syat.g_02243
OG0000032	Praj.g_01669	Syat.g_01354
OG0000033	Praj.g_00209	Syat.g_02858
OG0000034	Praj.g_01538	Syat.g_01165, Syat.g_02902
OG0000035	Praj.g_01632	Syat.g_01227, Syat.g_01226
OG0000037	Praj.g_00147	Syat.g_01575, Syat.g_00849, Syat.g_00187
OG0000038	Praj.g_02089	Syat.g_02688, Syat.g_02686
OG0000039	Praj.g_00679	Syat.g_01278
OG0000041	Praj.g_01813	Syat.g_00785, Syat.g_03006
OG0000042	Praj.g_02020	Syat.g_00223, Syat.g_02222
OG0000045	Praj.g_01303, Praj.g_01049	Syat.g_00935
OG0000046	Praj.g_00363	Syat.g_01626, Syat.g_01026
OG0000048	Praj.g_00308	Syat.g_02046
OG0000052	Praj.g_00095	Syat.g_02140
OG0000053	Praj.g_01651	Syat.g_01330
OG0000054	Praj.g_00594	Syat.g_00987, Syat.g_03390
OG0000055	Praj.g_01842	Syat.g_00693
OG0000057	Praj.g_01313, Praj.g_00691	Syat.g_00817, Syat.g_02055
OG0000058	Praj.g_00839	Syat.g_02133, Syat.g_02238, Syat.g_01189
OG0000059	Praj.g_01892	Syat.g_01832
OG0000060	Praj.g_01108	Syat.g_01384, Syat.g_01383, Syat.g_01047
OG0000061	Praj.g_01461	Syat.g_03260
OG0000062	Praj.g_01714	Syat.g_03107
OG0000063	Praj.g_01867	Syat.g_02303
OG0000065	Praj.g_00145	Syat.g_01571
OG0000066	Praj.g_00530	Syat.g_03283
OG0000067	Praj.g_00769	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874
OG0000068	Praj.g_01575	Syat.g_00085, Syat.g_01295
OG0000069	Praj.g_01276, Praj.g_01675	Syat.g_00090, Syat.g_00879
OG0000070	Praj.g_00444	Syat.g_01032, Syat.g_01040
OG0000071	Praj.g_01528	Syat.g_01153
OG0000072	Praj.g_00211	Syat.g_02856, Syat.g_01597
OG0000073	Praj.g_00491	Syat.g_03201
OG0000075	Praj.g_01987	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Praj.g_02012	Syat.g_02206
OG0000077	Praj.g_00116	Syat.g_01481
OG0000078	Praj.g_00280	Syat.g_00184
OG0000079	Praj.g_00291	Syat.g_01879
OG0000081	Praj.g_00522	Syat.g_00980
OG0000082	Praj.g_01827	Syat.g_00035
OG0000085	Praj.g_01762	Syat.g_03113
OG0000086	Praj.g_00126	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Praj.g_00179	Syat.g_02912
OG0000088	Praj.g_00206	Syat.g_02862
OG0000089	Praj.g_00403	Syat.g_02953
OG0000090	Praj.g_00524	Syat.g_03270
OG0000091	Praj.g_00630	Syat.g_00939, Syat.g_00862
OG0000092	Praj.g_00892	Syat.g_00825
OG0000094	Praj.g_00846	Syat.g_00698, Syat.g_01034
OG0000095	Praj.g_01024	Syat.g_00808
OG0000097	Praj.g_01416	Syat.g_00907, Syat.g_00535
OG0000098	Praj.g_01546	Syat.g_03281
OG0000099	Praj.g_00372	Syat.g_02130
OG0000100	Praj.g_01709	Syat.g_00517
OG0000101	Praj.g_01952	Syat.g_01661
OG0000102	Praj.g_02017	Syat.g_00974
OG0000103	Praj.g_02135	Syat.g_02399
OG0000104	Praj.g_02145	Syat.g_02385
OG0000105	Praj.g_00310	Syat.g_02052
OG0000106	Praj.g_01156, Praj.g_01282	Syat.g_00957
OG0000107	Praj.g_01869	Syat.g_02009, Syat.g_01862
OG0000108	Praj.g_00473	Syat.g_03170
OG0000109	Praj.g_00486	Syat.g_03187
OG0000110	Praj.g_00565	Syat.g_00049
OG0000111	Praj.g_00692	Syat.g_00816
OG0000112	Praj.g_00938	Syat.g_00593
OG0000113	Praj.g_00793, Praj.g_01176	Syat.g_00509
OG0000114	Praj.g_00887	Syat.g_00426
OG0000115	Praj.g_01725	Syat.g_01328
OG0000116	Praj.g_01471	Syat.g_02641
OG0000117	Praj.g_01355	Syat.g_00224
OG0000118	Praj.g_01540	Syat.g_01168
OG0000119	Praj.g_01568	Syat.g_00309
OG0000120	Praj.g_00664	Syat.g_02132
OG0000121	Praj.g_01634	Syat.g_01223
OG0000123	Praj.g_01959	Syat.g_01653
OG0000124	Praj.g_02031	Syat.g_02231
OG0000125	Praj.g_02091	Syat.g_02684
OG0000126	Praj.g_02144	Syat.g_00976
OG0000128	Praj.g_00011	Syat.g_02331
OG0000129	Praj.g_00048	Syat.g_02693, Syat.g_02694
OG0000130	Praj.g_00107	Syat.g_01469
OG0000131	Praj.g_00185	Syat.g_02898
OG0000132	Praj.g_00204	Syat.g_02864
OG0000133	Praj.g_00357	Syat.g_00588
OG0000134	Praj.g_00405	Syat.g_02956
OG0000135	Praj.g_01279	Syat.g_02501
OG0000136	Praj.g_00435	Syat.g_01292
OG0000137	Praj.g_00467	Syat.g_01371
OG0000138	Praj.g_00487	Syat.g_03188
OG0000139	Praj.g_00528	Syat.g_03276
OG0000140	Praj.g_00529	Syat.g_03280
OG0000141	Praj.g_00595	Syat.g_03398
OG0000142	Praj.g_00623	Syat.g_00117
OG0000143	Praj.g_00627	Syat.g_00130
OG0000144	Praj.g_00640	Syat.g_00369
OG0000145	Praj.g_01054	Syat.g_03202
OG0000146	Praj.g_00937	Syat.g_00594
OG0000147	Praj.g_00936	Syat.g_00595
OG0000148	Praj.g_00787	Syat.g_00503
OG0000149	Praj.g_00819	Syat.g_00747
OG0000150	Praj.g_00828	Syat.g_03399
OG0000151	Praj.g_00898	Syat.g_00801, Syat.g_00440
