Orthogroup	Praj	Prbk
OG0000000	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Prbk.g_00167, Prbk.g_00166
OG0000000	Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202	Prbk.g_00165
OG0000001	Praj.g_01549	Prbk.g_01196, Prbk.g_00170, Prbk.g_00561, Prbk.g_02701, Prbk.g_00630
OG0000002	Praj.g_00832	Prbk.g_02574
OG0000002	Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492, Praj.g_00670	Prbk.g_01649
OG0000004	Praj.g_01396	Prbk.g_01760
OG0000004	Praj.g_00271	Prbk.g_01134
OG0000005	Praj.g_01712	Prbk.g_00933
OG0000006	Praj.g_00282, Praj.g_01281, Praj.g_01505	Prbk.g_02695
OG0000007	Praj.g_01768	Prbk.g_00907
OG0000008	Praj.g_01829	Prbk.g_01819
OG0000008	Praj.g_01830	Prbk.g_01820
OG0000010	Praj.g_01026	Prbk.g_02112
OG0000011	Praj.g_01187	Prbk.g_01851
OG0000013	Praj.g_00362	Prbk.g_00853
OG0000014	Praj.g_00341	Prbk.g_00454
OG0000015	Praj.g_01113	Prbk.g_02558
OG0000018	Praj.g_01482	Prbk.g_01227
OG0000019	Praj.g_00747	Prbk.g_01644, Prbk.g_01004
OG0000020	Praj.g_01139	Prbk.g_01331, Prbk.g_02697
OG0000020	Praj.g_01025	Prbk.g_01664
OG0000021	Praj.g_01859	Prbk.g_01960
OG0000021	Praj.g_00084	Prbk.g_01137
OG0000022	Praj.g_01216	Prbk.g_01667
OG0000022	Praj.g_01189	Prbk.g_00212
OG0000023	Praj.g_01365, Praj.g_01329	Prbk.g_02448
OG0000024	Praj.g_01134, Praj.g_00666	Prbk.g_01780
OG0000025	Praj.g_00805	Prbk.g_02531
OG0000026	Praj.g_00031	Prbk.g_01617
OG0000029	Praj.g_01745	Prbk.g_00833
OG0000030	Praj.g_02024	Prbk.g_01532, Prbk.g_01533
OG0000031	Praj.g_00371	Prbk.g_00534, Prbk.g_00539
OG0000032	Praj.g_01669	Prbk.g_01209
OG0000033	Praj.g_00209	Prbk.g_00776
OG0000034	Praj.g_01538	Prbk.g_01171
OG0000035	Praj.g_01632	Prbk.g_00259
OG0000037	Praj.g_00147	Prbk.g_00007
OG0000038	Praj.g_02089	Prbk.g_02164, Prbk.g_02166
OG0000039	Praj.g_00679	Prbk.g_01385, Prbk.g_00642
OG0000041	Praj.g_01813	Prbk.g_01406
OG0000042	Praj.g_02020	Prbk.g_01495, Prbk.g_00140
OG0000045	Praj.g_01303, Praj.g_01049	Prbk.g_01321
OG0000046	Praj.g_00363	Prbk.g_00854
OG0000047	Praj.g_00370	Prbk.g_01202
OG0000047	Praj.g_00408	Prbk.g_02565
OG0000048	Praj.g_00308	Prbk.g_00405
OG0000051	Praj.g_01339	Prbk.g_01709
OG0000052	Praj.g_00095	Prbk.g_00499
OG0000053	Praj.g_01651	Prbk.g_01230
OG0000054	Praj.g_00594	Prbk.g_01153
OG0000057	Praj.g_01313, Praj.g_00691	Prbk.g_01765
OG0000058	Praj.g_00839	Prbk.g_00479
OG0000059	Praj.g_01892	Prbk.g_00992
OG0000060	Praj.g_01108	Prbk.g_02058, Prbk.g_01286
OG0000061	Praj.g_01461	Prbk.g_01019
OG0000062	Praj.g_01714	Prbk.g_00931
OG0000063	Praj.g_01867	Prbk.g_01613
OG0000065	Praj.g_00145	Prbk.g_00011
OG0000066	Praj.g_00530	Prbk.g_01094
OG0000067	Praj.g_00769	Prbk.g_02468
OG0000068	Praj.g_01575	Prbk.g_02052
OG0000070	Praj.g_00444	Prbk.g_00310
OG0000071	Praj.g_01528	Prbk.g_01183
OG0000072	Praj.g_00211	Prbk.g_00778
OG0000073	Praj.g_00491	Prbk.g_01862
OG0000075	Praj.g_01987	Prbk.g_00514
OG0000076	Praj.g_02012	Prbk.g_00237
OG0000077	Praj.g_00116	Prbk.g_00307
OG0000078	Praj.g_00280	Prbk.g_01515
OG0000079	Praj.g_00291	Prbk.g_01000
OG0000081	Praj.g_00522	Prbk.g_00733, Prbk.g_01772
OG0000082	Praj.g_01827	Prbk.g_01122
OG0000084	Praj.g_01628	Prbk.g_00255
OG0000085	Praj.g_01762	Prbk.g_00919
OG0000086	Praj.g_00126	Prbk.g_01295
OG0000087	Praj.g_00179	Prbk.g_00559
OG0000088	Praj.g_00206	Prbk.g_00773, Prbk.g_01836
OG0000089	Praj.g_00403	Prbk.g_00364
OG0000090	Praj.g_00524	Prbk.g_01080
OG0000091	Praj.g_00630	Prbk.g_02639
OG0000093	Praj.g_00754	Prbk.g_02444
OG0000094	Praj.g_00846	Prbk.g_02190
OG0000095	Praj.g_01024	Prbk.g_00056
OG0000097	Praj.g_01416	Prbk.g_00189
OG0000098	Praj.g_01546	Prbk.g_01199
OG0000099	Praj.g_00372	Prbk.g_00476
OG0000100	Praj.g_01709	Prbk.g_01360, Prbk.g_02498
OG0000101	Praj.g_01952	Prbk.g_00796, Prbk.g_00944
OG0000102	Praj.g_02017	Prbk.g_01484
OG0000103	Praj.g_02135	Prbk.g_02260
OG0000104	Praj.g_02145	Prbk.g_02274
OG0000105	Praj.g_00310	Prbk.g_00409
OG0000106	Praj.g_01156, Praj.g_01282	Prbk.g_00925
OG0000107	Praj.g_01869	Prbk.g_01902
OG0000108	Praj.g_00473	Prbk.g_02061
