Orthogroup	Prai	Prae
OG0000000	Prai.g_00905, Prai.g_01772	Prae.g_01310
OG0000000	Prai.g_01592	Prae.g_01580
OG0000000	Prai.g_00908	Prae.g_01222
OG0000000	Prai.g_01234	Prae.g_01222
OG0000000	Prai.g_01591	Prae.g_01222
OG0000000	Prai.g_01775	Prae.g_01222
OG0000000	Prai.g_00908	Prae.g_01579
OG0000000	Prai.g_01234	Prae.g_01579
OG0000000	Prai.g_01591	Prae.g_01579
OG0000000	Prai.g_01775	Prae.g_01579
OG0000000	Prai.g_01314	Prae.g_01308
OG0000000	Prai.g_01596	Prae.g_01581
OG0000001	Prai.g_01235, Prai.g_01356	Prae.g_01353
OG0000001	Prai.g_01236	Prae.g_01236, Prae.g_01223, Prae.g_01224
OG0000002	Prai.g_01363	Prae.g_01361
OG0000002	Prai.g_00707	Prae.g_00652
OG0000004	Prai.g_00724	Prae.g_00669
OG0000004	Prai.g_00243	Prae.g_00235
OG0000005	Prai.g_01651	Prae.g_01636
OG0000005	Prai.g_01538	Prae.g_01535
OG0000006	Prai.g_00252, Prai.g_00254	Prae.g_00244
OG0000007	Prai.g_00527	Prae.g_00471
OG0000007	Prai.g_01638	Prae.g_01623
OG0000008	Prai.g_00701	Prae.g_00646
OG0000009	Prai.g_01578	Prae.g_01270, Prae.g_01572
OG0000010	Prai.g_01067	Prae.g_01048
OG0000010	Prai.g_00504	Prae.g_00448
OG0000011	Prai.g_01599	Prae.g_00398
OG0000012	Prai.g_00652	Prae.g_00597
OG0000013	Prai.g_00340	Prae.g_00328
OG0000014	Prai.g_00319	Prae.g_00307
OG0000015	Prai.g_01243	Prae.g_01235
OG0000016	Prai.g_00013	Prae.g_00013
OG0000017	Prai.g_00626	Prae.g_00572
OG0000018	Prai.g_01153	Prae.g_01144
OG0000018	Prai.g_00820	Prae.g_00833
OG0000019	Prai.g_00262	Prae.g_00252
OG0000019	Prai.g_00867	Prae.g_00786
OG0000020	Prai.g_01125	Prae.g_01107
OG0000021	Prai.g_00378	Prae.g_01600, Prae.g_00364
OG0000022	Prai.g_00885	Prae.g_00764
OG0000022	Prai.g_01139	Prae.g_01125
OG0000023	Prai.g_00373	Prae.g_00359
OG0000024	Prai.g_00899	Prae.g_00748
OG0000024	Prai.g_00704	Prae.g_00649
OG0000025	Prai.g_00812	Prae.g_00840
OG0000025	Prai.g_00344	Prae.g_00332
OG0000026	Prai.g_00031	Prae.g_00031
OG0000026	Prai.g_01074	Prae.g_01056
OG0000027	Prai.g_00904	Prae.g_00444, Prae.g_01311
OG0000028	Prai.g_00333	Prae.g_00321
OG0000029	Prai.g_00890	Prae.g_00755
OG0000030	Prai.g_01848	Prae.g_01825
OG0000031	Prai.g_01444	Prae.g_01402, Prae.g_01391
OG0000033	Prai.g_00180	Prae.g_00172
OG0000034	Prai.g_01345	Prae.g_01339
OG0000035	Prai.g_01463	Prae.g_01459
OG0000037	Prai.g_00109	Prae.g_00108
OG0000038	Prai.g_01890	Prae.g_01865
OG0000039	Prai.g_00715	Prae.g_00660
OG0000041	Prai.g_01684	Prae.g_01669
OG0000042	Prai.g_01845	Prae.g_01822
OG0000043	Prai.g_01064	Prae.g_00876
OG0000045	Prai.g_00384	Prae.g_00371
OG0000047	Prai.g_00343	Prae.g_00331
OG0000048	Prai.g_00387	Prae.g_00374
OG0000049	Prai.g_00394	Prae.g_00383
OG0000049	Prai.g_00437	Prae.g_01264
OG0000050	Prai.g_01093	Prae.g_01077
OG0000051	Prai.g_00434	Prae.g_01294
OG0000051	Prai.g_01263	Prae.g_01602
OG0000052	Prai.g_00154	Prae.g_01416
OG0000053	Prai.g_01483	Prae.g_01479
OG0000054	Prai.g_00634	Prae.g_00580
OG0000055	Prai.g_00866	Prae.g_00787
OG0000057	Prai.g_00727	Prae.g_00672
OG0000058	Prai.g_01859	Prae.g_01406
OG0000059	Prai.g_01725	Prae.g_01710
OG0000061	Prai.g_01171	Prae.g_01422, Prae.g_01163
OG0000062	Prai.g_01540	Prae.g_01537
