Orthogroup	Prai	Syal
OG0000000	Prai.g_00905, Prai.g_01772, Prai.g_01612, Prai.g_01592, Prai.g_00908, Prai.g_01234, Prai.g_01591, Prai.g_01775, Prai.g_00907, Prai.g_01774, Prai.g_01314, Prai.g_01596	Syal.g_01111, Syal.g_01832
OG0000001	Prai.g_01235, Prai.g_01356, Prai.g_01236	Syal.g_02193
OG0000004	Prai.g_00724	Syal.g_01809
OG0000004	Prai.g_00243	Syal.g_02718, Syal.g_00691
OG0000005	Prai.g_01651	Syal.g_00606
OG0000005	Prai.g_01538	Syal.g_00565
OG0000006	Prai.g_00252, Prai.g_00254	Syal.g_00674
OG0000007	Prai.g_00527	Syal.g_02918
OG0000007	Prai.g_01638	Syal.g_00587
OG0000008	Prai.g_00701	Syal.g_02512, Syal.g_01783
OG0000009	Prai.g_01578	Syal.g_02089
OG0000009	Prai.g_00105	Syal.g_00818
OG0000010	Prai.g_01292, Prai.g_01067, Prai.g_00504	Syal.g_00464
OG0000011	Prai.g_01599	Syal.g_00702
OG0000012	Prai.g_00652	Syal.g_02535, Syal.g_01639
OG0000013	Prai.g_00340	Syal.g_00322, Syal.g_00310, Syal.g_00315
OG0000014	Prai.g_00319	Syal.g_01305
OG0000016	Prai.g_00013	Syal.g_00111
OG0000017	Prai.g_00626	Syal.g_02752
OG0000018	Prai.g_01153, Prai.g_00820	Syal.g_00410
OG0000019	Prai.g_00262, Prai.g_00867	Syal.g_01209
OG0000022	Prai.g_00885, Prai.g_01139	Syal.g_02587
OG0000023	Prai.g_00373	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Prai.g_00899, Prai.g_00704	Syal.g_02597
OG0000025	Prai.g_00812, Prai.g_00344	Syal.g_02459
OG0000026	Prai.g_00031, Prai.g_01074	Syal.g_00132
OG0000027	Prai.g_00904	Syal.g_02543
OG0000028	Prai.g_00333, Prai.g_01297	Syal.g_01319
OG0000029	Prai.g_00890	Syal.g_03014
OG0000030	Prai.g_01848	Syal.g_01511, Syal.g_01512
OG0000033	Prai.g_00180	Syal.g_00912
OG0000034	Prai.g_01345	Syal.g_00881, Syal.g_01586
OG0000035	Prai.g_01463	Syal.g_00370
OG0000037	Prai.g_00109	Syal.g_00824
OG0000038	Prai.g_01890	Syal.g_01071, Syal.g_01073
OG0000039	Prai.g_00715	Syal.g_01097
OG0000041	Prai.g_01684	Syal.g_00649
OG0000042	Prai.g_01845	Syal.g_01705, Syal.g_01508
