Orthogroup	Prai	Syat
OG0000001	Prai.g_01235, Prai.g_01356, Prai.g_01236	Syat.g_02910, Syat.g_02911
OG0000005	Prai.g_01651	Syat.g_03065
OG0000005	Prai.g_01538	Syat.g_03105
OG0000006	Prai.g_00252, Prai.g_00254	Syat.g_01439, Syat.g_01865
OG0000007	Prai.g_00527	Syat.g_03191
OG0000007	Prai.g_01638	Syat.g_03124
OG0000008	Prai.g_00701	Syat.g_02626, Syat.g_02627
OG0000009	Prai.g_00105	Syat.g_01567
OG0000010	Prai.g_01292, Prai.g_01067, Prai.g_00504	Syat.g_01372
OG0000013	Prai.g_00340	Syat.g_01625, Syat.g_01016, Syat.g_01027
OG0000014	Prai.g_00319	Syat.g_02104
OG0000016	Prai.g_00013	Syat.g_02329
OG0000017	Prai.g_00626	Syat.g_00015
OG0000018	Prai.g_01153, Prai.g_00820	Syat.g_01334
OG0000019	Prai.g_00262, Prai.g_00867	Syat.g_01876
OG0000021	Prai.g_00378	Syat.g_00964
OG0000022	Prai.g_00885, Prai.g_01139	Syat.g_00210
OG0000024	Prai.g_00899, Prai.g_00704	Syat.g_03394
OG0000025	Prai.g_00812, Prai.g_00344	Syat.g_00719
OG0000026	Prai.g_00031, Prai.g_01074	Syat.g_02306
OG0000027	Prai.g_00904	Syat.g_00850
OG0000028	Prai.g_00333, Prai.g_01297	Syat.g_02126
OG0000030	Prai.g_01848	Syat.g_00307, Syat.g_00308
OG0000031	Prai.g_01444	Syat.g_03199, Syat.g_02243
OG0000033	Prai.g_00180	Syat.g_02858
OG0000034	Prai.g_01345	Syat.g_01165, Syat.g_02902
OG0000035	Prai.g_01463	Syat.g_01227, Syat.g_01226
OG0000037	Prai.g_00109	Syat.g_00849, Syat.g_00187
OG0000038	Prai.g_01890	Syat.g_02688, Syat.g_02686
OG0000039	Prai.g_00715	Syat.g_01278
OG0000042	Prai.g_01845	Syat.g_00223, Syat.g_02222
OG0000045	Prai.g_01274, Prai.g_00384	Syat.g_00935
OG0000048	Prai.g_00387	Syat.g_02046
OG0000053	Prai.g_01483	Syat.g_01330
OG0000057	Prai.g_00727	Syat.g_00817
OG0000058	Prai.g_01859	Syat.g_01189
OG0000061	Prai.g_01171	Syat.g_03260
OG0000063	Prai.g_00033, Prai.g_01261	Syat.g_02303
OG0000065	Prai.g_00107	Syat.g_01571
OG0000066	Prai.g_00567	Syat.g_03283
OG0000067	Prai.g_00848	Syat.g_00479
OG0000068	Prai.g_01370	Syat.g_00085, Syat.g_01295
OG0000070	Prai.g_00481	Syat.g_01032, Syat.g_01040
OG0000072	Prai.g_00182	Syat.g_02856, Syat.g_01597
OG0000073	Prai.g_00529	Syat.g_03201
OG0000075	Prai.g_01814	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Prai.g_01838	Syat.g_02206
OG0000078	Prai.g_00250	Syat.g_00184
OG0000079	Prai.g_00265	Syat.g_01879
OG0000080	Prai.g_01411, Prai.g_00399	Syat.g_02420
OG0000081	Prai.g_00559	Syat.g_00980
OG0000082	Prai.g_00613	Syat.g_00035
OG0000085	Prai.g_01631	Syat.g_03113
OG0000086	Prai.g_00088	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Prai.g_00139	Syat.g_02912
OG0000088	Prai.g_00177	Syat.g_02862
OG0000089	Prai.g_00368	Syat.g_02953
OG0000090	Prai.g_00561	Syat.g_03270
OG0000091	Prai.g_00671	Syat.g_00939, Syat.g_00862
OG0000092	Prai.g_01041	Syat.g_00825
OG0000094	Prai.g_00937	Syat.g_00698, Syat.g_01034
OG0000097	Prai.g_01214	Syat.g_00907, Syat.g_00535
OG0000098	Prai.g_01353	Syat.g_03281
OG0000099	Prai.g_01393	Syat.g_02130
OG0000100	Prai.g_01536	Syat.g_00517
OG0000101	Prai.g_01782	Syat.g_01661
OG0000102	Prai.g_01843	Syat.g_00974
OG0000103	Prai.g_01923	Syat.g_02399
OG0000104	Prai.g_01932	Syat.g_02385
OG0000105	Prai.g_00286, Prai.g_00287	Syat.g_02052
OG0000106	Prai.g_00383	Syat.g_00957
OG0000107	Prai.g_00397	Syat.g_01862
OG0000108	Prai.g_00510	Syat.g_03170
OG0000109	Prai.g_00524	Syat.g_03187
OG0000110	Prai.g_00603	Syat.g_00049
OG0000111	Prai.g_00728	Syat.g_00816
OG0000112	Prai.g_00882	Syat.g_00593
OG0000113	Prai.g_00825	Syat.g_00509
OG0000114	Prai.g_01046	Syat.g_00426
OG0000115	Prai.g_01119	Syat.g_01328
OG0000116	Prai.g_01162	Syat.g_02641
OG0000117	Prai.g_01273	Syat.g_00224
OG0000118	Prai.g_01347	Syat.g_01168
OG0000119	Prai.g_01366	Syat.g_00309
OG0000120	Prai.g_01443	Syat.g_02132
OG0000121	Prai.g_01465	Syat.g_01223
OG0000123	Prai.g_01789	Syat.g_01653
OG0000124	Prai.g_01854	Syat.g_02231
OG0000125	Prai.g_01892	Syat.g_02684
OG0000126	Prai.g_01931	Syat.g_00976
OG0000128	Prai.g_00011	Syat.g_02331
OG0000129	Prai.g_00051	Syat.g_02693, Syat.g_02694
OG0000130	Prai.g_00069	Syat.g_01469
OG0000131	Prai.g_00156	Syat.g_02898
OG0000132	Prai.g_00175	Syat.g_02864
OG0000133	Prai.g_00335	Syat.g_00588
OG0000134	Prai.g_00369	Syat.g_02956
OG0000135	Prai.g_00393	Syat.g_02501
OG0000136	Prai.g_00472	Syat.g_01292
OG0000137	Prai.g_00505	Syat.g_01371
OG0000138	Prai.g_00525	Syat.g_03188
OG0000140	Prai.g_00566	Syat.g_03280
OG0000141	Prai.g_00635	Syat.g_03398
OG0000142	Prai.g_00664	Syat.g_00117
OG0000143	Prai.g_00668	Syat.g_00130
OG0000144	Prai.g_00681	Syat.g_00369
OG0000145	Prai.g_00883	Syat.g_03202
OG0000146	Prai.g_00881	Syat.g_00594
OG0000147	Prai.g_00880	Syat.g_00595
OG0000148	Prai.g_00831	Syat.g_00503
OG0000149	Prai.g_00800	Syat.g_00747
OG0000150	Prai.g_00792	Syat.g_03399
OG0000151	Prai.g_01036	Syat.g_00801, Syat.g_00440
OG0000152	Prai.g_00989	Syat.g_00578
OG0000153	Prai.g_00970	Syat.g_00542
OG0000154	Prai.g_00943	Syat.g_00708
OG0000155	Prai.g_01191	Syat.g_00287
OG0000156	Prai.g_01323	Syat.g_03228
OG0000157	Prai.g_01324	Syat.g_02012, Syat.g_03227
OG0000158	Prai.g_01392	Syat.g_02163
OG0000159	Prai.g_01321, Prai.g_01390	Syat.g_01187
OG0000160	Prai.g_01464	Syat.g_01224
OG0000161	Prai.g_01470	Syat.g_01180
OG0000162	Prai.g_01476	Syat.g_01281
OG0000163	Prai.g_01509	Syat.g_02979
OG0000164	Prai.g_01662	Syat.g_03040
OG0000165	Prai.g_01669	Syat.g_03033
OG0000166	Prai.g_01740	Syat.g_01822
OG0000167	Prai.g_01812	Syat.g_02148
OG0000168	Prai.g_01822	Syat.g_02164
OG0000169	Prai.g_01832	Syat.g_02192
OG0000170	Prai.g_01834	Syat.g_02201
OG0000171	Prai.g_01853	Syat.g_02230
OG0000172	Prai.g_01863	Syat.g_02260
OG0000173	Prai.g_01878	Syat.g_02284
OG0000174	Prai.g_01905	Syat.g_02504
OG0000175	Prai.g_01915	Syat.g_02416
OG0000176	Prai.g_00004	Syat.g_02372
OG0000177	Prai.g_00005	Syat.g_02338
OG0000178	Prai.g_00006	Syat.g_02337
OG0000179	Prai.g_00016	Syat.g_02322
OG0000180	Prai.g_00017	Syat.g_02321
OG0000181	Prai.g_00018	Syat.g_02320
OG0000182	Prai.g_00019	Syat.g_02319
OG0000183	Prai.g_00023	Syat.g_02315
OG0000184	Prai.g_00053	Syat.g_02704
OG0000185	Prai.g_00056	Syat.g_02719
OG0000186	Prai.g_00064	Syat.g_01463
OG0000187	Prai.g_00065	Syat.g_01467
OG0000188	Prai.g_00082	Syat.g_01489
OG0000189	Prai.g_00096	Syat.g_01557
OG0000190	Prai.g_00097	Syat.g_00330
OG0000191	Prai.g_00117	Syat.g_03344, Syat.g_02939
OG0000192	Prai.g_00121	Syat.g_02933
OG0000193	Prai.g_00157	Syat.g_02897
OG0000194	Prai.g_00160	Syat.g_02894
OG0000195	Prai.g_00162	Syat.g_02892
OG0000196	Prai.g_00172	Syat.g_02867
OG0000197	Prai.g_00173	Syat.g_02866
OG0000198	Prai.g_00174	Syat.g_02865
OG0000199	Prai.g_00181	Syat.g_02857
OG0000200	Prai.g_00195	Syat.g_02840
OG0000201	Prai.g_00203	Syat.g_02821
OG0000202	Prai.g_00204	Syat.g_02820
OG0000203	Prai.g_00205	Syat.g_02819
OG0000204	Prai.g_00206	Syat.g_02818
OG0000205	Prai.g_00213	Syat.g_02809
OG0000206	Prai.g_00218	Syat.g_02785
OG0000207	Prai.g_00220	Syat.g_02778
OG0000208	Prai.g_00221	Syat.g_02777
OG0000209	Prai.g_00230	Syat.g_02735
OG0000210	Prai.g_00231	Syat.g_02734
OG0000211	Prai.g_00244	Syat.g_01452
OG0000212	Prai.g_00251	Syat.g_01442
OG0000213	Prai.g_00270	Syat.g_01889
OG0000214	Prai.g_00280	Syat.g_02042
OG0000215	Prai.g_00305	Syat.g_02075
OG0000216	Prai.g_00307	Syat.g_02079
OG0000217	Prai.g_00310	Syat.g_02085
OG0000218	Prai.g_00312	Syat.g_02087
OG0000219	Prai.g_00313	Syat.g_02088
OG0000220	Prai.g_00314	Syat.g_02089
OG0000221	Prai.g_00315	Syat.g_02095
OG0000222	Prai.g_00323	Syat.g_02109
OG0000223	Prai.g_00336	Syat.g_02570
OG0000224	Prai.g_00338	Syat.g_02139
OG0000225	Prai.g_00358	Syat.g_01595
OG0000226	Prai.g_00362	Syat.g_01588
OG0000228	Prai.g_00367	Syat.g_02952
OG0000229	Prai.g_00467	Syat.g_02970
OG0000230	Prai.g_00469	Syat.g_02972
OG0000231	Prai.g_00480	Syat.g_01283
OG0000232	Prai.g_00489	Syat.g_01313
OG0000233	Prai.g_00494	Syat.g_01407
OG0000234	Prai.g_00506	Syat.g_01369
OG0000235	Prai.g_00509	Syat.g_03169
OG0000236	Prai.g_00523	Syat.g_03186
OG0000237	Prai.g_00536	Syat.g_03214
OG0000238	Prai.g_00542	Syat.g_03219
OG0000239	Prai.g_00553	Syat.g_01105
OG0000240	Prai.g_00554	Syat.g_01104
OG0000241	Prai.g_00558	Syat.g_00111
OG0000242	Prai.g_00560	Syat.g_01077
OG0000243	Prai.g_00571	Syat.g_00092
OG0000244	Prai.g_00574	Syat.g_00082
OG0000245	Prai.g_00576	Syat.g_00080
OG0000246	Prai.g_00580	Syat.g_00076
OG0000247	Prai.g_00590	Syat.g_00065
OG0000248	Prai.g_00593	Syat.g_00062
OG0000249	Prai.g_00595	Syat.g_00060
OG0000250	Prai.g_00600	Syat.g_00053
OG0000251	Prai.g_00619	Syat.g_00027
OG0000252	Prai.g_00622	Syat.g_00022
OG0000253	Prai.g_00623	Syat.g_00021
OG0000254	Prai.g_00639	Syat.g_03407
OG0000255	Prai.g_00645	Syat.g_02405
OG0000256	Prai.g_00656	Syat.g_03306
OG0000257	Prai.g_00659	Syat.g_00109
OG0000258	Prai.g_00672	Syat.g_00382
OG0000259	Prai.g_00689	Syat.g_00342
OG0000260	Prai.g_00692	Syat.g_00392
OG0000261	Prai.g_00694	Syat.g_00400
OG0000262	Prai.g_00698	Syat.g_00407
OG0000263	Prai.g_00710	Syat.g_00200
OG0000266	Prai.g_00758	Syat.g_00671
OG0000267	Prai.g_00769	Syat.g_00636
OG0000268	Prai.g_00770	Syat.g_00634
OG0000269	Prai.g_00853	Syat.g_00474, Syat.g_00126
OG0000270	Prai.g_00850	Syat.g_00477
OG0000271	Prai.g_00842	Syat.g_00485
OG0000272	Prai.g_00840, Prai.g_00841	Syat.g_00486
OG0000273	Prai.g_00817	Syat.g_00520
OG0000274	Prai.g_00816	Syat.g_00521
OG0000275	Prai.g_00741, Prai.g_00813	Syat.g_00718
OG0000276	Prai.g_00808	Syat.g_00725
OG0000277	Prai.g_00807	Syat.g_00738
OG0000278	Prai.g_00804	Syat.g_00741
OG0000279	Prai.g_00797	Syat.g_00755
OG0000280	Prai.g_00796	Syat.g_01669
OG0000281	Prai.g_00791	Syat.g_00960
OG0000282	Prai.g_01044	Syat.g_00431
OG0000283	Prai.g_01012	Syat.g_00620
OG0000284	Prai.g_01007	Syat.g_00614
OG0000285	Prai.g_01002	Syat.g_00607
OG0000286	Prai.g_00990	Syat.g_00579
OG0000287	Prai.g_00973	Syat.g_00550
OG0000288	Prai.g_00944	Syat.g_00709
OG0000289	Prai.g_00934	Syat.g_00695
OG0000290	Prai.g_00921	Syat.g_00805
OG0000292	Prai.g_01107	Syat.g_02388
OG0000293	Prai.g_01163	Syat.g_03241
OG0000294	Prai.g_01164	Syat.g_03248
OG0000295	Prai.g_01183	Syat.g_00297
OG0000296	Prai.g_01185	Syat.g_00295
OG0000299	Prai.g_01213	Syat.g_00910
OG0000300	Prai.g_01216	Syat.g_00904
OG0000301	Prai.g_01217	Syat.g_00903
OG0000302	Prai.g_01219	Syat.g_00901
OG0000303	Prai.g_01226	Syat.g_00892
OG0000304	Prai.g_01230	Syat.g_00885
OG0000305	Prai.g_01362	Syat.g_00809
OG0000306	Prai.g_01365	Syat.g_01704
OG0000307	Prai.g_01379	Syat.g_01304
OG0000308	Prai.g_01380	Syat.g_01306
OG0000309	Prai.g_01384	Syat.g_01417
OG0000310	Prai.g_01448	Syat.g_01246
OG0000311	Prai.g_01450	Syat.g_01242
OG0000312	Prai.g_01453	Syat.g_01237
OG0000313	Prai.g_01467	Syat.g_01183
OG0000314	Prai.g_01489	Syat.g_01341
OG0000315	Prai.g_01499	Syat.g_01351
OG0000316	Prai.g_01519	Syat.g_03082
OG0000317	Prai.g_01636	Syat.g_03120
OG0000318	Prai.g_01639	Syat.g_03125
OG0000319	Prai.g_01652	Syat.g_03055
OG0000320	Prai.g_01654	Syat.g_03053
OG0000321	Prai.g_01655	Syat.g_03052
OG0000322	Prai.g_01656	Syat.g_03051
OG0000323	Prai.g_01665	Syat.g_03038
OG0000324	Prai.g_01691	Syat.g_02998
OG0000325	Prai.g_01702	Syat.g_01861
OG0000326	Prai.g_01708	Syat.g_01854
OG0000327	Prai.g_01735	Syat.g_01827
OG0000328	Prai.g_01736	Syat.g_01826
OG0000329	Prai.g_01754	Syat.g_01808
OG0000330	Prai.g_01755	Syat.g_01807
OG0000331	Prai.g_01756	Syat.g_01806
