Orthogroup	Prai	Syap
OG0000004	Prai.g_00243	Syap.g_01987
OG0000005	Prai.g_01651	Syap.g_01773
OG0000005	Prai.g_01538	Syap.g_01218
OG0000007	Prai.g_00527	Syap.g_00275
OG0000007	Prai.g_01638	Syap.g_00621
OG0000009	Prai.g_00105	Syap.g_02081
OG0000010	Prai.g_01292, Prai.g_01067, Prai.g_00504	Syap.g_02757
OG0000013	Prai.g_00340	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972
OG0000014	Prai.g_00319	Syap.g_01675
OG0000016	Prai.g_00013	Syap.g_00071
OG0000017	Prai.g_00626	Syap.g_00449
OG0000018	Prai.g_01153, Prai.g_00820	Syap.g_02010
OG0000019	Prai.g_00262, Prai.g_00867	Syap.g_01586
OG0000025	Prai.g_00812, Prai.g_00344	Syap.g_01846
OG0000027	Prai.g_00904	Syap.g_01440
OG0000028	Prai.g_00333, Prai.g_01297	Syap.g_01658
OG0000030	Prai.g_01848	Syap.g_00787, Syap.g_00788
OG0000031	Prai.g_01444	Syap.g_00722
OG0000033	Prai.g_00180	Syap.g_01198
OG0000034	Prai.g_01345	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Prai.g_01463	Syap.g_02465
OG0000037	Prai.g_00109	Syap.g_02492
OG0000038	Prai.g_01890	Syap.g_00139
OG0000039	Prai.g_00715	Syap.g_01749, Syap.g_01748
OG0000042	Prai.g_01845	Syap.g_01891, Syap.g_01120
OG0000043	Prai.g_01064, Prai.g_00910	Syap.g_01998
OG0000045	Prai.g_01274, Prai.g_00384	Syap.g_02525
OG0000048	Prai.g_00387	Syap.g_02340
OG0000051	Prai.g_00434, Prai.g_01263	Syap.g_01574
OG0000053	Prai.g_01483	Syap.g_02006
OG0000054	Prai.g_00634	Syap.g_00678
OG0000059	Prai.g_01725, Prai.g_01425	Syap.g_01082, Syap.g_02478
OG0000061	Prai.g_01171	Syap.g_00228, Syap.g_00870
OG0000062	Prai.g_01540	Syap.g_01365
OG0000063	Prai.g_00033, Prai.g_01261	Syap.g_01796
OG0000066	Prai.g_00567	Syap.g_01972
OG0000067	Prai.g_00848	Syap.g_00194
OG0000068	Prai.g_01370	Syap.g_00108, Syap.g_00144
OG0000070	Prai.g_00481	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000072	Prai.g_00182	Syap.g_00555
OG0000073	Prai.g_00529	Syap.g_00273, Syap.g_01020
OG0000075	Prai.g_01814	Syap.g_01064, Syap.g_00664
OG0000076	Prai.g_01838	Syap.g_01111
OG0000079	Prai.g_00265	Syap.g_01589
OG0000085	Prai.g_01631	Syap.g_00611
OG0000087	Prai.g_00139	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Prai.g_00177	Syap.g_01202
OG0000089	Prai.g_00368	Syap.g_00115, Syap.g_02042
