Orthogroup	Pray	Prar
OG0000000	Pray.g_01576	Prar.g_00713
OG0000000	Pray.g_01603	Prar.g_00729
OG0000000	Pray.g_01604	Prar.g_00730
OG0000001	Pray.g_01836	Prar.g_00918
OG0000001	Pray.g_01085	Prar.g_01508
OG0000002	Pray.g_00247, Pray.g_00246	Prar.g_01202
OG0000002	Pray.g_01844	Prar.g_00926
OG0000003	Pray.g_00245	Prar.g_00593
OG0000004	Pray.g_01890	Prar.g_00973
OG0000004	Pray.g_01602	Prar.g_00727
OG0000005	Pray.g_00277	Prar.g_01623
OG0000005	Pray.g_00284	Prar.g_01630
OG0000006	Pray.g_01905	Prar.g_00991
OG0000006	Pray.g_00297	Prar.g_01643
OG0000006	Pray.g_00117	Prar.g_01313
OG0000007	Pray.g_00885	Prar.g_01002
OG0000007	Pray.g_00862	Prar.g_00445
OG0000007	Pray.g_00265	Prar.g_01173
OG0000008	Pray.g_00987	Prar.g_01328
OG0000008	Pray.g_01559	Prar.g_01143
OG0000009	Pray.g_01942	Prar.g_00931
OG0000010	Pray.g_00328	Prar.g_01663
OG0000010	Pray.g_00730	Prar.g_00078
OG0000011	Pray.g_00853	Prar.g_00436
OG0000012	Pray.g_00852	Prar.g_00435
OG0000013	Pray.g_01610	Prar.g_00737
OG0000013	Pray.g_00184	Prar.g_00223
OG0000014	Pray.g_01792, Pray.g_00784	Prar.g_00281
OG0000015	Pray.g_00897	Prar.g_00468
OG0000015	Pray.g_00808	Prar.g_00257
OG0000016	Pray.g_00309	Prar.g_01179
OG0000017	Pray.g_00960	Prar.g_00520
OG0000018	Pray.g_01165	Prar.g_01428
OG0000019	Pray.g_00860	Prar.g_00443
OG0000020	Pray.g_01833	Prar.g_00915
OG0000021	Pray.g_01702	Prar.g_00827
OG0000022	Pray.g_00722	Prar.g_00086
OG0000023	Pray.g_00842	Prar.g_00425
OG0000024	Pray.g_01898	Prar.g_00979
OG0000025	Pray.g_00289	Prar.g_01634
OG0000026	Pray.g_01888	Prar.g_00971
OG0000027	Pray.g_01091	Prar.g_01502
OG0000028	Pray.g_01931	Prar.g_01185
OG0000028	Pray.g_01912	Prar.g_00996
OG0000029	Pray.g_00329	Prar.g_01664
OG0000030	Pray.g_00330	Prar.g_01665
OG0000031	Pray.g_01371	Prar.g_00660
OG0000032	Pray.g_01495	Prar.g_00004, Prar.g_00005
OG0000033	Pray.g_01635	Prar.g_00761
OG0000033	Pray.g_00280	Prar.g_01626
OG0000034	Pray.g_01722	Prar.g_00339
OG0000035	Pray.g_01609	Prar.g_00736
OG0000036	Pray.g_00120	Prar.g_01315
OG0000038	Pray.g_01806	Prar.g_00879
OG0000039	Pray.g_01475	Prar.g_00025
OG0000040	Pray.g_01897, Pray.g_00884	Prar.g_00978
OG0000041	Pray.g_01140	Prar.g_01453
OG0000042	Pray.g_01417	Prar.g_00704
OG0000043	Pray.g_00622	Prar.g_01943
OG0000043	Pray.g_00438	Prar.g_01761
OG0000045	Pray.g_01177	Prar.g_01414
OG0000046	Pray.g_00304	Prar.g_01649
OG0000047	Pray.g_00064	Prar.g_01263
OG0000049	Pray.g_01786	Prar.g_00870, Prar.g_00362
OG0000050	Pray.g_00647	Prar.g_00161
OG0000051	Pray.g_00838	Prar.g_00420
OG0000052	Pray.g_00910	Prar.g_00476
OG0000053	Pray.g_01040	Prar.g_01599
OG0000054	Pray.g_01566	Prar.g_01150
OG0000055	Pray.g_01364	Prar.g_00653
OG0000056	Pray.g_01493	Prar.g_00007
OG0000057	Pray.g_00638	Prar.g_00170, Prar.g_01569
OG0000058	Pray.g_00848	Prar.g_00431
OG0000059	Pray.g_01222	Prar.g_01369
OG0000060	Pray.g_01027	Prar.g_01612
OG0000061	Pray.g_00299	Prar.g_01644
OG0000062	Pray.g_00370	Prar.g_01706
OG0000063	Pray.g_00110	Prar.g_01307
OG0000065	Pray.g_00718	Prar.g_00090
OG0000066	Pray.g_00965	Prar.g_00525
OG0000067	Pray.g_01065	Prar.g_01528
OG0000068	Pray.g_00282	Prar.g_01628
OG0000069	Pray.g_00099	Prar.g_01298
OG0000070	Pray.g_00584	Prar.g_01904
OG0000071	Pray.g_01927	Prar.g_01003
OG0000072	Pray.g_01870	Prar.g_00955
OG0000074	Pray.g_01808	Prar.g_00880
OG0000075	Pray.g_01306	Prar.g_01027
OG0000076	Pray.g_01782	Prar.g_00886
OG0000077	Pray.g_01473	Prar.g_00027
OG0000078	Pray.g_00800	Prar.g_00265
OG0000079	Pray.g_00861	Prar.g_00444
OG0000080	Pray.g_01094	Prar.g_01499
OG0000081	Pray.g_01072	Prar.g_01521
OG0000082	Pray.g_00355	Prar.g_01691
OG0000083	Pray.g_00420	Prar.g_01755
OG0000084	Pray.g_00511	Prar.g_01833
OG0000085	Pray.g_00632	Prar.g_01953
OG0000086	Pray.g_00097	Prar.g_01296
OG0000087	Pray.g_01575	Prar.g_00712
OG0000088	Pray.g_01922	Prar.g_00998
OG0000089	Pray.g_01917	Prar.g_00997
OG0000090	Pray.g_01788	Prar.g_00872
OG0000091	Pray.g_01714	Prar.g_00839
OG0000092	Pray.g_01595	Prar.g_01166
OG0000093	Pray.g_01258	Prar.g_01090
OG0000094	Pray.g_01303	Prar.g_01030
OG0000095	Pray.g_01337	Prar.g_00627
OG0000096	Pray.g_01409	Prar.g_00696
OG0000097	Pray.g_01427	Prar.g_00072
OG0000098	Pray.g_01464	Prar.g_00035
OG0000099	Pray.g_01485	Prar.g_00015
OG0000100	Pray.g_00244	Prar.g_00581
OG0000101	Pray.g_00234	Prar.g_00570
OG0000102	Pray.g_00176	Prar.g_00215
OG0000103	Pray.g_00168	Prar.g_00207
OG0000104	Pray.g_00150	Prar.g_00189
OG0000105	Pray.g_00651	Prar.g_00157
OG0000106	Pray.g_00665	Prar.g_00143
OG0000107	Pray.g_00673	Prar.g_00135
OG0000108	Pray.g_00683	Prar.g_00125
OG0000109	Pray.g_00720	Prar.g_00088
OG0000110	Pray.g_00732	Prar.g_00076
OG0000111	Pray.g_00753	Prar.g_00313
OG0000112	Pray.g_00763	Prar.g_00303
OG0000113	Pray.g_00775	Prar.g_00290
OG0000114	Pray.g_00803	Prar.g_00262
OG0000115	Pray.g_00964	Prar.g_00524
OG0000116	Pray.g_00966	Prar.g_00526
OG0000117	Pray.g_00970	Prar.g_00530
OG0000118	Pray.g_00990	Prar.g_01330
OG0000119	Pray.g_01023	Prar.g_01362
OG0000120	Pray.g_01024, Pray.g_01228	Prar.g_01363
OG0000121	Pray.g_01218	Prar.g_01373
OG0000122	Pray.g_01209	Prar.g_01382
OG0000123	Pray.g_01178	Prar.g_01413
OG0000124	Pray.g_01112	Prar.g_01481
OG0000125	Pray.g_01111	Prar.g_01482
OG0000126	Pray.g_01110	Prar.g_01483
OG0000127	Pray.g_01077	Prar.g_01516
OG0000128	Pray.g_01038	Prar.g_01601
OG0000129	Pray.g_00275	Prar.g_01621
OG0000130	Pray.g_00333	Prar.g_01668
OG0000131	Pray.g_00346	Prar.g_01682
OG0000132	Pray.g_00382	Prar.g_01717
OG0000133	Pray.g_00469	Prar.g_01792
OG0000134	Pray.g_00479	Prar.g_01801
OG0000135	Pray.g_00515	Prar.g_01837
OG0000136	Pray.g_00581	Prar.g_01901
OG0000137	Pray.g_00094	Prar.g_01293
OG0000138	Pray.g_00069	Prar.g_01268
OG0000139	Pray.g_00057	Prar.g_01257
