Orthogroup	Pray	Pral
OG0000000	Pray.g_01576, Pray.g_01603	Pral.g_00037
OG0000000	Pray.g_00003, Pray.g_01604	Pral.g_01333, Pral.g_00038
OG0000001	Pray.g_01836	Pral.g_01549, Pral.g_01554
OG0000001	Pray.g_01085	Pral.g_01764, Pral.g_01052, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337
OG0000002	Pray.g_00247, Pray.g_00246	Pral.g_01296, Pral.g_01671
OG0000002	Pray.g_01844	Pral.g_01236
OG0000003	Pray.g_00245	Pral.g_01006
OG0000004	Pray.g_01890, Pray.g_01602	Pral.g_00040, Pral.g_01332
OG0000005	Pray.g_00284	Pral.g_01898
OG0000006	Pray.g_01905, Pray.g_00297, Pray.g_00117	Pral.g_00444
OG0000008	Pray.g_00988, Pray.g_00987	Pral.g_00593
OG0000008	Pray.g_01559	Pral.g_00107
OG0000009	Pray.g_01942	Pral.g_01041
OG0000010	Pray.g_00328	Pral.g_01344
OG0000010	Pray.g_00730	Pral.g_00790
OG0000011	Pray.g_00296	Pral.g_01890
OG0000013	Pray.g_01610, Pray.g_00184	Pral.g_01065, Pral.g_01163
OG0000014	Pray.g_01792	Pral.g_01261
OG0000015	Pray.g_00897	Pral.g_00672
OG0000016	Pray.g_00309	Pral.g_01813
OG0000017	Pray.g_01887, Pray.g_00960	Pral.g_00039, Pral.g_01036
OG0000018	Pray.g_01165	Pral.g_00491, Pral.g_00484
OG0000019	Pray.g_00860	Pral.g_00062, Pral.g_01887
OG0000020	Pray.g_01833	Pral.g_01861, Pral.g_01063
OG0000022	Pray.g_00722	Pral.g_00797
OG0000023	Pray.g_01578, Pray.g_00842	Pral.g_01738
OG0000024	Pray.g_01898	Pral.g_00046
OG0000025	Pray.g_00289	Pral.g_01895
OG0000026	Pray.g_01888	Pral.g_01331
OG0000028	Pray.g_01931	Pral.g_00020
OG0000029	Pray.g_00329	Pral.g_01670, Pral.g_00082
OG0000030	Pray.g_00330	Pral.g_00090
OG0000031	Pray.g_01371	Pral.g_00313
OG0000034	Pray.g_01722	Pral.g_01165, Pral.g_01161
OG0000035	Pray.g_01609	Pral.g_01164, Pral.g_01114
OG0000036	Pray.g_00120	Pral.g_01038
OG0000038	Pray.g_01806	Pral.g_01193
OG0000041	Pray.g_01140	Pral.g_00015
OG0000043	Pray.g_00622, Pray.g_00438	Pral.g_01853
OG0000045	Pray.g_01177	Pral.g_00057
OG0000046	Pray.g_00304	Pral.g_00044
OG0000047	Pray.g_00064	Pral.g_01367
OG0000049	Pray.g_01786	Pral.g_01202
OG0000050	Pray.g_00647	Pral.g_00878
OG0000051	Pray.g_00838	Pral.g_01687
OG0000053	Pray.g_01040	Pral.g_01729
OG0000054	Pray.g_01566	Pral.g_00099
OG0000055	Pray.g_01364	Pral.g_00305
OG0000056	Pray.g_01493	Pral.g_01012
OG0000057	Pray.g_00638	Pral.g_00887
OG0000058	Pray.g_00848	Pral.g_01859
OG0000059	Pray.g_01222	Pral.g_00551
OG0000062	Pray.g_00370	Pral.g_01511
OG0000063	Pray.g_00110	Pral.g_00019
OG0000065	Pray.g_00718	Pral.g_00803
OG0000066	Pray.g_00965	Pral.g_00617
OG0000067	Pray.g_01065	Pral.g_01740
OG0000068	Pray.g_00282	Pral.g_00445
OG0000070	Pray.g_00584	Pral.g_01561
OG0000071	Pray.g_01927	Pral.g_01396, Pral.g_01398, Pral.g_01397
OG0000072	Pray.g_01870	Pral.g_01281
OG0000074	Pray.g_01808	Pral.g_00702
OG0000075	Pray.g_01306	Pral.g_00243
OG0000076	Pray.g_01782	Pral.g_01121
OG0000077	Pray.g_01473	Pral.g_00421
OG0000078	Pray.g_00800	Pral.g_00717
OG0000079	Pray.g_00861	Pral.g_01034
OG0000080	Pray.g_01094	Pral.g_01471
OG0000081	Pray.g_01072	Pral.g_01750
OG0000082	Pray.g_00355	Pral.g_01495
OG0000083	Pray.g_00420	Pral.g_01347
OG0000084	Pray.g_00511	Pral.g_01627
OG0000085	Pray.g_00632	Pral.g_01316
OG0000086	Pray.g_00097	Pral.g_00078, Pral.g_00056
OG0000090	Pray.g_01788	Pral.g_01201
OG0000091	Pray.g_01714	Pral.g_01153
OG0000092	Pray.g_01595	Pral.g_00065
OG0000093	Pray.g_01258	Pral.g_00195
OG0000094	Pray.g_01303	Pral.g_00239
OG0000095	Pray.g_01337	Pral.g_00277
OG0000096	Pray.g_01409	Pral.g_00350
OG0000098	Pray.g_01464	Pral.g_00413
OG0000099	Pray.g_01485	Pral.g_01021
OG0000100	Pray.g_00244, Pray.g_00907	Pral.g_01886
OG0000101	Pray.g_00234	Pral.g_00993
OG0000102	Pray.g_00176	Pral.g_00932
OG0000103	Pray.g_00168	Pral.g_00923
OG0000104	Pray.g_00150	Pral.g_00906
OG0000105	Pray.g_00651	Pral.g_00873
OG0000106	Pray.g_00665	Pral.g_00860
OG0000107	Pray.g_00673	Pral.g_00851
OG0000108	Pray.g_00683	Pral.g_00842
OG0000109	Pray.g_00720	Pral.g_00800
OG0000110	Pray.g_00732	Pral.g_00788
OG0000111	Pray.g_00753	Pral.g_00765
OG0000113	Pray.g_00775	Pral.g_00741
OG0000114	Pray.g_00803	Pral.g_00714
OG0000115	Pray.g_00964	Pral.g_01832, Pral.g_00618
OG0000116	Pray.g_00966	Pral.g_00616
OG0000117	Pray.g_00970	Pral.g_00611
OG0000118	Pray.g_00990	Pral.g_00591
OG0000119	Pray.g_01023	Pral.g_00558
OG0000120	Pray.g_01024, Pray.g_01228	Pral.g_00557
OG0000121	Pray.g_01218	Pral.g_00547
OG0000122	Pray.g_01209	Pral.g_00538
OG0000123	Pray.g_01178	Pral.g_00504
OG0000124	Pray.g_01112	Pral.g_01452
OG0000125	Pray.g_01111	Pral.g_01453
OG0000126	Pray.g_01110	Pral.g_01454
OG0000127	Pray.g_01077	Pral.g_01755
OG0000128	Pray.g_01038	Pral.g_01727
OG0000129	Pray.g_00275	Pral.g_01705
OG0000130	Pray.g_00333	Pral.g_01665
OG0000131	Pray.g_00346	Pral.g_01486
OG0000132	Pray.g_00382	Pral.g_01522
OG0000133	Pray.g_00469	Pral.g_01782
OG0000134	Pray.g_00479	Pral.g_01472
OG0000135	Pray.g_00515	Pral.g_01623
OG0000136	Pray.g_00581	Pral.g_01564
OG0000137	Pray.g_00094	Pral.g_00075
OG0000139	Pray.g_00057	Pral.g_01373, Pral.g_01187
OG0000140	Pray.g_00006	Pral.g_00455
OG0000141	Pray.g_00250	Pral.g_01064
OG0000142	Pray.g_01858	Pral.g_01269
OG0000143	Pray.g_01829	Pral.g_01222
OG0000144	Pray.g_01735	Pral.g_01179
OG0000145	Pray.g_01721	Pral.g_01160
OG0000146	Pray.g_01685	Pral.g_01123
OG0000147	Pray.g_01645	Pral.g_01074
OG0000148	Pray.g_01644	Pral.g_01073
OG0000149	Pray.g_01561	Pral.g_00104
OG0000150	Pray.g_01523	Pral.g_00143
OG0000151	Pray.g_01520	Pral.g_00146
OG0000152	Pray.g_01229	Pral.g_00167
OG0000153	Pray.g_01265	Pral.g_00201
OG0000154	Pray.g_01301	Pral.g_00237
OG0000155	Pray.g_01319	Pral.g_00256
OG0000156	Pray.g_01348	Pral.g_00289
OG0000157	Pray.g_01381	Pral.g_00323
OG0000158	Pray.g_01444	Pral.g_00390
OG0000160	Pray.g_01462	Pral.g_00411
