Orthogroup	Pray	Praf
OG0000000	Pray.g_01603	Praf.g_00813
OG0000000	Pray.g_00003, Pray.g_01604	Praf.g_01042, Praf.g_01039, Praf.g_00815
OG0000001	Pray.g_01836	Praf.g_01631
OG0000001	Pray.g_01085	Praf.g_00948
OG0000002	Pray.g_01844	Praf.g_01896, Praf.g_00818, Praf.g_01895, Praf.g_01031, Praf.g_02422, Praf.g_01293
OG0000003	Pray.g_01501	Praf.g_00285
OG0000004	Pray.g_01890, Pray.g_01602	Praf.g_00814
OG0000005	Pray.g_00284	Praf.g_01014, Praf.g_02005
OG0000008	Pray.g_00988, Pray.g_00987	Praf.g_00614
OG0000008	Pray.g_01559	Praf.g_00480
OG0000009	Pray.g_01942	Praf.g_01191, Praf.g_02634, Praf.g_02638, Praf.g_02623, Praf.g_02642, Praf.g_02640, Praf.g_02641, Praf.g_02639, Praf.g_01648, Praf.g_02620
OG0000010	Pray.g_00328, Pray.g_00730	Praf.g_02214
OG0000011	Pray.g_00853	Praf.g_02647
OG0000011	Pray.g_00296	Praf.g_02091
OG0000013	Pray.g_01610, Pray.g_00184	Praf.g_01768, Praf.g_00246
OG0000014	Pray.g_01792	Praf.g_00112
OG0000015	Pray.g_00897	Praf.g_01898
OG0000015	Pray.g_00808	Praf.g_01864
OG0000016	Pray.g_00309	Praf.g_01033, Praf.g_01618, Praf.g_01030
OG0000018	Pray.g_01165	Praf.g_00752, Praf.g_00760
OG0000020	Pray.g_01833	Praf.g_01108, Praf.g_01143
OG0000022	Pray.g_00722	Praf.g_01719, Praf.g_00396
OG0000023	Pray.g_01578, Pray.g_00842	Praf.g_00746
OG0000024	Pray.g_01898	Praf.g_01082
OG0000025	Pray.g_00289	Praf.g_01139
OG0000027	Pray.g_01091	Praf.g_01224
OG0000028	Pray.g_01931	Praf.g_01223
OG0000029	Pray.g_00329	Praf.g_01257
OG0000031	Pray.g_01371	Praf.g_00920, Praf.g_00164, Praf.g_02721
OG0000032	Pray.g_01495	Praf.g_00041
OG0000034	Pray.g_01722	Praf.g_01794
OG0000037	Pray.g_01894	Praf.g_01022
OG0000038	Pray.g_01806	Praf.g_00101, Praf.g_00113, Praf.g_02400
OG0000039	Pray.g_01475	Praf.g_00014
OG0000040	Pray.g_01897, Pray.g_00884	Praf.g_01188, Praf.g_01190
OG0000041	Pray.g_01140	Praf.g_01668
OG0000045	Pray.g_01177	Praf.g_00731
OG0000046	Pray.g_00304	Praf.g_00965, Praf.g_00201
OG0000047	Pray.g_00064	Praf.g_00854
OG0000049	Pray.g_01786	Praf.g_02345
OG0000050	Pray.g_00647	Praf.g_01239, Praf.g_02454
OG0000053	Pray.g_01040	Praf.g_01238, Praf.g_01302
OG0000054	Pray.g_01566	Praf.g_00491
OG0000055	Pray.g_01364	Praf.g_00178
OG0000056	Pray.g_01493	Praf.g_00037
OG0000057	Pray.g_00638	Praf.g_02445
OG0000058	Pray.g_00848	Praf.g_00496
OG0000059	Pray.g_01222	Praf.g_00672
OG0000061	Pray.g_00299	Praf.g_00348
OG0000062	Pray.g_00370	Praf.g_01556
OG0000063	Pray.g_00110	Praf.g_02587
OG0000066	Pray.g_00965	Praf.g_01907
OG0000067	Pray.g_01065	Praf.g_01125
OG0000070	Pray.g_00584	Praf.g_01274
OG0000071	Pray.g_01927	Praf.g_00919
OG0000072	Pray.g_01870	Praf.g_00796
OG0000074	Pray.g_01808	Praf.g_02343
OG0000075	Pray.g_01306	Praf.g_02119
OG0000076	Pray.g_01782	Praf.g_01851, Praf.g_02346
OG0000077	Pray.g_01473	Praf.g_00012
OG0000078	Pray.g_00800	Praf.g_02336
OG0000079	Pray.g_00861	Praf.g_02715, Praf.g_02705
OG0000080	Pray.g_01094	Praf.g_01748
OG0000081	Pray.g_01072	Praf.g_01219, Praf.g_01218
OG0000082	Pray.g_00355	Praf.g_01537
OG0000084	Pray.g_00511	Praf.g_01392
OG0000085	Pray.g_00632	Praf.g_02776
OG0000086	Pray.g_00097	Praf.g_02690
OG0000088	Pray.g_00883	Praf.g_01193
OG0000090	Pray.g_01788	Praf.g_02342
OG0000091	Pray.g_01714	Praf.g_01806
OG0000092	Pray.g_01595	Praf.g_00549
OG0000093	Pray.g_01258	Praf.g_02172, Praf.g_00148
OG0000094	Pray.g_01303	Praf.g_02123
OG0000095	Pray.g_01337	Praf.g_02382, Praf.g_02380, Praf.g_02378
OG0000096	Pray.g_01409	Praf.g_00053
OG0000098	Pray.g_01464	Praf.g_00003
OG0000099	Pray.g_01485	Praf.g_00028
OG0000101	Pray.g_00234	Praf.g_00333, Praf.g_02602
OG0000102	Pray.g_00176	Praf.g_00224
OG0000103	Pray.g_00168	Praf.g_00212
OG0000104	Pray.g_00150	Praf.g_02420
OG0000105	Pray.g_00651	Praf.g_02468
OG0000106	Pray.g_00665	Praf.g_02711, Praf.g_02492
OG0000107	Pray.g_00673	Praf.g_02511
OG0000108	Pray.g_00683	Praf.g_02708, Praf.g_02521
OG0000109	Pray.g_00720	Praf.g_00391
OG0000110	Pray.g_00732	Praf.g_02217
OG0000111	Pray.g_00753	Praf.g_02271
OG0000113	Pray.g_00775	Praf.g_02300
OG0000114	Pray.g_00803	Praf.g_02358
OG0000115	Pray.g_00964	Praf.g_01908
OG0000116	Pray.g_00966	Praf.g_01905
OG0000117	Pray.g_00970	Praf.g_00595
OG0000118	Pray.g_00990	Praf.g_00143, Praf.g_00616
OG0000119	Pray.g_01023	Praf.g_00658
OG0000120	Pray.g_01024, Pray.g_01228	Praf.g_00660
OG0000121	Pray.g_01218	Praf.g_00681
OG0000122	Pray.g_01209	Praf.g_00692
OG0000123	Pray.g_01178	Praf.g_00730
OG0000124	Pray.g_01112	Praf.g_01036, Praf.g_01720
OG0000125	Pray.g_01111	Praf.g_01035, Praf.g_01721
OG0000126	Pray.g_01110	Praf.g_01034, Praf.g_01722
OG0000127	Pray.g_01077	Praf.g_00780, Praf.g_00406
OG0000128	Pray.g_01038	Praf.g_01304
OG0000129	Pray.g_00275	Praf.g_00144, Praf.g_01435
OG0000130	Pray.g_00333	Praf.g_00941
OG0000131	Pray.g_00346	Praf.g_01528
OG0000132	Pray.g_00382	Praf.g_01590
OG0000133	Pray.g_00469	Praf.g_00104, Praf.g_01497
OG0000134	Pray.g_00479	Praf.g_01503
OG0000135	Pray.g_00515	Praf.g_01384, Praf.g_01383
OG0000136	Pray.g_00581	Praf.g_01277
OG0000137	Pray.g_00094	Praf.g_02692
OG0000139	Pray.g_00057	Praf.g_00861
OG0000140	Pray.g_00006	Praf.g_00938
OG0000141	Pray.g_00250	Praf.g_01285
OG0000142	Pray.g_01858	Praf.g_00779
OG0000143	Pray.g_01829	Praf.g_00585, Praf.g_00583
OG0000144	Pray.g_01735	Praf.g_01778, Praf.g_01776
OG0000145	Pray.g_01721	Praf.g_01795
OG0000146	Pray.g_01685	Praf.g_01848
OG0000147	Pray.g_01645	Praf.g_00502
OG0000148	Pray.g_01644	Praf.g_00501
OG0000149	Pray.g_01561	Praf.g_00485
OG0000150	Pray.g_01523	Praf.g_00437
OG0000151	Pray.g_01520	Praf.g_00434
OG0000152	Pray.g_01229	Praf.g_00402
OG0000153	Pray.g_01265	Praf.g_02162
OG0000154	Pray.g_01301	Praf.g_02125
OG0000155	Pray.g_01319	Praf.g_02102
OG0000156	Pray.g_01348	Praf.g_02396
OG0000157	Pray.g_01381	Praf.g_00152
OG0000158	Pray.g_01444	Praf.g_02757
OG0000160	Pray.g_01462	Praf.g_00001
OG0000161	Pray.g_01463	Praf.g_00002
OG0000162	Pray.g_01465	Praf.g_00004
OG0000163	Pray.g_01467	Praf.g_00005
OG0000164	Pray.g_01468	Praf.g_00006
OG0000165	Pray.g_01469	Praf.g_00007
OG0000166	Pray.g_01470	Praf.g_00009
OG0000167	Pray.g_01471	Praf.g_00010
OG0000168	Pray.g_01472	Praf.g_00011
OG0000169	Pray.g_01474	Praf.g_00013
OG0000170	Pray.g_01476	Praf.g_00015
OG0000171	Pray.g_01477	Praf.g_00016
OG0000172	Pray.g_01478	Praf.g_00021
OG0000173	Pray.g_01479	Praf.g_00022
OG0000174	Pray.g_01480	Praf.g_00023
OG0000175	Pray.g_01481	Praf.g_00024
OG0000176	Pray.g_01482	Praf.g_00025
OG0000177	Pray.g_01483	Praf.g_00026
OG0000178	Pray.g_01484	Praf.g_00027
OG0000179	Pray.g_01486	Praf.g_00029
OG0000180	Pray.g_01487	Praf.g_00030
OG0000181	Pray.g_01488	Praf.g_00031
OG0000182	Pray.g_01489	Praf.g_00032
OG0000183	Pray.g_01490	Praf.g_00033
OG0000184	Pray.g_01491	Praf.g_00035
OG0000185	Pray.g_01494	Praf.g_00040
OG0000186	Pray.g_01497	Praf.g_00045
OG0000187	Pray.g_01498	Praf.g_00046
OG0000188	Pray.g_01499	Praf.g_00047
OG0000189	Pray.g_00243	Praf.g_00050
OG0000190	Pray.g_00241	Praf.g_00052
OG0000191	Pray.g_00240	Praf.g_02654
OG0000192	Pray.g_00239	Praf.g_02652
OG0000193	Pray.g_00238	Praf.g_02618
OG0000194	Pray.g_00237	Praf.g_02611
OG0000195	Pray.g_00236	Praf.g_02605
OG0000196	Pray.g_00235	Praf.g_02603
OG0000197	Pray.g_00233	Praf.g_02601
OG0000198	Pray.g_00232	Praf.g_02597
OG0000199	Pray.g_00231	Praf.g_02596
OG0000200	Pray.g_00225	Praf.g_00328
OG0000201	Pray.g_00224	Praf.g_00326
OG0000202	Pray.g_00223	Praf.g_00325
OG0000203	Pray.g_00220	Praf.g_00321
OG0000204	Pray.g_00219	Praf.g_00320
OG0000205	Pray.g_00216	Praf.g_00316
OG0000206	Pray.g_00214	Praf.g_00314
OG0000207	Pray.g_00212	Praf.g_00310
OG0000208	Pray.g_00211	Praf.g_00309
OG0000209	Pray.g_00210	Praf.g_00962
OG0000210	Pray.g_00209	Praf.g_00308
OG0000211	Pray.g_00208	Praf.g_00304
OG0000212	Pray.g_00207	Praf.g_00303
OG0000213	Pray.g_00206	Praf.g_00302
OG0000214	Pray.g_00205	Praf.g_00301
OG0000215	Pray.g_00204	Praf.g_00300
OG0000216	Pray.g_00203	Praf.g_00299
OG0000217	Pray.g_00201	Praf.g_00297
OG0000218	Pray.g_00200	Praf.g_00296
OG0000219	Pray.g_00199	Praf.g_00268
OG0000220	Pray.g_00198	Praf.g_00264
OG0000221	Pray.g_00195	Praf.g_00259
OG0000222	Pray.g_00194	Praf.g_00258
OG0000223	Pray.g_00193	Praf.g_00257
OG0000224	Pray.g_00192	Praf.g_00255
OG0000225	Pray.g_00191	Praf.g_00254
OG0000226	Pray.g_00190	Praf.g_00253
OG0000227	Pray.g_00189	Praf.g_00251
OG0000228	Pray.g_00188	Praf.g_00250
OG0000229	Pray.g_00187	Praf.g_00249
OG0000230	Pray.g_00186	Praf.g_00248
OG0000231	Pray.g_00185	Praf.g_00247
OG0000232	Pray.g_00183	Praf.g_00245
OG0000233	Pray.g_00182	Praf.g_00244
OG0000234	Pray.g_00181	Praf.g_00243
OG0000235	Pray.g_00180	Praf.g_00240
OG0000236	Pray.g_00179	Praf.g_00232
OG0000237	Pray.g_00178	Praf.g_00230
OG0000238	Pray.g_00177	Praf.g_00225
OG0000239	Pray.g_00175	Praf.g_00223
OG0000240	Pray.g_00174	Praf.g_00221
OG0000241	Pray.g_00173	Praf.g_00219
OG0000242	Pray.g_00172	Praf.g_00218
OG0000243	Pray.g_00169	Praf.g_00214
OG0000244	Pray.g_00167	Praf.g_00209
OG0000245	Pray.g_00166	Praf.g_00208
OG0000246	Pray.g_00165	Praf.g_00207
OG0000247	Pray.g_00162	Praf.g_02403
OG0000248	Pray.g_00160	Praf.g_02405
OG0000249	Pray.g_00159	Praf.g_02408
OG0000250	Pray.g_00158	Praf.g_02410
OG0000251	Pray.g_00157	Praf.g_02411
OG0000252	Pray.g_00156	Praf.g_02412
OG0000253	Pray.g_00155	Praf.g_02413
OG0000254	Pray.g_00153	Praf.g_02415
OG0000255	Pray.g_00152	Praf.g_02416
OG0000256	Pray.g_00149	Praf.g_02421
OG0000257	Pray.g_00147	Praf.g_02430
OG0000258	Pray.g_00144	Praf.g_02432
OG0000259	Pray.g_00143	Praf.g_02433
OG0000260	Pray.g_00142	Praf.g_02434
OG0000261	Pray.g_00141	Praf.g_02435
OG0000262	Pray.g_00140	Praf.g_02436
OG0000263	Pray.g_00138	Praf.g_02438
OG0000264	Pray.g_00137	Praf.g_02439
OG0000265	Pray.g_00136	Praf.g_02440
OG0000266	Pray.g_00635	Praf.g_02441
OG0000267	Pray.g_00636	Praf.g_02442
OG0000268	Pray.g_00637	Praf.g_02444
OG0000269	Pray.g_00639	Praf.g_02446
OG0000270	Pray.g_00640	Praf.g_02447
OG0000271	Pray.g_00641	Praf.g_02448
OG0000272	Pray.g_00642	Praf.g_02449
OG0000273	Pray.g_00643	Praf.g_02450
OG0000274	Pray.g_00644	Praf.g_02451
OG0000275	Pray.g_00645	Praf.g_02452
OG0000276	Pray.g_00646	Praf.g_02453
OG0000277	Pray.g_00648	Praf.g_02455
OG0000278	Pray.g_00649	Praf.g_02456
OG0000279	Pray.g_00650	Praf.g_02457
OG0000280	Pray.g_00652	Praf.g_02469
OG0000281	Pray.g_00654	Praf.g_02470
OG0000282	Pray.g_00655	Praf.g_02471
OG0000283	Pray.g_00656	Praf.g_02472
OG0000284	Pray.g_00657	Praf.g_02473
OG0000285	Pray.g_00658	Praf.g_02474
OG0000286	Pray.g_00659	Praf.g_02475
OG0000287	Pray.g_00660	Praf.g_02476
OG0000288	Pray.g_00662	Praf.g_01486
OG0000289	Pray.g_00663	Praf.g_02489
OG0000290	Pray.g_00664	Praf.g_02491
OG0000291	Pray.g_00666	Praf.g_02495
OG0000292	Pray.g_00667	Praf.g_02497
OG0000293	Pray.g_00668	Praf.g_02500
OG0000294	Pray.g_00669	Praf.g_02502
OG0000295	Pray.g_00670	Praf.g_02505
OG0000296	Pray.g_00671	Praf.g_02506
OG0000297	Pray.g_00672	Praf.g_02509
OG0000298	Pray.g_00674	Praf.g_02512
OG0000299	Pray.g_00675	Praf.g_02513
OG0000300	Pray.g_00676	Praf.g_02514
OG0000301	Pray.g_00677	Praf.g_02515
OG0000302	Pray.g_00678	Praf.g_02516
OG0000303	Pray.g_00679	Praf.g_02517
