Orthogroup	Pray	Prbb
OG0000000	Pray.g_01576	Prbb.g_01354, Prbb.g_00432, Prbb.g_01401, Prbb.g_01120, Prbb.g_01785
OG0000000	Pray.g_01603	Prbb.g_01121, Prbb.g_01319, Prbb.g_00431, Prbb.g_01244
OG0000000	Pray.g_00003, Pray.g_01604	Prbb.g_01145, Prbb.g_01352, Prbb.g_01123, Prbb.g_01403, Prbb.g_01787
OG0000001	Pray.g_01836	Prbb.g_00844
OG0000001	Pray.g_01085	Prbb.g_00683, Prbb.g_01549, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544
OG0000002	Pray.g_00247, Pray.g_00246	Prbb.g_01915, Prbb.g_00474, Prbb.g_01157
OG0000002	Pray.g_01844	Prbb.g_01611
OG0000003	Pray.g_00245	Prbb.g_01570, Prbb.g_00045, Prbb.g_01562
OG0000003	Pray.g_01501	Prbb.g_01563
OG0000004	Pray.g_01890, Pray.g_01602	Prbb.g_01144, Prbb.g_00429, Prbb.g_01321, Prbb.g_01356, Prbb.g_01246, Prbb.g_01792
OG0000005	Pray.g_00284	Prbb.g_00425, Prbb.g_00748
OG0000006	Pray.g_01905, Pray.g_00297, Pray.g_00117	Prbb.g_01294
OG0000008	Pray.g_00988, Pray.g_00987	Prbb.g_00501
OG0000008	Pray.g_01559	Prbb.g_01823
OG0000010	Pray.g_00328	Prbb.g_00757, Prbb.g_00761
OG0000011	Pray.g_00296	Prbb.g_01800
OG0000015	Pray.g_00897	Prbb.g_00421
OG0000015	Pray.g_00808	Prbb.g_00386
OG0000016	Pray.g_00309	Prbb.g_01158
OG0000017	Pray.g_01887, Pray.g_00960	Prbb.g_01375
OG0000018	Pray.g_01165	Prbb.g_00598
OG0000019	Pray.g_00860	Prbb.g_01189
OG0000020	Pray.g_01833	Prbb.g_01632
OG0000021	Pray.g_01702	Prbb.g_01705
OG0000022	Pray.g_00722	Prbb.g_01328, Prbb.g_01560, Prbb.g_00299
OG0000023	Pray.g_01578, Pray.g_00842	Prbb.g_00099
OG0000024	Pray.g_01898	Prbb.g_01207, Prbb.g_01182, Prbb.g_01192
OG0000025	Pray.g_00289	Prbb.g_01175, Prbb.g_00680
OG0000026	Pray.g_01888	Prbb.g_01119, Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01243, Prbb.g_01400
OG0000028	Pray.g_01931	Prbb.g_01884
OG0000029	Pray.g_00329	Prbb.g_00747, Prbb.g_01897
OG0000030	Pray.g_00330	Prbb.g_01020, Prbb.g_01379, Prbb.g_01019, Prbb.g_01096, Prbb.g_01362
OG0000031	Pray.g_01371	Prbb.g_02069
OG0000032	Pray.g_01495	Prbb.g_01921
OG0000033	Pray.g_01635, Pray.g_00280	Prbb.g_01114, Prbb.g_01127
OG0000034	Pray.g_01722	Prbb.g_01686
OG0000035	Pray.g_01609	Prbb.g_01324, Prbb.g_01729
OG0000036	Pray.g_00120	Prbb.g_01071
OG0000038	Pray.g_01806	Prbb.g_00387
OG0000040	Pray.g_01897	Prbb.g_01229
OG0000040	Pray.g_00884	Prbb.g_01368
