Orthogroup	Syac	Praa
OG0000001	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Praa.g_01351
OG0000002	Syac.g_01084	Praa.g_01359, Praa.g_00678
OG0000004	Syac.g_00898	Praa.g_00695
OG0000004	Syac.g_00948, Syac.g_01975	Praa.g_00232
OG0000005	Syac.g_00527	Praa.g_01648
OG0000005	Syac.g_00569	Praa.g_01553
OG0000006	Syac.g_01002, Syac.g_01958, Syac.g_01961, Syac.g_02194	Praa.g_00241, Praa.g_01245
OG0000007	Syac.g_01885	Praa.g_00497
OG0000007	Syac.g_00544	Praa.g_01635
OG0000008	Syac.g_00921	Praa.g_01241
OG0000009	Syac.g_01004, Syac.g_00398	Praa.g_00105
OG0000010	Syac.g_01701	Praa.g_01047
OG0000011	Syac.g_00924	Praa.g_01626
OG0000012	Syac.g_00955, Syac.g_00758, Syac.g_01577	Praa.g_00623
OG0000013	Syac.g_02056, Syac.g_02046, Syac.g_02062	Praa.g_00327
OG0000014	Syac.g_00253	Praa.g_00306
OG0000014	Syac.g_00100	Praa.g_01409
OG0000015	Syac.g_01408	Praa.g_00765
OG0000016	Syac.g_00014	Praa.g_00013
OG0000017	Syac.g_01749, Syac.g_01742	Praa.g_00598
OG0000018	Syac.g_01660	Praa.g_01141
OG0000019	Syac.g_02207	Praa.g_00249, Praa.g_00782
OG0000022	Syac.g_01031	Praa.g_01124
OG0000023	Syac.g_00760	Praa.g_00359
OG0000024	Syac.g_00925	Praa.g_00747, Praa.g_00675
OG0000025	Syac.g_00847	Praa.g_00331, Praa.g_00839
OG0000026	Syac.g_00034	Praa.g_00031, Praa.g_01054
OG0000027	Syac.g_01095, Syac.g_01009	Praa.g_00470, Praa.g_01301
OG0000028	Syac.g_00237	Praa.g_01248, Praa.g_00320
OG0000029	Syac.g_01942	Praa.g_00754, Praa.g_00374
OG0000030	Syac.g_00143, Syac.g_00142	Praa.g_01842
OG0000033	Syac.g_00304	Praa.g_01437
OG0000034	Syac.g_00334, Syac.g_00715	Praa.g_01328
OG0000035	Syac.g_01630	Praa.g_01476
OG0000037	Syac.g_01077	Praa.g_00109
OG0000038	Syac.g_02357, Syac.g_02358	Praa.g_01883
OG0000039	Syac.g_00856, Syac.g_02378	Praa.g_00686
OG0000040	Syac.g_01006	Praa.g_01618
OG0000040	Syac.g_02437	Praa.g_01140
OG0000041	Syac.g_00655, Syac.g_00876	Praa.g_01683
OG0000042	Syac.g_00146	Praa.g_01839
OG0000043	Syac.g_00808	Praa.g_01259
OG0000045	Syac.g_01040	Praa.g_00370
OG0000047	Syac.g_02031	Praa.g_00330
OG0000048	Syac.g_02240	Praa.g_00373
OG0000050	Syac.g_01937	Praa.g_01075
OG0000051	Syac.g_01073	Praa.g_01291
OG0000053	Syac.g_01657	Praa.g_01496
OG0000054	Syac.g_00933, Syac.g_01050	Praa.g_00606
OG0000055	Syac.g_01034, Syac.g_00859	Praa.g_00783
OG0000057	Syac.g_00894	Praa.g_00698
OG0000058	Syac.g_00226	Praa.g_01425
OG0000059	Syac.g_02142	Praa.g_01723
OG0000061	Syac.g_00769	Praa.g_01159
OG0000062	Syac.g_00567	Praa.g_01555
OG0000063	Syac.g_00037	Praa.g_00033
OG0000065	Syac.g_00396, Syac.g_00490	Praa.g_00107
