Orthogroup	Syac	Prao
OG0000001	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prao.g_01254
OG0000002	Syac.g_01084	Prao.g_01246, Prao.g_00116
OG0000004	Syac.g_00898	Prao.g_00133
OG0000004	Syac.g_00948, Syac.g_01975	Prao.g_00370
OG0000005	Syac.g_00527	Prao.g_01565
OG0000005	Syac.g_00569	Prao.g_01472
OG0000006	Syac.g_01002, Syac.g_01958, Syac.g_01961, Syac.g_02194	Prao.g_00379
OG0000007	Syac.g_01885	Prao.g_00603
OG0000007	Syac.g_00544	Prao.g_01552
OG0000010	Syac.g_01701	Prao.g_00985
OG0000012	Syac.g_00955, Syac.g_00758, Syac.g_01577	Prao.g_00062
OG0000013	Syac.g_02056, Syac.g_02046, Syac.g_02062	Prao.g_00463
OG0000014	Syac.g_00253, Syac.g_00100	Prao.g_01213
OG0000015	Syac.g_01408	Prao.g_00703
OG0000016	Syac.g_00014	Prao.g_00160
OG0000017	Syac.g_01749, Syac.g_01742	Prao.g_00036
OG0000018	Syac.g_01660	Prao.g_01108
OG0000019	Syac.g_02207	Prao.g_00387, Prao.g_00720
OG0000022	Syac.g_01031	Prao.g_01126
OG0000023	Syac.g_00760	Prao.g_00494
OG0000024	Syac.g_00925	Prao.g_00683, Prao.g_00114
OG0000025	Syac.g_00847	Prao.g_00467, Prao.g_00776
OG0000026	Syac.g_00034	Prao.g_00177, Prao.g_00992
OG0000027	Syac.g_01095, Syac.g_01009	Prao.g_00576, Prao.g_01293
OG0000028	Syac.g_00237	Prao.g_01348, Prao.g_00456
OG0000029	Syac.g_01942	Prao.g_00690, Prao.g_00510
OG0000030	Syac.g_00143, Syac.g_00142	Prao.g_01753
OG0000034	Syac.g_00334, Syac.g_00715	Prao.g_01266
OG0000035	Syac.g_01630	Prao.g_01397
OG0000037	Syac.g_01077	Prao.g_00247
OG0000038	Syac.g_02357, Syac.g_02358	Prao.g_01794
OG0000039	Syac.g_00856, Syac.g_02378	Prao.g_00124
OG0000040	Syac.g_01006	Prao.g_01531
OG0000040	Syac.g_02437	Prao.g_01109
OG0000041	Syac.g_00655, Syac.g_00876	Prao.g_01598
OG0000042	Syac.g_00146	Prao.g_01750
OG0000043	Syac.g_00808	Prao.g_01331
OG0000045	Syac.g_01040	Prao.g_00506
OG0000047	Syac.g_02031	Prao.g_00466
OG0000048	Syac.g_02240	Prao.g_00509
OG0000050	Syac.g_01937	Prao.g_01012
OG0000051	Syac.g_01073	Prao.g_01304
OG0000053	Syac.g_01657	Prao.g_01417
OG0000054	Syac.g_00933, Syac.g_01050	Prao.g_00044
OG0000055	Syac.g_01034, Syac.g_00859	Prao.g_00721
OG0000057	Syac.g_00894	Prao.g_00136
OG0000059	Syac.g_02142	Prao.g_01639
OG0000061	Syac.g_00769	Prao.g_01089
OG0000062	Syac.g_00567	Prao.g_01474
OG0000063	Syac.g_00037	Prao.g_00179
OG0000065	Syac.g_00396, Syac.g_00490	Prao.g_00245
OG0000067	Syac.g_01341	Prao.g_00741
OG0000068	Syac.g_01916	Prao.g_01239
OG0000069	Syac.g_01272	Prao.g_01508
OG0000070	Syac.g_00711	Prao.g_00554
OG0000071	Syac.g_01049, Syac.g_00729	Prao.g_01276
OG0000072	Syac.g_00302	Prao.g_00309
OG0000073	Syac.g_01883	Prao.g_00605
OG0000075	Syac.g_00191	Prao.g_01719
OG0000076	Syac.g_00156	Prao.g_01743
OG0000077	Syac.g_00439	Prao.g_00217
OG0000078	Syac.g_01964	Prao.g_00377
OG0000079	Syac.g_02211	Prao.g_00390
