Orthogroup	Syac	Prac
OG0000001	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prac.g_00202
OG0000002	Syac.g_01084	Prac.g_00210, Prac.g_00693
OG0000004	Syac.g_00898	Prac.g_00676
OG0000004	Syac.g_00948, Syac.g_01975	Prac.g_01698
OG0000005	Syac.g_00527	Prac.g_00612
OG0000005	Syac.g_00569	Prac.g_00335
OG0000006	Syac.g_01002, Syac.g_01958, Syac.g_01961, Syac.g_02194	Prac.g_01689
OG0000007	Syac.g_01885	Prac.g_00874
OG0000007	Syac.g_00544	Prac.g_00625
OG0000008	Syac.g_00921	Prac.g_00904
OG0000009	Syac.g_01004, Syac.g_00398	Prac.g_01826
OG0000010	Syac.g_01701	Prac.g_01592, Prac.g_01248
OG0000011	Syac.g_00924	Prac.g_00142
OG0000012	Syac.g_00955, Syac.g_00758, Syac.g_01577	Prac.g_00748
OG0000013	Syac.g_02056, Syac.g_02046, Syac.g_02062	Prac.g_01604
OG0000014	Syac.g_00253	Prac.g_01625
OG0000015	Syac.g_01408	Prac.g_00898
OG0000016	Syac.g_00014	Prac.g_01934
OG0000017	Syac.g_01749, Syac.g_01742	Prac.g_00773
OG0000018	Syac.g_01660	Prac.g_01004
OG0000019	Syac.g_02207	Prac.g_01681, Prac.g_01496
OG0000022	Syac.g_01031	Prac.g_01022
OG0000023	Syac.g_00760	Prac.g_01174
OG0000024	Syac.g_00925	Prac.g_01525, Prac.g_00696
OG0000025	Syac.g_00847	Prac.g_01600, Prac.g_01441
OG0000026	Syac.g_00034	Prac.g_01916, Prac.g_01241
OG0000027	Syac.g_01095, Syac.g_01009	Prac.g_01074
OG0000028	Syac.g_00237	Prac.g_00145, Prac.g_01611
OG0000029	Syac.g_01942	Prac.g_01158
OG0000030	Syac.g_00143, Syac.g_00142	Prac.g_00050
OG0000031	Syac.g_00232	Prac.g_00249
OG0000034	Syac.g_00334, Syac.g_00715	Prac.g_00185
OG0000035	Syac.g_01630	Prac.g_00411
OG0000037	Syac.g_01077	Prac.g_01822
OG0000038	Syac.g_02357, Syac.g_02358	Prac.g_00090
OG0000039	Syac.g_00856, Syac.g_02378	Prac.g_00685
OG0000040	Syac.g_01006	Prac.g_00279
OG0000040	Syac.g_02437	Prac.g_01005
OG0000041	Syac.g_00655, Syac.g_00876	Prac.g_00579
OG0000042	Syac.g_00146	Prac.g_00048
OG0000044	Syac.g_00477, Syac.g_00858	Prac.g_00892
OG0000045	Syac.g_01040	Prac.g_01162
OG0000045	Syac.g_00576	Prac.g_01576
OG0000047	Syac.g_02031	Prac.g_01601, Prac.g_01127
OG0000048	Syac.g_02240	Prac.g_01159
OG0000050	Syac.g_01937	Prac.g_01220
OG0000053	Syac.g_01657	Prac.g_01901, Prac.g_00391
OG0000054	Syac.g_00933, Syac.g_01050	Prac.g_00765
OG0000055	Syac.g_01034, Syac.g_00859	Prac.g_01495
OG0000057	Syac.g_00894	Prac.g_00673
OG0000059	Syac.g_02142	Prac.g_00500
OG0000061	Syac.g_00769	Prac.g_00985
OG0000062	Syac.g_00567	Prac.g_00333
OG0000063	Syac.g_00037	Prac.g_01913, Prac.g_01914, Prac.g_00908
OG0000065	Syac.g_00396, Syac.g_00490	Prac.g_01824
OG0000066	Syac.g_01827	Prac.g_00833
OG0000067	Syac.g_01341	Prac.g_01475
OG0000068	Syac.g_01916	Prac.g_00217
OG0000069	Syac.g_01272	Prac.g_00890, Prac.g_00300
