Orthogroup	Syac	Prbg
OG0000001	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prbg.g_00502
OG0000002	Syac.g_01084	Prbg.g_01222, Prbg.g_01227, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694, Prbg.g_01119
OG0000004	Syac.g_00898	Prbg.g_01140
OG0000004	Syac.g_00948, Syac.g_01975	Prbg.g_01014
OG0000005	Syac.g_00569	Prbg.g_00674
OG0000006	Syac.g_01002, Syac.g_01958, Syac.g_01961, Syac.g_02194	Prbg.g_01024
OG0000007	Syac.g_01885	Prbg.g_00216
OG0000007	Syac.g_00544	Prbg.g_01650
OG0000008	Syac.g_00921	Prbg.g_00744
OG0000008	Syac.g_00922	Prbg.g_00745
OG0000010	Syac.g_01701	Prbg.g_01053, Prbg.g_01348
OG0000012	Syac.g_00955	Prbg.g_00342
OG0000013	Syac.g_02056, Syac.g_02046, Syac.g_02062	Prbg.g_00104
OG0000014	Syac.g_00253	Prbg.g_00086
OG0000015	Syac.g_01408	Prbg.g_01589, Prbg.g_01635
OG0000016	Syac.g_01505, Syac.g_01053	Prbg.g_01544
OG0000017	Syac.g_01749	Prbg.g_00317
OG0000017	Syac.g_01742	Prbg.g_00324
OG0000018	Syac.g_01660	Prbg.g_01508
OG0000019	Syac.g_02207	Prbg.g_01032, Prbg.g_01510
OG0000023	Syac.g_00760	Prbg.g_00013
OG0000024	Syac.g_00925	Prbg.g_01352, Prbg.g_01116
OG0000025	Syac.g_00847	Prbg.g_01195
OG0000026	Syac.g_00034	Prbg.g_00842
OG0000027	Syac.g_01095, Syac.g_01009	Prbg.g_00721, Prbg.g_01569
OG0000028	Syac.g_00237	Prbg.g_00743
OG0000029	Syac.g_01942	Prbg.g_00734, Prbg.g_01581, Prbg.g_01740
OG0000030	Syac.g_00143, Syac.g_00142	Prbg.g_01858
OG0000031	Syac.g_00232	Prbg.g_00550
OG0000032	Syac.g_01677	Prbg.g_00630
OG0000033	Syac.g_00304	Prbg.g_00557
OG0000034	Syac.g_00334, Syac.g_00715	Prbg.g_00488
OG0000035	Syac.g_01630	Prbg.g_00591
OG0000037	Syac.g_01077	Prbg.g_00881
OG0000038	Syac.g_02357, Syac.g_02358	Prbg.g_01898
OG0000039	Syac.g_00856, Syac.g_02378	Prbg.g_01128
OG0000041	Syac.g_00655, Syac.g_00876	Prbg.g_01697
OG0000042	Syac.g_00146	Prbg.g_01855
OG0000043	Syac.g_00808, Syac.g_01100	Prbg.g_01507
OG0000046	Syac.g_02055, Syac.g_02047, Syac.g_02063	Prbg.g_00105
OG0000047	Syac.g_02031	Prbg.g_00143
OG0000048	Syac.g_02240	Prbg.g_00464
OG0000052	Syac.g_00207	Prbg.g_00816
OG0000053	Syac.g_01657	Prbg.g_00612, Prbg.g_01595
OG0000054	Syac.g_00933, Syac.g_01050	Prbg.g_00326
OG0000055	Syac.g_01034	Prbg.g_01624
OG0000057	Syac.g_00894	Prbg.g_01143
OG0000058	Syac.g_00226	Prbg.g_00551
OG0000059	Syac.g_02142	Prbg.g_01737
OG0000061	Syac.g_00769	Prbg.g_01486
OG0000062	Syac.g_00567	Prbg.g_00676
OG0000063	Syac.g_00037	Prbg.g_00730
OG0000064	Syac.g_00575, Syac.g_01567	Prbg.g_00802
OG0000065	Syac.g_00396, Syac.g_00490	Prbg.g_00879
OG0000066	Syac.g_01827	Prbg.g_00256
OG0000067	Syac.g_01341	Prbg.g_01159
OG0000068	Syac.g_01916	Prbg.g_00529
OG0000069	Syac.g_01272	Prbg.g_00174
OG0000070	Syac.g_00711	Prbg.g_00170
OG0000071	Syac.g_01049, Syac.g_00729	Prbg.g_00477
OG0000072	Syac.g_00302	Prbg.g_00949
OG0000073	Syac.g_01883	Prbg.g_00219
OG0000075	Syac.g_00191	Prbg.g_01821
OG0000076	Syac.g_00156	Prbg.g_01847
OG0000077	Syac.g_00439	Prbg.g_00791
OG0000078	Syac.g_01964	Prbg.g_01022
OG0000079	Syac.g_02211	Prbg.g_01035
OG0000081	Syac.g_01954, Syac.g_00461	Prbg.g_00248
OG0000082	Syac.g_01766	Prbg.g_00304, Prbg.g_01639
OG0000084	Syac.g_00822, Syac.g_01627	Prbg.g_00588
OG0000085	Syac.g_00560	Prbg.g_00716, Prbg.g_01642
OG0000086	Syac.g_00423	Prbg.g_00782
OG0000087	Syac.g_00343	Prbg.g_00913
OG0000088	Syac.g_00308	Prbg.g_00944
OG0000089	Syac.g_01988, Syac.g_01543	Prbg.g_00137
OG0000090	Syac.g_01836	Prbg.g_00250
OG0000091	Syac.g_00987	Prbg.g_01414
OG0000093	Syac.g_01357	Prbg.g_01385
OG0000094	Syac.g_01251	Prbg.g_01336
OG0000095	Syac.g_00884	Prbg.g_01234
OG0000097	Syac.g_01507	Prbg.g_01440
OG0000098	Syac.g_02157	Prbg.g_00505
OG0000099	Syac.g_00234	Prbg.g_00552
OG0000100	Syac.g_01309	Prbg.g_00670
OG0000101	Syac.g_02094	Prbg.g_01785
OG0000102	Syac.g_00151	Prbg.g_01852
OG0000103	Syac.g_02476	Prbg.g_01937
OG0000104	Syac.g_02490	Prbg.g_00763
OG0000105	Syac.g_02245	Prbg.g_00053
OG0000106	Syac.g_01098	Prbg.g_00388
OG0000107	Syac.g_02191	Prbg.g_01714
OG0000108	Syac.g_01904	Prbg.g_00199
OG0000109	Syac.g_01889	Prbg.g_00213
OG0000110	Syac.g_01778	Prbg.g_00293
OG0000111	Syac.g_00893	Prbg.g_01144
OG0000112	Syac.g_01173	Prbg.g_00366
OG0000113	Syac.g_01314	Prbg.g_01182
OG0000114	Syac.g_01394	Prbg.g_01084
OG0000115	Syac.g_01655	Prbg.g_01555
OG0000116	Syac.g_00753	Prbg.g_01497
OG0000117	Syac.g_01477	Prbg.g_01459
OG0000118	Syac.g_01728	Prbg.g_00490
OG0000120	Syac.g_00233	Prbg.g_00549
OG0000121	Syac.g_01635	Prbg.g_00593
OG0000122	Syac.g_01013	Prbg.g_00448, Prbg.g_00634
OG0000123	Syac.g_02086	Prbg.g_01792
OG0000124	Syac.g_00135	Prbg.g_01864
OG0000125	Syac.g_02360	Prbg.g_01900
