Orthogroup	Syac	Prat
OG0000001	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prat.g_01285, Prat.g_01286
OG0000002	Syac.g_01084	Prat.g_00977, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187, Prat.g_01462, Prat.g_00751
OG0000004	Syac.g_00898	Prat.g_00772
OG0000004	Syac.g_00948, Syac.g_01975	Prat.g_00236
OG0000005	Syac.g_00569	Prat.g_01440
OG0000006	Syac.g_01002, Syac.g_01958, Syac.g_01961, Syac.g_02194	Prat.g_00248
OG0000007	Syac.g_01885	Prat.g_00458
OG0000007	Syac.g_00544	Prat.g_01592
OG0000008	Syac.g_00921	Prat.g_00376
OG0000008	Syac.g_00922	Prat.g_00377
OG0000010	Syac.g_01701	Prat.g_00682, Prat.g_00662
OG0000011	Syac.g_00924	Prat.g_01532
OG0000012	Syac.g_00955	Prat.g_00586
OG0000013	Syac.g_02056, Syac.g_02046, Syac.g_02062	Prat.g_00334
OG0000014	Syac.g_00253	Prat.g_00314
OG0000015	Syac.g_01408	Prat.g_00701
OG0000016	Syac.g_00014	Prat.g_00014
OG0000016	Syac.g_01505, Syac.g_01053	Prat.g_01219
OG0000017	Syac.g_01749	Prat.g_00560
OG0000017	Syac.g_01742	Prat.g_00567
OG0000018	Syac.g_01660	Prat.g_01177
OG0000019	Syac.g_02207	Prat.g_00255, Prat.g_01180
OG0000022	Syac.g_01031	Prat.g_01448
OG0000023	Syac.g_00760	Prat.g_00834
OG0000024	Syac.g_00925	Prat.g_00622, Prat.g_00749
OG0000025	Syac.g_00847	Prat.g_01003
OG0000026	Syac.g_00034	Prat.g_00033
OG0000027	Syac.g_01095, Syac.g_01009	Prat.g_01474, Prat.g_01548
OG0000028	Syac.g_00237	Prat.g_00380, Prat.g_00327
OG0000030	Syac.g_00143, Syac.g_00142	Prat.g_01799
OG0000032	Syac.g_01677	Prat.g_01394
OG0000033	Syac.g_00304	Prat.g_01265
OG0000034	Syac.g_00334, Syac.g_00715	Prat.g_01259
OG0000035	Syac.g_01630	Prat.g_01353, Prat.g_01352
OG0000037	Syac.g_01077	Prat.g_00106
OG0000038	Syac.g_02357, Syac.g_02358	Prat.g_01839
OG0000039	Syac.g_00856, Syac.g_02378	Prat.g_00760
OG0000040	Syac.g_01006	Prat.g_01578
OG0000041	Syac.g_00655, Syac.g_00876	Prat.g_01640
OG0000042	Syac.g_00146	Prat.g_01796
OG0000043	Syac.g_00808, Syac.g_01100	Prat.g_01176
OG0000044	Syac.g_00477, Syac.g_00858	Prat.g_00619
OG0000045	Syac.g_00576	Prat.g_01203
OG0000046	Syac.g_02055, Syac.g_02047, Syac.g_02063	Prat.g_00335
OG0000047	Syac.g_02031	Prat.g_00374
OG0000048	Syac.g_02240	Prat.g_00278
OG0000052	Syac.g_00207	Prat.g_00058
OG0000053	Syac.g_01657	Prat.g_01375
OG0000054	Syac.g_00933, Syac.g_01050	Prat.g_00569
OG0000057	Syac.g_00894	Prat.g_00775
OG0000058	Syac.g_00226	Prat.g_01311
OG0000059	Syac.g_02142	Prat.g_01679
OG0000061	Syac.g_00769	Prat.g_01156
OG0000062	Syac.g_00567	Prat.g_01442
OG0000063	Syac.g_00037	Prat.g_01516
OG0000064	Syac.g_00575, Syac.g_01567	Prat.g_00064
OG0000065	Syac.g_00396, Syac.g_00490	Prat.g_00104
OG0000066	Syac.g_01827	Prat.g_01499
OG0000067	Syac.g_01341	Prat.g_01037
OG0000068	Syac.g_01916	Prat.g_01291
OG0000069	Syac.g_01272	Prat.g_01400
OG0000070	Syac.g_00711	Prat.g_00412
OG0000071	Syac.g_01049, Syac.g_00729	Prat.g_01249
OG0000072	Syac.g_00302	Prat.g_00172
OG0000073	Syac.g_01883	Prat.g_00462
OG0000075	Syac.g_00191	Prat.g_01761
OG0000076	Syac.g_00156	Prat.g_01788
OG0000077	Syac.g_00439	Prat.g_00075
OG0000078	Syac.g_01964	Prat.g_00245
OG0000079	Syac.g_02211	Prat.g_00258
OG0000081	Syac.g_01954, Syac.g_00461	Prat.g_00493
OG0000082	Syac.g_01766	Prat.g_01507
OG0000084	Syac.g_00822, Syac.g_01627	Prat.g_01348
OG0000085	Syac.g_00560	Prat.g_01584
OG0000086	Syac.g_00423	Prat.g_00086
OG0000087	Syac.g_00343	Prat.g_00138
OG0000088	Syac.g_00308	Prat.g_00166
OG0000089	Syac.g_01988, Syac.g_01543	Prat.g_00370
