Orthogroup	Syac	Prad
OG0000001	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prad.g_00609
OG0000002	Syac.g_01084	Prad.g_00601, Prad.g_01252
OG0000004	Syac.g_00898	Prad.g_01269
OG0000004	Syac.g_00948, Syac.g_01975	Prad.g_01759
OG0000005	Syac.g_00527	Prad.g_00928
OG0000005	Syac.g_00569	Prad.g_00438
OG0000006	Syac.g_01002, Syac.g_01958, Syac.g_01961, Syac.g_02194	Prad.g_01750
OG0000007	Syac.g_01885	Prad.g_00132
OG0000007	Syac.g_00544	Prad.g_00941
OG0000009	Syac.g_01004, Syac.g_00398	Prad.g_01888
OG0000010	Syac.g_01701	Prad.g_01304, Prad.g_01011
OG0000011	Syac.g_00924	Prad.g_01212
OG0000012	Syac.g_00955, Syac.g_00758, Syac.g_01577	Prad.g_01412
OG0000013	Syac.g_02056, Syac.g_02046, Syac.g_02062	Prad.g_01664
OG0000014	Syac.g_00253	Prad.g_01685
OG0000015	Syac.g_01408	Prad.g_01108
OG0000016	Syac.g_00014	Prad.g_01973
OG0000017	Syac.g_01749, Syac.g_01742	Prad.g_01387
OG0000018	Syac.g_01660	Prad.g_01515
OG0000019	Syac.g_02207	Prad.g_01742, Prad.g_01125
OG0000022	Syac.g_01031	Prad.g_01993
OG0000023	Syac.g_00760	Prad.g_00751
OG0000024	Syac.g_00925	Prad.g_01088, Prad.g_01249
OG0000025	Syac.g_00847	Prad.g_01660, Prad.g_01181
OG0000026	Syac.g_00034	Prad.g_01955, Prad.g_01004
OG0000027	Syac.g_01095, Syac.g_01009	Prad.g_01298, Prad.g_00353
OG0000028	Syac.g_00237	Prad.g_01204, Prad.g_01671
OG0000029	Syac.g_01942	Prad.g_01096, Prad.g_00734
OG0000032	Syac.g_01677	Prad.g_00572
OG0000034	Syac.g_00334, Syac.g_00715	Prad.g_00618
OG0000035	Syac.g_01630	Prad.g_00515
OG0000037	Syac.g_01077	Prad.g_01884
OG0000038	Syac.g_02357, Syac.g_02358	Prad.g_01582
OG0000039	Syac.g_00856, Syac.g_02378	Prad.g_01260
OG0000040	Syac.g_01006	Prad.g_00369
OG0000040	Syac.g_02437	Prad.g_01516
OG0000041	Syac.g_00655, Syac.g_00876	Prad.g_00894
OG0000042	Syac.g_00146	Prad.g_01624
OG0000043	Syac.g_00808	Prad.g_00313
OG0000044	Syac.g_00477, Syac.g_00858	Prad.g_01213
OG0000045	Syac.g_01040	Prad.g_00738
OG0000047	Syac.g_02031	Prad.g_01661, Prad.g_00683
OG0000048	Syac.g_02240	Prad.g_00735
OG0000050	Syac.g_01937	Prad.g_00985
OG0000051	Syac.g_01073	Prad.g_00342
OG0000052	Syac.g_00207	Prad.g_00571
OG0000053	Syac.g_01657	Prad.g_00494
OG0000054	Syac.g_00933, Syac.g_01050	Prad.g_01395
OG0000055	Syac.g_01034, Syac.g_00859	Prad.g_01126
OG0000057	Syac.g_00894	Prad.g_01272
OG0000058	Syac.g_00226	Prad.g_00565
OG0000059	Syac.g_02142	Prad.g_00855
OG0000061	Syac.g_00769	Prad.g_01496
OG0000062	Syac.g_00567	Prad.g_00436
OG0000063	Syac.g_00037	Prad.g_01953, Prad.g_00081
OG0000065	Syac.g_00396, Syac.g_00490	Prad.g_01886
OG0000066	Syac.g_01827	Prad.g_00090
OG0000067	Syac.g_01341	Prad.g_01146
OG0000068	Syac.g_01916	Prad.g_00594
OG0000069	Syac.g_01272	Prad.g_00952, Prad.g_00400
OG0000070	Syac.g_00711	Prad.g_00057
OG0000071	Syac.g_01049, Syac.g_00729	Prad.g_00628
OG0000072	Syac.g_00302	Prad.g_01820
OG0000073	Syac.g_01883	Prad.g_00130
OG0000075	Syac.g_00191	Prad.g_00775
OG0000076	Syac.g_00156	Prad.g_01631
OG0000077	Syac.g_00439	Prad.g_01915
OG0000078	Syac.g_01964	Prad.g_01752
OG0000079	Syac.g_02211	Prad.g_01739
OG0000081	Syac.g_01954, Syac.g_00461	Prad.g_00098
