Orthogroup	Syac	Syap
OG0000001	Syac.g_00341, Syac.g_00340	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615
OG0000004	Syac.g_01975	Syap.g_01987
OG0000005	Syac.g_00527	Syap.g_01773
OG0000005	Syac.g_00569	Syap.g_01218
OG0000006	Syac.g_01002	Syap.g_02770
OG0000007	Syac.g_01885	Syap.g_00275
OG0000007	Syac.g_00544	Syap.g_00621
OG0000009	Syac.g_01004, Syac.g_00398	Syap.g_02081
OG0000010	Syac.g_01701	Syap.g_02757
OG0000013	Syac.g_02062	Syap.g_00972
OG0000014	Syac.g_00253	Syap.g_01675
OG0000016	Syac.g_00014	Syap.g_00071
OG0000018	Syac.g_01660	Syap.g_02010
OG0000019	Syac.g_02207	Syap.g_01586
OG0000025	Syac.g_00847	Syap.g_01846
OG0000028	Syac.g_00237	Syap.g_01658
OG0000030	Syac.g_00143	Syap.g_00787
OG0000030	Syac.g_00142	Syap.g_00788
OG0000031	Syac.g_00232	Syap.g_02479, Syap.g_01083, Syap.g_02076
OG0000033	Syac.g_00304	Syap.g_01198
OG0000034	Syac.g_00334, Syac.g_00715	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Syac.g_01630	Syap.g_02125, Syap.g_02465
OG0000037	Syac.g_01077	Syap.g_02492
OG0000038	Syac.g_02358	Syap.g_00139
OG0000039	Syac.g_00856, Syac.g_02378	Syap.g_01749, Syap.g_01748
OG0000040	Syac.g_02437	Syap.g_01819
OG0000042	Syac.g_00146	Syap.g_01891, Syap.g_01120
OG0000043	Syac.g_00808	Syap.g_01998
OG0000045	Syac.g_00576	Syap.g_02525
OG0000046	Syac.g_02063	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973
OG0000048	Syac.g_02240	Syap.g_02340
OG0000051	Syac.g_01292, Syac.g_01073	Syap.g_01574
OG0000053	Syac.g_01657	Syap.g_02006
OG0000054	Syac.g_01050	Syap.g_00678, Syap.g_02652, Syap.g_00774
OG0000057	Syac.g_00894	Syap.g_01569
OG0000058	Syac.g_00226	Syap.g_02074
OG0000059	Syac.g_02142	Syap.g_01918
OG0000061	Syac.g_00769	Syap.g_00228
OG0000062	Syac.g_00567	Syap.g_01220
OG0000063	Syac.g_00037	Syap.g_01796
OG0000066	Syac.g_01827	Syap.g_01972
OG0000067	Syac.g_01341	Syap.g_00194
OG0000068	Syac.g_01916	Syap.g_00108, Syap.g_00144
OG0000069	Syac.g_01272	Syap.g_01936, Syap.g_01543, Syap.g_01545
OG0000070	Syac.g_00711	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000071	Syac.g_01049	Syap.g_01483
OG0000073	Syac.g_01883	Syap.g_00273
OG0000075	Syac.g_00191	Syap.g_01064, Syap.g_00664
OG0000076	Syac.g_00156	Syap.g_01111
OG0000077	Syac.g_00439	Syap.g_00416
OG0000079	Syac.g_02211	Syap.g_01589
OG0000085	Syac.g_00560	Syap.g_00611
OG0000087	Syac.g_00343	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Syac.g_00308	Syap.g_01202
OG0000089	Syac.g_01988, Syac.g_01543	Syap.g_00115, Syap.g_02042
OG0000090	Syac.g_01836	Syap.g_01451
OG0000091	Syac.g_00987	Syap.g_01861
OG0000094	Syac.g_01251	Syap.g_02781
OG0000095	Syac.g_00884	Syap.g_01556
OG0000099	Syac.g_00234	Syap.g_01385
OG0000102	Syac.g_00151	Syap.g_01116
OG0000104	Syac.g_02490	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Syac.g_02245	Syap.g_01369, Syap.g_01368
OG0000107	Syac.g_02191	Syap.g_02496
OG0000108	Syac.g_01904	Syap.g_00733, Syap.g_02255
OG0000110	Syac.g_01778	Syap.g_01313
OG0000111	Syac.g_00893	Syap.g_01566, Syap.g_01568
OG0000112	Syac.g_01173	Syap.g_02023
OG0000113	Syac.g_01314	Syap.g_02714
OG0000114	Syac.g_01394	Syap.g_01255
OG0000115	Syac.g_01655	Syap.g_02004
OG0000116	Syac.g_00753	Syap.g_00241
OG0000117	Syac.g_01477	Syap.g_01889
OG0000118	Syac.g_01728	Syap.g_02286
OG0000120	Syac.g_00233	Syap.g_02075
OG0000121	Syac.g_01635	Syap.g_02471
OG0000123	Syac.g_02086	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Syac.g_00135	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Syac.g_02360	Syap.g_01046, Syap.g_01047
OG0000126	Syac.g_02488	Syap.g_02317, Syap.g_02316, Syap.g_02576
OG0000127	Syac.g_01547	Syap.g_00736
OG0000128	Syac.g_00012	Syap.g_00069
OG0000129	Syac.g_02349	Syap.g_00130, Syap.g_00129
OG0000130	Syac.g_00450	Syap.g_01688, Syap.g_01689
OG0000131	Syac.g_00330	Syap.g_02189
OG0000132	Syac.g_00310	Syap.g_01205
OG0000133	Syac.g_01178	Syap.g_02017
OG0000134	Syac.g_01985	Syap.g_02047
OG0000135	Syac.g_02398	Syap.g_02090
OG0000136	Syac.g_00701	Syap.g_00089
