Orthogroup	Syac	Syan
OG0000001	Syac.g_00341, Syac.g_00340	Syan.g_02266
OG0000001	Syac.g_02169	Syan.g_01149
OG0000004	Syac.g_00898	Syan.g_00183
OG0000004	Syac.g_00948	Syan.g_00989
OG0000005	Syac.g_00527	Syan.g_01423
OG0000005	Syac.g_00569	Syan.g_01378
OG0000005	Syac.g_01087	Syan.g_00449
OG0000006	Syac.g_01002	Syan.g_00791
OG0000006	Syac.g_01958, Syac.g_01961, Syac.g_02194	Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000007	Syac.g_01885	Syan.g_02743
OG0000007	Syac.g_00544	Syan.g_01400
OG0000008	Syac.g_00921	Syan.g_00640, Syan.g_02532
OG0000008	Syac.g_00922	Syan.g_00641, Syan.g_02531
OG0000009	Syac.g_01004, Syac.g_00398	Syan.g_02972
OG0000010	Syac.g_01701	Syan.g_02847
OG0000012	Syac.g_00758, Syac.g_01577	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485, Syan.g_00008, Syan.g_00942
OG0000014	Syac.g_00253	Syan.g_01987
OG0000016	Syac.g_00014	Syan.g_01766
OG0000016	Syac.g_01505	Syan.g_02598
OG0000017	Syac.g_01742	Syan.g_01013
OG0000018	Syac.g_01660	Syan.g_02816
OG0000019	Syac.g_02207	Syan.g_02088
OG0000022	Syac.g_01031	Syan.g_00089
OG0000023	Syac.g_00760	Syan.g_00404
OG0000025	Syac.g_00847	Syan.g_00374
OG0000026	Syac.g_00034	Syan.g_01743
OG0000027	Syac.g_01009	Syan.g_02678
OG0000028	Syac.g_00237	Syan.g_01971
OG0000030	Syac.g_00143	Syan.g_01884
OG0000030	Syac.g_00142	Syan.g_01883
OG0000031	Syac.g_00232	Syan.g_01967
OG0000032	Syac.g_01677	Syan.g_02835
OG0000033	Syac.g_00304	Syan.g_03036
OG0000034	Syac.g_00334, Syac.g_00715	Syan.g_01227, Syan.g_03003
OG0000035	Syac.g_01630	Syan.g_01279, Syan.g_01276
OG0000037	Syac.g_01077	Syan.g_02978, Syan.g_00917
OG0000038	Syac.g_02357	Syan.g_01569
OG0000038	Syac.g_02358	Syan.g_01571
