Orthogroup	Syac	Prau
OG0000001	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prau.g_01394
OG0000002	Syac.g_01084	Prau.g_01402, Prau.g_00718
OG0000004	Syac.g_00898	Prau.g_00735
OG0000004	Syac.g_00948, Syac.g_01975	Prau.g_00233
OG0000005	Syac.g_00527	Prau.g_01745
OG0000005	Syac.g_00569	Prau.g_01607
OG0000006	Syac.g_01002, Syac.g_01958, Syac.g_01961, Syac.g_02194	Prau.g_01316
OG0000007	Syac.g_01885	Prau.g_00538
OG0000007	Syac.g_00544	Prau.g_01732
OG0000008	Syac.g_00921	Prau.g_00781
OG0000009	Syac.g_01004, Syac.g_00398	Prau.g_00106
OG0000010	Syac.g_01701	Prau.g_01698, Prau.g_01096
OG0000011	Syac.g_00924	Prau.g_01307, Prau.g_01335
OG0000012	Syac.g_00955, Syac.g_00758, Syac.g_01577	Prau.g_00663
OG0000013	Syac.g_02056, Syac.g_02046, Syac.g_02062	Prau.g_00329
OG0000014	Syac.g_00253	Prau.g_00308
OG0000015	Syac.g_01408	Prau.g_00817
OG0000016	Syac.g_00014	Prau.g_00013
OG0000017	Syac.g_01749, Syac.g_01742	Prau.g_00636
OG0000018	Syac.g_01660	Prau.g_01188
OG0000019	Syac.g_02207	Prau.g_00251, Prau.g_00834
OG0000022	Syac.g_01031	Prau.g_01170
OG0000023	Syac.g_00760	Prau.g_00362
OG0000024	Syac.g_00925	Prau.g_00796, Prau.g_00715
OG0000025	Syac.g_00847	Prau.g_00333, Prau.g_00888
OG0000026	Syac.g_00034	Prau.g_00030, Prau.g_01103
OG0000027	Syac.g_01095, Syac.g_01009	Prau.g_01353
OG0000028	Syac.g_00237	Prau.g_01338, Prau.g_00322
OG0000029	Syac.g_01942	Prau.g_00804, Prau.g_00378
OG0000030	Syac.g_00143, Syac.g_00142	Prau.g_01935
OG0000033	Syac.g_00304	Prau.g_01465
OG0000034	Syac.g_00334, Syac.g_00715	Prau.g_01381
OG0000035	Syac.g_01630	Prau.g_01531, Prau.g_01528
OG0000037	Syac.g_01077	Prau.g_00110
OG0000038	Syac.g_02357, Syac.g_02358	Prau.g_01976
OG0000039	Syac.g_00856, Syac.g_02378	Prau.g_00726
OG0000040	Syac.g_01006	Prau.g_01662
OG0000040	Syac.g_02437	Prau.g_01187
OG0000041	Syac.g_00655, Syac.g_00876	Prau.g_01778
OG0000042	Syac.g_00146	Prau.g_01932
OG0000043	Syac.g_00808	Prau.g_01321
OG0000045	Syac.g_01040	Prau.g_00374
OG0000045	Syac.g_00576	Prau.g_01682
OG0000047	Syac.g_02031	Prau.g_00332, Prau.g_00414
OG0000048	Syac.g_02240	Prau.g_00377
OG0000050	Syac.g_01937	Prau.g_01123
OG0000051	Syac.g_01292	Prau.g_01275, Prau.g_01681
OG0000051	Syac.g_01073	Prau.g_01347
OG0000053	Syac.g_01657	Prau.g_00040, Prau.g_01551
OG0000054	Syac.g_00933, Syac.g_01050	Prau.g_00644
OG0000055	Syac.g_01034, Syac.g_00859	Prau.g_00835
OG0000057	Syac.g_00894	Prau.g_00738
OG0000059	Syac.g_02142	Prau.g_01818
OG0000061	Syac.g_00769	Prau.g_01206
OG0000062	Syac.g_00567	Prau.g_01609
OG0000063	Syac.g_00037	Prau.g_00032, Prau.g_01295
OG0000065	Syac.g_00396, Syac.g_00490	Prau.g_00108
OG0000066	Syac.g_01827	Prau.g_00579
OG0000067	Syac.g_01341	Prau.g_00854
OG0000068	Syac.g_01916	Prau.g_01409
OG0000069	Syac.g_01272	Prau.g_01285, Prau.g_01642
OG0000070	Syac.g_00711	Prau.g_00491
OG0000071	Syac.g_01049, Syac.g_00729	Prau.g_01371
OG0000072	Syac.g_00302	Prau.g_00172
OG0000073	Syac.g_01883	Prau.g_00540
OG0000075	Syac.g_00191	Prau.g_01901
OG0000076	Syac.g_00156	Prau.g_00037, Prau.g_01925
OG0000077	Syac.g_00439	Prau.g_00079
OG0000078	Syac.g_01964	Prau.g_00240
OG0000079	Syac.g_02211	Prau.g_00254
OG0000081	Syac.g_01954, Syac.g_00461	Prau.g_00571
OG0000082	Syac.g_01766	Prau.g_00624
OG0000084	Syac.g_00822, Syac.g_01627	Prau.g_01524
OG0000085	Syac.g_00560	Prau.g_01725
OG0000086	Syac.g_00423	Prau.g_00089
OG0000087	Syac.g_00343	Prau.g_00140
OG0000088	Syac.g_00308	Prau.g_00167
OG0000089	Syac.g_01988, Syac.g_01543	Prau.g_00358
