Orthogroup	Syac	Syaq
OG0000001	Syac.g_00341, Syac.g_00340	Syaq.g_01434
OG0000001	Syac.g_02169	Syaq.g_02178, Syaq.g_02413
OG0000004	Syac.g_00898	Syaq.g_02603
OG0000004	Syac.g_00948	Syaq.g_02042
OG0000004	Syac.g_01975	Syaq.g_01567
OG0000005	Syac.g_00527	Syaq.g_01658
OG0000005	Syac.g_00569	Syaq.g_01692
OG0000005	Syac.g_01087	Syaq.g_00236
OG0000006	Syac.g_01002	Syaq.g_02108
OG0000006	Syac.g_01958, Syac.g_01961, Syac.g_02194	Syaq.g_00696, Syaq.g_01590
OG0000007	Syac.g_01885	Syaq.g_01793
OG0000007	Syac.g_00544	Syaq.g_01673
OG0000008	Syac.g_00921	Syaq.g_02162
OG0000008	Syac.g_00922	Syaq.g_02575
OG0000009	Syac.g_01004, Syac.g_00398	Syaq.g_01489
OG0000010	Syac.g_01701	Syaq.g_00443
OG0000011	Syac.g_00924	Syaq.g_01038
OG0000012	Syac.g_00955	Syaq.g_02059
OG0000012	Syac.g_00758, Syac.g_01577	Syaq.g_00077
OG0000013	Syac.g_02056, Syac.g_02046, Syac.g_02062	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Syac.g_00253	Syaq.g_00862
OG0000014	Syac.g_00100	Syaq.g_00907
OG0000015	Syac.g_01408	Syaq.g_02255
OG0000016	Syac.g_00014	Syaq.g_01136
OG0000016	Syac.g_01505	Syaq.g_00169
OG0000017	Syac.g_01749	Syaq.g_01992
OG0000017	Syac.g_01742	Syaq.g_01999
OG0000018	Syac.g_01660	Syaq.g_00401
OG0000019	Syac.g_02207	Syaq.g_00717
OG0000022	Syac.g_01031	Syaq.g_02126
OG0000023	Syac.g_00760	Syaq.g_02540
OG0000025	Syac.g_00847	Syaq.g_02381
OG0000026	Syac.g_00034	Syaq.g_01114
OG0000028	Syac.g_00237	Syaq.g_00878
OG0000030	Syac.g_00143	Syaq.g_01047
OG0000030	Syac.g_00142	Syaq.g_01048
OG0000031	Syac.g_00232	Syaq.g_01009
OG0000032	Syac.g_01677	Syaq.g_00421
OG0000033	Syac.g_00304	Syaq.g_01399
OG0000034	Syac.g_00334, Syac.g_00715	Syaq.g_00312, Syaq.g_01431
OG0000035	Syac.g_01630	Syaq.g_00372, Syaq.g_00371
OG0000037	Syac.g_01077	Syaq.g_01483
OG0000038	Syac.g_02357	Syaq.g_01260
OG0000038	Syac.g_02358	Syaq.g_01258
OG0000039	Syac.g_02378	Syaq.g_01241
OG0000041	Syac.g_00876	Syaq.g_02688
OG0000042	Syac.g_00146	Syaq.g_00200, Syaq.g_01044
OG0000043	Syac.g_01100	Syaq.g_01920
OG0000044	Syac.g_00858	Syaq.g_02701
OG0000045	Syac.g_01040, Syac.g_00576	Syaq.g_02047
OG0000046	Syac.g_02063	Syaq.g_00570, Syaq.g_00573
OG0000048	Syac.g_02240	Syaq.g_00749
OG0000052	Syac.g_00207	Syaq.g_00969
OG0000053	Syac.g_01657	Syaq.g_00397
OG0000054	Syac.g_00933, Syac.g_01050	Syaq.g_02005
OG0000055	Syac.g_00859	Syaq.g_02700
OG0000058	Syac.g_00226	Syaq.g_00944
OG0000059	Syac.g_02142	Syaq.g_00657
OG0000060	Syac.g_01909	Syaq.g_01770
OG0000061	Syac.g_00769	Syaq.g_00249
OG0000062	Syac.g_00567	Syaq.g_01690
OG0000063	Syac.g_00037	Syaq.g_01110
OG0000065	Syac.g_00490	Syaq.g_01908
OG0000067	Syac.g_01341	Syaq.g_02340, Syaq.g_02560
OG0000068	Syac.g_01916	Syaq.g_01763
OG0000070	Syac.g_00711	Syaq.g_00484
OG0000071	Syac.g_00729	Syaq.g_00297
OG0000072	Syac.g_00302	Syaq.g_01397
OG0000073	Syac.g_01883	Syaq.g_01795
OG0000075	Syac.g_00191	Syaq.g_00986
OG0000076	Syac.g_00156	Syaq.g_01028
OG0000077	Syac.g_00439	Syaq.g_01547
OG0000078	Syac.g_01964	Syaq.g_01585
OG0000079	Syac.g_02211	Syaq.g_00721
OG0000081	Syac.g_01954, Syac.g_00461	Syaq.g_01893
OG0000082	Syac.g_01766	Syaq.g_01975
OG0000084	Syac.g_00822, Syac.g_01627	Syaq.g_00367
OG0000085	Syac.g_00560	Syaq.g_01683
OG0000086	Syac.g_00423	Syaq.g_01525
OG0000087	Syac.g_00343	Syaq.g_01438
OG0000088	Syac.g_00308	Syaq.g_01402
OG0000089	Syac.g_01988, Syac.g_01543	Syaq.g_00529
OG0000090	Syac.g_01836	Syaq.g_01838
OG0000091	Syac.g_00987	Syaq.g_02090
OG0000093	Syac.g_01357	Syaq.g_02323
OG0000094	Syac.g_01251	Syaq.g_00056
OG0000095	Syac.g_00884	Syaq.g_02679
OG0000097	Syac.g_01507	Syaq.g_00167
OG0000099	Syac.g_00234	Syaq.g_00882
OG0000100	Syac.g_01309	Syaq.g_02371
OG0000101	Syac.g_02094	Syaq.g_00607
OG0000102	Syac.g_00151	Syaq.g_01033
OG0000103	Syac.g_02476	Syaq.g_01170
OG0000104	Syac.g_02490	Syaq.g_01154
OG0000105	Syac.g_02245	Syaq.g_00754
OG0000106	Syac.g_01098	Syaq.g_01863
OG0000107	Syac.g_02191	Syaq.g_00694
OG0000108	Syac.g_01904	Syaq.g_01772
OG0000109	Syac.g_01889	Syaq.g_01788
OG0000110	Syac.g_01778	Syaq.g_01962
OG0000111	Syac.g_00893	Syaq.g_02606
OG0000112	Syac.g_01173	Syaq.g_02476
OG0000114	Syac.g_01394	Syaq.g_02269
OG0000115	Syac.g_01655	Syaq.g_00395
OG0000116	Syac.g_00753	Syaq.g_00263
OG0000117	Syac.g_01477	Syaq.g_00203
OG0000118	Syac.g_01728	Syaq.g_00325, Syaq.g_00316
OG0000120	Syac.g_00233	Syaq.g_00883
OG0000121	Syac.g_01635	Syaq.g_00375
OG0000122	Syac.g_01013	Syaq.g_02118
OG0000123	Syac.g_02086	Syaq.g_00599
OG0000124	Syac.g_00135	Syaq.g_01055
OG0000125	Syac.g_02360	Syaq.g_01256
OG0000126	Syac.g_02488	Syaq.g_01156
OG0000128	Syac.g_00012	Syaq.g_01138
