Orthogroup	Syac	Syab
OG0000001	Syac.g_00341, Syac.g_00340	Syab.g_02553, Syab.g_02555
OG0000001	Syac.g_02169	Syab.g_01509, Syab.g_01510
OG0000002	Syac.g_01084	Syab.g_02285
OG0000004	Syac.g_00898	Syab.g_00549, Syab.g_01193
OG0000004	Syac.g_00948	Syab.g_01911
OG0000004	Syac.g_01975	Syab.g_02377
OG0000005	Syac.g_00527	Syab.g_02289
OG0000005	Syac.g_00569	Syab.g_02232
OG0000005	Syac.g_01087	Syab.g_00981
OG0000006	Syac.g_01002	Syab.g_01849
OG0000006	Syac.g_01958, Syac.g_01961, Syac.g_02194	Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Syac.g_01885	Syab.g_02117
OG0000007	Syac.g_00544	Syab.g_02256
OG0000008	Syac.g_00921	Syab.g_01755
OG0000008	Syac.g_00922	Syab.g_01168
OG0000009	Syac.g_01004, Syac.g_00398	Syab.g_02498
OG0000010	Syac.g_01701	Syab.g_00696
OG0000011	Syac.g_00924	Syab.g_01491, Syab.g_01083
OG0000012	Syac.g_01577	Syab.g_01774, Syab.g_00953
OG0000013	Syac.g_02056	Syab.g_00487
OG0000013	Syac.g_02046	Syab.g_00497
OG0000013	Syac.g_02062	Syab.g_00482
OG0000014	Syac.g_00253	Syab.g_00249
OG0000016	Syac.g_00014	Syab.g_00014
OG0000016	Syac.g_01505	Syab.g_01049
OG0000017	Syac.g_01749	Syab.g_01953
OG0000017	Syac.g_01742	Syab.g_01945
OG0000018	Syac.g_01660	Syab.g_00742
OG0000019	Syac.g_02207	Syab.g_00344
OG0000022	Syac.g_01031	Syab.g_01825
OG0000023	Syac.g_00760	Syab.g_00708
OG0000024	Syac.g_00925	Syab.g_01834
OG0000025	Syac.g_00847	Syab.g_01705
OG0000026	Syac.g_00034	Syab.g_00036
OG0000027	Syac.g_01095	Syab.g_01782
OG0000028	Syac.g_00237	Syab.g_00234
OG0000030	Syac.g_00143	Syab.g_00096
OG0000030	Syac.g_00142	Syab.g_00095
OG0000031	Syac.g_00232	Syab.g_00160
OG0000032	Syac.g_01677	Syab.g_00724
OG0000033	Syac.g_00304	Syab.g_02590
OG0000034	Syac.g_00334, Syac.g_00715	Syab.g_00900, Syab.g_02560
OG0000035	Syac.g_01630	Syab.g_00776, Syab.g_00778
OG0000036	Syac.g_01722, Syac.g_01536	Syab.g_00846
OG0000037	Syac.g_01077	Syab.g_02280
OG0000038	Syac.g_02357	Syab.g_02759
OG0000038	Syac.g_02358	Syab.g_02761
OG0000039	Syac.g_02378	Syab.g_02791
OG0000040	Syac.g_02437	Syab.g_02853
OG0000042	Syac.g_00146	Syab.g_01019, Syab.g_00099
OG0000043	Syac.g_00808	Syab.g_02802
OG0000043	Syac.g_01100	Syab.g_01785
OG0000044	Syac.g_00858	Syab.g_01256
OG0000045	Syac.g_01040	Syab.g_01787
OG0000045	Syac.g_00576	Syab.g_00871
OG0000046	Syac.g_02055	Syab.g_00488
OG0000046	Syac.g_02047	Syab.g_00496
OG0000046	Syac.g_02063	Syab.g_00481
OG0000047	Syac.g_02031	Syab.g_00876
OG0000048	Syac.g_02240	Syab.g_00308
OG0000052	Syac.g_00207	Syab.g_00214
OG0000053	Syac.g_01657	Syab.g_00746
OG0000055	Syac.g_00859	Syab.g_01255
OG0000058	Syac.g_00226	Syab.g_00227
OG0000059	Syac.g_02142	Syab.g_00397
OG0000060	Syac.g_01909	Syab.g_02094
OG0000061	Syac.g_00769	Syab.g_00969
OG0000062	Syac.g_00567	Syab.g_02234
OG0000063	Syac.g_00037	Syab.g_00040
OG0000064	Syac.g_00575	Syab.g_00824
OG0000064	Syac.g_01567	Syab.g_00997
OG0000065	Syac.g_00490	Syab.g_01768
OG0000066	Syac.g_01827	Syab.g_01516
OG0000067	Syac.g_01341	Syab.g_01659
OG0000068	Syac.g_01916	Syab.g_02087
OG0000070	Syac.g_00711	Syab.g_00614
OG0000071	Syac.g_00729	Syab.g_00915
OG0000072	Syac.g_00302	Syab.g_02593
OG0000073	Syac.g_01883	Syab.g_02119
OG0000075	Syac.g_00191	Syab.g_00202
OG0000076	Syac.g_00156	Syab.g_00113
OG0000077	Syac.g_00439	Syab.g_02446
OG0000078	Syac.g_01964	Syab.g_02366
OG0000079	Syac.g_02211	Syab.g_00340
OG0000081	Syac.g_01954, Syac.g_00461	Syab.g_01793
OG0000082	Syac.g_01766	Syab.g_01971
OG0000084	Syac.g_00822, Syac.g_01627	Syab.g_00781
OG0000085	Syac.g_00560	Syab.g_02243
OG0000086	Syac.g_00423	Syab.g_02468
OG0000087	Syac.g_00343	Syab.g_02551
OG0000088	Syac.g_00308	Syab.g_02586
OG0000089	Syac.g_01988, Syac.g_01543	Syab.g_00551
OG0000090	Syac.g_01836	Syab.g_02041
OG0000091	Syac.g_00987	Syab.g_01866
OG0000093	Syac.g_01357	Syab.g_01582
OG0000094	Syac.g_01251	Syab.g_01306
OG0000095	Syac.g_00884	Syab.g_01210
OG0000097	Syac.g_01507	Syab.g_01051
OG0000099	Syac.g_00234	Syab.g_00230
OG0000100	Syac.g_01309	Syab.g_01694
OG0000101	Syac.g_02094	Syab.g_00446
OG0000102	Syac.g_00151	Syab.g_00104
OG0000103	Syac.g_02476	Syab.g_02895
OG0000104	Syac.g_02490	Syab.g_02910
OG0000105	Syac.g_02245	Syab.g_00303
OG0000106	Syac.g_01098	Syab.g_01817
OG0000107	Syac.g_02191	Syab.g_00367
OG0000108	Syac.g_01904	Syab.g_02096
OG0000109	Syac.g_01889	Syab.g_02112
OG0000110	Syac.g_01778	Syab.g_01984
OG0000111	Syac.g_00893	Syab.g_01201
OG0000112	Syac.g_01173	Syab.g_01392
OG0000113	Syac.g_01314	Syab.g_01689
OG0000114	Syac.g_01394	Syab.g_02656
OG0000115	Syac.g_01655	Syab.g_00748
OG0000116	Syac.g_00753	Syab.g_00945
OG0000117	Syac.g_01477	Syab.g_01018
OG0000118	Syac.g_01728	Syab.g_00897
OG0000120	Syac.g_00233	Syab.g_00229
OG0000121	Syac.g_01635	Syab.g_00772
OG0000122	Syac.g_01013	Syab.g_01839
OG0000123	Syac.g_02086	Syab.g_00454
OG0000124	Syac.g_00135	Syab.g_00088
OG0000125	Syac.g_02360	Syab.g_02763
OG0000126	Syac.g_02488	Syab.g_02908
OG0000128	Syac.g_00012	Syab.g_00012
OG0000129	Syac.g_02349	Syab.g_02749
OG0000130	Syac.g_00450	Syab.g_02434
OG0000131	Syac.g_00330	Syab.g_02564
OG0000132	Syac.g_00310	Syab.g_02584
OG0000133	Syac.g_01178	Syab.g_01387
OG0000134	Syac.g_01985	Syab.g_00554
OG0000135	Syac.g_02398	Syab.g_02815
OG0000136	Syac.g_00701	Syab.g_00588
OG0000137	Syac.g_01700	Syab.g_00697
OG0000138	Syac.g_01888	Syab.g_02113
OG0000139	Syac.g_01830	Syab.g_02035
OG0000140	Syac.g_01829	Syab.g_02033
OG0000141	Syac.g_00934	Syab.g_01931
OG0000142	Syac.g_00979	Syab.g_01873
OG0000143	Syac.g_00983	Syab.g_01870
OG0000144	Syac.g_01090	Syab.g_01757
OG0000145	Syac.g_01882	Syab.g_02120
OG0000146	Syac.g_01172	Syab.g_01393
OG0000147	Syac.g_01171	Syab.g_01394
OG0000148	Syac.g_01320	Syab.g_01682
OG0000149	Syac.g_00832	Syab.g_01720
OG0000150	Syac.g_00935	Syab.g_01930
OG0000151	Syac.g_01383	Syab.g_01612
OG0000152	Syac.g_01182	Syab.g_01383
OG0000153	Syac.g_01217	Syab.g_01343
OG0000154	Syac.g_01241	Syab.g_01317
OG0000155	Syac.g_00804	Syab.g_01009
OG0000156	Syac.g_00743	Syab.g_00933
OG0000157	Syac.g_00742	Syab.g_00932
OG0000158	Syac.g_00182	Syab.g_00161
OG0000159	Syac.g_00181	Syab.g_00148
OG0000160	Syac.g_01633	Syab.g_00774
OG0000161	Syac.g_01641	Syab.g_00766
OG0000162	Syac.g_01648	Syab.g_00755
OG0000163	Syac.g_00619	Syab.g_02173
OG0000164	Syac.g_00508	Syab.g_02307
OG0000165	Syac.g_00674	Syab.g_02316
OG0000166	Syac.g_02132	Syab.g_00407
OG0000167	Syac.g_00194	Syab.g_00205
OG0000168	Syac.g_00179	Syab.g_00136
OG0000169	Syac.g_00168	Syab.g_00125
OG0000170	Syac.g_00161	Syab.g_00118
OG0000171	Syac.g_00136	Syab.g_00089
OG0000172	Syac.g_00084	Syab.g_00080
OG0000173	Syac.g_00057	Syab.g_00061
OG0000174	Syac.g_02401	Syab.g_02819
OG0000175	Syac.g_02465	Syab.g_02876
OG0000176	Syac.g_00004	Syab.g_00004
OG0000177	Syac.g_00005	Syab.g_00005
OG0000178	Syac.g_00006	Syab.g_00006
OG0000179	Syac.g_00019	Syab.g_00022
OG0000180	Syac.g_00020	Syab.g_00023
OG0000181	Syac.g_00021	Syab.g_00024
OG0000182	Syac.g_00022	Syab.g_00025
OG0000183	Syac.g_00026	Syab.g_00029
OG0000184	Syac.g_02339	Syab.g_02738
OG0000185	Syac.g_02336	Syab.g_02715
OG0000186	Syac.g_00454	Syab.g_02430
OG0000187	Syac.g_00453	Syab.g_02431
OG0000188	Syac.g_00433	Syab.g_02454
OG0000189	Syac.g_00408	Syab.g_02487
OG0000190	Syac.g_00406	Syab.g_00190, Syab.g_00139
OG0000191	Syac.g_00373	Syab.g_02522
OG0000192	Syac.g_00368	Syab.g_02528
OG0000193	Syac.g_00329	Syab.g_02565
OG0000194	Syac.g_00326	Syab.g_02568
OG0000195	Syac.g_00324	Syab.g_02570
OG0000196	Syac.g_00313	Syab.g_02581
OG0000197	Syac.g_00312	Syab.g_02582
OG0000198	Syac.g_00311	Syab.g_02583
OG0000199	Syac.g_00303	Syab.g_02591
OG0000200	Syac.g_02261	Syab.g_02611
OG0000202	Syac.g_02279	Syab.g_02629
OG0000203	Syac.g_02280	Syab.g_02630
OG0000204	Syac.g_02281	Syab.g_02631
OG0000205	Syac.g_02288	Syab.g_02638
OG0000206	Syac.g_02297	Syab.g_02674
OG0000207	Syac.g_02300	Syab.g_02677
OG0000208	Syac.g_02301	Syab.g_02678
OG0000209	Syac.g_02316	Syab.g_02698
OG0000210	Syac.g_02317	Syab.g_02699
OG0000211	Syac.g_01972	Syab.g_02374
OG0000212	Syac.g_01963	Syab.g_02365
OG0000213	Syac.g_02219	Syab.g_00332
OG0000214	Syac.g_02236	Syab.g_00312
OG0000215	Syac.g_00281	Syab.g_00281
OG0000216	Syac.g_00277	Syab.g_00277
OG0000217	Syac.g_00273	Syab.g_00273
OG0000218	Syac.g_00271	Syab.g_00271
OG0000219	Syac.g_00270	Syab.g_00270
OG0000220	Syac.g_00269	Syab.g_00269
OG0000221	Syac.g_00261	Syab.g_00257
OG0000222	Syac.g_00247	Syab.g_00244
OG0000223	Syac.g_00225	Syab.g_00226
OG0000224	Syac.g_00217	Syab.g_00223
OG0000225	Syac.g_02004	Syab.g_00538
OG0000226	Syac.g_02000	Syab.g_00542
OG0000227	Syac.g_01998	Syab.g_00544
OG0000228	Syac.g_01989	Syab.g_00550
OG0000229	Syac.g_00692	Syab.g_00583
OG0000230	Syac.g_00694	Syab.g_00585
OG0000231	Syac.g_00710	Syab.g_00613
OG0000232	Syac.g_01717	Syab.g_00631
OG0000233	Syac.g_01713	Syab.g_00645
OG0000234	Syac.g_01699	Syab.g_00699
OG0000235	Syac.g_01905	Syab.g_02095
OG0000236	Syac.g_01890	Syab.g_02111
OG0000237	Syac.g_01873	Syab.g_02129
OG0000238	Syac.g_01868	Syab.g_02134
OG0000239	Syac.g_01852	Syab.g_02151
OG0000240	Syac.g_01851	Syab.g_02152
OG0000241	Syac.g_00970	Syab.g_01884
OG0000242	Syac.g_01839	Syab.g_02043
OG0000243	Syac.g_01821	Syab.g_02025
OG0000244	Syac.g_01814	Syab.g_02017
OG0000245	Syac.g_01811	Syab.g_02015
OG0000246	Syac.g_01807	Syab.g_02011
OG0000247	Syac.g_01795	Syab.g_01999
OG0000248	Syac.g_01792	Syab.g_01996
OG0000249	Syac.g_01790	Syab.g_01994
OG0000251	Syac.g_01757	Syab.g_01961
OG0000252	Syac.g_01753	Syab.g_01958
OG0000253	Syac.g_01752	Syab.g_01956
OG0000254	Syac.g_00939	Syab.g_01925
OG0000255	Syac.g_00947	Syab.g_01912
OG0000256	Syac.g_00963	Syab.g_01890
OG0000257	Syac.g_00969	Syab.g_01885
OG0000258	Syac.g_00988	Syab.g_01861
OG0000259	Syac.g_01425	Syab.g_01538
OG0000260	Syac.g_01422	Syab.g_01544
OG0000261	Syac.g_01418	Syab.g_01556
OG0000262	Syac.g_01413	Syab.g_01561
OG0000263	Syac.g_01497	Syab.g_01035
OG0000264	Syac.g_00915	Syab.g_01173
OG0000265	Syac.g_00673	Syab.g_01773
OG0000266	Syac.g_01271	Syab.g_01667
OG0000267	Syac.g_01131	Syab.g_01433
OG0000268	Syac.g_01132	Syab.g_01432
OG0000269	Syac.g_01346	Syab.g_01650
OG0000270	Syac.g_01343	Syab.g_01657
OG0000271	Syac.g_01335	Syab.g_01279
OG0000272	Syac.g_01334	Syab.g_01280
OG0000274	Syac.g_00853	Syab.g_01700
OG0000275	Syac.g_00848	Syab.g_01704
OG0000276	Syac.g_00840	Syab.g_01712
OG0000277	Syac.g_00839	Syab.g_01713
OG0000278	Syac.g_00836	Syab.g_01716
OG0000279	Syac.g_00828	Syab.g_01724
OG0000280	Syac.g_00814	Syab.g_01736
OG0000281	Syac.g_02158	Syab.g_00685, Syab.g_00852, Syab.g_01077, Syab.g_01546
OG0000282	Syac.g_01392	Syab.g_01631
OG0000283	Syac.g_01142	Syab.g_01418
OG0000284	Syac.g_01148	Syab.g_01413
OG0000285	Syac.g_01160	Syab.g_01402
OG0000286	Syac.g_01181	Syab.g_01384
OG0000287	Syac.g_01209	Syab.g_01350
OG0000288	Syac.g_01240	Syab.g_01318
OG0000289	Syac.g_01254	Syab.g_01303
OG0000290	Syac.g_00881	Syab.g_01213
OG0000291	Syac.g_00883	Syab.g_01211
OG0000292	Syac.g_02487	Syab.g_02907
OG0000293	Syac.g_00754	Syab.g_00946
OG0000294	Syac.g_00755	Syab.g_00947
OG0000295	Syac.g_00796	Syab.g_01001
OG0000296	Syac.g_00798	Syab.g_01003
OG0000297	Syac.g_01475	Syab.g_01016
OG0000298	Syac.g_01476	Syab.g_01017
OG0000299	Syac.g_01503	Syab.g_01047
OG0000300	Syac.g_01510	Syab.g_01054
OG0000301	Syac.g_01511	Syab.g_01055
OG0000302	Syac.g_01512	Syab.g_01056
OG0000303	Syac.g_01520	Syab.g_01149
OG0000304	Syac.g_01526	Syab.g_01143
OG0000305	Syac.g_00886	Syab.g_01208
OG0000306	Syac.g_00810	Syab.g_01819
OG0000307	Syac.g_01924	Syab.g_02078
OG0000308	Syac.g_01926	Syab.g_02076
OG0000309	Syac.g_01931	Syab.g_02071
OG0000310	Syac.g_01607	Syab.g_00817
OG0000311	Syac.g_01611	Syab.g_00811
OG0000312	Syac.g_01619	Syab.g_00793
OG0000313	Syac.g_01638	Syab.g_00769
OG0000314	Syac.g_01665	Syab.g_00736
OG0000315	Syac.g_01675	Syab.g_00726
OG0000316	Syac.g_00601	Syab.g_02189
OG0000317	Syac.g_00552	Syab.g_02251
OG0000318	Syac.g_00543	Syab.g_02257
OG0000319	Syac.g_00525	Syab.g_02291
OG0000320	Syac.g_00523	Syab.g_02293
OG0000321	Syac.g_00522	Syab.g_02294
OG0000322	Syac.g_00521	Syab.g_02295
OG0000323	Syac.g_00506	Syab.g_02310
OG0000324	Syac.g_00648	Syab.g_02341
OG0000325	Syac.g_02190	Syab.g_00368
OG0000326	Syac.g_02183	Syab.g_00375
OG0000327	Syac.g_02137	Syab.g_00402
OG0000328	Syac.g_02136	Syab.g_00403
OG0000329	Syac.g_02119	Syab.g_00420
OG0000330	Syac.g_02118	Syab.g_00421
OG0000331	Syac.g_02117	Syab.g_00422
OG0000332	Syac.g_02103	Syab.g_00437
OG0000333	Syac.g_02100	Syab.g_00440
OG0000334	Syac.g_02090	Syab.g_00450
OG0000335	Syac.g_02085	Syab.g_00455
OG0000336	Syac.g_02081	Syab.g_00459
OG0000337	Syac.g_00199	Syab.g_00210
OG0000338	Syac.g_00196	Syab.g_00207
OG0000339	Syac.g_00190	Syab.g_00201
OG0000340	Syac.g_00178	Syab.g_00135
OG0000341	Syac.g_00176	Syab.g_00157, Syab.g_00133
OG0000342	Syac.g_00175	Syab.g_00132
OG0000343	Syac.g_00174	Syab.g_00131
OG0000344	Syac.g_00170	Syab.g_00127
OG0000345	Syac.g_00160	Syab.g_00117
OG0000346	Syac.g_00155	Syab.g_00112
OG0000347	Syac.g_00129	Syab.g_00087
OG0000348	Syac.g_00070, Syac.g_00074	Syab.g_00076
OG0000349	Syac.g_00050	Syab.g_00054
OG0000350	Syac.g_02176	Syab.g_00382
OG0000351	Syac.g_02468	Syab.g_02879
OG0000352	Syac.g_02469	Syab.g_02880
OG0000353	Syac.g_02493	Syab.g_02913
OG0000354	Syac.g_01862	Syab.g_02140
OG0000355	Syac.g_00001	Syab.g_00001
OG0000356	Syac.g_00002	Syab.g_00002
OG0000357	Syac.g_00003	Syab.g_00003
OG0000358	Syac.g_00007	Syab.g_00007
OG0000359	Syac.g_00009	Syab.g_00009
OG0000360	Syac.g_00010	Syab.g_00010
OG0000361	Syac.g_00011	Syab.g_00011
OG0000362	Syac.g_00013	Syab.g_00013
OG0000363	Syac.g_00015	Syab.g_00015
OG0000364	Syac.g_00016	Syab.g_00016
OG0000365	Syac.g_00023	Syab.g_00026
OG0000366	Syac.g_00024	Syab.g_00027
OG0000367	Syac.g_00025	Syab.g_00028
OG0000368	Syac.g_00027	Syab.g_00030
OG0000369	Syac.g_00028	Syab.g_00031
OG0000370	Syac.g_00029	Syab.g_00032
OG0000371	Syac.g_00036	Syab.g_00711, Syab.g_00039
OG0000372	Syac.g_00041	Syab.g_00045
OG0000373	Syac.g_00042	Syab.g_00046
OG0000374	Syac.g_00043	Syab.g_00047
OG0000375	Syac.g_00046	Syab.g_00050
OG0000376	Syac.g_00048	Syab.g_00052
OG0000377	Syac.g_02346	Syab.g_02748
OG0000378	Syac.g_02338	Syab.g_02717
OG0000379	Syac.g_02335	Syab.g_02714
OG0000380	Syac.g_00452	Syab.g_02432
OG0000381	Syac.g_00449	Syab.g_02435
OG0000382	Syac.g_00434	Syab.g_02453
OG0000383	Syac.g_00432	Syab.g_02459
OG0000384	Syac.g_00431	Syab.g_02460
OG0000385	Syac.g_00430	Syab.g_02461
OG0000386	Syac.g_00429	Syab.g_02462
OG0000387	Syac.g_00404	Syab.g_02491
OG0000388	Syac.g_00401	Syab.g_02495
OG0000389	Syac.g_00397	Syab.g_02499
OG0000390	Syac.g_00379	Syab.g_02516
OG0000391	Syac.g_00374	Syab.g_02521
OG0000392	Syac.g_00369	Syab.g_02527
OG0000393	Syac.g_00366	Syab.g_02530
OG0000394	Syac.g_00365	Syab.g_02531
OG0000395	Syac.g_00364	Syab.g_02532
OG0000396	Syac.g_00361	Syab.g_02535
OG0000397	Syac.g_00359	Syab.g_02537
OG0000398	Syac.g_00354	Syab.g_02542
OG0000399	Syac.g_00353	Syab.g_02543
OG0000400	Syac.g_00352	Syab.g_02544
OG0000401	Syac.g_00351	Syab.g_02545
OG0000402	Syac.g_00348	Syab.g_02547
OG0000403	Syac.g_00347	Syab.g_02548
OG0000404	Syac.g_00345	Syab.g_02550
OG0000405	Syac.g_00332	Syab.g_02562
OG0000406	Syac.g_00328	Syab.g_02566
OG0000407	Syac.g_00327	Syab.g_02567
OG0000408	Syac.g_00325	Syab.g_02569
OG0000409	Syac.g_00323	Syab.g_02571
OG0000410	Syac.g_00322	Syab.g_02572
OG0000411	Syac.g_00321	Syab.g_02573
OG0000412	Syac.g_00320	Syab.g_02574
OG0000413	Syac.g_00318	Syab.g_02576
OG0000414	Syac.g_00317	Syab.g_02577
OG0000415	Syac.g_00316	Syab.g_02578
OG0000416	Syac.g_00315	Syab.g_02579
OG0000417	Syac.g_00314	Syab.g_02580
OG0000418	Syac.g_00309	Syab.g_02585
OG0000419	Syac.g_00307	Syab.g_02587
OG0000420	Syac.g_00305	Syab.g_02589
OG0000421	Syac.g_00300	Syab.g_02595
OG0000422	Syac.g_00299	Syab.g_02596
OG0000423	Syac.g_00298	Syab.g_02597
OG0000424	Syac.g_00297	Syab.g_02598
OG0000425	Syac.g_00296	Syab.g_02599
OG0000426	Syac.g_00295	Syab.g_02600
OG0000427	Syac.g_00294	Syab.g_02601
OG0000428	Syac.g_02257	Syab.g_02604
OG0000429	Syac.g_02259	Syab.g_02608
OG0000430	Syac.g_02260	Syab.g_02610
OG0000431	Syac.g_02264	Syab.g_02613
OG0000432	Syac.g_02270	Syab.g_02619
OG0000433	Syac.g_02272	Syab.g_02622
OG0000434	Syac.g_02273	Syab.g_02623
OG0000435	Syac.g_02277	Syab.g_02625
OG0000436	Syac.g_02282	Syab.g_02632
OG0000437	Syac.g_02283	Syab.g_02633
OG0000438	Syac.g_02284	Syab.g_02634
OG0000439	Syac.g_02286	Syab.g_02636
OG0000440	Syac.g_02287	Syab.g_02637
OG0000441	Syac.g_02294	Syab.g_02641
OG0000442	Syac.g_02295	Syab.g_02642
OG0000443	Syac.g_02296	Syab.g_02668
OG0000444	Syac.g_02303	Syab.g_02681
OG0000445	Syac.g_02304	Syab.g_02682
OG0000446	Syac.g_02305	Syab.g_02684
OG0000447	Syac.g_02308	Syab.g_02687
OG0000448	Syac.g_02309	Syab.g_02688
OG0000449	Syac.g_02310	Syab.g_02689
OG0000450	Syac.g_02313	Syab.g_02695
OG0000451	Syac.g_02314	Syab.g_02696
