Orthogroup	Syac	Prbi
OG0000001	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prbi.g_01424
OG0000002	Syac.g_01084	Prbi.g_01432, Prbi.g_00681
OG0000004	Syac.g_00898	Prbi.g_00698
OG0000004	Syac.g_00948, Syac.g_01975	Prbi.g_00256
OG0000005	Syac.g_00527	Prbi.g_01800
OG0000005	Syac.g_00569	Prbi.g_01666
OG0000006	Syac.g_01002, Syac.g_01958, Syac.g_01961, Syac.g_02194	Prbi.g_00265
OG0000007	Syac.g_01885	Prbi.g_00500
OG0000007	Syac.g_00544	Prbi.g_01787
OG0000008	Syac.g_00921	Prbi.g_01764
OG0000008	Syac.g_00922	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539
OG0000009	Syac.g_01004, Syac.g_00398	Prbi.g_00112
OG0000010	Syac.g_01701	Prbi.g_01094
OG0000012	Syac.g_00955, Syac.g_00758, Syac.g_01577	Prbi.g_00625
OG0000013	Syac.g_02056, Syac.g_02046, Syac.g_02062	Prbi.g_00351
OG0000014	Syac.g_00253	Prbi.g_00330
OG0000014	Syac.g_00100	Prbi.g_01502
OG0000015	Syac.g_01408	Prbi.g_00810, Prbi.g_01304
OG0000016	Syac.g_00014	Prbi.g_00013
OG0000017	Syac.g_01749, Syac.g_01742	Prbi.g_00600
OG0000018	Syac.g_01660	Prbi.g_01188
OG0000019	Syac.g_02207	Prbi.g_00273, Prbi.g_00827
OG0000022	Syac.g_01031	Prbi.g_01170
OG0000023	Syac.g_00760	Prbi.g_00384
OG0000024	Syac.g_00925	Prbi.g_00788, Prbi.g_00678
OG0000025	Syac.g_00847	Prbi.g_00355, Prbi.g_00882
OG0000026	Syac.g_00034	Prbi.g_00031, Prbi.g_01101
OG0000027	Syac.g_01095, Syac.g_01009	Prbi.g_00472, Prbi.g_01374
OG0000028	Syac.g_00237	Prbi.g_01319, Prbi.g_01768, Prbi.g_00344
OG0000029	Syac.g_01942	Prbi.g_00796, Prbi.g_00399
OG0000030	Syac.g_00143, Syac.g_00142	Prbi.g_02004
OG0000034	Syac.g_00334, Syac.g_00715	Prbi.g_01401
OG0000035	Syac.g_01630	Prbi.g_01589, Prbi.g_01591
OG0000037	Syac.g_01077	Prbi.g_00116
OG0000038	Syac.g_02357, Syac.g_02358	Prbi.g_02057
OG0000039	Syac.g_00856, Syac.g_02378	Prbi.g_00689
OG0000040	Syac.g_01006	Prbi.g_01738
OG0000040	Syac.g_02437	Prbi.g_01187
OG0000041	Syac.g_00655, Syac.g_00876	Prbi.g_01833
OG0000042	Syac.g_00146	Prbi.g_02001
OG0000043	Syac.g_00808	Prbi.g_01334
