Orthogroup	Praw	Praf
OG0000000	Praw.g_01009	Praf.g_01631
OG0000000	Praw.g_01844	Praf.g_00948
OG0000001	Praw.g_00472	Praf.g_01039, Praf.g_01042, Praf.g_00815
OG0000002	Praw.g_01000	Praf.g_02422, Praf.g_01293, Praf.g_01031, Praf.g_01895, Praf.g_00818, Praf.g_01896
OG0000003	Praw.g_00959, Praw.g_00457, Praw.g_00495	Praf.g_00814
OG0000004	Praw.g_01769	Praf.g_01014, Praf.g_02005
OG0000006	Praw.g_00651	Praf.g_00614
OG0000006	Praw.g_00515	Praf.g_00480
OG0000007	Praw.g_00501, Praw.g_01850, Praw.g_00502	Praf.g_01224, Praf.g_01223
OG0000009	Praw.g_01717, Praw.g_00884	Praf.g_02214
OG0000011	Praw.g_00804	Praf.g_01864
OG0000012	Praw.g_01944	Praf.g_00760, Praf.g_00752
OG0000013	Praw.g_01738	Praf.g_01030, Praf.g_01033, Praf.g_01618
OG0000016	Praw.g_01012	Praf.g_01108, Praf.g_01143
OG0000018	Praw.g_01950	Praf.g_00396, Praf.g_01719
OG0000019	Praw.g_00479, Praw.g_00767	Praf.g_00746
OG0000024	Praw.g_00828	Praf.g_02319, Praf.g_00112
OG0000025	Praw.g_01432	Praf.g_01105
OG0000026	Praw.g_01395	Praf.g_00041
OG0000028	Praw.g_01083, Praw.g_01081	Praf.g_01794
OG0000032	Praw.g_01073	Praf.g_00113
OG0000033	Praw.g_00484	Praf.g_00906
OG0000033	Praw.g_01415	Praf.g_00014
OG0000034	Praw.g_01071	Praf.g_02366
OG0000036	Praw.g_01932	Praf.g_00731
OG0000037	Praw.g_00159	Praf.g_01668
OG0000038	Praw.g_01746	Praf.g_00965, Praf.g_00201
OG0000039	Praw.g_01269	Praf.g_02454, Praf.g_01239
OG0000042	Praw.g_01809	Praf.g_01302, Praf.g_01238
OG0000043	Praw.g_01712	Praf.g_00941, Praf.g_00943
OG0000044	Praw.g_00234	Praf.g_00854
OG0000045	Praw.g_01055	Praf.g_02345
OG0000046	Praw.g_00508	Praf.g_00491
OG0000047	Praw.g_00039	Praf.g_00178
OG0000048	Praw.g_00032	Praf.g_00920, Praf.g_00164
OG0000050	Praw.g_01397	Praf.g_00037
OG0000051	Praw.g_01278	Praf.g_02445
OG0000052	Praw.g_00762	Praf.g_00496
OG0000053	Praw.g_00609	Praf.g_00672
OG0000054	Praw.g_01752	Praf.g_00348
OG0000055	Praw.g_01675	Praf.g_01556
OG0000056	Praw.g_00189	Praf.g_02587
OG0000057	Praw.g_01198	Praf.g_00386
OG0000058	Praw.g_00672	Praf.g_01907
OG0000059	Praw.g_01824	Praf.g_01125
OG0000062	Praw.g_00201	Praf.g_01034, Praf.g_02690
OG0000063	Praw.g_00926	Praf.g_00919
OG0000065	Praw.g_00981	Praf.g_00796
OG0000066	Praw.g_01050	Praf.g_02343
OG0000068	Praw.g_00096	Praf.g_02119
OG0000069	Praw.g_01043	Praf.g_01851, Praf.g_02346
OG0000071	Praw.g_01125	Praf.g_00012
OG0000072	Praw.g_00812	Praf.g_02336
OG0000073	Praw.g_01853	Praf.g_01748
OG0000074	Praw.g_01831	Praf.g_01219, Praf.g_01218
OG0000075	Praw.g_01690	Praf.g_01537
OG0000076	Praw.g_01467	Praf.g_01274
OG0000078	Praw.g_01051	Praf.g_02342
OG0000079	Praw.g_00415	Praf.g_00501
OG0000080	Praw.g_00464	Praf.g_00549
OG0000081	Praw.g_00066	Praf.g_02382, Praf.g_02378, Praf.g_02380
OG0000083	Praw.g_01133	Praf.g_00003
OG0000084	Praw.g_01130	Praf.g_00006
OG0000085	Praw.g_01405	Praf.g_00028
OG0000087	Praw.g_01379	Praf.g_00333, Praf.g_02602
OG0000088	Praw.g_01322	Praf.g_00224
OG0000089	Praw.g_01314	Praf.g_00212
OG0000090	Praw.g_01296	Praf.g_02420
OG0000091	Praw.g_01266	Praf.g_02457
OG0000092	Praw.g_01265	Praf.g_02468
