Orthogroup	Praw	Prbm
OG0000000	Praw.g_01009	Prbm.g_00874
OG0000000	Praw.g_01844	Prbm.g_00712, Prbm.g_01581, Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576
OG0000002	Praw.g_01000	Prbm.g_01633
OG0000002	Praw.g_00497, Praw.g_01951, Praw.g_01739	Prbm.g_01940, Prbm.g_00496, Prbm.g_01426
OG0000003	Praw.g_00959, Praw.g_00457, Praw.g_00495	Prbm.g_01140, Prbm.g_01231, Prbm.g_00433, Prbm.g_01384, Prbm.g_01313, Prbm.g_01814
OG0000004	Praw.g_01769	Prbm.g_00081, Prbm.g_01988, Prbm.g_01436
OG0000005	Praw.g_01780, Praw.g_00455, Praw.g_00494, Praw.g_00893, Praw.g_00974	Prbm.g_01808, Prbm.g_01406, Prbm.g_00435, Prbm.g_01116, Prbm.g_00436, Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407
OG0000006	Praw.g_00651	Prbm.g_00522
OG0000006	Praw.g_00515	Prbm.g_01841
OG0000007	Praw.g_00501	Prbm.g_01907
OG0000007	Praw.g_00502	Prbm.g_01908
OG0000009	Praw.g_01717	Prbm.g_00792
OG0000010	Praw.g_00482, Praw.g_00184, Praw.g_00945	Prbm.g_01359
OG0000011	Praw.g_00804	Prbm.g_00390
OG0000012	Praw.g_01944	Prbm.g_00635, Prbm.g_00628
OG0000013	Praw.g_01738	Prbm.g_01427, Prbm.g_01149
OG0000015	Praw.g_00752	Prbm.g_01164, Prbm.g_01415
OG0000016	Praw.g_01012	Prbm.g_01653
OG0000017	Praw.g_00357	Prbm.g_01729
OG0000018	Praw.g_01950	Prbm.g_01588, Prbm.g_01236, Prbm.g_00302
OG0000021	Praw.g_01715	Prbm.g_01262, Prbm.g_01017, Prbm.g_01016, Prbm.g_01091
OG0000022	Praw.g_00493, Praw.g_00961, Praw.g_01782	Prbm.g_01115, Prbm.g_00437, Prbm.g_01381, Prbm.g_01228, Prbm.g_01312, Prbm.g_01408
OG0000024	Praw.g_00828	Prbm.g_00362, Prbm.g_02126
OG0000026	Praw.g_01395	Prbm.g_01947
OG0000028	Praw.g_01083, Praw.g_01081	Prbm.g_01710
OG0000029	Praw.g_00448	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753
OG0000030	Praw.g_01390	Prbm.g_00528, Prbm.g_00036, Prbm.g_00530
OG0000031	Praw.g_00491	Prbm.g_01276
OG0000032	Praw.g_01073	Prbm.g_01627
OG0000033	Praw.g_00484	Prbm.g_01944
OG0000033	Praw.g_01415	Prbm.g_00013
OG0000034	Praw.g_01071	Prbm.g_00114
OG0000035	Praw.g_00323	Prbm.g_01482
OG0000036	Praw.g_01932	Prbm.g_01900
OG0000037	Praw.g_00159	Prbm.g_01106
OG0000038	Praw.g_01746	Prbm.g_01204
