Orthogroup	Praw	Prbi
OG0000000	Praw.g_01009	Prbi.g_01432
OG0000000	Praw.g_01844	Prbi.g_00681
OG0000001	Praw.g_00294	Prbi.g_01708, Prbi.g_01268
OG0000001	Praw.g_00472	Prbi.g_01370
OG0000002	Praw.g_01000	Prbi.g_01424
OG0000002	Praw.g_01951	Prbi.g_01270
OG0000003	Praw.g_00959	Prbi.g_01371
OG0000003	Praw.g_00457	Prbi.g_01710
OG0000004	Praw.g_01775	Prbi.g_00775
OG0000004	Praw.g_01769	Prbi.g_00782
OG0000005	Praw.g_00455	Prbi.g_01709
OG0000006	Praw.g_00651	Prbi.g_00500
OG0000006	Praw.g_00515	Prbi.g_01787
OG0000007	Praw.g_00501	Prbi.g_01764
OG0000007	Praw.g_01850	Prbi.g_00675
OG0000007	Praw.g_00502	Prbi.g_01539, Prbi.g_01765
OG0000008	Praw.g_00750	Prbi.g_00408
OG0000008	Praw.g_00928	Prbi.g_01331
OG0000009	Praw.g_01717	Prbi.g_00827
OG0000009	Praw.g_00884	Prbi.g_00273
OG0000010	Praw.g_00184	Prbi.g_01156
OG0000010	Praw.g_00945	Prbi.g_01352
OG0000011	Praw.g_00804	Prbi.g_00354
OG0000012	Praw.g_01944	Prbi.g_00600
OG0000013	Praw.g_01738	Prbi.g_01304
OG0000014	Praw.g_00962	Prbi.g_01374
OG0000014	Praw.g_00677	Prbi.g_00472
OG0000015	Praw.g_00752	Prbi.g_00406
OG0000016	Praw.g_01012	Prbi.g_01435
OG0000017	Praw.g_00357	Prbi.g_01611
OG0000018	Praw.g_01950	Prbi.g_00265
OG0000019	Praw.g_00479	Prbi.g_01742
OG0000019	Praw.g_00767	Prbi.g_00389
OG0000020	Praw.g_00758	Prbi.g_00398
OG0000021	Praw.g_01715	Prbi.g_00829
OG0000022	Praw.g_00961, Praw.g_01782	Prbi.g_01373
OG0000023	Praw.g_00447	Prbi.g_01701
OG0000024	Praw.g_00828	Prbi.g_00330
OG0000025	Praw.g_01432	Prbi.g_01122
OG0000026	Praw.g_01395	Prbi.g_00033
OG0000027	Praw.g_01773	Prbi.g_00778
OG0000028	Praw.g_01083	Prbi.g_01589
OG0000028	Praw.g_01081	Prbi.g_01591
OG0000029	Praw.g_00448	Prbi.g_01702
OG0000030	Praw.g_01390	Prbi.g_01743, Prbi.g_00047
OG0000031	Praw.g_00491	Prbi.g_01281
OG0000031	Praw.g_00955	Prbi.g_01364
OG0000032	Praw.g_01073	Prbi.g_01467
OG0000033	Praw.g_01415	Prbi.g_00013
OG0000034	Praw.g_01071	Prbi.g_01478
OG0000035	Praw.g_00323	Prbi.g_00936
OG0000036	Praw.g_01932	Prbi.g_00587
OG0000037	Praw.g_00159	Prbi.g_00625
OG0000038	Praw.g_01746	Prbi.g_00805
OG0000039	Praw.g_01269	Prbi.g_00190
OG0000040	Praw.g_00772	Prbi.g_00384
OG0000042	Praw.g_01809	Prbi.g_00745
OG0000043	Praw.g_01712	Prbi.g_00832
OG0000044	Praw.g_00234	Prbi.g_01207
OG0000045	Praw.g_01055	Prbi.g_01461
OG0000046	Praw.g_00508	Prbi.g_01780
OG0000047	Praw.g_00039	Prbi.g_01994
OG0000048	Praw.g_00032	Prbi.g_02001
OG0000050	Praw.g_01397	Prbi.g_00031
OG0000051	Praw.g_01278	Prbi.g_00181
OG0000052	Praw.g_00762	Prbi.g_00394
OG0000053	Praw.g_00609	Prbi.g_00542
OG0000054	Praw.g_01752	Prbi.g_00799
