Orthogroup	Praw	Prar
OG0000000	Praw.g_01009	Prar.g_00918
OG0000000	Praw.g_01844	Prar.g_01508
OG0000001	Praw.g_00294	Prar.g_01204
OG0000002	Praw.g_01000	Prar.g_00926
OG0000002	Praw.g_00497	Prar.g_01203
OG0000002	Praw.g_01951	Prar.g_01202
OG0000003	Praw.g_00959	Prar.g_00973
OG0000003	Praw.g_00457	Prar.g_00727
OG0000004	Praw.g_01775	Prar.g_01623
OG0000004	Praw.g_01769	Prar.g_01630
OG0000005	Praw.g_00455	Prar.g_00729
OG0000006	Praw.g_00651	Prar.g_01328
OG0000006	Praw.g_00515	Prar.g_01143
OG0000007	Praw.g_00501	Prar.g_01185
OG0000007	Praw.g_01850	Prar.g_01502
OG0000008	Praw.g_00750	Prar.g_00445
OG0000008	Praw.g_00328	Prar.g_01173
OG0000008	Praw.g_00928	Prar.g_01002
OG0000009	Praw.g_01717	Prar.g_01663
OG0000009	Praw.g_00884	Prar.g_00078
OG0000010	Praw.g_00482	Prar.g_01006
OG0000010	Praw.g_00184	Prar.g_01313
OG0000010	Praw.g_00945	Prar.g_00991
OG0000011	Praw.g_00804	Prar.g_00257
OG0000012	Praw.g_01944	Prar.g_01428
OG0000013	Praw.g_01738	Prar.g_01179
OG0000014	Praw.g_00677	Prar.g_00520
OG0000015	Praw.g_00752	Prar.g_00443
OG0000016	Praw.g_01012	Prar.g_00915
OG0000017	Praw.g_00357	Prar.g_00827
OG0000018	Praw.g_01950	Prar.g_00086
OG0000019	Praw.g_00767	Prar.g_00425
OG0000020	Praw.g_00758	Prar.g_00435
OG0000021	Praw.g_01715	Prar.g_01665
OG0000022	Praw.g_00961, Praw.g_01782	Prar.g_00971
OG0000023	Praw.g_00447	Prar.g_00737
OG0000024	Praw.g_00828	Prar.g_00281
OG0000025	Praw.g_01432	Prar.g_01940
OG0000026	Praw.g_01395	Prar.g_00005, Prar.g_00004
OG0000027	Praw.g_01773	Prar.g_01626
OG0000028	Praw.g_01083, Praw.g_01081	Prar.g_00339
OG0000029	Praw.g_00448	Prar.g_00736
OG0000030	Praw.g_01390	Prar.g_00593
OG0000033	Praw.g_01415	Prar.g_00025
OG0000035	Praw.g_01428	Prar.g_01943
OG0000035	Praw.g_00323	Prar.g_01761
OG0000036	Praw.g_01932	Prar.g_01414
OG0000037	Praw.g_00159	Prar.g_01453
OG0000038	Praw.g_01746	Prar.g_01649
OG0000039	Praw.g_01269	Prar.g_00161
OG0000040	Praw.g_00772	Prar.g_00420
OG0000041	Praw.g_00730	Prar.g_00476
OG0000042	Praw.g_01809	Prar.g_01599
OG0000043	Praw.g_01712	Prar.g_01668
OG0000044	Praw.g_00234	Prar.g_01263
OG0000045	Praw.g_01055	Prar.g_00870
OG0000046	Praw.g_00508	Prar.g_01150
OG0000047	Praw.g_00039	Prar.g_00653
OG0000048	Praw.g_00032	Prar.g_00660
OG0000050	Praw.g_01397	Prar.g_00007
OG0000051	Praw.g_01278	Prar.g_01569, Prar.g_00170
OG0000052	Praw.g_00762	Prar.g_00431
OG0000053	Praw.g_00609	Prar.g_01369
OG0000054	Praw.g_01752	Prar.g_01644
OG0000055	Praw.g_01675	Prar.g_01706
OG0000056	Praw.g_00189	Prar.g_01307
OG0000057	Praw.g_01198	Prar.g_00090
OG0000058	Praw.g_00672	Prar.g_00525
OG0000059	Praw.g_01824	Prar.g_01528
OG0000060	Praw.g_01771	Prar.g_01628
OG0000061	Praw.g_00199	Prar.g_01298
OG0000062	Praw.g_00201	Prar.g_01296
OG0000063	Praw.g_00926	Prar.g_01003
OG0000064	Praw.g_00935	Prar.g_00997
OG0000065	Praw.g_00981	Prar.g_00955
OG0000066	Praw.g_01050	Prar.g_00880
OG0000068	Praw.g_00096	Prar.g_01027
OG0000069	Praw.g_01043	Prar.g_00886
OG0000071	Praw.g_01125	Prar.g_00027
OG0000072	Praw.g_00812	Prar.g_00265
