Orthogroup	Prba	Syaa
OG0000001	Prba.g_00211	Syaa.g_02435, Syaa.g_02438, Syaa.g_02437, Syaa.g_02436, Syaa.g_02439, Syaa.g_02329
OG0000004	Prba.g_01622	Syaa.g_00892
OG0000004	Prba.g_00451	Syaa.g_01667, Syaa.g_02116
OG0000005	Prba.g_00607	Syaa.g_00534
OG0000005	Prba.g_00312	Syaa.g_00573
OG0000006	Prba.g_00460	Syaa.g_01611, Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000007	Prba.g_00964	Syaa.g_02032
OG0000007	Prba.g_00226	Syaa.g_00551
OG0000008	Prba.g_01131	Syaa.g_00918
OG0000009	Prba.g_01893	Syaa.g_02378
OG0000010	Prba.g_01256	Syaa.g_01843
OG0000011	Prba.g_01132	Syaa.g_00921
OG0000012	Prba.g_01694	Syaa.g_01660, Syaa.g_02304
OG0000013	Prba.g_00543	Syaa.g_02212, Syaa.g_02204, Syaa.g_02217
OG0000014	Prba.g_00522	Syaa.g_00222
OG0000014	Prba.g_00159	Syaa.g_00481
OG0000015	Prba.g_01538	Syaa.g_02739, Syaa.g_01079, Syaa.g_01989
OG0000016	Prba.g_01806	Syaa.g_00014
OG0000017	Prba.g_01719	Syaa.g_01890, Syaa.g_01883
OG0000018	Prba.g_00083	Syaa.g_01801
OG0000019	Prba.g_00468, Prba.g_01519	Syaa.g_00307
OG0000021	Prba.g_00245, Prba.g_00858	Syaa.g_02627
OG0000022	Prba.g_00101	Syaa.g_01571
OG0000023	Prba.g_00854	Syaa.g_01529, Syaa.g_01216
OG0000024	Prba.g_01558, Prba.g_01642	Syaa.g_00922
OG0000025	Prba.g_00547, Prba.g_01464	Syaa.g_00839
OG0000026	Prba.g_01824, Prba.g_01249	Syaa.g_00038
OG0000027	Prba.g_00991, Prba.g_01175	Syaa.g_01605, Syaa.g_00854
OG0000028	Prba.g_01126, Prba.g_00536	Syaa.g_00205
OG0000029	Prba.g_01551, Prba.g_00869	Syaa.g_01578
OG0000030	Prba.g_00778	Syaa.g_00099, Syaa.g_00098
OG0000031	Prba.g_00173	Syaa.g_00200, Syaa.g_00480
OG0000034	Prba.g_01202	Syaa.g_00722, Syaa.g_02444
OG0000035	Prba.g_00713	Syaa.g_01773
OG0000037	Prba.g_01897	Syaa.g_02384
OG0000038	Prba.g_00819	Syaa.g_02596
OG0000039	Prba.g_01631	Syaa.g_00846
OG0000040	Prba.g_00251	Syaa.g_01606
OG0000040	Prba.g_00084	Syaa.g_02690
OG0000042	Prba.g_00775	Syaa.g_00103
OG0000044	Prba.g_00002	Syaa.g_01737, Syaa.g_00363, Syaa.g_00851
OG0000045	Prba.g_00865	Syaa.g_01560
OG0000047	Prba.g_00546, Prba.g_00913	Syaa.g_02189
OG0000048	Prba.g_00868	Syaa.g_00275, Syaa.g_02719
OG0000050	Prba.g_00899	Syaa.g_01591
OG0000050	Prba.g_01229	Syaa.g_01213, Syaa.g_01712
OG0000051	Prba.g_01168	Syaa.g_01531
OG0000052	Prba.g_00160	Syaa.g_00461
OG0000053	Prba.g_00693	Syaa.g_01797
OG0000054	Prba.g_01711	Syaa.g_01691, Syaa.g_01502
OG0000055	Prba.g_01518	Syaa.g_01564, Syaa.g_00852
OG0000057	Prba.g_01619	Syaa.g_01466, Syaa.g_00889
OG0000058	Prba.g_00153	Syaa.g_00193, Syaa.g_00455
OG0000059	Prba.g_00381	Syaa.g_02315
OG0000061	Prba.g_00064	Syaa.g_00770
OG0000062	Prba.g_00310	Syaa.g_00571
OG0000063	Prba.g_01826	Syaa.g_00042
OG0000065	Prba.g_01895	Syaa.g_02380
OG0000066	Prba.g_00922	Syaa.g_01968
OG0000067	Prba.g_01499	Syaa.g_01154
OG0000068	Prba.g_00196	Syaa.g_02059
OG0000069	Prba.g_00275	Syaa.g_01497, Syaa.g_01256
OG0000070	Prba.g_01011	Syaa.g_00718
OG0000071	Prba.g_01192	Syaa.g_00735
OG0000072	Prba.g_00627	Syaa.g_02480
OG0000073	Prba.g_00962	Syaa.g_02030
OG0000074	Prba.g_01635	Syaa.g_00372
OG0000075	Prba.g_01071	Syaa.g_00157
OG0000076	Prba.g_00768	Syaa.g_00123
OG0000077	Prba.g_01866	Syaa.g_00341
OG0000078	Prba.g_00458	Syaa.g_02103
OG0000079	Prba.g_00471	Syaa.g_00303
OG0000081	Prba.g_00930	Syaa.g_02089, Syaa.g_01694
OG0000082	Prba.g_01731	Syaa.g_01905
OG0000084	Prba.g_00717	Syaa.g_01827, Syaa.g_02302, Syaa.g_01770
OG0000085	Prba.g_00233	Syaa.g_00564
OG0000086	Prba.g_01876	Syaa.g_00324
OG0000087	Prba.g_01927	Syaa.g_02433
OG0000088	Prba.g_00622	Syaa.g_02474
OG0000089	Prba.g_00850	Syaa.g_02149
OG0000090	Prba.g_00928	Syaa.g_01980
OG0000091	Prba.g_01675	Syaa.g_01625
OG0000093	Prba.g_01369	Syaa.g_01139
OG0000094	Prba.g_01283	Syaa.g_01288
OG0000095	Prba.g_01264	Syaa.g_00879
OG0000097	Prba.g_00022	Syaa.g_00979
OG0000098	Prba.g_00214	Syaa.g_01970
OG0000099	Prba.g_00155	Syaa.g_00202
OG0000100	Prba.g_00314	Syaa.g_01201
OG0000101	Prba.g_00429	Syaa.g_02249
OG0000102	Prba.g_00773	Syaa.g_00118
OG0000103	Prba.g_01781	Syaa.g_02740
OG0000104	Prba.g_01789	Syaa.g_02754
OG0000105	Prba.g_00491	Syaa.g_00270
OG0000106	Prba.g_00864	Syaa.g_01439
