Orthogroup	Prba	Syas
OG0000001	Prba.g_00211	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373
OG0000004	Prba.g_01622	Syas.g_00176
OG0000004	Prba.g_00451	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072
OG0000005	Prba.g_00607	Syas.g_02665
OG0000005	Prba.g_00312	Syas.g_02704
OG0000006	Prba.g_00460	Syas.g_00720, Syas.g_00942, Syas.g_01684, Syas.g_02565
OG0000007	Prba.g_00964	Syas.g_01232
OG0000007	Prba.g_00226	Syas.g_02681
OG0000008	Prba.g_01131	Syas.g_00886
OG0000009	Prba.g_01893	Syas.g_01450
OG0000010	Prba.g_01256	Syas.g_01334
OG0000012	Prba.g_01694	Syas.g_00111, Syas.g_00827
OG0000013	Prba.g_00543	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557
OG0000014	Prba.g_00522	Syas.g_01816
OG0000015	Prba.g_01538	Syas.g_02007, Syas.g_00968
OG0000016	Prba.g_01806	Syas.g_02048
OG0000017	Prba.g_01719	Syas.g_00849, Syas.g_00856
OG0000018	Prba.g_00083	Syas.g_01290
OG0000019	Prba.g_00468, Prba.g_01519	Syas.g_01696
OG0000022	Prba.g_00101	Syas.g_02758
OG0000025	Prba.g_00547, Prba.g_01464	Syas.g_00231
OG0000026	Prba.g_01824, Prba.g_01249	Syas.g_02070
OG0000027	Prba.g_00991, Prba.g_01175	Syas.g_01480
OG0000028	Prba.g_01126, Prba.g_00536	Syas.g_01793
OG0000030	Prba.g_00778	Syas.g_01644, Syas.g_01645
OG0000031	Prba.g_00173	Syas.g_01827
OG0000034	Prba.g_01202	Syas.g_02371, Syas.g_02838
OG0000035	Prba.g_00713	Syas.g_02814, Syas.g_02818
OG0000037	Prba.g_01897	Syas.g_01479, Syas.g_00147, Syas.g_01928
OG0000038	Prba.g_00819	Syas.g_01885, Syas.g_01887
OG0000039	Prba.g_01631	Syas.g_02795
OG0000040	Prba.g_00251	Syas.g_02028
OG0000040	Prba.g_00084	Syas.g_01972
OG0000042	Prba.g_00775	Syas.g_01121, Syas.g_02147
OG0000044	Prba.g_00002	Syas.g_00894, Syas.g_02453
OG0000048	Prba.g_00868	Syas.g_01734
OG0000051	Prba.g_01168	Syas.g_01445
OG0000053	Prba.g_00693	Syas.g_01287
OG0000054	Prba.g_01711	Syas.g_00961, Syas.g_00957
OG0000055	Prba.g_01518	Syas.g_00203
OG0000057	Prba.g_01619	Syas.g_01055, Syas.g_01038
OG0000058	Prba.g_00153	Syas.g_01151
OG0000059	Prba.g_00381	Syas.g_01639
OG0000061	Prba.g_00064	Syas.g_01184
OG0000062	Prba.g_00310	Syas.g_02702
OG0000063	Prba.g_01826	Syas.g_02074
OG0000065	Prba.g_01895	Syas.g_02420
OG0000066	Prba.g_00922	Syas.g_00094
OG0000067	Prba.g_01499	Syas.g_00596, Syas.g_00352, Syas.g_02346
OG0000068	Prba.g_00196	Syas.g_00969, Syas.g_01261
OG0000069	Prba.g_00275	Syas.g_00779, Syas.g_00876
OG0000070	Prba.g_01011	Syas.g_00173
OG0000071	Prba.g_01192	Syas.g_02854
OG0000072	Prba.g_00627	Syas.g_02326, Syas.g_01524
OG0000073	Prba.g_00962	Syas.g_00358, Syas.g_00264, Syas.g_01230
OG0000075	Prba.g_01071	Syas.g_01921, Syas.g_02194
OG0000076	Prba.g_00768	Syas.g_02156
OG0000077	Prba.g_01866	Syas.g_02510
OG0000078	Prba.g_00458	Syas.g_02561, Syas.g_02308
OG0000079	Prba.g_00471	Syas.g_01699
OG0000081	Prba.g_00930	Syas.g_00391
OG0000082	Prba.g_01731	Syas.g_00837
OG0000085	Prba.g_00233	Syas.g_02695
OG0000086	Prba.g_01876	Syas.g_02470
OG0000087	Prba.g_01927	Syas.g_02374
OG0000089	Prba.g_00850	Syas.g_01512
OG0000090	Prba.g_00928	Syas.g_00062
OG0000091	Prba.g_01675	Syas.g_00907, Syas.g_00146
OG0000092	Prba.g_01057	Syas.g_00900, Syas.g_00877
OG0000094	Prba.g_01283	Syas.g_00208, Syas.g_01716
OG0000095	Prba.g_01264	Syas.g_01021
OG0000097	Prba.g_00022	Syas.g_00114, Syas.g_01443
OG0000098	Prba.g_00214	Syas.g_00091
OG0000099	Prba.g_00155	Syas.g_01826
OG0000100	Prba.g_00314	Syas.g_00567
OG0000101	Prba.g_00429	Syas.g_01589
OG0000102	Prba.g_00773	Syas.g_02152, Syas.g_01395
OG0000103	Prba.g_01781	Syas.g_02009
OG0000104	Prba.g_01789	Syas.g_02027, Syas.g_02026
