Orthogroup	Prba	Prbl
OG0000000	Prba.g_01174	Prbl.g_00118, Prbl.g_00117
OG0000000	Prba.g_00269	Prbl.g_00116
OG0000001	Prba.g_00211	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599, Prbl.g_00808, Prbl.g_02598, Prbl.g_02578
OG0000002	Prba.g_00203	Prbl.g_01582
OG0000002	Prba.g_01639	Prbl.g_01092
OG0000004	Prba.g_01622	Prbl.g_00021
OG0000004	Prba.g_00451	Prbl.g_01771
OG0000005	Prba.g_00312	Prbl.g_00419
OG0000006	Prba.g_00460	Prbl.g_02601
OG0000007	Prba.g_00964	Prbl.g_00531
OG0000007	Prba.g_00226	Prbl.g_00394
OG0000008	Prba.g_01131	Prbl.g_01855
OG0000009	Prba.g_01893	Prbl.g_00155, Prbl.g_00554
OG0000010	Prba.g_01256	Prbl.g_01341
OG0000011	Prba.g_00900, Prba.g_01165	Prbl.g_01822
OG0000012	Prba.g_01694	Prbl.g_01618
OG0000013	Prba.g_00543	Prbl.g_01183
OG0000014	Prba.g_00522	Prbl.g_01416
OG0000015	Prba.g_01538	Prbl.g_01566
OG0000017	Prba.g_01719	Prbl.g_01763, Prbl.g_01755
OG0000018	Prba.g_00083	Prbl.g_00694
OG0000019	Prba.g_00468, Prba.g_01519	Prbl.g_01097, Prbl.g_01509
OG0000021	Prba.g_00245, Prba.g_00858	Prbl.g_01531, Prbl.g_01768
OG0000022	Prba.g_00101	Prbl.g_01072
OG0000022	Prba.g_01543	Prbl.g_01310
OG0000023	Prba.g_00854	Prbl.g_02355
OG0000024	Prba.g_01558, Prba.g_01642	Prbl.g_00040
OG0000025	Prba.g_00547, Prba.g_01464	Prbl.g_01539
OG0000026	Prba.g_01824, Prba.g_01249	Prbl.g_01977
OG0000028	Prba.g_00536	Prbl.g_00900
OG0000029	Prba.g_01551	Prbl.g_01163
OG0000030	Prba.g_00778	Prbl.g_02061, Prbl.g_02060
OG0000031	Prba.g_00173	Prbl.g_00835, Prbl.g_00830
OG0000034	Prba.g_01202	Prbl.g_01734
OG0000035	Prba.g_00713	Prbl.g_00242
OG0000037	Prba.g_01897	Prbl.g_00548
OG0000038	Prba.g_00819	Prbl.g_02235, Prbl.g_02233
OG0000039	Prba.g_01631	Prbl.g_00318, Prbl.g_01272
OG0000042	Prba.g_00775	Prbl.g_01236, Prbl.g_01121
OG0000044	Prba.g_00002	Prbl.g_01937, Prbl.g_01006, Prbl.g_02631, Prbl.g_02612
OG0000047	Prba.g_00546	Prbl.g_00719
OG0000047	Prba.g_00913	Prbl.g_01574
OG0000048	Prba.g_00868	Prbl.g_01465
OG0000053	Prba.g_00693	Prbl.g_00691
OG0000054	Prba.g_01711	Prbl.g_01752
OG0000056	Prba.g_01120	Prbl.g_01599, Prbl.g_01171
OG0000057	Prba.g_01619	Prbl.g_00025
OG0000058	Prba.g_00153	Prbl.g_00890
OG0000059	Prba.g_00127	Prbl.g_00836
OG0000059	Prba.g_00381	Prbl.g_00952
OG0000061	Prba.g_00064	Prbl.g_02084
OG0000062	Prba.g_00310	Prbl.g_00417
OG0000063	Prba.g_01826	Prbl.g_01981
OG0000065	Prba.g_01895	Prbl.g_00552
OG0000066	Prba.g_00922	Prbl.g_00752
OG0000067	Prba.g_01499	Prbl.g_02335
OG0000068	Prba.g_00196	Prbl.g_00502
OG0000070	Prba.g_01011	Prbl.g_00634
OG0000071	Prba.g_01192	Prbl.g_01722
OG0000072	Prba.g_00627	Prbl.g_00276
OG0000073	Prba.g_00962	Prbl.g_00533
OG0000075	Prba.g_01071	Prbl.g_00855
OG0000076	Prba.g_00768	Prbl.g_01285
OG0000077	Prba.g_01866	Prbl.g_00631, Prbl.g_00596
OG0000078	Prba.g_00458	Prbl.g_00193
OG0000079	Prba.g_00471	Prbl.g_01505
OG0000081	Prba.g_00930	Prbl.g_01036, Prbl.g_00032
OG0000082	Prba.g_01731	Prbl.g_01783
OG0000084	Prba.g_00717	Prbl.g_00246
OG0000085	Prba.g_00233	Prbl.g_00405
OG0000086	Prba.g_01876	Prbl.g_00583
OG0000087	Prba.g_01927	Prbl.g_00810
OG0000088	Prba.g_00622	Prbl.g_00281, Prbl.g_01838
OG0000089	Prba.g_00850	Prbl.g_02674
OG0000090	Prba.g_00928	Prbl.g_00766
OG0000091	Prba.g_01675	Prbl.g_01647
OG0000093	Prba.g_01369	Prbl.g_02359
OG0000094	Prba.g_01283	Prbl.g_02209
OG0000095	Prba.g_01264	Prbl.g_00927
OG0000097	Prba.g_00022	Prbl.g_02579
OG0000098	Prba.g_00214	Prbl.g_00722
OG0000099	Prba.g_00155	Prbl.g_00893
OG0000100	Prba.g_00314	Prbl.g_01914, Prbl.g_02305
OG0000101	Prba.g_00429	Prbl.g_01126, Prbl.g_01000
OG0000102	Prba.g_00773	Prbl.g_02636
OG0000103	Prba.g_01781	Prbl.g_02139
OG0000104	Prba.g_01789	Prbl.g_02125
OG0000105	Prba.g_00491	Prbl.g_01461
OG0000106	Prba.g_00864	Prbl.g_00411
OG0000107	Prba.g_00880	Prbl.g_02681
OG0000108	Prba.g_00981	Prbl.g_00511
OG0000109	Prba.g_00967	Prbl.g_00527
OG0000110	Prba.g_01741	Prbl.g_01795
OG0000111	Prba.g_01618	Prbl.g_00026
OG0000112	Prba.g_01534	Prbl.g_02470
OG0000113	Prba.g_01477	Prbl.g_02310
OG0000114	Prba.g_01395	Prbl.g_02407
OG0000115	Prba.g_00743	Prbl.g_00687
OG0000116	Prba.g_00074	Prbl.g_02069
OG0000117	Prba.g_01135	Prbl.g_01384
OG0000118	Prba.g_01204	Prbl.g_01736
OG0000119	Prba.g_00200	Prbl.g_00007, Prbl.g_00046
OG0000120	Prba.g_00175	Prbl.g_00892
OG0000121	Prba.g_00711	Prbl.g_00234, Prbl.g_00240
OG0000122	Prba.g_00348	Prbl.g_01808
OG0000123	Prba.g_00436	Prbl.g_01135
OG0000124	Prba.g_00784	Prbl.g_02054
OG0000125	Prba.g_01089, Prba.g_00821	Prbl.g_02231
OG0000126	Prba.g_01788	Prbl.g_02127
OG0000127	Prba.g_01118	Prbl.g_00745, Prbl.g_01821, Prbl.g_01022
OG0000128	Prba.g_01804	Prbl.g_02109
OG0000129	Prba.g_01838	Prbl.g_02243
OG0000130	Prba.g_01857	Prbl.g_00608
OG0000131	Prba.g_01933	Prbl.g_00303
OG0000132	Prba.g_01952	Prbl.g_00283
OG0000133	Prba.g_00538	Prbl.g_00897
OG0000134	Prba.g_00851	Prbl.g_02677
OG0000135	Prba.g_00877	Prbl.g_02190
OG0000136	Prba.g_01020	Prbl.g_00647
OG0000137	Prba.g_00986	Prbl.g_01340
OG0000138	Prba.g_00966	Prbl.g_00528
OG0000139	Prba.g_00924	Prbl.g_00760
OG0000140	Prba.g_00923	Prbl.g_00754
OG0000141	Prba.g_01710	Prbl.g_01751
OG0000142	Prba.g_01682	Prbl.g_01639
OG0000143	Prba.g_01678	Prbl.g_01643
OG0000144	Prba.g_01665	Prbl.g_01042
OG0000145	Prba.g_01541	Prbl.g_00534
OG0000146	Prba.g_01533	Prbl.g_02469
OG0000147	Prba.g_01532	Prbl.g_02468
OG0000148	Prba.g_01483	Prbl.g_02316
OG0000149	Prba.g_01452	Prbl.g_01552
OG0000150	Prba.g_01444	Prbl.g_01576
OG0000151	Prba.g_01385	Prbl.g_02386
OG0000152	Prba.g_01337	Prbl.g_02478
OG0000153	Prba.g_01318	Prbl.g_02505
OG0000154	Prba.g_01290	Prbl.g_02532
OG0000155	Prba.g_00043	Prbl.g_00185
OG0000156	Prba.g_01181	Prbl.g_00115
OG0000157	Prba.g_01182	Prbl.g_00114
OG0000158	Prba.g_00154	Prbl.g_00843
OG0000160	Prba.g_00712	Prbl.g_00241
OG0000161	Prba.g_00706	Prbl.g_00227
OG0000162	Prba.g_00700	Prbl.g_00221
OG0000163	Prba.g_00341	Prbl.g_00452
OG0000164	Prba.g_00596	Prbl.g_00365
OG0000165	Prba.g_00589	Prbl.g_00356
OG0000166	Prba.g_00393	Prbl.g_00962
OG0000167	Prba.g_01069	Prbl.g_00857
OG0000168	Prba.g_01079	Prbl.g_00842
OG0000169	Prba.g_00761	Prbl.g_01302
OG0000170	Prba.g_00763	Prbl.g_01290
OG0000171	Prba.g_00783	Prbl.g_02055
OG0000172	Prba.g_00792	Prbl.g_02021
OG0000173	Prba.g_00807	Prbl.g_02000
OG0000174	Prba.g_00835	Prbl.g_02188
OG0000175	Prba.g_00845	Prbl.g_02150
OG0000176	Prba.g_01797	Prbl.g_02117
OG0000177	Prba.g_01798	Prbl.g_02116
OG0000178	Prba.g_01799	Prbl.g_02115
OG0000179	Prba.g_01809	Prbl.g_01961
OG0000180	Prba.g_01810	Prbl.g_01962
OG0000181	Prba.g_01811	Prbl.g_01963
OG0000182	Prba.g_01812	Prbl.g_01964
OG0000183	Prba.g_01816	Prbl.g_01968
OG0000184	Prba.g_01840	Prbl.g_02251
OG0000185	Prba.g_01843	Prbl.g_02273
OG0000186	Prba.g_01852	Prbl.g_00614
OG0000187	Prba.g_01853	Prbl.g_00613
OG0000188	Prba.g_01870	Prbl.g_00591
OG0000189	Prba.g_01884	Prbl.g_00565
OG0000190	Prba.g_01885	Prbl.g_00563
OG0000191	Prba.g_01905	Prbl.g_01325
OG0000192	Prba.g_01909	Prbl.g_01316
OG0000193	Prba.g_01934	Prbl.g_00302
OG0000194	Prba.g_01937	Prbl.g_00299
OG0000195	Prba.g_01939	Prbl.g_00297
OG0000196	Prba.g_01949	Prbl.g_00286
OG0000197	Prba.g_01950	Prbl.g_00285
OG0000198	Prba.g_01951	Prbl.g_00284
OG0000199	Prba.g_00626	Prbl.g_00277
OG0000200	Prba.g_00640	Prbl.g_00069
OG0000201	Prba.g_00648	Prbl.g_00088
OG0000202	Prba.g_00649	Prbl.g_00089
OG0000203	Prba.g_00650	Prbl.g_00090
OG0000204	Prba.g_00651	Prbl.g_00091
OG0000205	Prba.g_00658	Prbl.g_00098
OG0000206	Prba.g_00663	Prbl.g_01282
OG0000207	Prba.g_00665	Prbl.g_00130
OG0000208	Prba.g_00666	Prbl.g_00129
OG0000209	Prba.g_00675	Prbl.g_01256
OG0000210	Prba.g_00439	Prbl.g_01257
OG0000211	Prba.g_00452	Prbl.g_01922
OG0000212	Prba.g_00459	Prbl.g_00192
OG0000213	Prba.g_00476	Prbl.g_01496
OG0000214	Prba.g_00485	Prbl.g_01469
OG0000215	Prba.g_00509	Prbl.g_01439
OG0000216	Prba.g_00510	Prbl.g_01436
OG0000217	Prba.g_00513	Prbl.g_01432
OG0000218	Prba.g_00515	Prbl.g_01428
OG0000219	Prba.g_00516	Prbl.g_01427
