Orthogroup	Prba	Syad
OG0000001	Prba.g_00211	Syad.g_00628, Syad.g_02863, Syad.g_02862, Syad.g_02864, Syad.g_02865, Syad.g_01238, Syad.g_00611
OG0000002	Prba.g_00203, Prba.g_01639	Syad.g_00619
OG0000004	Prba.g_01622	Syad.g_01304
OG0000004	Prba.g_00451	Syad.g_02184, Syad.g_00810
OG0000005	Prba.g_00607	Syad.g_02639
OG0000005	Prba.g_00312	Syad.g_02596
OG0000006	Prba.g_00460	Syad.g_02130, Syad.g_00588, Syad.g_00829
OG0000007	Prba.g_00964	Syad.g_00923
OG0000007	Prba.g_00226	Syad.g_02623
OG0000009	Prba.g_01142, Prba.g_00276	Syad.g_01952, Syad.g_00868
OG0000009	Prba.g_01893	Syad.g_02799
OG0000010	Prba.g_01256	Syad.g_02354
OG0000011	Prba.g_00900, Prba.g_01165	Syad.g_02006
OG0000012	Prba.g_01694	Syad.g_02176, Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008
OG0000013	Prba.g_00543	Syad.g_00729, Syad.g_00737, Syad.g_00724
OG0000014	Prba.g_00522	Syad.g_00480
OG0000015	Prba.g_01538	Syad.g_00142, Syad.g_01600, Syad.g_01601
OG0000016	Prba.g_01806	Syad.g_00176
OG0000017	Prba.g_01719	Syad.g_01084, Syad.g_01091
OG0000018	Prba.g_00083	Syad.g_02306
OG0000019	Prba.g_00468, Prba.g_01519	Syad.g_00569
OG0000020	Prba.g_00737	Syad.g_00845
OG0000021	Prba.g_00245, Prba.g_00858	Syad.g_01835, Syad.g_00874
OG0000022	Prba.g_00101	Syad.g_02090
OG0000023	Prba.g_00854	Syad.g_01701, Syad.g_02337, Syad.g_01583
OG0000024	Prba.g_01558, Prba.g_01642	Syad.g_01374
OG0000025	Prba.g_00547, Prba.g_01464	Syad.g_01241
OG0000026	Prba.g_01824, Prba.g_01249	Syad.g_00198
OG0000027	Prba.g_00991, Prba.g_01175	Syad.g_01257
OG0000028	Prba.g_01126, Prba.g_00536	Syad.g_00463
OG0000029	Prba.g_01551, Prba.g_00869	Syad.g_02099
OG0000030	Prba.g_00778	Syad.g_00328, Syad.g_00327
OG0000031	Prba.g_00173	Syad.g_00458, Syad.g_00294
OG0000034	Prba.g_01202	Syad.g_02420, Syad.g_02872
OG0000035	Prba.g_00713	Syad.g_02275
OG0000037	Prba.g_01897	Syad.g_02805
OG0000038	Prba.g_00819	Syad.g_03038
OG0000039	Prba.g_01631	Syad.g_01249, Syad.g_01111
OG0000040	Prba.g_00084	Syad.g_00104
OG0000042	Prba.g_00775	Syad.g_00333
OG0000044	Prba.g_00002	Syad.g_02214
OG0000047	Prba.g_00546, Prba.g_00913	Syad.g_00754
OG0000048	Prba.g_00868	Syad.g_00534
OG0000050	Prba.g_00899	Syad.g_02114
OG0000050	Prba.g_01229	Syad.g_02478
OG0000051	Prba.g_01168	Syad.g_00842
OG0000053	Prba.g_00693	Syad.g_02302
OG0000054	Prba.g_01711	Syad.g_02209
OG0000055	Prba.g_01518	Syad.g_01255
OG0000056	Prba.g_01120	Syad.g_01997, Syad.g_01971, Syad.g_01409, Syad.g_02690, Syad.g_01425, Syad.g_00400, Syad.g_01999, Syad.g_01346, Syad.g_02228, Syad.g_02691
OG0000057	Prba.g_01619	Syad.g_01301
OG0000058	Prba.g_00153	Syad.g_00452
OG0000059	Prba.g_00381	Syad.g_00642
OG0000061	Prba.g_00064	Syad.g_01152
OG0000062	Prba.g_00310	Syad.g_02598
OG0000063	Prba.g_01826	Syad.g_00202
OG0000065	Prba.g_01895	Syad.g_02801, Syad.g_02574
OG0000066	Prba.g_00922	Syad.g_00992
OG0000067	Prba.g_01499	Syad.g_01889
OG0000068	Prba.g_00196	Syad.g_00891
OG0000070	Prba.g_01011	Syad.g_02424
OG0000071	Prba.g_01192	Syad.g_02405
OG0000072	Prba.g_00627	Syad.g_02905
OG0000073	Prba.g_00962	Syad.g_00926
OG0000075	Prba.g_01071	Syad.g_00416
OG0000076	Prba.g_00768	Syad.g_00348
OG0000077	Prba.g_01866	Syad.g_02741
OG0000078	Prba.g_00458	Syad.g_00824
OG0000079	Prba.g_00471	Syad.g_00565
OG0000081	Prba.g_00930	Syad.g_00833
OG0000082	Prba.g_01731	Syad.g_01063
