Orthogroup	Prba	Syat
OG0000001	Prba.g_00211	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878
OG0000005	Prba.g_00607	Syat.g_03065
OG0000005	Prba.g_00312	Syat.g_03105
OG0000006	Prba.g_00460	Syat.g_00371, Syat.g_01439, Syat.g_01865
OG0000007	Prba.g_00964	Syat.g_03191
OG0000007	Prba.g_00226	Syat.g_03124
OG0000008	Prba.g_01131	Syat.g_02626
OG0000009	Prba.g_01893	Syat.g_01567
OG0000010	Prba.g_01256	Syat.g_01372
OG0000012	Prba.g_01694	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143
OG0000013	Prba.g_00543	Syat.g_01625, Syat.g_01016, Syat.g_01027
OG0000014	Prba.g_00522	Syat.g_02104
OG0000014	Prba.g_00159	Syat.g_02250
OG0000015	Prba.g_01538	Syat.g_00775, Syat.g_01677
OG0000016	Prba.g_01806	Syat.g_02329
OG0000017	Prba.g_01719	Syat.g_00015
OG0000018	Prba.g_00083	Syat.g_01334
OG0000019	Prba.g_00468, Prba.g_01519	Syat.g_01876
OG0000021	Prba.g_00245, Prba.g_00858	Syat.g_00964
OG0000022	Prba.g_00101	Syat.g_00210
OG0000024	Prba.g_01558, Prba.g_01642	Syat.g_03394
OG0000025	Prba.g_00547, Prba.g_01464	Syat.g_00719
OG0000026	Prba.g_01824, Prba.g_01249	Syat.g_02306
OG0000027	Prba.g_00991, Prba.g_01175	Syat.g_00850
OG0000028	Prba.g_01126, Prba.g_00536	Syat.g_02126
OG0000030	Prba.g_00778	Syat.g_00307, Syat.g_00308
OG0000031	Prba.g_00173	Syat.g_02131, Syat.g_03199, Syat.g_02243
OG0000034	Prba.g_01202	Syat.g_01165, Syat.g_02902
OG0000035	Prba.g_00713	Syat.g_01227, Syat.g_01226
OG0000037	Prba.g_01897	Syat.g_01575, Syat.g_00849, Syat.g_00187
OG0000038	Prba.g_00819	Syat.g_02688, Syat.g_02686
OG0000039	Prba.g_01631	Syat.g_01278
OG0000040	Prba.g_00084	Syat.g_02551
OG0000042	Prba.g_00775	Syat.g_00223, Syat.g_02222
OG0000044	Prba.g_00002	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333
OG0000048	Prba.g_00868	Syat.g_02046
OG0000053	Prba.g_00693	Syat.g_01330
OG0000054	Prba.g_01711	Syat.g_00987, Syat.g_03390
OG0000055	Prba.g_01518	Syat.g_00693
OG0000057	Prba.g_01619	Syat.g_00817, Syat.g_02055
OG0000058	Prba.g_00153	Syat.g_02133, Syat.g_02238, Syat.g_01189
OG0000059	Prba.g_00381	Syat.g_01832
OG0000061	Prba.g_00064	Syat.g_03260
OG0000062	Prba.g_00310	Syat.g_03107
OG0000063	Prba.g_01826	Syat.g_02303
OG0000065	Prba.g_01895	Syat.g_01571
OG0000066	Prba.g_00922	Syat.g_03283
OG0000067	Prba.g_01499	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874
OG0000068	Prba.g_00196	Syat.g_00085, Syat.g_01295
OG0000069	Prba.g_00275	Syat.g_00090, Syat.g_00879
OG0000070	Prba.g_01011	Syat.g_01032, Syat.g_01040
OG0000071	Prba.g_01192	Syat.g_01153
OG0000072	Prba.g_00627	Syat.g_02856, Syat.g_01597
OG0000073	Prba.g_00962	Syat.g_03201
OG0000075	Prba.g_01071	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Prba.g_00768	Syat.g_02206
OG0000077	Prba.g_01866	Syat.g_01481
OG0000078	Prba.g_00458	Syat.g_00184
OG0000079	Prba.g_00471	Syat.g_01879
OG0000081	Prba.g_00930	Syat.g_00980
OG0000082	Prba.g_01731	Syat.g_00035
OG0000085	Prba.g_00233	Syat.g_03113
OG0000086	Prba.g_01876	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Prba.g_01927	Syat.g_02912
OG0000088	Prba.g_00622	Syat.g_02862
OG0000089	Prba.g_00850	Syat.g_02953
OG0000090	Prba.g_00928	Syat.g_03270
OG0000091	Prba.g_01675	Syat.g_00939, Syat.g_00862
OG0000092	Prba.g_01057	Syat.g_00825
