Orthogroup	Prac	Prbe
OG0000000	Prac.g_00277, Prac.g_00292	Prbe.g_01119
OG0000000	Prac.g_00926, Prac.g_00293	Prbe.g_01052, Prbe.g_01120, Prbe.g_01586
OG0000001	Prac.g_00210	Prbe.g_01285, Prbe.g_01290
OG0000001	Prac.g_00693	Prbe.g_00452, Prbe.g_00208, Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584
OG0000002	Prac.g_00925, Prac.g_00924	Prbe.g_00112
OG0000002	Prac.g_00202	Prbe.g_00400
OG0000004	Prac.g_00157, Prac.g_00290	Prbe.g_01587
OG0000005	Prac.g_01529	Prbe.g_01628
OG0000006	Prac.g_00139, Prac.g_01958, Prac.g_01516, Prac.g_01035	Prbe.g_00081
OG0000008	Prac.g_00874	Prbe.g_00636
OG0000008	Prac.g_00625	Prbe.g_00985
OG0000010	Prac.g_01496	Prbe.g_01573
OG0000010	Prac.g_01681	Prbe.g_01802
OG0000011	Prac.g_01158	Prbe.g_01091
OG0000013	Prac.g_00301, Prac.g_01826	Prbe.g_00216
OG0000014	Prac.g_01625	Prbe.g_01861
OG0000015	Prac.g_01127	Prbe.g_01921
OG0000016	Prac.g_00898	Prbe.g_01046, Prbe.g_01000
OG0000017	Prac.g_01074	Prbe.g_01121, Prbe.g_00012
OG0000018	Prac.g_00773	Prbe.g_00536, Prbe.g_00529
OG0000019	Prac.g_01151	Prbe.g_01024, Prbe.g_01130
OG0000020	Prac.g_00213	Prbe.g_01603, Prbe.g_00214
OG0000021	Prac.g_01901	Prbe.g_00290, Prbe.g_01040
OG0000022	Prac.g_01689	Prbe.g_01794
OG0000023	Prac.g_01169	Prbe.g_01208
OG0000024	Prac.g_00151	Prbe.g_00013, Prbe.g_01595
OG0000025	Prac.g_01525	Prbe.g_01415, Prbe.g_00449
OG0000028	Prac.g_00904	Prbe.g_00036
OG0000029	Prac.g_01495	Prbe.g_01598, Prbe.g_01011
OG0000030	Prac.g_01494	Prbe.g_01003
OG0000031	Prac.g_00048	Prbe.g_00766
OG0000032	Prac.g_00908	Prbe.g_00021
OG0000034	Prac.g_00411	Prbe.g_00311
OG0000035	Prac.g_00300, Prac.g_00890	Prbe.g_00678
OG0000036	Prac.g_01037	Prbe.g_00204
OG0000041	Prac.g_00748	Prbe.g_00511, Prbe.g_00196
OG0000043	Prac.g_01399	Prbe.g_00074
OG0000045	Prac.g_00788	Prbe.g_00996, Prbe.g_00549
OG0000046	Prac.g_01510	Prbe.g_00220
OG0000047	Prac.g_00985	Prbe.g_01549
OG0000049	Prac.g_00258, Prac.g_00434	Prbe.g_00351
OG0000050	Prac.g_01764	Prbe.g_01714
OG0000051	Prac.g_01174	Prbe.g_00062
OG0000053	Prac.g_01560	Prbe.g_01214
OG0000054	Prac.g_00632	Prbe.g_00007, Prbe.g_00993
OG0000055	Prac.g_01904, Prac.g_00041	Prbe.g_00774
