Orthogroup	Prac	Prbg
OG0000000	Prac.g_00277, Prac.g_00292	Prbg.g_01567
OG0000000	Prac.g_00926, Prac.g_00293	Prbg.g_01583, Prbg.g_01568, Prbg.g_01523
OG0000001	Prac.g_00210	Prbg.g_01222, Prbg.g_01227
OG0000001	Prac.g_00693	Prbg.g_01119, Prbg.g_00694, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521
OG0000002	Prac.g_00925, Prac.g_00924	Prbg.g_01069
OG0000002	Prac.g_00202	Prbg.g_00502
OG0000004	Prac.g_00157, Prac.g_00290	Prbg.g_01524
OG0000005	Prac.g_01529	Prbg.g_00451
OG0000006	Prac.g_00139, Prac.g_01958, Prac.g_01516, Prac.g_01035	Prbg.g_00032
OG0000008	Prac.g_00874	Prbg.g_00216
OG0000008	Prac.g_00625	Prbg.g_01650
OG0000010	Prac.g_01496	Prbg.g_01510
OG0000010	Prac.g_01681	Prbg.g_01032
OG0000011	Prac.g_01158	Prbg.g_01740
OG0000013	Prac.g_00301, Prac.g_01826	Prbg.g_00686
OG0000014	Prac.g_01625	Prbg.g_00086
OG0000015	Prac.g_01127	Prbg.g_00143
OG0000016	Prac.g_00898	Prbg.g_01589, Prbg.g_01635
OG0000017	Prac.g_01074	Prbg.g_01569, Prbg.g_00721
OG0000018	Prac.g_00773	Prbg.g_00317, Prbg.g_00324
OG0000019	Prac.g_01151	Prbg.g_01611, Prbg.g_01578
OG0000020	Prac.g_00213	Prbg.g_01540, Prbg.g_00688
OG0000021	Prac.g_01901	Prbg.g_00612, Prbg.g_01595
OG0000022	Prac.g_01689	Prbg.g_01024
OG0000023	Prac.g_01169	Prbg.g_01145
OG0000024	Prac.g_00151	Prbg.g_00722, Prbg.g_01532
OG0000025	Prac.g_01525	Prbg.g_01352, Prbg.g_01116
OG0000028	Prac.g_00904	Prbg.g_00744
OG0000029	Prac.g_01495	Prbg.g_01535, Prbg.g_01624
OG0000030	Prac.g_01494	Prbg.g_01632
OG0000031	Prac.g_00048	Prbg.g_01855
OG0000032	Prac.g_00908	Prbg.g_00730
OG0000034	Prac.g_00411	Prbg.g_00591
OG0000035	Prac.g_00300, Prac.g_00890	Prbg.g_00174
OG0000036	Prac.g_01037	Prbg.g_00698
OG0000041	Prac.g_00748	Prbg.g_00342, Prbg.g_00706
OG0000043	Prac.g_01399	Prbg.g_00025
OG0000045	Prac.g_00788	Prbg.g_01639, Prbg.g_00304
OG0000046	Prac.g_01510	Prbg.g_00682
OG0000047	Prac.g_00985	Prbg.g_01486
OG0000049	Prac.g_00258, Prac.g_00434	Prbg.g_00551
OG0000050	Prac.g_01764	Prbg.g_00944
OG0000051	Prac.g_01174	Prbg.g_00013
OG0000053	Prac.g_01560	Prbg.g_01151
OG0000054	Prac.g_00632	Prbg.g_00716, Prbg.g_01642
OG0000055	Prac.g_01904, Prac.g_00041	Prbg.g_01847
OG0000056	Prac.g_01916	Prbg.g_00842
OG0000057	Prac.g_01773, Prac.g_01590	Prbg.g_00935
OG0000058	Prac.g_01163	Prbg.g_00388
OG0000059	Prac.g_00833	Prbg.g_00256
OG0000062	Prac.g_01453	Prbg.g_01182
OG0000065	Prac.g_01693	Prbg.g_01019
OG0000066	Prac.g_01069	Prbg.g_00194
OG0000067	Prac.g_00673	Prbg.g_01143
OG0000070	Prac.g_01256	Prbg.g_01234
OG0000071	Prac.g_01955	Prbg.g_01459
OG0000072	Prac.g_00175	Prbg.g_00477
OG0000073	Prac.g_00196	Prbg.g_00719
OG0000074	Prac.g_00248	Prbg.g_00549
OG0000075	Prac.g_00548	Prbg.g_01785
OG0000077	Prac.g_01936	Prbg.g_00778
OG0000078	Prac.g_01609	Prbg.g_00100
OG0000079	Prac.g_01150	Prbg.g_00459
OG0000080	Prac.g_00702	Prbg.g_01386
OG0000081	Prac.g_00680	Prbg.g_01133
OG0000082	Prac.g_01468	Prbg.g_01166
OG0000083	Prac.g_01405	Prbg.g_01507
OG0000084	Prac.g_01327	Prbg.g_01287
OG0000085	Prac.g_01207	Prbg.g_01531
OG0000086	Prac.g_01018	Prbg.g_00749
OG0000087	Prac.g_00276	Prbg.g_01566
OG0000090	Prac.g_00256	Prbg.g_00552
OG0000091	Prac.g_00403	Prbg.g_00599
OG0000092	Prac.g_00886	Prbg.g_00414
OG0000093	Prac.g_00500	Prbg.g_01737
OG0000094	Prac.g_00545	Prbg.g_01781
OG0000095	Prac.g_00015	Prbg.g_01819
OG0000096	Prac.g_00084	Prbg.g_01892
OG0000098	Prac.g_01944	Prbg.g_00770
OG0000099	Prac.g_01924	Prbg.g_00851
OG0000101	Prac.g_01882	Prbg.g_00822
OG0000102	Prac.g_01818	Prbg.g_00887
OG0000103	Prac.g_01810	Prbg.g_00896
OG0000104	Prac.g_01792	Prbg.g_00913
OG0000105	Prac.g_01760	Prbg.g_00948
OG0000106	Prac.g_01746	Prbg.g_00962
OG0000107	Prac.g_01738	Prbg.g_00971
OG0000108	Prac.g_01728	Prbg.g_00981
OG0000109	Prac.g_01691	Prbg.g_01022
OG0000110	Prac.g_01679	Prbg.g_01034
OG0000111	Prac.g_01657	Prbg.g_00053
OG0000112	Prac.g_01647	Prbg.g_00064
OG0000113	Prac.g_01634	Prbg.g_00077
OG0000114	Prac.g_01606	Prbg.g_00103
OG0000115	Prac.g_01070	Prbg.g_00193
OG0000116	Prac.g_01068	Prbg.g_00195
OG0000117	Prac.g_01064	Prbg.g_00199
OG0000118	Prac.g_00872	Prbg.g_00219
OG0000119	Prac.g_00840	Prbg.g_00249
OG0000120	Prac.g_00839	Prbg.g_00250
OG0000121	Prac.g_00829	Prbg.g_00260
OG0000122	Prac.g_00820	Prbg.g_00270
OG0000123	Prac.g_00789	Prbg.g_00302
OG0000124	Prac.g_00720	Prbg.g_01405
OG0000125	Prac.g_00719	Prbg.g_01404
OG0000126	Prac.g_00718	Prbg.g_01403
OG0000127	Prac.g_00685	Prbg.g_01128
OG0000128	Prac.g_01558	Prbg.g_01153
OG0000129	Prac.g_01538	Prbg.g_01354
OG0000130	Prac.g_01491	Prbg.g_01251
OG0000131	Prac.g_01477	Prbg.g_01157
OG0000132	Prac.g_01442	Prbg.g_01194
OG0000133	Prac.g_01368	Prbg.g_01101
OG0000134	Prac.g_01359	Prbg.g_01385
OG0000135	Prac.g_01323	Prbg.g_01291
OG0000136	Prac.g_01259	Prbg.g_01237
OG0000137	Prac.g_01015	Prbg.g_00752
OG0000139	Prac.g_00979	Prbg.g_01480
OG0000140	Prac.g_00928	Prbg.g_00352
OG0000141	Prac.g_00448	Prbg.g_00687
OG0000142	Prac.g_00187	Prbg.g_00490
OG0000143	Prac.g_00217	Prbg.g_00529
OG0000144	Prac.g_00424	Prbg.g_00579
OG0000145	Prac.g_00410	Prbg.g_00592
OG0000146	Prac.g_00374	Prbg.g_00628
OG0000147	Prac.g_00334	Prbg.g_00675
OG0000148	Prac.g_00333	Prbg.g_00676
OG0000149	Prac.g_00627	Prbg.g_01647
OG0000150	Prac.g_00589	Prbg.g_01686
OG0000151	Prac.g_00586	Prbg.g_01689
OG0000152	Prac.g_00471	Prbg.g_01709
OG0000153	Prac.g_00507	Prbg.g_01743
OG0000154	Prac.g_00543	Prbg.g_01779
OG0000155	Prac.g_00560	Prbg.g_01798
OG0000156	Prac.g_00026	Prbg.g_01831
OG0000157	Prac.g_00057	Prbg.g_01865
OG0000158	Prac.g_00118	Prbg.g_01931
OG0000160	Prac.g_01946	Prbg.g_00768
OG0000161	Prac.g_01945	Prbg.g_00769
OG0000162	Prac.g_01943	Prbg.g_00771
OG0000163	Prac.g_01942	Prbg.g_00772
OG0000164	Prac.g_01941	Prbg.g_00773
OG0000165	Prac.g_01940	Prbg.g_00774
OG0000166	Prac.g_01939	Prbg.g_00775
OG0000167	Prac.g_01938	Prbg.g_00776
OG0000168	Prac.g_01937	Prbg.g_00777
OG0000169	Prac.g_01935	Prbg.g_00779
OG0000170	Prac.g_01933	Prbg.g_00860
OG0000171	Prac.g_01932	Prbg.g_00859
OG0000172	Prac.g_01931	Prbg.g_00858
OG0000173	Prac.g_01930	Prbg.g_00857
OG0000174	Prac.g_01929	Prbg.g_00856
OG0000175	Prac.g_01928	Prbg.g_00855
OG0000176	Prac.g_01927	Prbg.g_00854
OG0000177	Prac.g_01926	Prbg.g_00853
OG0000178	Prac.g_01925	Prbg.g_00852
OG0000179	Prac.g_01923	Prbg.g_00850
OG0000180	Prac.g_01922	Prbg.g_00849
OG0000181	Prac.g_01921	Prbg.g_00848
OG0000182	Prac.g_01920	Prbg.g_00847
OG0000183	Prac.g_01919	Prbg.g_00846
OG0000184	Prac.g_01918	Prbg.g_00844
OG0000185	Prac.g_01915	Prbg.g_00841
OG0000186	Prac.g_01911	Prbg.g_00838
OG0000187	Prac.g_01910	Prbg.g_00837
OG0000188	Prac.g_01909	Prbg.g_00836
OG0000189	Prac.g_01892	Prbg.g_00834
OG0000190	Prac.g_01890	Prbg.g_00832
OG0000191	Prac.g_01889	Prbg.g_00830
OG0000192	Prac.g_01888	Prbg.g_00829
OG0000193	Prac.g_01886	Prbg.g_00828
OG0000194	Prac.g_01885	Prbg.g_00825
OG0000195	Prac.g_01884	Prbg.g_00824
OG0000196	Prac.g_01883	Prbg.g_00823
OG0000197	Prac.g_01881	Prbg.g_00821
OG0000198	Prac.g_01880	Prbg.g_00820
