Orthogroup	Prac	Praz
OG0000000	Prac.g_00277	Praz.g_00894
OG0000000	Prac.g_00292	Praz.g_00921
OG0000000	Prac.g_00926, Prac.g_00293	Praz.g_00694
OG0000001	Prac.g_00210	Praz.g_01146
OG0000001	Prac.g_00693	Praz.g_01652
OG0000002	Prac.g_00924	Praz.g_01939, Praz.g_01940
OG0000002	Prac.g_00202	Praz.g_01154
OG0000003	Prac.g_01905	Praz.g_00404
OG0000004	Prac.g_00157	Praz.g_01200
OG0000004	Prac.g_00290	Praz.g_00920
OG0000005	Prac.g_01536	Praz.g_01583
OG0000005	Prac.g_01529	Praz.g_01576
OG0000006	Prac.g_00139	Praz.g_01215
OG0000006	Prac.g_01516	Praz.g_01563
OG0000006	Prac.g_01035	Praz.g_00045
OG0000007	Prac.g_01954	Praz.g_00767
OG0000007	Prac.g_01149	Praz.g_00790
OG0000007	Prac.g_00893	Praz.g_01269
OG0000008	Prac.g_00874	Praz.g_01831
OG0000008	Prac.g_00625	Praz.g_00877
OG0000010	Prac.g_01496	Praz.g_01532
OG0000010	Prac.g_01681	Praz.g_00609
OG0000011	Prac.g_01158	Praz.g_00799
OG0000012	Prac.g_01159	Praz.g_00800
OG0000013	Prac.g_00301	Praz.g_00929
OG0000013	Prac.g_01826	Praz.g_00465
OG0000014	Prac.g_01625	Praz.g_01102, Praz.g_00663
OG0000015	Prac.g_01127	Praz.g_01921
OG0000015	Prac.g_01601	Praz.g_00687
OG0000016	Prac.g_00898	Praz.g_01551
OG0000017	Prac.g_01074	Praz.g_01858
OG0000018	Prac.g_00773	Praz.g_01732
OG0000019	Prac.g_01151	Praz.g_00792
OG0000020	Prac.g_00213	Praz.g_01143
OG0000021	Prac.g_00391	Praz.g_01021
OG0000022	Prac.g_01689	Praz.g_00601
OG0000023	Prac.g_01169	Praz.g_00810
OG0000024	Prac.g_00151	Praz.g_01208
OG0000025	Prac.g_01525	Praz.g_01571
OG0000026	Prac.g_00159	Praz.g_01198
OG0000027	Prac.g_00699	Praz.g_01658
OG0000028	Prac.g_00134	Praz.g_01222
OG0000029	Prac.g_01495	Praz.g_01531
OG0000030	Prac.g_01494	Praz.g_01530
OG0000031	Prac.g_00048	Praz.g_00198
OG0000032	Prac.g_01913, Prac.g_01914	Praz.g_00398
OG0000033	Prac.g_00325	Praz.g_00954
OG0000033	Prac.g_01533	Praz.g_01580
OG0000034	Prac.g_00411	Praz.g_01041
OG0000035	Prac.g_00300	Praz.g_00928
OG0000036	Prac.g_01037	Praz.g_00048
OG0000038	Prac.g_00249	Praz.g_01116
OG0000039	Prac.g_01934	Praz.g_00378
OG0000040	Prac.g_00152	Praz.g_01207, Praz.g_00768
OG0000041	Prac.g_00748	Praz.g_01707
OG0000042	Prac.g_00092	Praz.g_00152
OG0000043	Prac.g_01217	Praz.g_00104
OG0000043	Prac.g_01399	Praz.g_01422
OG0000045	Prac.g_00788	Praz.g_01744
OG0000046	Prac.g_01510	Praz.g_01556
OG0000047	Prac.g_00985	Praz.g_00755
OG0000049	Prac.g_00258, Prac.g_00434	Praz.g_01096
OG0000050	Prac.g_01764	Praz.g_00526
OG0000051	Prac.g_01174	Praz.g_00814
OG0000052	Prac.g_01119	Praz.g_01908
OG0000053	Prac.g_01560	Praz.g_01607
OG0000054	Prac.g_00632	Praz.g_00884
OG0000055	Prac.g_00041	Praz.g_00205
OG0000056	Prac.g_01916	Praz.g_00396
OG0000057	Prac.g_01773, Prac.g_01590	Praz.g_00517
OG0000058	Prac.g_01163	Praz.g_00804
OG0000059	Prac.g_00833	Praz.g_01789
OG0000060	Prac.g_01547	Praz.g_01594
OG0000061	Prac.g_01515	Praz.g_01561
OG0000062	Prac.g_01453	Praz.g_01490
OG0000063	Prac.g_01029	Praz.g_00038
OG0000065	Prac.g_01693	Praz.g_00597
OG0000066	Prac.g_01069	Praz.g_01853
OG0000067	Prac.g_00673	Praz.g_01632
OG0000068	Prac.g_01531	Praz.g_01578
OG0000069	Prac.g_01020	Praz.g_00027
OG0000070	Prac.g_01256	Praz.g_00066
OG0000071	Prac.g_01955	Praz.g_01237
OG0000072	Prac.g_00175	Praz.g_01180
OG0000074	Prac.g_00248	Praz.g_01118
OG0000075	Prac.g_00548	Praz.g_00263
OG0000076	Prac.g_00242	Praz.g_01092
OG0000077	Prac.g_01936	Praz.g_00376
OG0000078	Prac.g_01609	Praz.g_00679
OG0000079	Prac.g_01150	Praz.g_00791
OG0000080	Prac.g_00702	Praz.g_01661
OG0000081	Prac.g_00680	Praz.g_01639
OG0000082	Prac.g_01468	Praz.g_01505
OG0000083	Prac.g_01405	Praz.g_01440
OG0000084	Prac.g_01327	Praz.g_01350
OG0000085	Prac.g_01207	Praz.g_00114
OG0000086	Prac.g_01018	Praz.g_00025
OG0000087	Prac.g_00276	Praz.g_00893
OG0000088	Prac.g_00132	Praz.g_01232
OG0000089	Prac.g_00133	Praz.g_01227
OG0000090	Prac.g_00256	Praz.g_01098
OG0000091	Prac.g_00403	Praz.g_01033
OG0000092	Prac.g_00886	Praz.g_00913
OG0000093	Prac.g_00500	Praz.g_00311
OG0000094	Prac.g_00545	Praz.g_00266
OG0000095	Prac.g_00015	Praz.g_00232
OG0000096	Prac.g_00084	Praz.g_00160
OG0000097	Prac.g_00101	Praz.g_00142
OG0000098	Prac.g_01944	Praz.g_00368
OG0000099	Prac.g_01924	Praz.g_00388
OG0000100	Prac.g_01893	Praz.g_00405
OG0000101	Prac.g_01882	Praz.g_00415
OG0000102	Prac.g_01818	Praz.g_00473
OG0000103	Prac.g_01810	Praz.g_00481
OG0000104	Prac.g_01792	Praz.g_00499
OG0000105	Prac.g_01760	Praz.g_00530
OG0000106	Prac.g_01746	Praz.g_00544
OG0000107	Prac.g_01738	Praz.g_00552
OG0000108	Prac.g_01728	Praz.g_00562
OG0000109	Prac.g_01691	Praz.g_00599
OG0000110	Prac.g_01679	Praz.g_00611
OG0000111	Prac.g_01657	Praz.g_00632
OG0000112	Prac.g_01647	Praz.g_00642
OG0000113	Prac.g_01634	Praz.g_00654
OG0000114	Prac.g_01606	Praz.g_00682
OG0000115	Prac.g_01070	Praz.g_01854
OG0000116	Prac.g_01068	Praz.g_01852
OG0000117	Prac.g_01064	Praz.g_01848
OG0000118	Prac.g_00872	Praz.g_01829
OG0000119	Prac.g_00840	Praz.g_01796
OG0000120	Prac.g_00839	Praz.g_01795
OG0000121	Prac.g_00829	Praz.g_01785
OG0000122	Prac.g_00820	Praz.g_01776
OG0000123	Prac.g_00789	Praz.g_01745
OG0000124	Prac.g_00720	Praz.g_01679
OG0000125	Prac.g_00719	Praz.g_01678
OG0000126	Prac.g_00718	Praz.g_01677
OG0000127	Prac.g_00685	Praz.g_01644
OG0000128	Prac.g_01558	Praz.g_01605
OG0000129	Prac.g_01538	Praz.g_01585
OG0000130	Prac.g_01491	Praz.g_01527
OG0000131	Prac.g_01477	Praz.g_01514
OG0000132	Prac.g_01442	Praz.g_01478
OG0000133	Prac.g_01368	Praz.g_01392
OG0000134	Prac.g_01359	Praz.g_01382
OG0000135	Prac.g_01323	Praz.g_01346
OG0000136	Prac.g_01259	Praz.g_00063
OG0000137	Prac.g_01015	Praz.g_00022
OG0000138	Prac.g_00990	Praz.g_00760
OG0000139	Prac.g_00979	Praz.g_00748
OG0000140	Prac.g_00928	Praz.g_00697
OG0000141	Prac.g_00448	Praz.g_01936
OG0000142	Prac.g_00187	Praz.g_01168
OG0000143	Prac.g_00217	Praz.g_01139
OG0000144	Prac.g_00424	Praz.g_01054
OG0000145	Prac.g_00410	Praz.g_01040
OG0000146	Prac.g_00374	Praz.g_01004
OG0000147	Prac.g_00334	Praz.g_00964
OG0000148	Prac.g_00333	Praz.g_00963
OG0000149	Prac.g_00627	Praz.g_00879
OG0000150	Prac.g_00589	Praz.g_00841
OG0000151	Prac.g_00586	Praz.g_00838
OG0000152	Prac.g_00471	Praz.g_00340
OG0000153	Prac.g_00507	Praz.g_00304
OG0000154	Prac.g_00543	Praz.g_00268
OG0000155	Prac.g_00560	Praz.g_00250
OG0000156	Prac.g_00026	Praz.g_00221
OG0000157	Prac.g_00057	Praz.g_00188
OG0000158	Prac.g_00118	Praz.g_00125
OG0000160	Prac.g_01946	Praz.g_00366
OG0000161	Prac.g_01945	Praz.g_00367
OG0000162	Prac.g_01943	Praz.g_00369
OG0000163	Prac.g_01942	Praz.g_00370
OG0000164	Prac.g_01941	Praz.g_00371
OG0000165	Prac.g_01940	Praz.g_00372
OG0000166	Prac.g_01939	Praz.g_00373
OG0000167	Prac.g_01938	Praz.g_00374
OG0000168	Prac.g_01937	Praz.g_00375
OG0000169	Prac.g_01935	Praz.g_00377
OG0000170	Prac.g_01933	Praz.g_00379
OG0000171	Prac.g_01932	Praz.g_00380
OG0000172	Prac.g_01931	Praz.g_00381
OG0000173	Prac.g_01930	Praz.g_00382
OG0000174	Prac.g_01929	Praz.g_00383
OG0000175	Prac.g_01928	Praz.g_00384
OG0000176	Prac.g_01927	Praz.g_00385
OG0000177	Prac.g_01926	Praz.g_00386
OG0000178	Prac.g_01925	Praz.g_00387
OG0000179	Prac.g_01923	Praz.g_00389
OG0000180	Prac.g_01922	Praz.g_00390
OG0000181	Prac.g_01921	Praz.g_00391
OG0000182	Prac.g_01920	Praz.g_00392
OG0000183	Prac.g_01919	Praz.g_00393
OG0000184	Prac.g_01918	Praz.g_00394
OG0000185	Prac.g_01915	Praz.g_00397
OG0000186	Prac.g_01911	Praz.g_00400
OG0000187	Prac.g_01910	Praz.g_00401
OG0000188	Prac.g_01909	Praz.g_00402
OG0000189	Prac.g_01892	Praz.g_00406
OG0000190	Prac.g_01890	Praz.g_00408
OG0000191	Prac.g_01889	Praz.g_00409
OG0000192	Prac.g_01888	Praz.g_00410
OG0000193	Prac.g_01886	Praz.g_00411
OG0000194	Prac.g_01885	Praz.g_00412
OG0000195	Prac.g_01884	Praz.g_00413
OG0000196	Prac.g_01883	Praz.g_00414
OG0000197	Prac.g_01881	Praz.g_00416
OG0000198	Prac.g_01880	Praz.g_00417
OG0000199	Prac.g_01879	Praz.g_00418
OG0000200	Prac.g_01867	Praz.g_00424
OG0000201	Prac.g_01866	Praz.g_00425
OG0000202	Prac.g_01865	Praz.g_00426
OG0000203	Prac.g_01862	Praz.g_00429
OG0000204	Prac.g_01861	Praz.g_00430
OG0000205	Prac.g_01858	Praz.g_00433
OG0000206	Prac.g_01856	Praz.g_00435
OG0000207	Prac.g_01854	Praz.g_00437
OG0000208	Prac.g_01853	Praz.g_00438
OG0000209	Prac.g_01852	Praz.g_00439
OG0000210	Prac.g_01851	Praz.g_00440
OG0000211	Prac.g_01850	Praz.g_00441
OG0000212	Prac.g_01849	Praz.g_00442
OG0000213	Prac.g_01848	Praz.g_00443
OG0000214	Prac.g_01847	Praz.g_00444
OG0000215	Prac.g_01846	Praz.g_00445
OG0000216	Prac.g_01845	Praz.g_00446
