Orthogroup	Prac	Prah
OG0000000	Prac.g_00292	Prah.g_01348
OG0000000	Prac.g_00926, Prac.g_00293	Prah.g_01152, Prah.g_01154, Prah.g_01346
OG0000001	Prac.g_00210	Prah.g_00562
OG0000001	Prac.g_00693	Prah.g_01226
OG0000002	Prac.g_00202	Prah.g_01343, Prah.g_00324, Prah.g_01159, Prah.g_02270, Prah.g_00896
OG0000004	Prac.g_00157, Prac.g_00290	Prah.g_01347
OG0000005	Prac.g_01529	Prah.g_01175, Prah.g_00215
OG0000008	Prac.g_00874	Prah.g_01546
OG0000008	Prac.g_00625	Prah.g_01676
OG0000010	Prac.g_01496, Prac.g_01681	Prah.g_02086
OG0000011	Prac.g_01158	Prah.g_01972
OG0000013	Prac.g_00301, Prac.g_01826	Prah.g_00432, Prah.g_01895
OG0000014	Prac.g_01625	Prah.g_02171
OG0000015	Prac.g_01127	Prah.g_00321
OG0000015	Prac.g_01601	Prah.g_00353
OG0000016	Prac.g_00898	Prah.g_01155, Prah.g_00576
OG0000018	Prac.g_00773	Prah.g_01405, Prah.g_01397
OG0000020	Prac.g_00213	Prah.g_01007, Prah.g_01048
OG0000021	Prac.g_01901	Prah.g_00381
OG0000022	Prac.g_01689	Prah.g_01767, Prah.g_00475
OG0000023	Prac.g_01169	Prah.g_01410
OG0000024	Prac.g_00151	Prah.g_00998
OG0000025	Prac.g_01525	Prah.g_01043
OG0000027	Prac.g_00699	Prah.g_00969
OG0000028	Prac.g_00904	Prah.g_00970
OG0000029	Prac.g_01495	Prah.g_00942
OG0000031	Prac.g_00048	Prah.g_01256, Prah.g_00135, Prah.g_02545
OG0000032	Prac.g_01913, Prac.g_01914, Prac.g_00908	Prah.g_00042
OG0000034	Prac.g_00411	Prah.g_00408
OG0000038	Prac.g_00249	Prah.g_02248
OG0000039	Prac.g_01934	Prah.g_00015
OG0000040	Prac.g_00152	Prah.g_01084
OG0000041	Prac.g_00748	Prah.g_00524
OG0000045	Prac.g_00788	Prah.g_01427
OG0000046	Prac.g_01510	Prah.g_01209, Prah.g_00170
OG0000047	Prac.g_00985	Prah.g_01322
OG0000049	Prac.g_00258, Prac.g_00434	Prah.g_02195
OG0000050	Prac.g_01764	Prah.g_00957, Prah.g_02304
OG0000051	Prac.g_01174	Prah.g_00688
OG0000053	Prac.g_01560	Prah.g_00958, Prah.g_00887
OG0000054	Prac.g_00632	Prah.g_01666
OG0000055	Prac.g_01904, Prac.g_00041	Prah.g_00150
OG0000056	Prac.g_01916	Prah.g_00038
OG0000057	Prac.g_01773, Prac.g_01590	Prah.g_02295
OG0000058	Prac.g_01163	Prah.g_01660
OG0000059	Prac.g_00833	Prah.g_01485
OG0000061	Prac.g_01515	Prah.g_01812
OG0000062	Prac.g_01453	Prah.g_00641
OG0000063	Prac.g_01029	Prah.g_02425
OG0000066	Prac.g_01069	Prah.g_00312
OG0000067	Prac.g_00673	Prah.g_01027
OG0000070	Prac.g_01256	Prah.g_00915
OG0000071	Prac.g_01955	Prah.g_01257
OG0000072	Prac.g_00175	Prah.g_01364
OG0000074	Prac.g_00248	Prah.g_02192
OG0000075	Prac.g_00548	Prah.g_01995
