Orthogroup	Prac	Prbj
OG0000000	Prac.g_00292	Prbj.g_00164
OG0000000	Prac.g_00926, Prac.g_00293	Prbj.g_00166
OG0000001	Prac.g_00210	Prbj.g_02517
OG0000001	Prac.g_00693	Prbj.g_00030
OG0000002	Prac.g_00202	Prbj.g_00169, Prbj.g_00672, Prbj.g_01549, Prbj.g_02662, Prbj.g_02690
OG0000004	Prac.g_00157, Prac.g_00290	Prbj.g_00165
OG0000005	Prac.g_01529	Prbj.g_00697, Prbj.g_00073
OG0000008	Prac.g_00874	Prbj.g_01610
OG0000008	Prac.g_00625	Prbj.g_00857
OG0000010	Prac.g_01496, Prac.g_01681	Prbj.g_01349
OG0000011	Prac.g_01158	Prbj.g_00378
OG0000013	Prac.g_00301, Prac.g_01826	Prbj.g_01300, Prbj.g_00618
OG0000014	Prac.g_01625	Prbj.g_01442
OG0000015	Prac.g_01127	Prbj.g_02509
OG0000015	Prac.g_01601	Prbj.g_00666
OG0000016	Prac.g_00898	Prbj.g_02502
OG0000018	Prac.g_00773	Prbj.g_01769, Prbj.g_01761
OG0000020	Prac.g_00213	Prbj.g_00740, Prbj.g_00778
OG0000021	Prac.g_01901	Prbj.g_00638
OG0000022	Prac.g_01689	Prbj.g_02699
OG0000023	Prac.g_01169	Prbj.g_01774
OG0000024	Prac.g_00151	Prbj.g_00731
OG0000025	Prac.g_01525	Prbj.g_00773
OG0000027	Prac.g_00699	Prbj.g_00928
OG0000028	Prac.g_00904	Prbj.g_00929
OG0000031	Prac.g_00048	Prbj.g_01808, Prbj.g_00001, Prbj.g_02010
OG0000032	Prac.g_01913, Prac.g_01914, Prac.g_00908	Prbj.g_01208
OG0000034	Prac.g_00411	Prbj.g_01056
OG0000036	Prac.g_00906	Prbj.g_00046
OG0000038	Prac.g_00249	Prbj.g_01522, Prbj.g_01527
OG0000040	Prac.g_00152	Prbj.g_00897
OG0000041	Prac.g_00748	Prbj.g_02552
OG0000045	Prac.g_00788	Prbj.g_01789
OG0000046	Prac.g_01510	Prbj.g_00050, Prbj.g_01572
OG0000047	Prac.g_00985	Prbj.g_00971
OG0000049	Prac.g_00258, Prac.g_00434	Prbj.g_01467
OG0000050	Prac.g_01764	Prbj.g_00912, Prbj.g_00521
OG0000051	Prac.g_01174	Prbj.g_02392
OG0000053	Prac.g_01560	Prbj.g_00913, Prbj.g_02178
OG0000054	Prac.g_00632	Prbj.g_00869
OG0000055	Prac.g_01904, Prac.g_00041	Prbj.g_01598
OG0000056	Prac.g_01916	Prbj.g_01204
OG0000057	Prac.g_01773, Prac.g_01590	Prbj.g_00530
OG0000058	Prac.g_01163	Prbj.g_00875
OG0000059	Prac.g_00833	Prbj.g_02141
OG0000061	Prac.g_01515	Prbj.g_01324
OG0000062	Prac.g_01453	Prbj.g_02437
OG0000063	Prac.g_01029	Prbj.g_00227
OG0000066	Prac.g_01069	Prbj.g_00128
OG0000067	Prac.g_00673	Prbj.g_00758
OG0000070	Prac.g_01256	Prbj.g_01838
OG0000071	Prac.g_01955	Prbj.g_01915
OG0000072	Prac.g_00175	Prbj.g_01728
OG0000074	Prac.g_00248	Prbj.g_01465
OG0000075	Prac.g_00548	Prbj.g_00415, Prbj.g_00981
OG0000076	Prac.g_00242	Prbj.g_01468
OG0000077	Prac.g_01936	Prbj.g_02085
OG0000078	Prac.g_01609	Prbj.g_01460
OG0000079	Prac.g_01150	Prbj.g_02004
OG0000080	Prac.g_00702	Prbj.g_00824
OG0000081	Prac.g_00680	Prbj.g_00933
