Orthogroup	Pray	Syah
OG0000001	Pray.g_01844	Syah.g_00726, Syah.g_01516, Syah.g_00040, Syah.g_00041, Syah.g_00710
OG0000002	Pray.g_01836, Pray.g_01085	Syah.g_01829
OG0000004	Pray.g_01068	Syah.g_02017
OG0000004	Pray.g_00713	Syah.g_01967, Syah.g_00901
OG0000005	Pray.g_01546	Syah.g_02403
OG0000005	Pray.g_01646	Syah.g_02363
OG0000006	Pray.g_00722	Syah.g_01912, Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918
OG0000007	Pray.g_00988, Pray.g_00987	Syah.g_01016
OG0000007	Pray.g_01559	Syah.g_02384
OG0000008	Pray.g_01931	Syah.g_01994
OG0000009	Pray.g_01920, Pray.g_01610	Syah.g_02457
OG0000009	Pray.g_00184	Syah.g_01910, Syah.g_02535
OG0000010	Pray.g_00592	Syah.g_01220
OG0000011	Pray.g_01930	Syah.g_01991
OG0000012	Pray.g_01140	Syah.g_01960, Syah.g_02169, Syah.g_01340
OG0000013	Pray.g_00805	Syah.g_00822, Syah.g_00831, Syah.g_00817
OG0000014	Pray.g_00784	Syah.g_00127
OG0000014	Pray.g_01792	Syah.g_00323
OG0000015	Pray.g_00309	Syah.g_01511, Syah.g_01510
OG0000016	Pray.g_01475	Syah.g_00359
OG0000017	Pray.g_01165	Syah.g_01152, Syah.g_01159
OG0000018	Pray.g_00083	Syah.g_01264
OG0000019	Pray.g_00730, Pray.g_00328	Syah.g_00669
OG0000022	Pray.g_00101	Syah.g_01881
OG0000023	Pray.g_00838	Syah.g_01330, Syah.g_02167, Syah.g_00930
OG0000024	Pray.g_00289, Pray.g_01088	Syah.g_01990
OG0000025	Pray.g_00809, Pray.g_00383	Syah.g_02082
OG0000026	Pray.g_01493, Pray.g_00599	Syah.g_00340
OG0000027	Pray.g_00960, Pray.g_01887	Syah.g_01541
OG0000028	Pray.g_01935, Pray.g_00798	Syah.g_00141
OG0000029	Pray.g_00296, Pray.g_00853	Syah.g_01292
OG0000030	Pray.g_01374	Syah.g_00264, Syah.g_00265
OG0000031	Pray.g_01806	Syah.g_00146, Syah.g_00226, Syah.g_00322
OG0000034	Pray.g_01860	Syah.g_00048, Syah.g_02213
OG0000035	Pray.g_01722	Syah.g_01293
OG0000037	Pray.g_00180	Syah.g_02541, Syah.g_00956, Syah.g_01365
OG0000038	Pray.g_01415	Syah.g_00508, Syah.g_00506
OG0000039	Pray.g_01077	Syah.g_02074
OG0000040	Pray.g_01585	Syah.g_01908
OG0000040	Pray.g_00084	Syah.g_00431
OG0000042	Pray.g_01371	Syah.g_00261
OG0000043	Pray.g_01924	Syah.g_02119
OG0000044	Pray.g_00002	Syah.g_02454, Syah.g_02072, Syah.g_01194
OG0000045	Pray.g_00849	Syah.g_01872
OG0000047	Pray.g_00808, Pray.g_00897	Syah.g_00847
OG0000048	Pray.g_00852	Syah.g_00637
OG0000050	Pray.g_00619	Syah.g_00941
OG0000051	Pray.g_01894	Syah.g_02473
OG0000053	Pray.g_01702	Syah.g_01267
OG0000054	Pray.g_01157	Syah.g_01982, Syah.g_01862
OG0000055	Pray.g_00329	Syah.g_01878, Syah.g_02071
OG0000057	Pray.g_01065	Syah.g_02020
OG0000058	Pray.g_01786	Syah.g_00152
OG0000059	Pray.g_01258	Syah.g_00737
OG0000061	Pray.g_00064	Syah.g_02158
OG0000062	Pray.g_01644	Syah.g_02365
OG0000063	Pray.g_01495	Syah.g_00337
OG0000065	Pray.g_00182	Syah.g_02537, Syah.g_02443
OG0000066	Pray.g_01222	Syah.g_01073
OG0000067	Pray.g_00348	Syah.g_01779
OG0000068	Pray.g_01829	Syah.g_00986
OG0000069	Pray.g_01609	Syah.g_01715
OG0000070	Pray.g_00940	Syah.g_02217
OG0000071	Pray.g_01870	Syah.g_01863, Syah.g_02199
OG0000072	Pray.g_00652	Syah.g_00080
OG0000073	Pray.g_00990	Syah.g_01018
OG0000074	Pray.g_01081	Syah.g_00951
OG0000075	Pray.g_01339	Syah.g_00186
OG0000076	Pray.g_01364	Syah.g_00250
OG0000077	Pray.g_00211	Syah.g_02494
OG0000078	Pray.g_00720	Syah.g_00912
OG0000079	Pray.g_00733	Syah.g_00665
OG0000081	Pray.g_01022	Syah.g_00922, Syah.g_02471
OG0000082	Pray.g_01177	Syah.g_01136
OG0000084	Pray.g_01726	Syah.g_02105, Syah.g_01296
OG0000085	Pray.g_01566	Syah.g_02372
OG0000086	Pray.g_00201	Syah.g_02511
OG0000087	Pray.g_00150	Syah.g_00038
OG0000088	Pray.g_00647	Syah.g_00074
OG0000089	Pray.g_00834	Syah.g_00888
OG0000090	Pray.g_01024, Pray.g_01228	Syah.g_01064
OG0000091	Pray.g_01121	Syah.g_01927
OG0000093	Pray.g_00479	Syah.g_01794
OG0000094	Pray.g_00565	Syah.g_01692
OG0000095	Pray.g_00584	Syah.g_02030
OG0000097	Pray.g_00022	Syah.g_01400
OG0000098	Pray.g_01847	Syah.g_00723
OG0000099	Pray.g_01788	Syah.g_00144
OG0000100	Pray.g_01648	Syah.g_01747
OG0000101	Pray.g_01306	Syah.g_00785
OG0000102	Pray.g_01369	Syah.g_00255
OG0000103	Pray.g_01449	Syah.g_00391
OG0000104	Pray.g_01457	Syah.g_00377
OG0000105	Pray.g_00753	Syah.g_00632
OG0000106	Pray.g_00848	Syah.g_01544
OG0000107	Pray.g_00864	Syah.g_00688
OG0000108	Pray.g_00970	Syah.g_00997
OG0000109	Pray.g_00984	Syah.g_01012
OG0000110	Pray.g_01187	Syah.g_01124
OG0000111	Pray.g_01064	Syah.g_02021
OG0000112	Pray.g_00313	Syah.g_01613
OG0000113	Pray.g_00370	Syah.g_01752
OG0000114	Pray.g_00452	Syah.g_01529
OG0000115	Pray.g_00126	Syah.g_01269
OG0000116	Pray.g_00074	Syah.g_02175
OG0000117	Pray.g_01927	Syah.g_01425
OG0000118	Pray.g_01858	Syah.g_01173
OG0000120	Pray.g_01808	Syah.g_00145
OG0000121	Pray.g_01720	Syah.g_01287
OG0000122	Pray.g_01682	Syah.g_01900
OG0000123	Pray.g_01313	Syah.g_00793
OG0000124	Pray.g_01380	Syah.g_00272
OG0000125	Pray.g_01417	Syah.g_00504
